"V1" "exp<15" "polyA<15" "UU<15" "U<15" "U>3<15" "polyA-NoU<15" "exp<25" "polyA<25" "UU<25" "U<25" "U>3<25" "polyA-NoU<25" "exp>25" "polyA>25" "UU>25" "U>25" "U>3>25" "polyA-NoU>25" "symbol"
"ENSG00000000003" 1180 0 0 0 0 0 1180 3 0 0 0 0 1180 681 38 36 6 108 "TSPAN6"
"ENSG00000000419" 3792 33 0 0 0 0 3792 25 4 9 0 0 3792 917 3 45 0 17 "DPM1"
"ENSG00000000971" 1393 3 0 0 0 0 1393 2 0 0 0 0 1393 375 2 0 0 19 "CFH"
"ENSG00000001036" 1330 4 0 0 0 0 1330 3 0 0 0 0 1330 661 13 13 0 33 "FUCA2"
"ENSG00000001084" 915 2 0 0 0 0 915 4 0 0 0 0 915 459 2 23 0 29 "GCLC"
"ENSG00000001167" 111 0 0 0 0 0 111 0 0 0 0 0 111 36 0 12 0 0 "NFYA"
"ENSG00000001460" 102 0 0 0 0 0 102 0 0 0 0 0 102 38 0 0 0 0 "STPG1"
"ENSG00000001461" 134 0 0 0 0 0 134 0 0 0 0 0 134 69 0 0 0 6 "NIPAL3"
"ENSG00000001497" 1812 2 0 0 0 0 1812 5 0 0 0 0 1812 1206 30 57 8 11 "LAS1L"
"ENSG00000001629" 1209 0 0 0 0 0 1209 7 0 0 0 0 1209 212 0 0 0 11 "ANKIB1"
"ENSG00000001631" 402 8 0 0 0 0 402 0 0 0 0 0 402 46 27 0 0 0 "KRIT1"
"ENSG00000002330" 187 0 0 0 0 0 187 0 0 0 0 0 187 131 0 11 23 3 "BAD"
"ENSG00000002549" 629 12 0 0 0 0 629 2 0 0 0 0 629 377 8 0 0 68 "LAP3"
"ENSG00000002586" 148 0 0 0 0 0 148 0 0 0 0 0 148 44 3 0 0 0 "CD99"
"ENSG00000002746" 203 0 0 0 0 0 203 0 0 0 0 0 203 73 0 0 0 0 "HECW1"
"ENSG00000002822" 302 0 0 0 0 0 302 8 4 0 3 0 302 53 0 0 0 0 "MAD1L1"
"ENSG00000002919" 101 0 0 0 0 0 101 0 0 0 0 0 101 54 0 0 0 5 "SNX11"
"ENSG00000003056" 170 0 0 0 0 0 170 0 0 0 0 0 170 50 0 0 0 0 "M6PR"
"ENSG00000003096" 570 3 0 0 0 0 570 2 0 0 0 0 570 372 0 0 0 16 "KLHL13"
"ENSG00000003393" 332 0 0 0 0 0 332 0 0 0 0 0 332 76 0 2 0 0 "ALS2"
"ENSG00000003402" 628 2 0 0 0 0 628 2 0 0 0 0 628 64 0 0 0 0 "CFLAR"
"ENSG00000003436" 3845 44 0 0 0 11 3845 24 7 2 10 0 3845 1245 5 27 0 119 "TFPI"
"ENSG00000003509" 123 0 0 0 0 0 123 0 0 0 0 0 123 36 0 0 0 0 "NDUFAF7"
"ENSG00000003756" 531 13 0 0 0 0 531 18 0 0 0 0 531 83 0 0 0 2 "RBM5"
"ENSG00000003989" 197 0 0 0 0 0 197 0 0 0 0 0 197 40 8 0 0 0 "SLC7A2"
"ENSG00000004142" 950 5 0 0 0 0 950 7 0 3 0 2 950 532 39 14 0 15 "POLDIP2"
"ENSG00000004455" 4996 19 0 0 0 0 4996 43 0 32 2 0 4996 1549 24 36 0 40 "AK2"
"ENSG00000004478" 888 2 0 0 0 0 888 10 0 7 0 0 888 265 16 0 4 2 "FKBP4"
"ENSG00000004487" 1582 13 0 2 5 0 1582 4 0 0 2 0 1582 563 2 0 0 11 "KDM1A"
"ENSG00000004534" 738 0 0 0 0 0 738 9 0 0 0 0 738 247 13 0 0 8 "RBM6"
"ENSG00000004660" 253 4 0 0 0 0 253 0 0 0 0 0 253 74 4 0 0 6 "CAMKK1"
"ENSG00000004700" 822 23 0 0 0 22 822 0 0 0 0 0 822 172 0 0 0 13 "RECQL"
"ENSG00000004766" 432 0 0 0 0 0 432 0 0 0 0 0 432 124 7 2 0 4 "CCDC132"
"ENSG00000004779" 5585 4 0 0 0 0 5585 18 0 0 0 11 5585 3474 30 56 0 196 "NDUFAB1"
"ENSG00000004799" 1156 60 0 44 0 0 1156 5 0 0 0 0 1156 330 44 0 0 24 "PDK4"
"ENSG00000004864" 1104 0 0 0 0 0 1104 11 0 0 10 0 1104 487 3 19 22 28 "SLC25A13"
"ENSG00000004866" 469 0 0 0 0 0 469 2 0 0 2 0 469 119 5 0 0 0 "ST7"
"ENSG00000004897" 943 2 0 0 0 0 943 0 0 0 0 0 943 292 0 32 0 10 "CDC27"
"ENSG00000004961" 746 2 0 0 0 0 746 29 0 0 17 0 746 234 0 0 0 2 "HCCS"
"ENSG00000004975" 433 0 0 0 0 0 433 2 0 0 0 0 433 231 2 27 2 4 "DVL2"
"ENSG00000005007" 404 0 0 0 0 0 404 0 0 0 0 0 404 52 0 0 0 0 "UPF1"
"ENSG00000005020" 113 0 0 0 0 0 113 0 0 0 0 0 113 47 0 0 0 0 "SKAP2"
"ENSG00000005022" 8124 10 0 0 0 0 8124 8 0 2 0 0 8124 4553 119 50 0 128 "SLC25A5"
"ENSG00000005059" 829 0 0 0 0 0 829 13 0 0 12 0 829 468 30 8 0 21 "CCDC109B"
"ENSG00000005073" 126 0 0 0 0 0 126 22 0 0 0 0 126 44 0 0 0 0 "HOXA11"
"ENSG00000005075" 1053 5 0 0 0 0 1053 6 0 0 0 0 1053 545 0 2 0 22 "POLR2J"
"ENSG00000005100" 411 0 0 0 0 0 411 0 0 0 0 0 411 114 6 16 0 0 "DHX33"
"ENSG00000005102" 105 0 0 0 0 0 105 0 0 0 0 0 105 74 0 0 0 0 "MEOX1"
"ENSG00000005156" 370 0 0 0 0 0 370 0 0 0 0 0 370 90 2 16 0 9 "LIG3"
"ENSG00000005175" 572 2 0 0 0 0 572 0 0 0 0 0 572 229 0 19 2 8 "RPAP3"
"ENSG00000005194" 520 0 0 0 0 0 520 0 0 0 0 0 520 304 0 0 0 5 "CIAPIN1"
"ENSG00000005243" 109 0 0 0 0 0 109 0 0 0 0 0 109 37 0 0 0 0 "COPZ2"
"ENSG00000005302" 266 0 0 0 0 0 266 0 0 0 0 0 266 104 0 5 0 5 "MSL3"
"ENSG00000005339" 469 0 0 0 0 0 469 5 0 2 0 0 469 55 6 0 0 0 "CREBBP"
"ENSG00000005436" 502 0 0 0 0 0 502 3 0 0 0 0 502 251 0 2 0 27 "GCFC2"
"ENSG00000005469" 149 0 0 0 0 0 149 0 0 0 0 0 149 77 0 0 0 0 "CROT"
"ENSG00000005483" 806 3 2 0 0 0 806 13 3 0 0 0 806 88 0 0 0 17 "KMT2E"
