"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "U>3-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000000003" 589 15 0 0 8 0 589 7 0 0 0 0 589 265 5 5 0 13 "TSPAN6"
"ENSG00000000419" 822 17 0 0 0 0 822 26 0 12 0 0 822 222 17 0 0 4 "DPM1"
"ENSG00000000971" 560 3 0 0 0 0 560 12 9 0 0 0 560 81 10 0 0 0 "CFH"
"ENSG00000001036" 672 4 0 0 0 0 672 3 0 0 0 0 672 311 18 0 0 20 "FUCA2"
"ENSG00000001084" 491 43 17 3 0 12 491 17 0 0 0 0 491 132 0 0 0 3 "GCLC"
"ENSG00000001167" 146 21 0 13 0 0 146 0 0 0 0 0 146 25 0 0 0 0 "NFYA"
"ENSG00000001461" 126 2 0 0 0 0 126 16 0 14 0 2 126 21 0 0 0 0 "NIPAL3"
"ENSG00000001497" 380 24 0 0 0 0 380 9 0 8 0 0 380 210 0 0 0 0 "LAS1L"
"ENSG00000001629" 408 11 0 0 0 0 408 2 0 0 0 0 408 102 0 0 0 0 "ANKIB1"
"ENSG00000001631" 376 6 0 0 5 0 376 0 0 0 0 0 376 35 0 0 0 0 "KRIT1"
"ENSG00000002330" 44 0 0 0 0 0 44 0 0 0 0 0 44 30 0 10 0 0 "BAD"
"ENSG00000002549" 344 2 0 0 0 0 344 49 17 0 16 0 344 115 5 0 4 2 "LAP3"
"ENSG00000002822" 133 24 0 2 19 0 133 8 0 6 0 0 133 38 0 0 0 0 "MAD1L1"
"ENSG00000003056" 234 0 0 0 0 0 234 12 0 0 0 0 234 38 0 0 0 0 "M6PR"
"ENSG00000003096" 362 15 0 0 0 0 362 10 6 0 0 0 362 135 2 0 0 2 "KLHL13"
"ENSG00000003436" 1125 30 7 7 14 0 1125 20 0 2 0 0 1125 233 2 0 0 12 "TFPI"
"ENSG00000003509" 151 14 6 0 0 0 151 11 0 3 0 6 151 30 0 0 0 0 "NDUFAF7"
"ENSG00000003756" 493 93 21 20 0 0 493 19 0 0 0 0 493 35 0 0 0 0 "RBM5"
"ENSG00000004142" 611 3 0 0 0 0 611 54 2 40 0 0 611 283 0 7 0 15 "POLDIP2"
"ENSG00000004455" 1501 25 0 0 5 0 1501 79 0 30 15 9 1501 678 2 0 0 33 "AK2"
"ENSG00000004478" 385 2 0 0 0 0 385 4 0 3 0 0 385 44 0 0 0 0 "FKBP4"
"ENSG00000004487" 696 24 2 13 0 0 696 41 0 4 0 0 696 159 6 0 0 0 "KDM1A"
"ENSG00000004534" 511 7 0 4 0 0 511 47 5 22 0 5 511 167 0 2 0 0 "RBM6"
"ENSG00000004700" 389 14 0 14 0 0 389 18 0 17 0 0 389 81 0 0 0 4 "RECQL"
"ENSG00000004766" 329 4 3 0 0 0 329 2 0 0 0 0 329 47 0 0 0 0 "CCDC132"
"ENSG00000004779" 2835 125 59 48 6 0 2835 75 30 13 2 9 2835 1775 25 0 0 64 "NDUFAB1"
"ENSG00000004799" 604 12 8 0 0 0 604 9 0 0 0 0 604 101 0 0 0 0 "PDK4"
"ENSG00000004864" 425 27 7 0 0 0 425 16 15 0 0 0 425 168 3 6 0 9 "SLC25A13"
"ENSG00000004866" 207 7 0 0 0 0 207 15 0 6 0 0 207 65 0 0 0 0 "ST7"
"ENSG00000004897" 585 12 0 0 0 0 585 11 9 0 0 0 585 144 0 7 0 13 "CDC27"
"ENSG00000004961" 363 5 0 3 0 0 363 19 3 16 0 0 363 164 5 0 0 2 "HCCS"
"ENSG00000004975" 216 8 0 0 7 0 216 0 0 0 0 0 216 68 0 0 0 2 "DVL2"
"ENSG00000005022" 4417 93 25 20 0 4 4417 95 56 31 0 4 4417 2676 56 14 8 150 "SLC25A5"
"ENSG00000005059" 597 5 2 0 0 0 597 49 25 15 7 0 597 298 0 0 0 16 "CCDC109B"
"ENSG00000005075" 291 3 0 0 0 0 291 25 6 0 10 0 291 118 25 0 0 0 "POLR2J"
"ENSG00000005102" 86 3 0 0 0 0 86 23 0 0 23 0 86 24 0 0 4 0 "MEOX1"
"ENSG00000005156" 131 0 0 0 0 0 131 6 0 5 0 0 131 34 0 0 0 3 "LIG3"
"ENSG00000005175" 358 64 9 0 8 0 358 9 9 0 0 0 358 91 2 0 0 3 "RPAP3"
"ENSG00000005194" 359 2 0 0 0 0 359 38 3 10 0 17 359 184 0 3 0 0 "CIAPIN1"
"ENSG00000005302" 178 0 0 0 0 0 178 0 0 0 0 0 178 45 0 0 0 0 "MSL3"
"ENSG00000005339" 318 37 0 18 0 0 318 15 0 0 0 0 318 52 0 0 7 0 "CREBBP"
"ENSG00000005436" 386 25 19 5 0 0 386 11 2 0 0 0 386 144 0 0 0 4 "GCFC2"
"ENSG00000005448" 64 0 0 0 0 0 64 18 0 0 0 0 64 23 0 0 0 0 "WDR54"
"ENSG00000005483" 527 12 0 11 0 0 527 23 0 16 0 0 527 35 0 0 0 0 "KMT2E"
"ENSG00000005486" 155 0 0 0 0 0 155 0 0 0 0 0 155 33 0 0 0 0 "RHBDD2"
"ENSG00000005700" 551 88 16 59 10 0 551 96 16 34 0 0 551 66 0 5 0 4 "IBTK"
"ENSG00000005801" 185 23 5 18 0 0 185 14 0 5 0 0 185 20 0 0 0 0 "ZNF195"
"ENSG00000005810" 553 15 0 11 0 0 553 16 0 15 0 0 553 48 0 0 0 0 "MYCBP2"
"ENSG00000005812" 463 82 40 5 0 0 463 28 0 2 0 0 463 52 2 0 0 0 "FBXL3"
"ENSG00000005884" 271 12 0 0 0 0 271 2 0 0 0 0 271 24 0 0 0 8 "ITGA3"
"ENSG00000005889" 1175 59 16 13 4 0 1175 32 7 0 0 0 1175 101 0 0 0 0 "ZFX"
"ENSG00000005893" 747 19 0 0 15 2 747 56 18 38 0 0 747 166 4 0 0 20 "LAMP2"
"ENSG00000005955" 428 62 0 14 0 0 428 24 7 15 0 0 428 53 0 0 0 0 "GGNBP2"
"ENSG00000006007" 729 7 0 6 0 0 729 33 14 16 0 0 729 417 12 4 0 17 "GDE1"
"ENSG00000006015" 131 5 0 0 0 0 131 8 8 0 0 0 131 62 11 0 0 0 "C19orf60"
"ENSG00000006125" 1095 14 0 0 0 7 1095 0 0 0 0 0 1095 19 0 0 0 0 "AP2B1"
"ENSG00000006194" 231 7 0 4 0 0 231 0 0 0 0 0 231 44 0 0 0 0 "ZNF263"
"ENSG00000006282" 350 0 0 0 0 0 350 6 0 0 3 0 350 107 0 0 0 2 "SPATA20"
"ENSG00000006327" 268 6 0 0 0 0 268 12 0 8 0 0 268 64 0 0 0 2 "TNFRSF12A"
"ENSG00000006451" 231 3 0 2 0 0 231 12 0 12 0 0 231 105 0 0 0 0 "RALA"
"ENSG00000006453" 127 3 0 3 0 0 127 0 0 0 0 0 127 29 0 0 0 0 "BAIAP2L1"
"ENSG00000006530" 111 0 0 0 0 0 111 0 0 0 0 0 111 38 0 0 0 0 "AGK"
"ENSG00000006534" 415 16 0 0 15 0 415 4 0 0 0 0 415 183 0 0 0 0 "ALDH3B1"
"ENSG00000006576" 208 20 0 0 9 0 208 22 0 0 0 0 208 52 7 0 0 0 "PHTF2"
"ENSG00000006625" 463 0 0 0 0 0 463 8 2 0 0 0 463 225 6 0 0 0 "GGCT"
"ENSG00000006634" 587 58 15 15 0 0 587 88 21 14 0 16 587 110 0 0 0 0 "DBF4"
"ENSG00000006652" 1433 16 0 0 0 2 1433 58 22 18 17 0 1433 250 6 0 0 7 "IFRD1"
"ENSG00000006695" 301 27 0 21 0 0 301 29 0 7 0 0 301 127 0 0 0 0 "COX10"
"ENSG00000006704" 582 5 0 0 0 0 582 25 0 0 22 0 582 155 0 0 0 0 "GTF2IRD1"
"ENSG00000006715" 297 14 11 0 0 0 297 13 6 6 0 0 297 91 0 3 0 21 "VPS41"
"ENSG00000006744" 694 41 0 0 5 0 694 18 5 4 2 0 694 135 14 3 0 4 "ELAC2"
"ENSG00000006757" 180 19 0 18 0 0 180 0 0 0 0 0 180 90 0 0 0 2 "PNPLA4"
"ENSG00000006831" 179 3 0 0 0 0 179 0 0 0 0 0 179 47 0 0 0 0 "ADIPOR2"
"ENSG00000007038" 332 0 0 0 0 0 332 0 0 0 0 0 332 100 7 0 0 0 "PRSS21"
"ENSG00000007168" 1398 110 24 32 7 6 1398 112 0 25 14 0 1398 369 8 0 0 2 "PAFAH1B1"
"ENSG00000007202" 684 21 0 0 14 0 684 29 2 7 0 0 684 97 5 7 0 4 "KIAA0100"
"ENSG00000007341" 152 0 0 0 0 0 152 0 0 0 0 0 152 38 0 0 0 6 "ST7L"
"ENSG00000007372" 249 20 11 6 0 0 249 6 5 0 0 0 249 56 0 0 0 0 "PAX6"
"ENSG00000007376" 215 0 0 0 0 0 215 7 0 0 0 6 215 33 0 13 0 0 "RPUSD1"
"ENSG00000007384" 89 4 0 3 0 0 89 21 0 17 3 0 89 10 2 0 0 0 "RHBDF1"
"ENSG00000007392" 226 0 0 0 0 0 226 0 0 0 0 0 226 55 0 0 0 0 "LUC7L"
"ENSG00000007545" 65 25 0 16 0 0 65 23 0 0 0 0 65 9 0 0 0 0 "CRAMP1L"
"ENSG00000007944" 341 28 15 12 0 0 341 3 0 0 0 0 341 82 0 0 0 0 "MYLIP"
"ENSG00000008018" 2611 40 0 0 11 0 2611 140 17 52 21 14 2611 1627 39 16 0 45 "PSMB1"
"ENSG00000008083" 250 58 7 0 21 0 250 0 0 0 0 0 250 16 8 0 0 5 "JARID2"
"ENSG00000008130" 688 48 6 24 13 0 688 45 3 36 4 0 688 280 7 24 0 17 "NADK"
"ENSG00000008282" 233 13 0 13 0 0 233 14 10 0 2 0 233 43 0 0 0 0 "SYPL1"
"ENSG00000008283" 181 0 0 0 0 0 181 16 0 0 0 0 181 60 0 0 0 6 "CYB561"
"ENSG00000008294" 516 35 0 3 18 0 516 23 0 0 9 0 516 78 0 0 0 3 "SPAG9"
"ENSG00000008324" 447 12 4 3 0 0 447 65 18 14 7 0 447 215 0 0 0 6 "SS18L2"
"ENSG00000008394" 2024 39 0 21 6 0 2024 94 22 30 0 13 2024 764 18 10 0 22 "MGST1"
"ENSG00000008405" 275 0 0 0 0 0 275 31 7 7 0 0 275 92 0 0 0 11 "CRY1"
"ENSG00000008441" 168 4 0 0 3 0 168 6 0 0 0 0 168 90 0 11 0 0 "NFIX"
"ENSG00000008513" 285 4 2 0 0 0 285 25 13 0 0 0 285 40 0 0 0 0 "ST3GAL1"
"ENSG00000008869" 137 24 0 5 7 0 137 33 0 30 0 0 137 40 0 0 0 0 "HEATR5B"
"ENSG00000008952" 770 60 0 20 11 0 770 32 0 9 0 0 770 179 14 8 0 0 "SEC62"
"ENSG00000008988" 29290 238 4 4 10 34 29290 538 166 89 17 37 29290 16668 542 103 0 423 "SNORD54"
"ENSG00000009307" 3802 92 4 32 0 0 3802 189 56 43 37 0 3802 1041 52 15 0 45 "CSDE1"
"ENSG00000009335" 569 18 3 0 10 0 569 9 4 0 0 0 569 126 8 5 0 10 "UBE3C"
"ENSG00000009780" 195 14 0 0 0 0 195 12 0 0 0 0 195 52 0 0 0 0 "FAM76A"
"ENSG00000009830" 108 0 0 0 0 0 108 5 0 0 0 0 108 30 0 0 0 0 "POMT2"
"ENSG00000009844" 363 7 2 0 0 0 363 31 21 9 0 0 363 156 0 0 0 0 "VTA1"
"ENSG00000009954" 982 32 0 4 0 3 982 31 0 22 0 0 982 95 9 2 0 0 "BAZ1B"
"ENSG00000010017" 406 63 10 23 17 0 406 54 0 16 0 0 406 125 0 0 0 9 "RANBP9"
"ENSG00000010072" 307 0 0 0 0 0 307 32 15 0 0 0 307 137 0 0 0 0 "SPRTN"
"ENSG00000010165" 198 28 0 0 0 0 198 17 0 3 3 0 198 51 0 9 0 0 "METTL13"
"ENSG00000010219" 148 5 0 0 0 0 148 3 2 0 0 0 148 98 2 0 0 0 "DYRK4"
"ENSG00000010244" 1103 58 0 5 13 0 1103 12 0 9 0 0 1103 241 5 18 0 0 "ZNF207"
