"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "U>3-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000000003" 96 0 0 0 0 0 96 2 0 0 0 0 96 63 2 0 0 10 "TSPAN6"
"ENSG00000000419" 161 0 0 0 0 0 161 7 0 3 0 0 161 62 0 0 0 0 "DPM1"
"ENSG00000000971" 113 0 0 0 0 0 113 0 0 0 0 0 113 48 0 0 0 0 "CFH"
"ENSG00000001036" 96 0 0 0 0 0 96 0 0 0 0 0 96 55 0 0 0 2 "FUCA2"
"ENSG00000001084" 98 4 0 0 0 0 98 0 0 0 0 0 98 64 0 0 0 4 "GCLC"
"ENSG00000001497" 93 0 0 0 0 0 93 0 0 0 0 0 93 58 2 0 0 0 "LAS1L"
"ENSG00000001629" 86 4 0 0 0 0 86 2 0 0 0 0 86 24 0 0 0 0 "ANKIB1"
"ENSG00000002549" 58 0 0 0 0 0 58 3 0 0 0 0 58 33 0 0 0 2 "LAP3"
"ENSG00000003096" 47 0 0 0 0 0 47 2 0 0 0 0 47 32 0 0 0 0 "KLHL13"
"ENSG00000003436" 267 7 2 0 0 0 267 2 0 0 0 0 267 120 0 0 0 5 "TFPI"
"ENSG00000004142" 96 2 0 0 0 0 96 5 0 0 0 0 96 60 2 0 0 0 "POLDIP2"
"ENSG00000004455" 285 2 0 0 0 0 285 4 0 3 0 0 285 129 2 0 0 4 "AK2"
"ENSG00000004478" 85 0 0 0 0 0 85 3 0 0 0 0 85 41 2 0 0 0 "FKBP4"
"ENSG00000004487" 105 3 0 0 0 0 105 0 0 0 0 0 105 39 0 0 0 0 "KDM1A"
"ENSG00000004779" 178 6 0 3 0 0 178 0 0 0 0 0 178 108 0 0 0 4 "NDUFAB1"
"ENSG00000004799" 74 2 0 0 0 0 74 0 0 0 0 0 74 34 0 0 0 0 "PDK4"
"ENSG00000004864" 89 0 0 0 0 0 89 3 0 2 0 0 89 43 0 0 0 2 "SLC25A13"
"ENSG00000004897" 89 6 0 2 2 0 89 0 0 0 0 0 89 38 0 2 0 2 "CDC27"
"ENSG00000004961" 70 3 0 0 0 0 70 2 0 0 0 0 70 31 0 0 0 0 "HCCS"
"ENSG00000005022" 221 6 0 4 0 0 221 0 0 0 0 0 221 131 2 2 0 0 "SLC25A5"
"ENSG00000005059" 65 0 0 0 0 0 65 2 0 0 0 0 65 39 0 0 0 0 "CCDC109B"
"ENSG00000005075" 91 2 0 2 0 0 91 0 0 0 0 0 91 57 0 0 0 0 "POLR2J"
"ENSG00000005175" 56 0 0 0 0 0 56 0 0 0 0 0 56 36 0 0 0 2 "RPAP3"
"ENSG00000005194" 75 0 0 0 0 0 75 0 0 0 0 0 75 55 0 0 0 0 "CIAPIN1"
"ENSG00000005436" 61 0 0 0 0 0 61 3 0 0 0 0 61 46 0 0 0 5 "GCFC2"
"ENSG00000005700" 74 2 0 0 0 0 74 7 2 3 0 0 74 33 0 0 0 0 "IBTK"
"ENSG00000005812" 59 3 0 0 0 0 59 2 0 0 0 0 59 29 0 0 0 0 "FBXL3"
"ENSG00000005889" 194 4 0 0 0 0 194 5 0 0 0 0 194 55 0 0 0 0 "ZFX"
"ENSG00000005893" 134 0 0 0 0 0 134 5 0 0 0 0 134 78 0 2 0 10 "LAMP2"
"ENSG00000005955" 68 3 0 0 0 0 68 0 0 0 0 0 68 33 0 0 0 0 "GGNBP2"
"ENSG00000006007" 106 0 0 0 0 0 106 4 0 0 2 0 106 48 2 0 0 2 "GDE1"
"ENSG00000006282" 49 0 0 0 0 0 49 0 0 0 0 0 49 30 0 0 0 0 "SPATA20"
"ENSG00000006327" 76 2 0 0 0 0 76 2 0 0 0 0 76 41 0 0 0 0 "TNFRSF12A"
"ENSG00000006451" 69 2 0 0 0 0 69 4 0 0 0 0 69 37 0 0 0 0 "RALA"
"ENSG00000006534" 80 0 0 0 0 0 80 0 0 0 0 0 80 43 2 0 0 2 "ALDH3B1"
"ENSG00000006625" 111 0 0 0 0 0 111 5 2 0 0 0 111 51 2 0 0 0 "GGCT"
"ENSG00000006652" 192 3 0 0 0 0 192 0 0 0 0 0 192 103 0 0 0 3 "IFRD1"
"ENSG00000006704" 83 0 0 0 0 0 83 0 0 0 0 0 83 39 0 0 0 2 "GTF2IRD1"
"ENSG00000007038" 99 0 0 0 0 0 99 0 0 0 0 0 99 68 0 0 0 2 "PRSS21"
"ENSG00000007168" 197 4 0 2 0 0 197 8 0 6 0 0 197 74 2 0 0 4 "PAFAH1B1"
"ENSG00000007202" 105 3 0 0 0 0 105 0 0 0 0 0 105 48 2 0 0 0 "KIAA0100"
"ENSG00000008018" 141 2 0 0 0 0 141 8 5 0 0 0 141 80 0 0 0 0 "PSMB1"
"ENSG00000008130" 67 0 0 0 0 0 67 0 0 0 0 0 67 32 0 0 0 0 "NADK"
"ENSG00000008282" 52 0 0 0 0 0 52 0 0 0 0 0 52 36 2 0 0 2 "SYPL1"
"ENSG00000008324" 68 2 0 0 0 0 68 8 0 4 0 0 68 38 0 0 0 0 "SS18L2"
