"V1" "counts" "type" "size"
"ENSG00000000003" 70 "exp" "-pA<15"
"ENSG00000001036" 65 "exp" "-pA<15"
"ENSG00000001084" 73 "exp" "-pA<15"
"ENSG00000003436" 106 "exp" "-pA<15"
"ENSG00000004142" 75 "exp" "-pA<15"
"ENSG00000004455" 144 "exp" "-pA<15"
"ENSG00000004779" 125 "exp" "-pA<15"
"ENSG00000004961" 53 "exp" "-pA<15"
"ENSG00000005022" 154 "exp" "-pA<15"
"ENSG00000005194" 49 "exp" "-pA<15"
"ENSG00000005893" 85 "exp" "-pA<15"
"ENSG00000006007" 61 "exp" "-pA<15"
"ENSG00000006652" 142 "exp" "-pA<15"
"ENSG00000007168" 127 "exp" "-pA<15"
"ENSG00000008018" 126 "exp" "-pA<15"
"ENSG00000008130" 69 "exp" "-pA<15"
"ENSG00000008394" 135 "exp" "-pA<15"
"ENSG00000008952" 81 "exp" "-pA<15"
"ENSG00000008988" 275 "exp" "-pA<15"
"ENSG00000009307" 288 "exp" "-pA<15"
"ENSG00000010244" 114 "exp" "-pA<15"
"ENSG00000010256" 82 "exp" "-pA<15"
"ENSG00000010270" 69 "exp" "-pA<15"
"ENSG00000010278" 79 "exp" "-pA<15"
"ENSG00000010292" 175 "exp" "-pA<15"
"ENSG00000011304" 112 "exp" "-pA<15"
"ENSG00000011426" 148 "exp" "-pA<15"
"ENSG00000013275" 86 "exp" "-pA<15"
"ENSG00000013306" 68 "exp" "-pA<15"
"ENSG00000014641" 101 "exp" "-pA<15"
"ENSG00000015479" 215 "exp" "-pA<15"
"ENSG00000017260" 65 "exp" "-pA<15"
"ENSG00000018510" 158 "exp" "-pA<15"
"ENSG00000021355" 53 "exp" "-pA<15"
"ENSG00000021826" 353 "exp" "-pA<15"
"ENSG00000023287" 83 "exp" "-pA<15"
"ENSG00000023734" 134 "exp" "-pA<15"
"ENSG00000023909" 118 "exp" "-pA<15"
"ENSG00000026025" 279 "exp" "-pA<15"
