"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000000003" 70 2 0 0 0 0 70 3 0 0 0 0 70 40 0 0 4 "TSPAN6"
"ENSG00000001036" 65 2 0 0 0 0 65 0 0 0 0 0 65 34 2 0 2 "FUCA2"
"ENSG00000001084" 73 6 2 0 0 0 73 2 0 0 0 0 73 29 0 0 0 "GCLC"
"ENSG00000003436" 106 3 0 0 0 0 106 2 0 0 0 0 106 30 0 0 2 "TFPI"
"ENSG00000004142" 75 0 0 0 0 0 75 4 0 4 0 0 75 35 0 0 2 "POLDIP2"
"ENSG00000004455" 144 6 0 0 0 0 144 6 0 0 0 0 144 45 0 0 0 "AK2"
"ENSG00000004779" 125 5 0 3 0 0 125 2 0 0 0 0 125 57 0 0 0 "NDUFAB1"
"ENSG00000004961" 53 0 0 0 0 0 53 2 0 0 0 0 53 28 0 0 0 "HCCS"
"ENSG00000005022" 154 4 0 2 0 0 154 4 2 0 0 0 154 61 2 0 0 "SLC25A5"
"ENSG00000005194" 49 0 0 0 0 0 49 6 0 0 0 2 49 26 0 0 0 "CIAPIN1"
"ENSG00000005893" 85 2 0 0 0 0 85 3 0 2 0 0 85 32 0 0 4 "LAMP2"
"ENSG00000006007" 61 0 0 0 0 0 61 0 0 0 0 0 61 31 0 0 2 "GDE1"
"ENSG00000006652" 142 3 0 0 0 0 142 3 0 0 0 0 142 34 0 0 2 "IFRD1"
"ENSG00000007168" 127 6 0 0 0 0 127 6 0 2 0 0 127 36 2 0 0 "PAFAH1B1"
"ENSG00000008018" 126 4 0 0 0 0 126 6 0 3 0 0 126 63 0 0 0 "PSMB1"
"ENSG00000008130" 69 5 0 3 0 0 69 3 0 0 0 0 69 24 0 0 0 "NADK"
"ENSG00000008394" 135 4 0 3 0 0 135 5 0 2 0 0 135 44 3 0 0 "MGST1"
"ENSG00000008952" 81 7 0 2 0 0 81 3 0 0 0 0 81 20 0 0 0 "SEC62"
"ENSG00000008988" 275 6 0 0 0 0 275 2 0 0 0 0 275 60 0 0 0 "SNORD54"
"ENSG00000009307" 288 8 2 2 0 0 288 10 0 3 0 0 288 71 0 0 3 "CSDE1"
"ENSG00000010244" 114 4 0 0 0 0 114 3 0 2 0 0 114 33 0 0 0 "ZNF207"
"ENSG00000010256" 82 0 0 0 0 0 82 5 0 0 2 0 82 39 0 0 0 "UQCRC1"
"ENSG00000010270" 69 6 0 3 0 0 69 0 0 0 0 0 69 28 0 0 0 "STARD3NL"
"ENSG00000010278" 79 2 0 0 0 0 79 2 0 0 0 0 79 45 2 0 0 "CD9"
"ENSG00000010292" 175 8 0 2 0 0 175 6 0 3 0 0 175 47 0 0 0 "NCAPD2"
"ENSG00000011304" 112 2 0 0 0 0 112 2 0 0 0 0 112 31 0 0 0 "PTBP1"
"ENSG00000011426" 148 5 0 2 0 0 148 6 2 0 0 0 148 46 0 0 0 "ANLN"
"ENSG00000013275" 86 3 0 0 0 0 86 2 0 0 0 0 86 26 0 0 0 "PSMC4"
"ENSG00000013306" 68 2 0 0 0 0 68 0 0 0 0 0 68 28 2 0 0 "SLC25A39"
"ENSG00000014641" 101 0 0 0 0 0 101 4 3 0 0 0 101 42 0 0 2 "MDH1"
"ENSG00000015479" 215 4 0 0 0 0 215 3 2 0 0 0 215 28 0 0 4 "MATR3"
"ENSG00000017260" 65 3 0 0 0 0 65 4 0 0 0 0 65 24 0 0 0 "ATP2C1"
"ENSG00000018510" 158 5 2 0 0 0 158 10 2 2 0 0 158 65 3 0 0 "AGPS"
"ENSG00000021355" 53 0 0 0 0 0 53 2 0 0 0 0 53 29 0 0 0 "SERPINB1"
"ENSG00000021826" 353 10 0 4 0 0 353 16 4 2 3 0 353 57 0 0 3 "CPS1"
"ENSG00000023287" 83 0 0 0 0 0 83 8 0 5 0 0 83 38 0 0 0 "RB1CC1"
"ENSG00000023734" 134 3 0 0 0 0 134 5 0 2 0 0 134 48 3 0 0 "STRAP"
"ENSG00000023909" 118 6 0 2 0 0 118 6 2 0 0 0 118 41 0 0 3 "GCLM"
"ENSG00000026025" 279 25 3 9 0 0 279 14 0 6 0 0 279 104 4 0 0 "VIM"
"ENSG00000026508" 144 3 0 0 0 0 144 8 0 5 0 0 144 57 0 2 2 "CD44"
"ENSG00000029363" 177 4 0 2 0 0 177 5 3 0 0 0 177 51 0 0 0 "BCLAF1"
"ENSG00000029364" 70 0 0 0 0 0 70 2 0 0 0 0 70 31 0 0 3 "SLC39A9"
"ENSG00000029993" 56 0 0 0 0 0 56 2 2 0 0 0 56 32 0 0 2 "HMGB3"
"ENSG00000030066" 149 5 0 0 0 0 149 5 0 0 0 0 149 25 0 0 0 "NUP160"
"ENSG00000031698" 158 3 0 0 0 0 158 9 0 0 0 0 158 50 0 0 0 "SARS"
"ENSG00000033178" 116 0 0 0 0 0 116 2 0 0 0 0 116 48 0 0 0 "UBA6"
"ENSG00000034510" 256 7 0 0 0 0 256 5 0 0 0 0 256 56 0 0 0 "TMSB10"
"ENSG00000034713" 94 4 0 0 0 0 94 9 0 3 0 0 94 46 0 0 0 "GABARAPL2"
"ENSG00000036257" 65 5 0 0 0 0 65 2 0 2 0 0 65 28 0 0 2 "CUL3"
"ENSG00000037241" 95 3 0 0 0 0 95 5 0 2 0 0 95 44 0 0 0 "RPL26L1"
"ENSG00000039319" 78 7 0 2 0 0 78 6 0 3 0 0 78 21 0 0 0 "ZFYVE16"
"ENSG00000039560" 98 4 0 0 0 0 98 2 0 0 0 0 98 30 0 0 0 "RAI14"
"ENSG00000041357" 129 9 0 0 2 0 129 5 0 0 0 0 129 40 0 0 2 "PSMA4"
"ENSG00000042753" 68 0 0 0 0 0 68 2 0 0 0 0 68 36 0 0 2 "AP2S1"
"ENSG00000043093" 101 3 0 0 0 0 101 4 2 0 0 0 101 56 0 0 3 "DCUN1D1"
"ENSG00000044115" 212 6 0 0 2 0 212 9 2 2 0 0 212 69 2 0 7 "CTNNA1"
"ENSG00000049245" 76 2 0 0 0 0 76 3 0 0 0 0 76 31 0 0 0 "VAMP3"
"ENSG00000049449" 87 0 0 0 0 0 87 5 0 2 0 0 87 34 0 0 0 "RCN1"
"ENSG00000049656" 164 2 0 0 0 0 164 3 0 0 0 0 164 69 4 2 2 "CLPTM1L"
"ENSG00000052802" 104 8 0 4 0 2 104 6 0 0 0 0 104 17 0 0 0 "MSMO1"
"ENSG00000053372" 68 3 0 2 0 0 68 4 0 0 0 0 68 27 2 0 0 "MRTO4"
"ENSG00000053501" 64 0 0 0 0 0 64 0 0 0 0 0 64 35 0 0 0 "USE1"
"ENSG00000055044" 142 8 0 0 2 0 142 12 0 4 0 0 142 36 0 0 0 "NOP58"
"ENSG00000055211" 45 0 0 0 0 0 45 3 0 2 0 0 45 28 0 0 0 "GINM1"
"ENSG00000057608" 146 6 0 0 0 0 146 4 0 0 0 0 146 29 0 0 0 "GDI2"
"ENSG00000058804" 94 2 0 0 0 0 94 5 2 0 0 0 94 32 0 0 0 "NDC1"
"ENSG00000059573" 82 2 0 0 0 0 82 2 0 0 0 0 82 32 0 0 0 "ALDH18A1"
"ENSG00000060138" 99 2 0 0 0 0 99 5 0 0 0 0 99 38 5 2 0 "YBX3"
"ENSG00000060688" 97 0 0 0 0 0 97 0 0 0 0 0 97 55 0 0 0 "SNRNP40"
"ENSG00000061676" 154 8 0 2 2 0 154 8 0 4 0 0 154 35 0 0 0 "NCKAP1"
"ENSG00000061794" 78 6 0 0 0 0 78 3 0 0 0 0 78 33 0 0 0 "MRPS35"
"ENSG00000062485" 116 0 0 0 0 0 116 5 0 2 0 0 116 39 0 0 0 "CS"
"ENSG00000062716" 389 2 0 0 0 0 389 0 0 0 0 0 389 31 0 0 0 "VMP1"
"ENSG00000063046" 197 4 0 0 0 0 197 8 0 3 0 0 197 38 0 0 4 "EIF4B"
"ENSG00000063177" 227 7 0 0 0 0 227 5 0 0 0 0 227 93 3 0 0 "RPL18"
"ENSG00000064042" 206 6 0 4 0 0 206 12 0 5 0 0 206 56 0 0 2 "LIMCH1"
"ENSG00000064102" 102 7 2 2 0 0 102 4 0 0 0 0 102 25 0 0 0 "ASUN"
"ENSG00000065135" 95 0 0 0 0 0 95 4 0 0 0 0 95 38 2 0 0 "GNAI3"
"ENSG00000065150" 243 7 0 2 0 0 243 8 0 2 0 0 243 88 0 3 2 "IPO5"
"ENSG00000065183" 78 5 2 0 0 0 78 0 0 0 0 0 78 26 0 0 0 "WDR3"
"ENSG00000065427" 127 2 0 0 0 0 127 6 0 2 0 0 127 46 0 0 0 "KARS"
"ENSG00000065518" 78 0 0 0 0 0 78 2 0 0 0 0 78 45 0 0 0 "NDUFB4"
"ENSG00000065613" 76 6 0 2 0 0 76 2 0 0 0 0 76 22 0 0 2 "SLK"
"ENSG00000065809" 84 4 0 0 0 0 84 3 0 2 0 0 84 23 0 0 0 "FAM107B"
"ENSG00000065911" 73 4 0 2 0 0 73 2 0 0 0 0 73 27 0 0 0 "MTHFD2"
"ENSG00000065978" 281 5 0 0 0 0 281 7 0 3 0 0 281 73 2 4 0 "YBX1"
"ENSG00000066044" 98 3 0 2 0 0 98 3 0 0 0 0 98 53 3 0 0 "ELAVL1"
"ENSG00000066279" 155 9 0 6 0 0 155 5 0 0 0 0 155 20 0 0 2 "ASPM"
"ENSG00000066697" 66 4 2 0 0 0 66 5 0 0 0 0 66 33 0 0 0 "MSANTD3"
"ENSG00000066855" 54 2 0 0 0 0 54 2 0 0 0 0 54 29 3 0 0 "MTFR1"
"ENSG00000067064" 60 6 2 0 2 0 60 3 0 0 0 0 60 21 0 0 0 "IDI1"
"ENSG00000067066" 62 3 0 0 0 0 62 3 0 0 0 0 62 26 0 0 0 "SP100"
"ENSG00000067182" 126 0 0 0 0 0 126 2 0 0 0 0 126 58 0 0 0 "TNFRSF1A"
"ENSG00000067225" 599 4 0 0 0 0 599 4 0 0 0 2 599 89 0 2 2 "PKM"
"ENSG00000067334" 115 9 0 4 0 0 115 7 4 0 0 0 115 17 2 0 0 "DNTTIP2"
"ENSG00000067560" 192 2 0 0 0 0 192 3 0 0 0 0 192 80 0 0 9 "RHOA"
"ENSG00000068697" 88 0 0 0 0 0 88 3 0 0 2 0 88 41 0 0 2 "LAPTM4A"
