"V1" "polyA<15" "UU<15" "U<15" "U>3<15" "polyA-NoU<15" "polyA<25" "UU<25" "U<25" "U>3<25" "polyA-NoU<25" "exp" "polyA>25" "UU>25" "U>25" "U>3>25" "polyA-NoU>25" "symbol"
"ENSG00000000003" 71 0 0 0 0 25 0 0 0 0 873 73 5 4 0 0 "TSPAN6"
"ENSG00000000419" 281 17 8 0 3 66 4 5 5 2 1564 76 5 0 0 6 "DPM1"
"ENSG00000000460" 29 0 0 0 2 6 0 0 0 3 603 12 3 0 0 0 "C1orf112"
"ENSG00000000971" 114 0 4 0 12 106 0 0 0 0 2191 49 5 0 0 4 "CFH"
"ENSG00000001036" 128 3 14 0 4 25 0 4 0 0 1534 119 10 4 2 3 "FUCA2"
"ENSG00000001084" 140 5 0 0 18 33 4 0 0 0 1242 64 5 0 0 7 "GCLC"
"ENSG00000001167" 20 0 3 0 3 11 0 0 0 0 284 14 0 0 0 0 "NFYA"
"ENSG00000001461" 15 0 0 0 0 7 0 0 0 0 317 12 0 0 0 0 "NIPAL3"
"ENSG00000001497" 18 0 0 0 0 29 0 0 0 6 786 70 3 0 2 2 "LAS1L"
"ENSG00000001629" 66 3 0 0 13 150 2 6 2 10 1848 73 0 0 0 5 "ANKIB1"
"ENSG00000001631" 72 0 0 0 5 37 0 0 0 0 929 25 0 4 0 0 "KRIT1"
"ENSG00000002549" 67 0 0 0 0 58 0 4 0 2 975 77 5 0 0 0 "LAP3"
"ENSG00000002834" 55 3 0 0 19 3 0 0 0 0 873 5 0 0 0 0 "LASP1"
"ENSG00000003056" 21 0 0 0 0 67 0 0 0 14 1017 20 0 0 0 0 "M6PR"
"ENSG00000003096" 122 5 0 0 26 58 0 3 2 2 1239 101 2 9 2 2 "KLHL13"
"ENSG00000003393" 24 0 0 0 0 11 4 0 0 0 427 20 0 0 0 0 "ALS2"
"ENSG00000003402" 51 0 0 0 4 12 0 2 0 0 451 17 0 0 0 3 "CFLAR"
"ENSG00000003436" 426 6 9 2 15 207 6 13 9 15 5195 167 5 3 0 17 "TFPI"
"ENSG00000003509" 35 0 0 0 7 21 0 4 0 2 301 17 0 3 0 0 "NDUFAF7"
"ENSG00000003756" 91 6 6 2 9 32 0 3 0 4 1238 44 2 11 3 2 "RBM5"
"ENSG00000003989" 79 0 2 0 4 56 5 4 0 4 1110 36 3 0 0 0 "SLC7A2"
"ENSG00000004142" 43 0 0 0 10 31 4 2 0 0 1309 79 6 6 6 0 "POLDIP2"
"ENSG00000004455" 170 5 0 0 25 63 2 5 6 0 2421 174 5 4 0 2 "AK2"
"ENSG00000004478" 77 0 0 0 34 60 4 12 3 2 2141 25 2 0 0 0 "FKBP4"
"ENSG00000004487" 247 0 2 0 20 48 0 8 5 0 2302 89 4 4 5 2 "KDM1A"
"ENSG00000004534" 54 0 0 0 2 38 0 5 0 9 632 40 2 6 3 0 "RBM6"
"ENSG00000004700" 206 8 0 0 13 89 0 0 0 0 1642 52 2 6 0 0 "RECQL"
"ENSG00000004766" 150 0 4 0 9 54 2 0 0 2 1152 16 0 2 0 0 "CCDC132"
"ENSG00000004779" 138 15 0 0 0 184 7 2 5 123 2194 659 43 28 18 7 "NDUFAB1"
"ENSG00000004799" 146 5 8 0 35 88 2 6 10 0 1618 39 0 3 0 5 "PDK4"
"ENSG00000004864" 49 0 0 0 2 63 0 6 0 8 1270 66 8 5 0 0 "SLC25A13"
"ENSG00000004866" 24 0 0 0 0 5 0 0 0 0 428 32 0 0 0 0 "ST7"
"ENSG00000004897" 308 0 5 2 40 138 6 20 7 3 2824 110 7 15 2 14 "CDC27"
"ENSG00000004961" 79 0 0 0 0 24 3 6 0 0 689 39 0 0 0 0 "HCCS"
"ENSG00000005020" 12 0 3 0 0 15 0 3 0 0 307 12 0 0 0 2 "SKAP2"
"ENSG00000005022" 560 61 12 0 2 117 23 0 0 0 3790 731 47 36 17 10 "SLC25A5"
"ENSG00000005059" 40 0 0 0 0 22 6 0 0 2 489 40 0 0 0 0 "CCDC109B"
"ENSG00000005075" 57 0 0 0 20 5 0 0 0 0 296 26 0 0 0 0 "POLR2J"
"ENSG00000005100" 49 0 0 3 0 15 0 2 0 0 707 23 4 0 0 0 "DHX33"
"ENSG00000005156" 17 0 0 0 0 6 0 0 0 0 364 14 0 0 0 0 "LIG3"
"ENSG00000005175" 173 2 0 0 19 93 0 0 0 14 998 87 14 9 2 7 "RPAP3"
"ENSG00000005189" 30 0 0 0 7 3 0 0 0 0 258 9 0 5 0 0 "LOC81691"
"ENSG00000005194" 21 0 0 0 2 9 0 0 0 0 700 41 0 3 0 0 "CIAPIN1"
"ENSG00000005302" 20 0 0 0 4 17 2 0 0 4 397 8 2 0 0 0 "MSL3"
"ENSG00000005339" 22 0 3 0 0 19 3 3 6 0 438 30 0 0 0 4 "CREBBP"
"ENSG00000005436" 86 0 6 0 8 34 0 0 4 0 628 53 0 6 0 0 "GCFC2"
"ENSG00000005469" 20 2 0 0 6 51 0 0 0 0 285 2 0 0 0 0 "CROT"
"ENSG00000005483" 103 4 0 0 22 49 0 0 0 9 832 33 0 0 0 3 "KMT2E"
"ENSG00000005700" 291 2 9 0 24 95 5 2 0 9 1970 120 4 9 0 0 "IBTK"
"ENSG00000005801" 68 7 4 0 0 53 2 0 0 0 578 14 4 0 0 2 "ZNF195"
"ENSG00000005810" 131 2 0 0 7 98 7 5 2 2 2068 37 0 2 0 0 "MYCBP2"
"ENSG00000005812" 256 3 4 0 15 90 4 4 5 8 2218 121 8 9 0 2 "FBXL3"
"ENSG00000005884" 14 0 0 0 2 7 0 0 0 0 839 11 0 0 0 0 "ITGA3"
"ENSG00000005889" 319 11 2 0 48 186 13 2 0 8 3641 88 17 0 2 4 "ZFX"
"ENSG00000005893" 396 4 4 0 60 106 2 2 0 16 2995 113 5 2 0 3 "LAMP2"
"ENSG00000005955" 49 0 0 0 4 83 3 3 0 24 921 65 0 4 0 5 "GGNBP2"
"ENSG00000006007" 77 6 0 0 0 4 0 0 0 0 1128 75 5 8 2 14 "GDE1"
"ENSG00000006015" 13 0 0 0 0 4 0 0 0 0 111 28 2 0 0 0 "C19orf60"
"ENSG00000006114" 18 0 0 0 0 16 0 0 0 0 365 6 0 0 0 3 "SYNRG"
"ENSG00000006125" 106 13 0 0 11 104 2 0 0 27 2603 57 4 6 0 3 "AP2B1"
"ENSG00000006194" 22 0 4 0 0 23 0 0 0 0 468 5 0 0 0 0 "ZNF263"
"ENSG00000006282" 10 0 0 0 0 5 0 0 0 0 401 32 0 0 0 5 "SPATA20"
"ENSG00000006327" 17 0 0 0 0 6 0 0 3 0 621 22 0 0 0 0 "TNFRSF12A"
"ENSG00000006451" 31 0 5 0 2 18 2 4 0 3 451 47 6 0 0 0 "RALA"
"ENSG00000006453" 34 0 3 0 3 13 0 0 0 4 344 12 0 0 0 0 "BAIAP2L1"
"ENSG00000006468" 16 0 0 0 0 13 0 0 0 7 258 17 3 0 0 5 "ETV1"
"ENSG00000006530" 36 0 2 0 2 11 0 0 3 0 289 8 0 0 0 0 "AGK"
"ENSG00000006534" 44 0 0 0 0 11 0 0 0 0 810 50 4 2 4 0 "ALDH3B1"
"ENSG00000006576" 95 9 6 0 7 56 0 3 0 2 945 28 0 0 0 0 "PHTF2"
"ENSG00000006607" 36 0 2 0 6 23 4 0 0 0 665 9 0 3 0 0 "FARP2"
"ENSG00000006625" 102 0 2 0 6 37 0 4 0 5 937 115 3 3 4 3 "GGCT"
"ENSG00000006634" 159 3 4 0 21 156 4 4 0 0 1096 82 3 2 2 3 "DBF4"
"ENSG00000006652" 204 0 0 0 16 89 0 14 3 12 2993 121 2 8 7 8 "IFRD1"
"ENSG00000006695" 47 0 0 0 2 11 0 2 0 0 412 43 0 2 15 2 "COX10"
"ENSG00000006704" 16 0 0 0 0 54 0 4 6 11 756 56 0 0 2 4 "GTF2IRD1"
"ENSG00000006712" 17 0 3 0 0 15 6 0 0 0 333 16 0 2 0 0 "PAF1"
"ENSG00000006715" 117 3 0 0 10 55 5 0 0 0 1225 29 3 0 0 0 "VPS41"
"ENSG00000006744" 20 0 0 0 0 26 0 3 8 0 1087 34 0 2 0 0 "ELAC2"
"ENSG00000006757" 13 0 0 0 0 6 0 0 0 0 146 18 0 2 0 0 "PNPLA4"
"ENSG00000006831" 52 6 0 0 6 30 0 2 0 4 762 23 0 0 4 3 "ADIPOR2"
"ENSG00000007038" 17 0 0 0 0 7 0 0 0 0 740 30 0 0 0 0 "PRSS21"
"ENSG00000007168" 223 2 7 0 10 126 0 17 5 2 2544 118 2 0 3 0 "PAFAH1B1"
"ENSG00000007202" 63 0 0 0 0 108 0 0 0 26 3188 89 3 0 0 17 "KIAA0100"
"ENSG00000007341" 31 0 2 0 0 22 0 0 0 3 397 18 0 0 0 0 "ST7L"
"ENSG00000007372" 50 0 11 0 8 38 0 4 2 4 428 15 2 0 0 0 "PAX6"
"ENSG00000007392" 69 0 0 0 0 27 4 0 0 5 569 26 0 0 0 0 "LUC7L"
"ENSG00000007923" 83 0 0 0 12 0 0 0 0 0 552 18 0 7 0 0 "DNAJC11"
"ENSG00000007944" 62 2 0 0 0 11 0 2 2 2 491 22 4 0 0 0 "MYLIP"
"ENSG00000008018" 191 0 3 0 10 51 0 0 0 0 2164 390 18 19 13 0 "PSMB1"
"ENSG00000008083" 14 0 0 0 2 3 0 0 0 0 340 19 4 3 0 0 "JARID2"
"ENSG00000008130" 15 0 0 0 0 63 0 0 11 0 684 71 0 9 0 5 "NADK"
"ENSG00000008256" 30 0 4 0 0 10 0 0 3 0 445 9 2 0 0 0 "CYTH3"
"ENSG00000008277" 43 0 0 0 8 22 6 3 4 0 431 16 0 0 0 3 "ADAM22"
"ENSG00000008282" 106 6 3 0 11 21 0 0 0 0 856 43 5 9 0 0 "SYPL1"
"ENSG00000008283" 3 0 0 0 0 15 0 0 0 0 332 15 0 0 0 0 "CYB561"
"ENSG00000008294" 168 2 0 0 22 93 2 11 5 4 2223 61 0 3 0 7 "SPAG9"
"ENSG00000008324" 31 0 0 0 2 59 11 5 0 0 485 71 7 3 0 6 "SS18L2"
"ENSG00000008394" 231 8 33 0 0 85 15 0 0 0 2931 241 10 9 6 12 "MGST1"
"ENSG00000008405" 24 0 0 0 0 15 0 0 0 0 516 17 0 0 0 0 "CRY1"
"ENSG00000008513" 42 0 0 0 0 8 0 0 0 0 581 30 0 0 0 2 "ST3GAL1"
"ENSG00000008869" 57 0 2 3 2 40 0 12 0 2 707 26 0 2 0 0 "HEATR5B"
"ENSG00000008952" 215 8 0 0 19 188 6 2 0 30 2541 218 9 8 8 13 "SEC62"
"ENSG00000008988" 894 0 0 0 11 230 0 0 5 0 10610 1615 76 30 6 32 "SNORD54"
"ENSG00000009307" 954 16 4 2 136 580 26 40 8 12 13580 1188 74 85 17 94 "CSDE1"
"ENSG00000009335" 134 0 0 0 3 83 8 5 0 2 1818 84 2 0 5 3 "UBE3C"
"ENSG00000009413" 116 0 0 0 8 78 4 4 0 9 1151 53 0 0 0 4 "REV3L"
"ENSG00000009780" 20 0 0 0 0 7 0 0 0 0 203 4 0 0 0 0 "FAM76A"
"ENSG00000009830" 23 0 5 0 0 15 0 0 0 0 282 0 0 0 0 0 "POMT2"
"ENSG00000009844" 84 0 0 0 2 37 0 0 3 3 1059 73 2 5 0 0 "VTA1"
"ENSG00000009954" 190 9 3 0 20 100 5 5 0 16 2827 142 13 9 0 27 "BAZ1B"
"ENSG00000010017" 54 3 3 5 2 32 2 0 0 0 683 25 2 2 0 0 "RANBP9"
"ENSG00000010072" 41 0 0 0 6 44 0 3 0 0 632 34 10 0 0 0 "SPRTN"
"ENSG00000010165" 17 0 0 0 2 7 0 0 2 0 422 24 3 0 0 3 "METTL13"
"ENSG00000010219" 25 2 0 0 0 8 0 0 0 2 112 10 0 0 0 0 "DYRK4"
"ENSG00000010244" 244 13 0 0 11 110 6 6 0 2 3623 149 11 18 2 4 "ZNF207"
"ENSG00000010256" 47 4 0 0 0 17 0 0 0 0 1852 81 4 2 7 2 "UQCRC1"
"ENSG00000010270" 89 0 0 0 5 9 0 0 0 2 1014 95 8 8 4 2 "STARD3NL"
"ENSG00000010278" 35 5 3 0 0 84 2 9 0 3 1020 203 8 3 8 3 "CD9"
"ENSG00000010292" 154 7 0 0 13 67 6 6 0 0 3368 163 7 5 0 4 "NCAPD2"
"ENSG00000010322" 17 0 0 0 0 11 0 0 0 9 347 8 0 0 0 0 "NISCH"
"ENSG00000010404" 36 0 0 0 5 9 0 0 0 0 340 14 0 0 0 0 "IDS"
"ENSG00000010539" 23 0 0 0 0 6 3 0 0 0 253 8 0 0 0 0 "ZNF200"
"ENSG00000010810" 22 0 5 0 0 49 4 5 0 4 350 32 0 0 0 8 "FYN"
"ENSG00000010818" 29 0 0 0 0 18 0 0 0 3 262 15 0 4 0 5 "HIVEP2"
"ENSG00000010932" 7 0 0 0 0 27 0 0 0 0 274 110 5 2 0 0 "FMO1"
"ENSG00000011007" 36 5 0 0 4 36 0 0 0 3 732 30 0 0 0 5 "TCEB3"
"ENSG00000011028" 2 0 0 0 0 2 0 0 0 0 505 28 0 0 0 2 "MRC2"
"ENSG00000011114" 57 5 0 0 6 38 4 5 0 0 939 19 6 0 0 0 "BTBD7"
"ENSG00000011198" 56 2 0 0 0 74 0 3 0 3 817 69 4 2 4 0 "ABHD5"
"ENSG00000011201" 71 0 0 2 0 17 0 0 0 2 645 36 2 0 0 2 "KAL1"
"ENSG00000011258" 66 5 0 0 7 30 0 2 0 0 515 7 0 4 0 0 "MBTD1"
"ENSG00000011260" 97 0 0 0 21 46 7 6 2 0 1053 75 0 2 0 11 "UTP18"
"ENSG00000011275" 80 0 4 0 38 58 5 0 0 0 829 19 2 0 2 0 "RNF216"
"ENSG00000011295" 72 0 4 0 0 48 0 0 0 14 917 38 4 0 0 0 "TTC19"
"ENSG00000011304" 41 0 0 0 0 37 0 5 3 0 2274 97 7 4 0 6 "PTBP1"
"ENSG00000011376" 34 0 3 0 2 26 4 0 0 0 514 6 0 0 0 0 "LARS2"
"ENSG00000011405" 239 7 6 0 39 136 0 6 0 23 3206 116 2 3 6 5 "PIK3C2A"
"ENSG00000011422" 12 0 0 0 0 23 2 0 0 0 575 37 0 0 0 9 "PLAUR"
