"V1" "counts" "type" "size"
"ENSG00000004779" 213 "exp" "-pA<15"
"ENSG00000005022" 378 "exp" "-pA<15"
"ENSG00000008018" 229 "exp" "-pA<15"
"ENSG00000008394" 285 "exp" "-pA<15"
"ENSG00000008988" 977 "exp" "-pA<15"
"ENSG00000009307" 1321 "exp" "-pA<15"
"ENSG00000011426" 539 "exp" "-pA<15"
"ENSG00000014641" 381 "exp" "-pA<15"
"ENSG00000015479" 773 "exp" "-pA<15"
"ENSG00000018510" 679 "exp" "-pA<15"
"ENSG00000021826" 1434 "exp" "-pA<15"
"ENSG00000023734" 364 "exp" "-pA<15"
"ENSG00000026025" 1082 "exp" "-pA<15"
"ENSG00000029363" 673 "exp" "-pA<15"
"ENSG00000034510" 1301 "exp" "-pA<15"
"ENSG00000041357" 396 "exp" "-pA<15"
"ENSG00000044115" 661 "exp" "-pA<15"
"ENSG00000055044" 363 "exp" "-pA<15"
"ENSG00000056097" 460 "exp" "-pA<15"
"ENSG00000057608" 502 "exp" "-pA<15"
"ENSG00000061676" 620 "exp" "-pA<15"
"ENSG00000062716" 1399 "exp" "-pA<15"
"ENSG00000063177" 388 "exp" "-pA<15"
"ENSG00000064042" 579 "exp" "-pA<15"
"ENSG00000065150" 859 "exp" "-pA<15"
"ENSG00000065978" 691 "exp" "-pA<15"
"ENSG00000066279" 1065 "exp" "-pA<15"
"ENSG00000067225" 1953 "exp" "-pA<15"
"ENSG00000067560" 736 "exp" "-pA<15"
"ENSG00000069275" 868 "exp" "-pA<15"
"ENSG00000071082" 1310 "exp" "-pA<15"
"ENSG00000072210" 419 "exp" "-pA<15"
"ENSG00000072274" 799 "exp" "-pA<15"
"ENSG00000073578" 292 "exp" "-pA<15"
"ENSG00000073712" 572 "exp" "-pA<15"
"ENSG00000074695" 861 "exp" "-pA<15"
"ENSG00000074800" 2153 "exp" "-pA<15"
"ENSG00000075142" 336 "exp" "-pA<15"
"ENSG00000075223" 820 "exp" "-pA<15"
"ENSG00000075415" 614 "exp" "-pA<15"
"ENSG00000075624" 1948 "exp" "-pA<15"
"ENSG00000077147" 524 "exp" "-pA<15"
"ENSG00000079246" 1283 "exp" "-pA<15"
"ENSG00000080824" 1623 "exp" "-pA<15"
"ENSG00000082153" 796 "exp" "-pA<15"
"ENSG00000082898" 777 "exp" "-pA<15"
"ENSG00000083312" 1565 "exp" "-pA<15"
"ENSG00000083845" 413 "exp" "-pA<15"
"ENSG00000083857" 545 "exp" "-pA<15"
"ENSG00000084073" 332 "exp" "-pA<15"
"ENSG00000084207" 282 "exp" "-pA<15"
"ENSG00000085063" 1110 "exp" "-pA<15"
"ENSG00000085231" 236 "exp" "-pA<15"
"ENSG00000086061" 884 "exp" "-pA<15"
"ENSG00000087086" 1835 "exp" "-pA<15"
"ENSG00000087302" 285 "exp" "-pA<15"
"ENSG00000087460" 450 "exp" "-pA<15"
"ENSG00000089009" 946 "exp" "-pA<15"
"ENSG00000089157" 795 "exp" "-pA<15"
"ENSG00000092199" 640 "exp" "-pA<15"
"ENSG00000092621" 154 "exp" "-pA<15"
"ENSG00000092841" 688 "exp" "-pA<15"
"ENSG00000096384" 765 "exp" "-pA<15"
"ENSG00000099194" 542 "exp" "-pA<15"
"ENSG00000099901" 284 "exp" "-pA<15"
"ENSG00000100097" 300 "exp" "-pA<15"
"ENSG00000100129" 427 "exp" "-pA<15"
"ENSG00000100138" 230 "exp" "-pA<15"
"ENSG00000100201" 697 "exp" "-pA<15"
"ENSG00000100567" 223 "exp" "-pA<15"
"ENSG00000100644" 1383 "exp" "-pA<15"
"ENSG00000101132" 156 "exp" "-pA<15"
"ENSG00000101166" 511 "exp" "-pA<15"
"ENSG00000101182" 654 "exp" "-pA<15"
"ENSG00000101558" 407 "exp" "-pA<15"
"ENSG00000101608" 318 "exp" "-pA<15"
"ENSG00000101972" 682 "exp" "-pA<15"
"ENSG00000102024" 1536 "exp" "-pA<15"
"ENSG00000102144" 1042 "exp" "-pA<15"
"ENSG00000102317" 364 "exp" "-pA<15"
"ENSG00000103035" 217 "exp" "-pA<15"
"ENSG00000104408" 754 "exp" "-pA<15"
"ENSG00000104738" 369 "exp" "-pA<15"
"ENSG00000105185" 248 "exp" "-pA<15"
"ENSG00000105193" 430 "exp" "-pA<15"
"ENSG00000105372" 512 "exp" "-pA<15"
"ENSG00000105854" 404 "exp" "-pA<15"
"ENSG00000105976" 576 "exp" "-pA<15"
"ENSG00000106028" 210 "exp" "-pA<15"
"ENSG00000106105" 212 "exp" "-pA<15"
"ENSG00000106153" 228 "exp" "-pA<15"
"ENSG00000106554" 241 "exp" "-pA<15"
"ENSG00000108294" 389 "exp" "-pA<15"
"ENSG00000108298" 1335 "exp" "-pA<15"
"ENSG00000108424" 689 "exp" "-pA<15"
"ENSG00000108518" 488 "exp" "-pA<15"
"ENSG00000108561" 500 "exp" "-pA<15"
"ENSG00000108654" 716 "exp" "-pA<15"
"ENSG00000108953" 740 "exp" "-pA<15"
"ENSG00000109475" 494 "exp" "-pA<15"
"ENSG00000109861" 571 "exp" "-pA<15"
"ENSG00000109971" 2196 "exp" "-pA<15"
"ENSG00000110321" 1396 "exp" "-pA<15"
"ENSG00000110700" 1263 "exp" "-pA<15"
"ENSG00000110955" 788 "exp" "-pA<15"
"ENSG00000111371" 1144 "exp" "-pA<15"
"ENSG00000111639" 252 "exp" "-pA<15"
"ENSG00000111640" 2690 "exp" "-pA<15"
"ENSG00000111669" 508 "exp" "-pA<15"
"ENSG00000111716" 1601 "exp" "-pA<15"
"ENSG00000111843" 334 "exp" "-pA<15"
"ENSG00000112081" 655 "exp" "-pA<15"
"ENSG00000112110" 144 "exp" "-pA<15"
"ENSG00000112245" 1136 "exp" "-pA<15"
"ENSG00000112306" 714 "exp" "-pA<15"
"ENSG00000112695" 329 "exp" "-pA<15"
"ENSG00000112996" 509 "exp" "-pA<15"
"ENSG00000113013" 1099 "exp" "-pA<15"
"ENSG00000113369" 640 "exp" "-pA<15"
"ENSG00000113384" 611 "exp" "-pA<15"
"ENSG00000113387" 1124 "exp" "-pA<15"
"ENSG00000113407" 1607 "exp" "-pA<15"
"ENSG00000113448" 1067 "exp" "-pA<15"
"ENSG00000113460" 579 "exp" "-pA<15"
"ENSG00000113558" 285 "exp" "-pA<15"
"ENSG00000113569" 961 "exp" "-pA<15"
"ENSG00000113580" 582 "exp" "-pA<15"
"ENSG00000114251" 582 "exp" "-pA<15"
"ENSG00000114391" 845 "exp" "-pA<15"
"ENSG00000114686" 386 "exp" "-pA<15"
"ENSG00000114850" 601 "exp" "-pA<15"
"ENSG00000115053" 475 "exp" "-pA<15"
