"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000004779" 213 9 4 3 0 0 213 3 0 0 0 0 213 37 0 0 0 "NDUFAB1"
"ENSG00000005022" 378 12 2 5 0 0 378 7 0 0 0 0 378 42 0 0 0 "SLC25A5"
"ENSG00000008018" 229 4 0 0 0 0 229 4 0 0 0 0 229 28 0 0 0 "PSMB1"
"ENSG00000008394" 285 8 0 2 0 0 285 0 0 0 0 0 285 26 0 0 2 "MGST1"
"ENSG00000008988" 977 23 3 0 0 0 977 14 0 2 0 0 977 106 3 0 0 "SNORD54"
"ENSG00000009307" 1321 27 0 0 2 0 1321 11 0 2 2 0 1321 45 0 0 0 "CSDE1"
"ENSG00000011426" 539 30 4 6 3 0 539 10 0 2 0 0 539 19 0 0 0 "ANLN"
"ENSG00000014641" 381 4 0 0 0 0 381 3 0 0 0 0 381 41 0 0 0 "MDH1"
"ENSG00000015479" 773 14 0 2 0 0 773 2 0 0 0 0 773 14 0 0 0 "MATR3"
"ENSG00000018510" 679 13 2 2 0 0 679 6 0 2 0 0 679 15 0 0 0 "AGPS"
"ENSG00000021826" 1434 20 0 5 2 0 1434 8 0 0 0 0 1434 21 0 0 0 "CPS1"
"ENSG00000023734" 364 13 0 2 0 0 364 6 0 2 0 0 364 34 0 0 0 "STRAP"
"ENSG00000026025" 1082 74 5 18 19 2 1082 53 2 6 2 0 1082 202 2 3 2 "VIM"
"ENSG00000029363" 673 13 0 0 0 0 673 3 0 2 0 0 673 14 0 0 0 "BCLAF1"
"ENSG00000034510" 1301 61 0 0 0 3 1301 24 0 0 0 0 1301 195 5 2 0 "TMSB10"
"ENSG00000041357" 396 20 2 2 0 0 396 4 0 0 0 0 396 19 0 0 0 "PSMA4"
"ENSG00000044115" 661 20 0 0 0 2 661 6 3 0 0 0 661 31 0 0 0 "CTNNA1"
"ENSG00000055044" 363 7 0 0 0 0 363 4 0 0 0 0 363 23 0 0 0 "NOP58"
"ENSG00000056097" 460 14 0 2 0 0 460 2 0 0 0 0 460 14 0 0 2 "ZFR"
"ENSG00000057608" 502 19 0 0 0 0 502 15 3 2 0 0 502 41 2 0 0 "GDI2"
"ENSG00000061676" 620 23 4 0 0 0 620 8 0 2 2 0 620 17 0 0 0 "NCKAP1"
"ENSG00000062716" 1399 20 2 0 0 0 1399 4 0 0 0 0 1399 18 0 0 0 "VMP1"
"ENSG00000063177" 388 6 0 0 0 0 388 5 0 0 0 0 388 40 0 0 0 "RPL18"
"ENSG00000064042" 579 11 0 2 0 2 579 7 0 2 0 0 579 20 0 0 0 "LIMCH1"
"ENSG00000065150" 859 28 0 4 0 0 859 6 0 0 0 0 859 22 0 0 0 "IPO5"
"ENSG00000065978" 691 11 0 0 0 0 691 10 2 0 0 0 691 29 3 4 0 "YBX1"
"ENSG00000066279" 1065 24 2 0 2 0 1065 7 0 0 0 0 1065 17 0 0 0 "ASPM"
"ENSG00000067225" 1953 28 0 0 0 0 1953 8 0 0 0 0 1953 64 3 3 3 "PKM"
"ENSG00000067560" 736 13 0 0 0 0 736 7 0 0 0 0 736 29 0 0 2 "RHOA"
"ENSG00000069275" 868 12 0 0 0 0 868 6 0 0 0 0 868 28 0 0 0 "NUCKS1"
"ENSG00000071082" 1310 37 11 0 4 0 1310 28 5 0 0 0 1310 278 2 0 2 "RPL31"
"ENSG00000072210" 419 9 0 3 0 0 419 8 0 0 0 0 419 21 0 0 0 "ALDH3A2"
"ENSG00000072274" 799 16 0 2 0 0 799 6 0 0 0 0 799 24 0 0 0 "TFRC"
"ENSG00000073578" 292 10 0 0 0 0 292 0 0 0 0 0 292 20 0 0 0 "SDHA"
