"V1" "counts" "type" "size"
"ENSG00000000003" 487 "exp" "-pA<15"
"ENSG00000000419" 729 "exp" "-pA<15"
"ENSG00000001036" 1055 "exp" "-pA<15"
"ENSG00000001084" 796 "exp" "-pA<15"
"ENSG00000001497" 740 "exp" "-pA<15"
"ENSG00000001629" 1405 "exp" "-pA<15"
"ENSG00000002549" 748 "exp" "-pA<15"
"ENSG00000003096" 937 "exp" "-pA<15"
"ENSG00000003436" 3275 "exp" "-pA<15"
"ENSG00000004142" 1209 "exp" "-pA<15"
"ENSG00000004455" 1932 "exp" "-pA<15"
"ENSG00000004478" 2379 "exp" "-pA<15"
"ENSG00000004487" 1833 "exp" "-pA<15"
"ENSG00000004779" 1121 "exp" "-pA<15"
"ENSG00000004799" 955 "exp" "-pA<15"
"ENSG00000004864" 902 "exp" "-pA<15"
"ENSG00000004897" 1622 "exp" "-pA<15"
"ENSG00000005022" 1745 "exp" "-pA<15"
"ENSG00000005059" 442 "exp" "-pA<15"
"ENSG00000005194" 643 "exp" "-pA<15"
"ENSG00000005700" 1011 "exp" "-pA<15"
"ENSG00000005810" 1658 "exp" "-pA<15"
"ENSG00000005812" 1263 "exp" "-pA<15"
"ENSG00000005884" 1283 "exp" "-pA<15"
"ENSG00000005889" 2097 "exp" "-pA<15"
"ENSG00000005893" 2186 "exp" "-pA<15"
"ENSG00000005955" 516 "exp" "-pA<15"
"ENSG00000006534" 1020 "exp" "-pA<15"
"ENSG00000006652" 1853 "exp" "-pA<15"
"ENSG00000007038" 1302 "exp" "-pA<15"
"ENSG00000007168" 1761 "exp" "-pA<15"
"ENSG00000007202" 3247 "exp" "-pA<15"
"ENSG00000008018" 1387 "exp" "-pA<15"
"ENSG00000008294" 1648 "exp" "-pA<15"
"ENSG00000008394" 1760 "exp" "-pA<15"
"ENSG00000008952" 1344 "exp" "-pA<15"
"ENSG00000008988" 4373 "exp" "-pA<15"
"ENSG00000009307" 8727 "exp" "-pA<15"
"ENSG00000009335" 1563 "exp" "-pA<15"
"ENSG00000009954" 2460 "exp" "-pA<15"
"ENSG00000010219" 127 "exp" "-pA<15"
"ENSG00000010244" 3056 "exp" "-pA<15"
"ENSG00000010256" 2693 "exp" "-pA<15"
"ENSG00000010270" 637 "exp" "-pA<15"
"ENSG00000010278" 422 "exp" "-pA<15"
"ENSG00000010292" 3521 "exp" "-pA<15"
"ENSG00000011007" 780 "exp" "-pA<15"
"ENSG00000011198" 615 "exp" "-pA<15"
"ENSG00000011304" 3048 "exp" "-pA<15"
"ENSG00000011405" 2442 "exp" "-pA<15"
"ENSG00000011422" 919 "exp" "-pA<15"
"ENSG00000011426" 4035 "exp" "-pA<15"
