"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "U>3-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000000003" 487 2 0 0 0 0 487 0 0 0 0 0 487 35 0 0 0 0 "TSPAN6"
"ENSG00000000419" 729 6 0 0 0 0 729 13 0 0 0 0 729 30 0 0 0 0 "DPM1"
"ENSG00000001036" 1055 18 0 0 0 0 1055 3 0 0 0 0 1055 42 0 0 0 0 "FUCA2"
"ENSG00000001084" 796 16 0 4 0 0 796 11 0 0 0 0 796 21 0 0 0 0 "GCLC"
"ENSG00000001497" 740 12 0 0 0 0 740 6 0 0 0 0 740 47 3 0 0 0 "LAS1L"
"ENSG00000001629" 1405 13 0 0 2 0 1405 5 0 0 0 0 1405 22 0 0 0 0 "ANKIB1"
"ENSG00000002549" 748 6 0 0 0 0 748 10 0 0 0 0 748 41 0 0 0 0 "LAP3"
"ENSG00000003096" 937 13 0 2 2 0 937 7 0 2 0 0 937 57 0 0 0 0 "KLHL13"
"ENSG00000003436" 3275 20 0 0 0 0 3275 7 0 0 0 0 3275 82 0 0 0 2 "TFPI"
"ENSG00000004142" 1209 9 0 0 0 0 1209 9 0 0 2 0 1209 46 0 2 0 2 "POLDIP2"
"ENSG00000004455" 1932 22 2 0 0 0 1932 8 0 2 0 0 1932 67 0 2 0 0 "AK2"
"ENSG00000004478" 2379 21 0 3 0 0 2379 8 0 0 0 0 2379 42 0 0 0 2 "FKBP4"
"ENSG00000004487" 1833 19 0 3 0 0 1833 12 0 0 0 0 1833 27 0 0 0 0 "KDM1A"
"ENSG00000004779" 1121 7 0 0 0 0 1121 3 0 0 0 0 1121 156 2 0 0 4 "NDUFAB1"
"ENSG00000004799" 955 11 0 0 0 0 955 5 2 0 0 0 955 16 0 0 0 0 "PDK4"
"ENSG00000004864" 902 14 0 0 0 0 902 5 0 0 0 0 902 21 4 2 0 0 "SLC25A13"
"ENSG00000004897" 1622 19 2 2 0 0 1622 4 0 2 0 0 1622 12 0 0 0 0 "CDC27"
"ENSG00000005022" 1745 23 2 2 0 2 1745 12 3 2 0 0 1745 151 5 3 0 2 "SLC25A5"
"ENSG00000005059" 442 5 0 0 0 0 442 4 0 0 0 0 442 23 0 0 0 0 "CCDC109B"
"ENSG00000005194" 643 7 0 0 0 0 643 8 2 3 0 0 643 34 0 0 0 0 "CIAPIN1"
"ENSG00000005700" 1011 15 0 2 0 0 1011 8 0 3 0 0 1011 16 0 0 0 0 "IBTK"
"ENSG00000005810" 1658 17 0 0 0 2 1658 3 0 0 0 0 1658 21 0 0 0 0 "MYCBP2"
"ENSG00000005812" 1263 18 2 0 0 0 1263 2 0 0 0 0 1263 25 0 0 0 0 "FBXL3"
"ENSG00000005884" 1283 8 0 0 2 0 1283 8 0 3 0 0 1283 14 0 0 0 0 "ITGA3"
"ENSG00000005889" 2097 19 0 0 0 0 2097 7 0 0 0 0 2097 12 0 0 0 0 "ZFX"
"ENSG00000005893" 2186 21 0 0 0 0 2186 6 0 0 0 0 2186 40 0 0 0 3 "LAMP2"
"ENSG00000005955" 516 11 0 2 0 0 516 3 0 0 0 0 516 19 0 0 0 0 "GGNBP2"
"ENSG00000006534" 1020 5 0 0 0 0 1020 5 0 0 0 0 1020 37 0 0 0 0 "ALDH3B1"
"ENSG00000006652" 1853 10 0 0 0 0 1853 8 3 0 0 0 1853 84 0 0 0 0 "IFRD1"
"ENSG00000007038" 1302 5 0 0 0 0 1302 5 0 0 0 0 1302 51 0 0 0 0 "PRSS21"
"ENSG00000007168" 1761 21 3 4 0 2 1761 11 0 2 0 0 1761 46 0 0 0 0 "PAFAH1B1"
"ENSG00000007202" 3247 30 0 0 0 0 3247 8 0 0 0 0 3247 21 0 0 0 0 "KIAA0100"
"ENSG00000008018" 1387 21 0 0 0 0 1387 17 4 2 2 0 1387 135 2 3 0 0 "PSMB1"
"ENSG00000008294" 1648 19 0 0 0 0 1648 5 2 0 0 0 1648 25 0 0 0 0 "SPAG9"
"ENSG00000008394" 1760 10 0 0 0 0 1760 10 4 0 0 0 1760 116 0 0 0 0 "MGST1"
"ENSG00000008952" 1344 13 0 0 0 0 1344 5 2 0 0 0 1344 33 0 0 0 0 "SEC62"
"ENSG00000008988" 4373 42 0 0 0 2 4373 42 4 0 0 0 4373 625 24 2 0 5 "SNORD54"
"ENSG00000009307" 8727 70 2 0 0 2 8727 30 6 3 0 2 8727 140 7 3 0 4 "CSDE1"
"ENSG00000009335" 1563 18 0 3 0 0 1563 5 0 2 0 0 1563 28 2 0 0 0 "UBE3C"
"ENSG00000009954" 2460 19 0 0 0 0 2460 5 0 4 0 0 2460 36 0 0 0 0 "BAZ1B"
"ENSG00000010219" 127 4 4 0 0 0 127 0 0 0 0 0 127 26 2 0 0 0 "DYRK4"
"ENSG00000010244" 3056 27 5 5 0 0 3056 19 4 4 0 0 3056 68 0 0 0 0 "ZNF207"
