"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000004779" 213 8 3 3 0 0 213 3 0 0 0 0 213 36 0 0 0 "NDUFAB1"
"ENSG00000005022" 333 10 2 3 0 0 333 7 0 0 0 0 333 30 0 0 0 "SLC25A5"
"ENSG00000008018" 229 4 0 0 0 0 229 4 0 0 0 0 229 28 0 0 0 "PSMB1"
"ENSG00000008394" 285 7 0 0 0 0 285 0 0 0 0 0 285 25 0 0 0 "MGST1"
"ENSG00000008988" 572 10 2 0 0 0 572 6 0 2 0 0 572 40 0 0 0 "SNORD54"
"ENSG00000009307" 1284 26 0 0 2 0 1284 10 0 2 2 0 1284 40 0 0 0 "CSDE1"
"ENSG00000011426" 537 25 4 4 0 0 537 7 0 2 0 0 537 19 0 0 0 "ANLN"
"ENSG00000014641" 381 4 0 0 0 0 381 3 0 0 0 0 381 39 0 0 0 "MDH1"
"ENSG00000018510" 674 12 2 2 0 0 674 6 0 2 0 0 674 14 0 0 0 "AGPS"
"ENSG00000021826" 1432 20 0 5 2 0 1432 6 0 0 0 0 1432 20 0 0 0 "CPS1"
"ENSG00000023734" 356 12 0 2 0 0 356 5 0 0 0 0 356 33 0 0 0 "STRAP"
"ENSG00000026025" 1080 67 5 15 16 2 1080 48 2 6 2 0 1080 198 2 3 2 "VIM"
"ENSG00000034510" 1298 55 0 0 0 3 1298 20 0 0 0 0 1298 193 5 2 0 "TMSB10"
"ENSG00000041357" 395 19 2 2 0 0 395 4 0 0 0 0 395 19 0 0 0 "PSMA4"
"ENSG00000044115" 654 17 0 0 0 0 654 5 2 0 0 0 654 31 0 0 0 "CTNNA1"
"ENSG00000055044" 359 7 0 0 0 0 359 4 0 0 0 0 359 23 0 0 0 "NOP58"
"ENSG00000057608" 493 18 0 0 0 0 493 13 2 2 0 0 493 39 2 0 0 "GDI2"
"ENSG00000061676" 619 20 4 0 0 0 619 7 0 2 0 0 619 17 0 0 0 "NCKAP1"
"ENSG00000062716" 1377 19 0 0 0 0 1377 4 0 0 0 0 1377 17 0 0 0 "VMP1"
"ENSG00000063177" 372 6 0 0 0 0 372 4 0 0 0 0 372 38 0 0 0 "RPL18"
"ENSG00000064042" 574 10 0 2 0 0 574 6 0 0 0 0 574 19 0 0 0 "LIMCH1"
"ENSG00000065150" 857 24 0 2 0 0 857 6 0 0 0 0 857 22 0 0 0 "IPO5"
"ENSG00000065978" 349 4 0 0 0 0 349 7 0 0 0 0 349 19 0 3 0 "YBX1"
"ENSG00000066279" 1064 24 2 0 2 0 1064 7 0 0 0 0 1064 17 0 0 0 "ASPM"
"ENSG00000067225" 1921 26 0 0 0 0 1921 8 0 0 0 0 1921 61 2 3 3 "PKM"
"ENSG00000067560" 731 13 0 0 0 0 731 7 0 0 0 0 731 28 0 0 2 "RHOA"
"ENSG00000069275" 861 12 0 0 0 0 861 5 0 0 0 0 861 28 0 0 0 "NUCKS1"
"ENSG00000071082" 1146 25 7 0 3 0 1146 20 5 0 0 0 1146 220 2 0 2 "RPL31"
"ENSG00000072210" 415 7 0 3 0 0 415 8 0 0 0 0 415 21 0 0 0 "ALDH3A2"
"ENSG00000072274" 794 14 0 0 0 0 794 5 0 0 0 0 794 24 0 0 0 "TFRC"
"ENSG00000073712" 570 15 0 0 0 0 570 6 0 0 0 0 570 12 0 0 0 "FERMT2"
"ENSG00000074695" 856 18 0 3 0 0 856 3 0 0 0 0 856 10 0 0 0 "LMAN1"
"ENSG00000074800" 2096 28 0 0 0 4 2096 28 0 2 2 0 2096 57 0 0 2 "ENO1"
"ENSG00000075142" 333 8 0 0 2 0 333 9 0 0 0 0 333 33 0 0 0 "SRI"
"ENSG00000075223" 818 16 0 0 0 0 818 2 0 0 0 0 818 15 0 0 0 "SEMA3C"
"ENSG00000075415" 604 12 0 0 0 0 604 11 2 0 0 0 604 52 0 0 0 "SLC25A3"
"ENSG00000075624" 1637 23 0 0 0 0 1637 8 0 0 0 0 1637 26 0 0 0 "ACTB"
"ENSG00000077147" 523 13 0 2 2 0 523 6 0 0 0 0 523 11 0 0 0 "TM9SF3"
"ENSG00000079246" 1281 24 2 0 0 0 1281 15 0 0 0 2 1281 68 0 0 0 "XRCC5"
"ENSG00000080824" 1330 27 0 0 4 0 1330 12 0 2 0 0 1330 56 5 0 0 "HSP90AA1"
"ENSG00000082898" 776 23 3 2 0 0 776 9 0 0 0 0 776 17 0 0 0 "XPO1"
"ENSG00000083312" 1512 22 0 2 0 0 1512 7 0 0 0 0 1512 38 0 0 0 "TNPO1"
"ENSG00000083845" 388 8 0 0 0 0 388 10 0 3 0 0 388 56 0 0 0 "RPS5"
"ENSG00000083857" 542 17 2 0 0 0 542 3 0 0 0 0 542 11 0 0 0 "FAT1"
"ENSG00000084207" 282 2 0 0 0 0 282 8 0 2 0 0 282 37 0 0 0 "GSTP1"
"ENSG00000085063" 1102 8 0 0 0 0 1102 7 0 0 0 0 1102 55 0 0 0 "CD59"
"ENSG00000085231" 224 9 0 4 0 0 224 8 0 0 0 0 224 23 0 0 0 "TAF9"
"ENSG00000086061" 873 30 4 9 0 0 873 9 0 0 0 0 873 54 2 0 0 "DNAJA1"
"ENSG00000087086" 1720 34 0 0 0 0 1720 17 0 0 0 0 1720 170 8 4 5 "FTL"
"ENSG00000087302" 275 9 2 0 0 0 275 0 0 0 0 0 275 22 0 0 0 "C14orf166"
"ENSG00000087460" 449 5 0 0 0 0 449 0 0 0 0 0 449 36 0 0 0 "GNAS"
"ENSG00000092621" 154 4 0 0 2 0 154 4 0 0 0 0 154 26 0 0 0 "PHGDH"
"ENSG00000092841" 673 21 0 0 0 0 673 24 3 2 0 0 673 86 3 0 0 "MYL6"
"ENSG00000099194" 506 9 0 0 0 0 506 4 0 0 0 0 506 20 0 0 0 "SCD"
"ENSG00000099901" 235 9 0 0 0 0 235 3 0 0 0 0 235 35 0 0 0 "RANBP1"
"ENSG00000100097" 300 16 0 0 0 0 300 9 0 0 0 0 300 66 0 0 0 "LGALS1"
"ENSG00000100138" 229 9 3 0 0 0 229 10 3 0 0 0 229 31 0 0 0 "NHP2L1"
"ENSG00000100201" 696 7 0 0 0 0 696 5 0 0 0 0 696 20 0 0 0 "DDX17"
"ENSG00000100567" 223 3 0 0 0 0 223 7 0 0 0 0 223 21 0 0 0 "PSMA3"
"ENSG00000100644" 1382 39 4 4 2 0 1382 15 3 0 0 0 1382 34 0 0 0 "HIF1A"
"ENSG00000101132" 153 6 0 0 0 0 153 3 0 0 0 0 153 21 0 0 0 "PFDN4"
"ENSG00000101166" 492 13 0 2 0 0 492 6 0 0 0 0 492 17 0 0 0 "SLMO2"
"ENSG00000101182" 654 28 2 0 0 0 654 22 3 3 0 0 654 61 0 0 0 "PSMA7"
"ENSG00000101558" 389 11 0 2 0 0 389 4 0 0 0 0 389 24 0 0 0 "VAPA"
"ENSG00000101608" 305 8 0 0 0 0 305 0 0 0 0 0 305 25 0 0 0 "MYL12A"
"ENSG00000101972" 674 12 2 0 0 2 674 2 0 0 0 0 674 22 0 0 0 "STAG2"
"ENSG00000102024" 1535 28 2 0 0 0 1535 5 0 0 0 0 1535 49 0 2 3 "PLS3"
"ENSG00000102144" 890 14 0 0 0 0 890 10 0 0 0 0 890 19 0 0 0 "PGK1"
"ENSG00000102317" 361 6 0 0 0 0 361 3 0 0 0 0 361 38 0 0 0 "RBM3"
"ENSG00000103035" 212 6 0 0 0 0 212 8 0 2 0 0 212 19 0 0 2 "PSMD7"
"ENSG00000104408" 634 18 3 0 0 0 634 2 0 0 0 0 634 43 0 0 0 "EIF3E"
"ENSG00000105185" 213 7 0 0 0 0 213 9 3 0 0 0 213 66 2 0 0 "PDCD5"
"ENSG00000105193" 337 9 0 0 0 0 337 7 0 0 0 0 337 55 0 0 2 "RPS16"
"ENSG00000105372" 499 14 0 0 0 0 499 10 0 0 0 0 499 76 0 0 0 "RPS19"
