"go" "term" "OddsRatio" "FDR"
"1" "GO:0044822" "poly(A) RNA binding" 5.32054655067559 5.11428642082651e-144
"2" "GO:0003735" "structural constituent of ribosome" 12.9736870837428 2.37894548792874e-47
"3" "GO:0003676" "nucleic acid binding" 1.63656945454594 3.73604641618609e-27
"4" "GO:1901265" "nucleoside phosphate binding" 1.72062716351049 2.03461812332327e-23
"5" "GO:0050136" "NADH dehydrogenase (quinone) activity" 13.3195197109765 8.37536617488296e-13
"6" "GO:0003954" "NADH dehydrogenase activity" 13.3195197109765 8.37536617488296e-13
"7" "GO:0008137" "NADH dehydrogenase (ubiquinone) activity" 13.3195197109765 8.37536617488296e-13
"8" "GO:0016655" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 8.4726172807034 1.28722332189598e-12
"9" "GO:0009055" "electron carrier activity" 4.62423557007623 3.21697070118706e-12
"10" "GO:0016462" "pyrophosphatase activity" 1.84256830817585 6.74587870806522e-12
"11" "GO:0016818" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 1.83514894792578 8.78630876195228e-12
"12" "GO:0016817" "hydrolase activity, acting on acid anhydrides" 1.82895083928156 9.80265357232804e-12
"13" "GO:0003743" "translation initiation factor activity" 7.32748351414593 7.1717276063875e-11
"14" "GO:0051082" "unfolded protein binding" 3.77527507771254 1.51376787822997e-09
"15" "GO:0016887" "ATPase activity" 2.06281045233566 2.68640571384797e-09
"16" "GO:0019843" "rRNA binding" 8.76782193958665 3.22144549633128e-08
"17" "GO:0042802" "identical protein binding" 1.50751150474186 1.60873855936398e-07
"18" "GO:0048037" "cofactor binding" 2.15469613259669 1.60873855936398e-07
"19" "GO:0003697" "single-stranded DNA binding" 3.8866090619524 1.86261456339474e-07
"20" "GO:0019900" "kinase binding" 1.75759459451356 4.70143466892154e-07
"21" "GO:0051287" "NAD binding" 4.89423856398379 5.02507265095697e-07
"22" "GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 2.9375 5.78602123229556e-07
"23" "GO:0016881" "acid-amino acid ligase activity" 3.50630594137305 9.37869394811904e-07
"24" "GO:0004812" "aminoacyl-tRNA ligase activity" 5.3138190688302 9.70374632477227e-07
"25" "GO:0016875" "ligase activity, forming carbon-oxygen bonds" 5.3138190688302 9.70374632477227e-07
"26" "GO:0016876" "ligase activity, forming aminoacyl-tRNA and related compounds" 5.3138190688302 9.70374632477227e-07
"27" "GO:0019901" "protein kinase binding" 1.77121804056279 1.19827484321583e-06
"28" "GO:0016616" "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" 2.80529563719862 1.36656459372984e-06
"29" "GO:0015002" "heme-copper terminal oxidase activity" 8.4568253968254 1.80342045815905e-06
"30" "GO:0016676" "oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor" 8.4568253968254 1.80342045815905e-06
"31" "GO:0004129" "cytochrome-c oxidase activity" 8.4568253968254 1.80342045815905e-06
"32" "GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 2.61580428557322 1.92278891303119e-06
"33" "GO:0003729" "mRNA binding" 2.76723500714532 2.95349947993735e-06
"34" "GO:0051087" "chaperone binding" 3.8549606968345 3.43321040013134e-06
"35" "GO:0016675" "oxidoreductase activity, acting on a heme group of donors" 7.51657848324515 3.92307374477887e-06
"36" "GO:0003678" "DNA helicase activity" 4.34628178058022 7.66459758779955e-06
"37" "GO:0042803" "protein homodimerization activity" 1.5377300679685 1.37422719275222e-05
"38" "GO:0003924" "GTPase activity" 2.0032310177706 1.82959591758902e-05
"39" "GO:0070035" "purine NTP-dependent helicase activity" 2.87310124560843 1.85277073382853e-05
"40" "GO:0019904" "protein domain specific binding" 1.55401437962535 2.5710925316095e-05
"41" "GO:0016667" "oxidoreductase activity, acting on a sulfur group of donors" 3.98250636132316 2.96304304769913e-05
"42" "GO:0008022" "protein C-terminus binding" 2.15315382142769 3.85340951739096e-05
"43" "GO:0044389" "small conjugating protein ligase binding" 2.05058520510587 4.87367656845782e-05
"44" "GO:0031625" "ubiquitin protein ligase binding" 2.05058520510587 4.87367656845782e-05
"45" "GO:0015036" "disulfide oxidoreductase activity" 5.3028668147678 8.28128594296251e-05
"46" "GO:0043022" "ribosome binding" 4.83015873015873 9.3499216129089e-05
"47" "GO:0003725" "double-stranded RNA binding" 3.41329939548202 9.4682644412852e-05
"48" "GO:0016504" "peptidase activator activity" 4.20009176902443 0.000102810737338702
"49" "GO:0003724" "RNA helicase activity" 4.89456338647072 0.00014165733297272
"50" "GO:0005525" "GTP binding" 1.61379385421594 0.000212537538746727
"51" "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 3.08224112980202 0.000273666371547456
"52" "GO:0008143" "poly(A) binding" 11.9135528815706 0.000273666371547456
"53" "GO:0046961" "proton-transporting ATPase activity, rotational mechanism" 7.2833755809041 0.000331615162816065
"54" "GO:0004579" "dolichyl-diphosphooligosaccharide-protein glycotransferase activity" 27.7851265822785 0.000360349907952311
"55" "GO:0036442" "hydrogen-exporting ATPase activity" 5.96006339144216 0.0004335609472391
"56" "GO:0019001" "guanyl nucleotide binding" 1.55776679734996 0.000467634231954084
"57" "GO:0070717" "poly-purine tract binding" 7.9436173582515 0.000469221915748382
"58" "GO:0015035" "protein disulfide oxidoreductase activity" 5.16620164870006 0.000504336336167464
"59" "GO:0008536" "Ran GTPase binding" 4.63706522888255 0.00055493734819212
"60" "GO:0019003" "GDP binding" 3.09454686727414 0.00066716339785319
"61" "GO:0004003" "ATP-dependent DNA helicase activity" 3.74170664774955 0.000920225328934578
"62" "GO:0004576" "oligosaccharyl transferase activity" 13.8914556962025 0.00120542806637497
"63" "GO:0016835" "carbon-oxygen lyase activity" 2.65309152614275 0.00120542806637497
"64" "GO:0050699" "WW domain binding" 4.76729001584786 0.00133211877474569
"65" "GO:0008121" "ubiquinol-cytochrome-c reductase activity" 23.8082885162923 0.00134446064916508
"66" "GO:0051920" "peroxiredoxin activity" 23.8082885162923 0.00134446064916508
"67" "GO:0016681" "oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor" 23.8082885162923 0.00134446064916508
"68" "GO:0051059" "NF-kappaB binding" 4.30448108222363 0.00136121425396781
"69" "GO:0031492" "nucleosomal DNA binding" 3.97399302251824 0.00136771455719616
"70" "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 2.78442466624285 0.00163610844933876
"71" "GO:0047485" "protein N-terminus binding" 2.20440051020408 0.00185241980238553
"72" "GO:0031369" "translation initiation factor binding" 4.33355424290448 0.00208173483860311
"73" "GO:0008186" "RNA-dependent ATPase activity" 4.33355424290448 0.00208173483860311
"74" "GO:0004722" "protein serine/threonine phosphatase activity" 2.69438918852409 0.00213423491310968
"75" "GO:0031491" "nucleosome binding" 3.07177489177489 0.00242755560188529
"76" "GO:0005178" "integrin binding" 2.0517269728888 0.00261002767866694
"77" "GO:0043024" "ribosomal small subunit binding" 9.26023206751055 0.00285679274425091
"78" "GO:0070003" "threonine-type peptidase activity" 4.36863117870722 0.00320037303182761
"79" "GO:0004298" "threonine-type endopeptidase activity" 4.36863117870722 0.00320037303182761
