"go" "term" "OddsRatio" "FDR"
"1" "GO:0044822" "poly(A) RNA binding" 5.3665544580898 3.189103491776e-146
"2" "GO:0003676" "nucleic acid binding" 1.91395972872236 3.20813155391504e-48
"3" "GO:0003735" "structural constituent of ribosome" 11.823646071701 8.84314629520287e-45
"4" "GO:0032549" "ribonucleoside binding" 1.60552256609907 7.7487651065774e-15
"5" "GO:0001883" "purine nucleoside binding" 1.5914384335437 2.14178985254642e-14
"6" "GO:0035639" "purine ribonucleoside triphosphate binding" 1.59248238953435 2.14178985254642e-14
"7" "GO:0032553" "ribonucleotide binding" 1.576420201379 3.86818466396501e-14
"8" "GO:0032555" "purine ribonucleotide binding" 1.5725898870757 6.55454642471907e-14
"9" "GO:0030554" "adenyl nucleotide binding" 1.61201365151427 2.93638607054843e-13
"10" "GO:0005524" "ATP binding" 1.60866378011016 8.55987995775422e-13
"11" "GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 4.30980666200792 1.47770681503161e-12
"12" "GO:0016881" "acid-amino acid ligase activity" 5.23626431347831 2.11052541200604e-11
"13" "GO:0016887" "ATPase activity" 2.12231539407727 4.2333840921529e-10
"14" "GO:0016655" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 6.46422738693467 4.2333840921529e-10
"15" "GO:0016462" "pyrophosphatase activity" 1.73295877415132 6.7886822717831e-10
"16" "GO:0008536" "Ran GTPase binding" 16.4123279098874 7.05229879140643e-10
"17" "GO:0016818" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 1.72605603068748 8.48336328903122e-10
"18" "GO:0016817" "hydrolase activity, acting on acid anhydrides" 1.72055969392926 9.43975759626501e-10
"19" "GO:0050136" "NADH dehydrogenase (quinone) activity" 7.82262613600752 4.45606372738024e-09
"20" "GO:0003954" "NADH dehydrogenase activity" 7.82262613600752 4.45606372738024e-09
"21" "GO:0008137" "NADH dehydrogenase (ubiquinone) activity" 7.82262613600752 4.45606372738024e-09
"22" "GO:0008565" "protein transporter activity" 4.23153917539441 4.47864664207641e-09
"23" "GO:0051082" "unfolded protein binding" 3.28083483845073 9.02366142888772e-08
"24" "GO:0003678" "DNA helicase activity" 5.55725127866689 1.14986654787866e-07
"25" "GO:0003690" "double-stranded DNA binding" 3.17900576525617 1.18915149590439e-07
"26" "GO:0044389" "small conjugating protein ligase binding" 2.44521618187438 1.72195556443711e-07
"27" "GO:0031625" "ubiquitin protein ligase binding" 2.44521618187438 1.72195556443711e-07
"28" "GO:0019900" "kinase binding" 1.75788011983859 3.74511880388047e-07
"29" "GO:0009055" "electron carrier activity" 3.13621178695241 4.04487627869979e-07
"30" "GO:0003743" "translation initiation factor activity" 4.76076731154648 4.10771823552237e-07
"31" "GO:0043022" "ribosome binding" 7.0992692012398 8.1348706338226e-07
"32" "GO:0003697" "single-stranded DNA binding" 3.60547818320156 8.49866749731081e-07
"33" "GO:0070035" "purine NTP-dependent helicase activity" 3.24995648273369 1.05143915909106e-06
"34" "GO:0051020" "GTPase binding" 2.18526769927152 1.1431229513263e-06
"35" "GO:0019843" "rRNA binding" 6.50714211239704 1.55634419891285e-06
"36" "GO:0031267" "small GTPase binding" 2.14892159199237 4.17809976983777e-06
"37" "GO:0051087" "chaperone binding" 3.77933918862401 4.53258577241284e-06
"38" "GO:0004579" "dolichyl-diphosphooligosaccharide-protein glycotransferase activity" Inf 1.56947364489924e-05
"39" "GO:0000989" "transcription factor binding transcription factor activity" 1.5724093164678 2.34198000494451e-05
"40" "GO:0019787" "small conjugating protein ligase activity" 6.24004998437988 2.89076922869167e-05
"41" "GO:0047485" "protein N-terminus binding" 2.76117388168722 3.42572172310347e-05
"42" "GO:0000988" "protein binding transcription factor activity" 1.5556010109121 3.51701358195152e-05
"43" "GO:0070063" "RNA polymerase binding" 6.82188573212613 6.14973767940434e-05
"44" "GO:0004812" "aminoacyl-tRNA ligase activity" 3.90269086357947 8.60270783941269e-05
"45" "GO:0016875" "ligase activity, forming carbon-oxygen bonds" 3.90269086357947 8.60270783941269e-05
"46" "GO:0016876" "ligase activity, forming aminoacyl-tRNA and related compounds" 3.90269086357947 8.60270783941269e-05
