"go" "term" "OddsRatio" "FDR"
"1" "GO:0044822" "poly(A) RNA binding" 7.05432095695208 3.98714578742365e-186
"2" "GO:0003676" "nucleic acid binding" 1.83366266204948 1.48139341807104e-56
"3" "GO:0003735" "structural constituent of ribosome" 12.1566752063763 1.62090089608771e-35
"4" "GO:0032549" "ribonucleoside binding" 1.57488676505645 5.20619978153189e-18
"5" "GO:0001883" "purine nucleoside binding" 1.56477470625153 1.48530179144394e-17
"6" "GO:0032555" "purine ribonucleotide binding" 1.54351141836784 7.89207934106041e-17
"7" "GO:0032553" "ribonucleotide binding" 1.53822545025582 1.03617818382575e-16
"8" "GO:0030554" "adenyl nucleotide binding" 1.55634036074566 6.75266039478902e-15
"9" "GO:0005524" "ATP binding" 1.56492156492156 7.87540206951057e-15
"10" "GO:0032559" "adenyl ribonucleotide binding" 1.54896321240082 1.73488308295127e-14
"11" "GO:0016818" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 1.74249368395871 1.40884866370882e-12
"12" "GO:0016817" "hydrolase activity, acting on acid anhydrides" 1.72777675417434 2.58895618317708e-12
"13" "GO:0003743" "translation initiation factor activity" 10.277349102185 1.66374338990727e-11
"14" "GO:0004842" "ubiquitin-protein transferase activity" 2.33542055521216 3.95470667739689e-11
"15" "GO:0000988" "protein binding transcription factor activity" 1.82814964943032 5.21521400282534e-11
"16" "GO:0000989" "transcription factor binding transcription factor activity" 1.8292220218574 5.7656682423853e-11
"17" "GO:0016881" "acid-amino acid ligase activity" 5.36675288648973 5.84710513396081e-11
"18" "GO:0019900" "kinase binding" 1.88853433133168 7.01321152606951e-11
"19" "GO:0016655" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 7.99184848654813 2.12420023592184e-10
"20" "GO:0016887" "ATPase activity" 2.00262930288877 2.19768465803361e-10
"21" "GO:0044389" "small conjugating protein ligase binding" 2.70706382978723 3.49091866157461e-10
"22" "GO:0031625" "ubiquitin protein ligase binding" 2.70706382978723 3.49091866157461e-10
"23" "GO:0019901" "protein kinase binding" 1.85006501681112 2.38933705213889e-09
"24" "GO:0050136" "NADH dehydrogenase (quinone) activity" 11.101831009575 2.38933705213889e-09
"25" "GO:0003954" "NADH dehydrogenase activity" 11.101831009575 2.38933705213889e-09
"26" "GO:0008137" "NADH dehydrogenase (ubiquinone) activity" 11.101831009575 2.38933705213889e-09
"27" "GO:0008094" "DNA-dependent ATPase activity" 4.56215741578415 6.96154752168702e-09
"28" "GO:0051082" "unfolded protein binding" 3.37376809145689 1.6861683138937e-08
"29" "GO:0070035" "purine NTP-dependent helicase activity" 3.57451766881591 6.16732830210754e-08
"30" "GO:0043130" "ubiquitin binding" 3.96974874855603 1.14581434665199e-07
"31" "GO:0042393" "histone binding" 2.68676714648603 1.17440949945905e-07
"32" "GO:0043022" "ribosome binding" 11.008389261745 1.54804817652897e-07
"33" "GO:0003690" "double-stranded DNA binding" 3.00779441377515 1.69615661088184e-07
"34" "GO:0003729" "mRNA binding" 2.86412033124894 2.97400749570831e-07
"35" "GO:0034062" "RNA polymerase activity" 5.38397715821297 1.58936067366369e-06
"36" "GO:0003697" "single-stranded DNA binding" 3.3351577411025 2.58417056703636e-06
"37" "GO:0047485" "protein N-terminus binding" 2.95227372852318 3.29752107594307e-06
"38" "GO:0009055" "electron carrier activity" 2.73962367430722 3.40597502371955e-06
"39" "GO:0051087" "chaperone binding" 3.71814852188212 5.07381820328735e-06
"40" "GO:0051020" "GTPase binding" 1.94674782904819 6.2212090655838e-06
"41" "GO:0003684" "damaged DNA binding" 4.02501960784314 6.62690590457934e-06
"42" "GO:0004003" "ATP-dependent DNA helicase activity" 6.05464088000575 1.05527479137815e-05
"43" "GO:0031492" "nucleosomal DNA binding" 7.49621059691482 1.09661626351969e-05
"44" "GO:0004812" "aminoacyl-tRNA ligase activity" 4.59586971121558 1.25909814779284e-05
"45" "GO:0016875" "ligase activity, forming carbon-oxygen bonds" 4.59586971121558 1.25909814779284e-05
"46" "GO:0016876" "ligase activity, forming aminoacyl-tRNA and related compounds" 4.59586971121558 1.25909814779284e-05
"47" "GO:0031267" "small GTPase binding" 1.92631195335277 1.55073068391594e-05
"48" "GO:0000287" "magnesium ion binding" 1.92627824019025 3.04682860371113e-05
"49" "GO:0008536" "Ran GTPase binding" 6.8420717398592 4.65056161004183e-05
"50" "GO:0031072" "heat shock protein binding" 3.1077694235589 5.27292612323179e-05
"51" "GO:0008565" "protein transporter activity" 2.6664758055462 5.75018239000849e-05
"52" "GO:0000049" "tRNA binding" 4.40063758389262 7.10463222366306e-05
"53" "GO:0002039" "p53 binding" 3.17633790358249 8.11350086551622e-05
"54" "GO:0001054" "RNA polymerase I activity" Inf 9.71570867424061e-05
"55" "GO:0003714" "transcription corepressor activity" 1.77041250099768 0.000140151086511795
"56" "GO:0019902" "phosphatase binding" 2.01571678223124 0.000155449881245182
"57" "GO:0019003" "GDP binding" 3.26045340050378 0.000210233360841782
"58" "GO:0004722" "protein serine/threonine phosphatase activity" 3.07971704276089 0.000222445116501674
"59" "GO:0031490" "chromatin DNA binding" 2.63515559293524 0.0002289089599125
"60" "GO:0004532" "exoribonuclease activity" 5.42874699737445 0.0002289089599125
"61" "GO:0019787" "small conjugating protein ligase activity" 5.42874699737445 0.0002289089599125
"62" "GO:0031491" "nucleosome binding" 3.66644295302013 0.000275641304217855
"63" "GO:0005525" "GTP binding" 1.50282589190806 0.000278801647591706
"64" "GO:0030145" "manganese ion binding" 3.25969447708578 0.000325435551219505
"65" "GO:0048037" "cofactor binding" 1.61228878648233 0.00033152032799699
"66" "GO:0051287" "NAD binding" 3.06834592779177 0.000338928196344341
"67" "GO:0000175" "3'-5'-exoribonuclease activity" 5.86168537443458 0.000338928196344341
"68" "GO:0016628" "oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor" 5.86168537443458 0.000338928196344341
"69" "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 2.85315860215054 0.000353766571291249
"70" "GO:0019903" "protein phosphatase binding" 2.21800921244804 0.000362065257515744
"71" "GO:0016896" "exoribonuclease activity, producing 5'-phosphomonoesters" 5.156445487042 0.000418074338562988
"72" "GO:0051059" "NF-kappaB binding" 5.156445487042 0.000418074338562988
"73" "GO:0008022" "protein C-terminus binding" 1.80646771935769 0.000446063546098495
"74" "GO:0008017" "microtubule binding" 1.77595281895446 0.000451355019029017
"75" "GO:0003755" "peptidyl-prolyl cis-trans isomerase activity" 3.53005647821954 0.000451355019029017
"76" "GO:0050681" "androgen receptor binding" 3.53005647821954 0.000451355019029017
"77" "GO:0046966" "thyroid hormone receptor binding" 4.65273288802701 0.000483547707183031
"78" "GO:0060590" "ATPase regulator activity" 6.51147211522358 0.000486379241844353
"79" "GO:1901677" "phosphate transmembrane transporter activity" 6.51147211522358 0.000486379241844353
"80" "GO:0004576" "oligosaccharyl transferase activity" Inf 0.000500352117866398
"81" "GO:0016667" "oxidoreductase activity, acting on a sulfur group of donors" 3.05564881651838 0.000514002926061522
"82" "GO:0003725" "double-stranded RNA binding" 2.83104679737638 0.000534056306548938
"83" "GO:0070063" "RNA polymerase binding" 5.53510887772194 0.000618996116106594
"84" "GO:0003924" "GTPase activity" 1.63565232182344 0.000647155436017561
"85" "GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 3.39371575533937 0.000753959800249623
"86" "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 2.74479650006629 0.000860947883703825
"87" "GO:0005487" "nucleocytoplasmic transporter activity" 9.76267782426778 0.000974040737314141
"88" "GO:0019843" "rRNA binding" 3.58269907795474 0.00114324463271443
"89" "GO:0004579" "dolichyl-diphosphooligosaccharide-protein glycotransferase activity" Inf 0.00116997668651693
"90" "GO:0001055" "RNA polymerase II activity" Inf 0.00116997668651693
"91" "GO:0031593" "polyubiquitin binding" 3.40526492287056 0.0011868089391211
"92" "GO:0016835" "carbon-oxygen lyase activity" 2.44496723239792 0.00121877184177753
"93" "GO:0016859" "cis-trans isomerase activity" 3.0251395978623 0.00130871775653021
"94" "GO:0031369" "translation initiation factor binding" 4.61211613623674 0.00134681642358314
"95" "GO:0001056" "RNA polymerase III activity" 7.05127775917866 0.00135281461460797
"96" "GO:0008353" "RNA polymerase II carboxy-terminal domain kinase activity" 7.05127775917866 0.00135281461460797
"97" "GO:0015605" "organophosphate ester transmembrane transporter activity" 7.05127775917866 0.00135281461460797
"98" "GO:0051540" "metal cluster binding" 2.31949579831933 0.00173662333194679
"99" "GO:0051536" "iron-sulfur cluster binding" 2.31949579831933 0.00173662333194679
"100" "GO:0008080" "N-acetyltransferase activity" 2.09648026157619 0.00178805178822163
"101" "GO:0090595" "acetyl-CoA:L-lysine N6-acetyltransferase" 2.4828755347647 0.00197991293496596
"102" "GO:0004402" "histone acetyltransferase activity" 2.4828755347647 0.00197991293496596
"103" "GO:0051219" "phosphoprotein binding" 2.52538616521155 0.00201209994416492
"104" "GO:0035064" "methylated histone binding" 2.57238277833244 0.00203047608809665
"105" "GO:0008601" "protein phosphatase type 2A regulator activity" 4.88228399196249 0.00208659311333766
"106" "GO:0070412" "R-SMAD binding" 4.34008820409758 0.00241000104576826
"107" "GO:0005048" "signal sequence binding" 4.34008820409758 0.00241000104576826
"108" "GO:0004526" "ribonuclease P activity" 14.6381733021077 0.00254669187146513
"109" "GO:0043024" "ribosomal small subunit binding" 14.6381733021077 0.00254669187146513
"110" "GO:0042809" "vitamin D receptor binding" 6.50778242677824 0.00254669187146513
"111" "GO:0015215" "nucleotide transmembrane transporter activity" 6.50778242677824 0.00254669187146513
"112" "GO:0042162" "telomeric DNA binding" 6.50778242677824 0.00254669187146513
"113" "GO:0016018" "cyclosporin A binding" Inf 0.00254669187146513
"114" "GO:0019211" "phosphatase activator activity" Inf 0.00254669187146513
"115" "GO:0019237" "centromeric DNA binding" Inf 0.00254669187146513
"116" "GO:0008312" "7S RNA binding" Inf 0.00254669187146513
"117" "GO:0032552" "deoxyribonucleotide binding" Inf 0.00254669187146513
"118" "GO:0004860" "protein kinase inhibitor activity" 2.36977329974811 0.00278528179025373
"119" "GO:0008408" "3'-5' exonuclease activity" 2.58674496644295 0.00314574656172594
"120" "GO:0017069" "snRNA binding" 5.28791429527954 0.00315488083054067
"121" "GO:0046961" "proton-transporting ATPase activity, rotational mechanism" 5.28791429527954 0.00315488083054067
"122" "GO:0016407" "acetyltransferase activity" 1.89607154188749 0.00317355324239407
"123" "GO:0019210" "kinase inhibitor activity" 2.24009069533087 0.00392617282330458
"124" "GO:0008170" "N-methyltransferase activity" 2.05017137774693 0.00421727683807247
"125" "GO:0015035" "protein disulfide oxidoreductase activity" 3.71969280091873 0.00450559584921219
"126" "GO:0008186" "RNA-dependent ATPase activity" 3.71969280091873 0.00450559584921219
"127" "GO:0016706" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors" 2.40008478992413 0.00463367124356015
"128" "GO:0015002" "heme-copper terminal oxidase activity" 3.45837520938023 0.00471264955087912
"129" "GO:0016676" "oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor" 3.45837520938023 0.00471264955087912
"130" "GO:0004129" "cytochrome-c oxidase activity" 3.45837520938023 0.00471264955087912
"131" "GO:0016891" "endoribonuclease activity, producing 5'-phosphomonoesters" 3.25515161668621 0.00484120362732631
"132" "GO:0004659" "prenyltransferase activity" 5.96446898705935 0.00484120362732631
"133" "GO:0008175" "tRNA methyltransferase activity" 5.96446898705935 0.00484120362732631
"134" "GO:0001671" "ATPase activator activity" 5.96446898705935 0.00484120362732631
"135" "GO:0016903" "oxidoreductase activity, acting on the aldehyde or oxo group of donors" 2.54423851056692 0.00484120362732631
"136" "GO:0016829" "lyase activity" 1.57394417299598 0.00487209295840364
"137" "GO:0003724" "RNA helicase activity" 3.09259383378016 0.00490523373806061
"138" "GO:0016504" "peptidase activator activity" 2.67473890964837 0.00494091876912701
"139" "GO:0017056" "structural constituent of nuclear pore" 13.0095333667837 0.00499874416466027
"140" "GO:0043995" "histone acetyltransferase activity (H4-K5 specific)" 13.0095333667837 0.00499874416466027
"141" "GO:0043996" "histone acetyltransferase activity (H4-K8 specific)" 13.0095333667837 0.00499874416466027
"142" "GO:0046972" "histone acetyltransferase activity (H4-K16 specific)" 13.0095333667837 0.00499874416466027
"143" "GO:0008171" "O-methyltransferase activity" 4.88033472803347 0.00558256937320435
"144" "GO:0004661" "protein geranylgeranyltransferase activity" Inf 0.00558256937320435
"145" "GO:0003688" "DNA replication origin binding" Inf 0.00558256937320435
"146" "GO:0015037" "peptide disulfide oxidoreductase activity" Inf 0.00558256937320435
"147" "GO:0070087" "chromo shadow domain binding" Inf 0.00558256937320435
"148" "GO:0008420" "CTD phosphatase activity" Inf 0.00558256937320435
"149" "GO:0043138" "3'-5' DNA helicase activity" Inf 0.00558256937320435
"150" "GO:0017025" "TBP-class protein binding" 4.22989621694007 0.00631300379853926
"151" "GO:0045502" "dynein binding" 4.22989621694007 0.00631300379853926
"152" "GO:0030374" "ligand-dependent nuclear receptor transcription coactivator activity" 2.31397915930767 0.0065581007938613
"153" "GO:0036442" "hydrogen-exporting ATPase activity" 3.79630559741057 0.00685983942309758
"154" "GO:0030544" "Hsp70 protein binding" 3.79630559741057 0.00685983942309758
"155" "GO:0019206" "nucleoside kinase activity" 7.31833389093342 0.00706220745083414
"156" "GO:0008327" "methyl-CpG binding" 7.31833389093342 0.00706220745083414
"157" "GO:0016884" "carbon-nitrogen ligase activity, with glutamine as amido-N-donor" 7.31833389093342 0.00706220745083414
"158" "GO:0000993" "RNA polymerase II core binding" 7.31833389093342 0.00706220745083414
"159" "GO:0016675" "oxidoreductase activity, acting on a heme group of donors" 3.07379490042807 0.00766003633388957
"160" "GO:0016620" "oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" 2.81115951742627 0.00771348362140055
"161" "GO:0004549" "tRNA-specific ribonuclease activity" 5.42133734872567 0.00882209743386887
"162" "GO:0043175" "RNA polymerase core enzyme binding" 5.42133734872567 0.00882209743386887
"163" "GO:0036002" "pre-mRNA binding" 5.42133734872567 0.00882209743386887
"164" "GO:0019208" "phosphatase regulator activity" 1.8686953597848 0.00928400760770243
"165" "GO:0051427" "hormone receptor binding" 1.52791425030024 0.0100618591094899
"166" "GO:0070717" "poly-purine tract binding" 4.47289156626506 0.0102272522239804
"167" "GO:0005338" "nucleotide-sugar transmembrane transporter activity" 11.3814381270903 0.0102436545759716
"168" "GO:0032404" "mismatch repair complex binding" 11.3814381270903 0.0102436545759716
"169" "GO:0008318" "protein prenyltransferase activity" 11.3814381270903 0.0102436545759716
"170" "GO:0030235" "nitric-oxide synthase regulator activity" 11.3814381270903 0.0102436545759716
"171" "GO:0008649" "rRNA methyltransferase activity" 11.3814381270903 0.0102436545759716
"172" "GO:0016616" "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" 1.63018549747049 0.0102695982779404
"173" "GO:0016410" "N-acyltransferase activity" 1.69902109027325 0.0107189746015319
"174" "GO:0017048" "Rho GTPase binding" 1.900145609319 0.0114519149107101
"175" "GO:0042054" "histone methyltransferase activity" 2.05298684997884 0.0116700175927759
"176" "GO:0031418" "L-ascorbic acid binding" 3.25364138623807 0.0120748650119971
"177" "GO:0004004" "ATP-dependent RNA helicase activity" 3.25364138623807 0.0120748650119971
"178" "GO:0016866" "intramolecular transferase activity" 2.89249893001358 0.0122967422523016
"179" "GO:0070628" "proteasome binding" 6.50409767519652 0.0133199410009351
"180" "GO:0004029" "aldehyde dehydrogenase (NAD) activity" 6.50409767519652 0.0133199410009351
"181" "GO:0004520" "endodeoxyribonuclease activity" 2.17027223433395 0.014245167099913
"182" "GO:0048029" "monosaccharide binding" 1.83866090010406 0.0143931397251023
"183" "GO:0070491" "repressing transcription factor binding" 1.95380224945442 0.0143931397251023
"184" "GO:0004536" "deoxyribonuclease activity" 1.96724292268099 0.0152412840057783
"185" "GO:0051539" "4 iron, 4 sulfur cluster binding" 2.23780385582565 0.0154269311392889
"186" "GO:0016893" "endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 2.23780385582565 0.0154269311392889
"187" "GO:0008143" "poly(A) binding" 4.87838742054199 0.0157077890161598
"188" "GO:0008106" "alcohol dehydrogenase (NADP+) activity" 4.87838742054199 0.0157077890161598
"189" "GO:0001098" "basal transcription machinery binding" 4.06558474150912 0.0174353242180387
"190" "GO:0001099" "basal RNA polymerase II transcription machinery binding" 4.06558474150912 0.0174353242180387
"191" "GO:0030515" "snoRNA binding" 4.06558474150912 0.0174353242180387
"192" "GO:0019205" "nucleobase-containing compound kinase activity" 2.01530583714781 0.0177307002945192
"193" "GO:0035173" "histone kinase activity" 3.57794511378849 0.0185218422582069
"194" "GO:0000062" "fatty-acyl-CoA binding" 3.2528870292887 0.0190094549060743
"195" "GO:0051721" "protein phosphatase 2A binding" 3.2528870292887 0.0190094549060743
"196" "GO:0031690" "adrenergic receptor binding" 3.2528870292887 0.0190094549060743
"197" "GO:0016836" "hydro-lyase activity" 2.05583554727839 0.0195865997424448
"198" "GO:0000182" "rDNA binding" 9.75388730981441 0.0200546955693896
"199" "GO:0035259" "glucocorticoid receptor binding" 9.75388730981441 0.0200546955693896
"200" "GO:0016717" "oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water" 9.75388730981441 0.0200546955693896
"201" "GO:0008121" "ubiquinol-cytochrome-c reductase activity" 9.75388730981441 0.0200546955693896
"202" "GO:0051920" "peroxiredoxin activity" 9.75388730981441 0.0200546955693896
"203" "GO:0004032" "alditol:NADP+ 1-oxidoreductase activity" 9.75388730981441 0.0200546955693896
"204" "GO:0016681" "oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor" 9.75388730981441 0.0200546955693896
"205" "GO:0070569" "uridylyltransferase activity" 9.75388730981441 0.0200546955693896
"206" "GO:0017137" "Rab GTPase binding" 1.67030996020402 0.0214751547788124
"207" "GO:0019783" "small conjugating protein-specific protease activity" 1.67235011107931 0.0244743586245773
"208" "GO:0000149" "SNARE binding" 1.80870311305094 0.0245452592700789
"209" "GO:0048487" "beta-tubulin binding" 2.20808598238223 0.0246684520424578
"210" "GO:0051787" "misfolded protein binding" 5.69013377926421 0.0253406222460303
"211" "GO:0016868" "intramolecular transferase activity, phosphotransferases" 5.69013377926421 0.0253406222460303
"212" "GO:0008139" "nuclear localization sequence binding" 5.69013377926421 0.0253406222460303
"213" "GO:0016763" "transferase activity, transferring pentosyl groups" 1.95284252892839 0.0253620780032967
"214" "GO:0008138" "protein tyrosine/serine/threonine phosphatase activity" 1.95284252892839 0.0253620780032967
"215" "GO:0019894" "kinesin binding" 2.30463428252373 0.0253620780032967
"216" "GO:1901505" "carbohydrate derivative transporter activity" 2.30463428252373 0.0253620780032967
"217" "GO:0001103" "RNA polymerase II repressing transcription factor binding" 2.36610283034668 0.0253620780032967
"218" "GO:0001104" "RNA polymerase II transcription cofactor activity" 1.6282784129119 0.0253620780032967
"219" "GO:0004535" "poly(A)-specific ribonuclease activity" 4.33561911133411 0.0253620780032967
"220" "GO:0000339" "RNA cap binding" 4.33561911133411 0.0253620780032967
"221" "GO:0017166" "vinculin binding" 4.33561911133411 0.0253620780032967
"222" "GO:1900750" "oligopeptide binding" 4.33561911133411 0.0253620780032967
"223" "GO:0070411" "I-SMAD binding" 4.33561911133411 0.0253620780032967
"224" "GO:0043295" "glutathione binding" 4.33561911133411 0.0253620780032967
"225" "GO:0042171" "lysophosphatidic acid acyltransferase activity" 4.33561911133411 0.0253620780032967
"226" "GO:0051010" "microtubule plus-end binding" 4.33561911133411 0.0253620780032967
"227" "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 4.33561911133411 0.0253620780032967
"228" "GO:0046933" "proton-transporting ATP synthase activity, rotational mechanism" 4.33561911133411 0.0253620780032967
"229" "GO:0070566" "adenylyltransferase activity" 2.53008910467474 0.0264586828448922
"230" "GO:0071617" "lysophospholipid acyltransferase activity" 3.65841418534627 0.026784565052303
"231" "GO:0015095" "magnesium ion transmembrane transporter activity" 3.65841418534627 0.026784565052303
"232" "GO:0008187" "poly-pyrimidine tract binding" 3.65841418534627 0.026784565052303
"233" "GO:0003756" "protein disulfide isomerase activity" 2.64286909943087 0.026784565052303
"234" "GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 2.64286909943087 0.026784565052303
"235" "GO:0016538" "cyclin-dependent protein serine/threonine kinase regulator activity" 2.64286909943087 0.026784565052303
"236" "GO:0035035" "histone acetyltransferase binding" 2.78790197250448 0.027101478325765
"237" "GO:0070064" "proline-rich region binding" 2.78790197250448 0.027101478325765
"238" "GO:0008320" "protein transmembrane transporter activity" 3.25213317717919 0.027101478325765
"239" "GO:0001047" "core promoter binding" 1.50811920224081 0.0271430268246134
"240" "GO:0003746" "translation elongation factor activity" 2.98131414547077 0.0271430268246134
"241" "GO:0042826" "histone deacetylase binding" 1.62806722689076 0.0276159342659488
"242" "GO:0016278" "lysine N-methyltransferase activity" 1.84921167393492 0.0282501283418518
"243" "GO:0016279" "protein-lysine N-methyltransferase activity" 1.84921167393492 0.0282501283418518
"244" "GO:0004725" "protein tyrosine phosphatase activity" 1.5057448985428 0.0286110306683248
"245" "GO:0003887" "DNA-directed DNA polymerase activity" 2.12713567839196 0.033275444449199
"246" "GO:0018024" "histone-lysine N-methyltransferase activity" 1.88388406052852 0.0341522244914387
"247" "GO:0045296" "cadherin binding" 2.21784996651038 0.0360848414809738
"248" "GO:0001968" "fibronectin binding" 2.21784996651038 0.0360848414809738
"249" "GO:0016860" "intramolecular oxidoreductase activity" 1.76862885229643 0.036327476751984
"250" "GO:0001106" "RNA polymerase II transcription corepressor activity" 2.27684580612757 0.0378618146647801
"251" "GO:0032947" "protein complex scaffold" 1.68755632625409 0.0383738933901744
"252" "GO:0050699" "WW domain binding" 2.34897518878101 0.0396051264669994
"253" "GO:0004843" "ubiquitin-specific protease activity" 1.58108036764177 0.0404993052853933
"254" "GO:0045309" "protein phosphorylated amino acid binding" 2.43916317991632 0.040515337525582
"255" "GO:0004652" "polynucleotide adenylyltransferase activity" 4.87644206654406 0.040515337525582
"256" "GO:0034713" "type I transforming growth factor beta receptor binding" 4.87644206654406 0.040515337525582
"257" "GO:0047429" "nucleoside-triphosphate diphosphatase activity" 4.87644206654406 0.040515337525582
"258" "GO:0016783" "sulfurtransferase activity" 4.87644206654406 0.040515337525582
"259" "GO:0016742" "hydroxymethyl-, formyl- and related transferase activity" 4.87644206654406 0.040515337525582
"260" "GO:0008190" "eukaryotic initiation factor 4E binding" 4.87644206654406 0.040515337525582
"261" "GO:0008140" "cAMP response element binding protein binding" 4.87644206654406 0.040515337525582
"262" "GO:0045294" "alpha-catenin binding" 4.87644206654406 0.040515337525582
