"go" "term" "OddsRatio" "FDR"
"1" "GO:0044822" "poly(A) RNA binding" 8.05839485169021 2.3570914784146e-184
"2" "GO:0003735" "structural constituent of ribosome" 11.0672016048144 1.62943386924673e-29
"3" "GO:0032549" "ribonucleoside binding" 1.61934814594389 1.5794918206415e-20
"4" "GO:0001883" "purine nucleoside binding" 1.61334946488581 3.07459096132223e-20
"5" "GO:0032553" "ribonucleotide binding" 1.58348359660631 3.11411102606582e-19
"6" "GO:0032555" "purine ribonucleotide binding" 1.58606166104263 3.11411102606582e-19
"7" "GO:0005524" "ATP binding" 1.61233284592389 5.88966937800401e-17
"8" "GO:0030554" "adenyl nucleotide binding" 1.59265659368306 1.16716475273859e-16
"9" "GO:0032559" "adenyl ribonucleotide binding" 1.59188280981001 1.80783190173813e-16
"10" "GO:0000988" "protein binding transcription factor activity" 2.12910027347583 2.14312550617846e-16
"11" "GO:0016818" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 1.86757202881152 1.13990298660835e-15
"12" "GO:0016462" "pyrophosphatase activity" 1.85871387138714 2.01207386243274e-15
"13" "GO:0016817" "hydrolase activity, acting on acid anhydrides" 1.84648086052592 2.92962916658013e-15
"14" "GO:0004842" "ubiquitin-protein transferase activity" 2.58164794867421 4.05238423286305e-13
"15" "GO:0003713" "transcription coactivator activity" 2.41680054151625 4.64747268279976e-12
"16" "GO:0008094" "DNA-dependent ATPase activity" 6.75078303236534 4.40266546075885e-11
"17" "GO:0003743" "translation initiation factor activity" 11.183701188455 1.71350994510737e-10
"18" "GO:0016887" "ATPase activity" 2.00184556033997 3.36397709263566e-10
"19" "GO:0019900" "kinase binding" 1.84661004539464 4.14419524073067e-10
"20" "GO:0003697" "single-stranded DNA binding" 5.61645329436654 7.60158930508978e-10
"21" "GO:0042393" "histone binding" 3.25296855704379 1.11718962600231e-09
"22" "GO:0019901" "protein kinase binding" 1.86911832852534 1.60186799271352e-09
"23" "GO:0016881" "acid-amino acid ligase activity" 5.03010020797882 1.80320409110624e-09
"24" "GO:0016655" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 7.98649850432533 2.86479391735538e-09
"25" "GO:0003690" "double-stranded DNA binding" 3.51872907586381 1.03850187350295e-08
"26" "GO:0032182" "small conjugating protein binding" 4.16311384220233 1.37473740236637e-08
"27" "GO:0044389" "small conjugating protein ligase binding" 2.5039518937824 1.47103128592762e-08
"28" "GO:0031625" "ubiquitin protein ligase binding" 2.5039518937824 1.47103128592762e-08
"29" "GO:0016741" "transferase activity, transferring one-carbon groups" 2.32495063143981 1.66928079108627e-08
"30" "GO:0070035" "purine NTP-dependent helicase activity" 4.01590522133939 1.75010997090707e-08
"31" "GO:0043130" "ubiquitin binding" 4.62117046903783 2.61932558583765e-08
"32" "GO:0034062" "RNA polymerase activity" 9.22826455624647 2.76281894106491e-08
"33" "GO:0003684" "damaged DNA binding" 6.68168316831683 3.06944007711336e-08
"34" "GO:0051082" "unfolded protein binding" 3.33638468013468 6.0078576237615e-08
"35" "GO:0043022" "ribosome binding" 17.590331686662 8.97616939143296e-08
"36" "GO:0000049" "tRNA binding" 10.0116155910182 1.62377905035341e-07
"37" "GO:0003729" "mRNA binding" 2.9671954945992 2.48339384186308e-07
"38" "GO:0050136" "NADH dehydrogenase (quinone) activity" 8.25220338983051 3.40207709689545e-07
"39" "GO:0003954" "NADH dehydrogenase activity" 8.25220338983051 3.40207709689545e-07
"40" "GO:0008137" "NADH dehydrogenase (ubiquinone) activity" 8.25220338983051 3.40207709689545e-07
"41" "GO:0047485" "protein N-terminus binding" 3.19162175577932 1.32535135603731e-06
"42" "GO:0000287" "magnesium ion binding" 2.14736779225656 1.42531225048653e-06
"43" "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 4.35057511903078 3.14496760270368e-06
"44" "GO:0003714" "transcription corepressor activity" 2.01123050414592 3.47444398100536e-06
"45" "GO:0003924" "GTPase activity" 1.9160085116831 8.81584626429716e-06
"46" "GO:0004812" "aminoacyl-tRNA ligase activity" 5.15582627118644 1.05516639466496e-05
"47" "GO:0016875" "ligase activity, forming carbon-oxygen bonds" 5.15582627118644 1.05516639466496e-05
"48" "GO:0016876" "ligase activity, forming aminoacyl-tRNA and related compounds" 5.15582627118644 1.05516639466496e-05
