"go" "term" "OddsRatio" "FDR"
"1" "GO:0044822" "poly(A) RNA binding" 5.50044579434674 1.92353487619827e-140
"2" "GO:0003735" "structural constituent of ribosome" 16.7109049347855 1.13083020446127e-56
"3" "GO:0003676" "nucleic acid binding" 1.87773363911868 3.9492531212744e-39
"4" "GO:1901265" "nucleoside phosphate binding" 1.60155339276836 2.49712618212186e-15
"5" "GO:0016655" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 9.15995146130273 2.51668364981157e-13
"6" "GO:0003743" "translation initiation factor activity" 9.38151041666667 3.99382235384751e-13
"7" "GO:0050136" "NADH dehydrogenase (quinone) activity" 13.0071238702818 5.70212400601028e-13
"8" "GO:0003954" "NADH dehydrogenase activity" 13.0071238702818 5.70212400601028e-13
"9" "GO:0008137" "NADH dehydrogenase (ubiquinone) activity" 13.0071238702818 5.70212400601028e-13
"10" "GO:0051082" "unfolded protein binding" 4.11940737833595 5.11197789922718e-10
"11" "GO:0009055" "electron carrier activity" 4.09980384464496 8.17871691684035e-10
"12" "GO:0016818" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 1.75974756866897 4.15027972129409e-09
"13" "GO:0016817" "hydrolase activity, acting on acid anhydrides" 1.75670529831811 4.15027972129409e-09
"14" "GO:0016462" "pyrophosphatase activity" 1.75297297297297 5.52760254550619e-09
"15" "GO:0016881" "acid-amino acid ligase activity" 4.25983841542872 2.75650721126857e-08
"16" "GO:0019843" "rRNA binding" 8.48944163751781 6.82020482288965e-08
"17" "GO:0016887" "ATPase activity" 2.00065109573925 1.3322916711807e-07
"18" "GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 3.23615916955017 1.60950070587578e-07
"19" "GO:0051087" "chaperone binding" 4.60838835439854 2.98262886194359e-07
"20" "GO:0016616" "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" 3.09870753935377 3.81422268861769e-07
"21" "GO:0019900" "kinase binding" 1.82676354891827 4.35145820235259e-07
"22" "GO:0019901" "protein kinase binding" 1.86406910233948 6.77150252954231e-07
"23" "GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 2.83636312032583 8.51370888176995e-07
"24" "GO:0043021" "ribonucleoprotein complex binding" 3.7930617224689 2.24101203101746e-06
"25" "GO:0003697" "single-stranded DNA binding" 3.55914671215599 3.57531304364663e-06
"26" "GO:0051287" "NAD binding" 4.50637533672553 4.46781328260576e-06
"27" "GO:0015002" "heme-copper terminal oxidase activity" 7.62684251357642 6.83204869592449e-06
"28" "GO:0016676" "oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor" 7.62684251357642 6.83204869592449e-06
"29" "GO:0004129" "cytochrome-c oxidase activity" 7.62684251357642 6.83204869592449e-06
"30" "GO:0048037" "cofactor binding" 2.02511583011583 7.16913731377005e-06
"31" "GO:0043022" "ribosome binding" 6.17701863354037 7.16913731377005e-06
"32" "GO:0000989" "transcription factor binding transcription factor activity" 1.66103882008176 8.54452865536442e-06
"33" "GO:0016675" "oxidoreductase activity, acting on a heme group of donors" 6.93296424289442 1.21155663376811e-05
"34" "GO:0008536" "Ran GTPase binding" 6.93296424289442 1.21155663376811e-05
"35" "GO:0000988" "protein binding transcription factor activity" 1.64423666340267 1.21537060566899e-05
