"id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"entrezgene"	"description"
"ENSMUSG00000050335"	8218.17058047399	-4.08248465515072	0.204700531997106	-19.9436934302078	1.70034557623837e-88	2.88480630464601e-84	"Lgals3"	"16854"	"lectin, galactose binding, soluble 3"
"ENSMUSG00000021091"	1322.86204957861	-3.73413019707567	0.188450282338503	-19.8149355402304	2.21291274754033e-87	1.87721388373846e-83	"Serpina3n"	"20716"	"serine (or cysteine) peptidase inhibitor, clade A, member 3N"
"ENSMUSG00000023992"	1515.93942382967	-4.40533418126947	0.223817230025794	-19.682730327606	3.03218552628369e-86	1.7148019879643e-82	"Trem2"	"83433"	"triggering receptor expressed on myeloid cells 2"
"ENSMUSG00000024679"	950.331654541459	-3.19585592102064	0.163948857074733	-19.4930051849271	1.25867622578806e-84	5.33867521168007e-81	"Ms4a6d"	"68774"	"membrane-spanning 4-domains, subfamily A, member 6D"
"ENSMUSG00000028238"	3294.90447580065	-5.00810974051865	0.257567678968048	-19.4438594181684	3.28498742103324e-84	1.114661931705e-80	"Atp6v0d2"	"242341"	"ATPase, H+ transporting, lysosomal V0 subunit D2"
"ENSMUSG00000003882"	652.367714749043	-4.01502921307028	0.214784516829399	-18.6932897787012	5.61419584744609e-78	1.58750744579617e-74	"Il7r"	"16197"	"interleukin 7 receptor"
"ENSMUSG00000038147"	1761.51037604486	-3.3791988362793	0.189666114914584	-17.8165659047802	5.2566049423036e-71	1.27405084930176e-67	"Cd84"	"12523"	"CD84 antigen"
"ENSMUSG00000033777"	650.846960729148	-3.01522031555597	0.184379857644105	-16.3533064515975	4.12004139569471e-60	8.73757778991955e-57	"Tlr13"	"279572"	"toll-like receptor 13"
"ENSMUSG00000025473"	863.879460977777	-3.7386352044438	0.234455814364741	-15.9460118938558	3.03681029514373e-57	5.72472482971205e-54	"Adam8"	"11501"	"a disintegrin and metallopeptidase domain 8"
"ENSMUSG00000069516"	57719.3206056859	-3.09486036725428	0.202448188863092	-15.287172410059	9.31056857213148e-53	1.57963106394783e-49	"Lyz2"	"17105"	"lysozyme 2"
"ENSMUSG00000018774"	2337.17227342009	-3.35891590228189	0.220930336164136	-15.2035069542756	3.3518588442356e-52	5.16978519557284e-49	"Cd68"	"12514"	"CD68 antigen"
"ENSMUSG00000026271"	222.732999538868	-2.97411484547762	0.196112019711203	-15.165387872999	5.99437387549378e-52	8.47504559763563e-49	"Gpr35"	"64095"	"G protein-coupled receptor 35"
"ENSMUSG00000040522"	371.730498172318	-2.610636156435	0.175598808645104	-14.8670493642771	5.39387128313024e-50	7.03941693766059e-47	"Tlr8"	"170744"	"toll-like receptor 8"
"ENSMUSG00000089672"	872.902708680852	-3.26313466886985	0.220107983924656	-14.8251535936418	1.00749201823659e-49	1.22093639867157e-46	"Lilr4b"	"14727"	"leukocyte immunoglobulin-like receptor, subfamily B, member 4B"
"ENSMUSG00000074622"	390.244688120879	-2.03828243028256	0.140870550162182	-14.469187689946	1.89699229610433e-47	2.14562475304707e-44	"Mafb"	"16658"	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)"
"ENSMUSG00000079419"	469.730281934332	-2.09527265777973	0.145787956410905	-14.3720558910516	7.74961319899952e-47	8.21749609588912e-44	"Ms4a6c"	"73656"	"membrane-spanning 4-domains, subfamily A, member 6C"
"ENSMUSG00000026981"	327.363520678029	-3.67568910185973	0.257330578845092	-14.283918834506	2.7565430103321e-46	2.75102992431143e-43	"Il1rn"	"16181"	"interleukin 1 receptor antagonist"
"ENSMUSG00000025044"	992.540801492139	-3.06954311603259	0.216782650681896	-14.1595423175114	1.63052613785321e-45	1.53686146971209e-42	"Msr1"	"20288"	"macrophage scavenger receptor 1"
"ENSMUSG00000026358"	528.109380666786	-3.53148445421328	0.25042230266147	-14.1021163717485	3.68548874347485e-45	3.29094747483128e-42	"Rgs1"	"50778"	"regulator of G-protein signaling 1"
"ENSMUSG00000049723"	9079.47175171014	-3.37609010478112	0.241608171295015	-13.9734102811397	2.26515125748986e-44	1.92152781172865e-41	"Mmp12"	"17381"	"matrix metallopeptidase 12"
"ENSMUSG00000026656"	567.624746246978	-1.94460958036016	0.140117935188654	-13.8783773664803	8.56612438557609e-44	6.92061268217543e-41	"Fcgr2b"	"14130"	"Fc receptor, IgG, low affinity IIb"
"ENSMUSG00000036896"	4556.37935335793	-2.77810537429245	0.200400321612951	-13.8627790211735	1.06470901999974e-43	8.2108423787798e-41	"C1qc"	"12262"	"complement component 1, q subcomponent, C chain"
"ENSMUSG00000020120"	2080.02177903869	-2.86702316534443	0.207161509413123	-13.8395552989865	1.47113883966702e-43	1.08518876320829e-40	"Plek"	"56193"	"pleckstrin"
"ENSMUSG00000015854"	11002.0893462487	-4.59676581571496	0.333004978180418	-13.8038951874902	2.41445783132891e-43	1.70682048193026e-40	"Cd5l"	"11801"	"CD5 antigen-like"
"ENSMUSG00000032122"	684.899013419429	-3.08490496765248	0.223817073028689	-13.7831530271913	3.21899952018987e-43	2.18454183438166e-40	"Slc37a2"	"56857"	"solute carrier family 37 (glycerol-3-phosphate transporter), member 2"
"ENSMUSG00000038642"	18733.4074481495	-3.14725556734073	0.228420385969876	-13.7783479962939	3.44055444173938e-43	2.24509410225194e-40	"Ctss"	"13040"	"cathepsin S"
"ENSMUSG00000068196"	1685.10441336519	-2.35378283003293	0.171468969577046	-13.7271649549122	6.98122111178337e-43	4.38679249564877e-40	"Col8a1"	"12837"	"collagen, type VIII, alpha 1"
"ENSMUSG00000058818"	902.652187267492	-2.37579893986184	0.174543291356965	-13.6115167841256	3.42070013371024e-42	2.07269994530457e-39	"Pirb"	"18733"	"paired Ig-like receptor B"
"ENSMUSG00000031827"	1747.76533917487	-2.7052545985004	0.202111654356181	-13.3849510416304	7.40461439975519e-41	4.33195475538781e-38	"Cotl1"	"72042"	"coactosin-like 1 (Dictyostelium)"
"ENSMUSG00000048163"	400.283765381365	-2.30732060797345	0.174264168307321	-13.2403616324866	5.1301212646242e-40	2.90125457918714e-37	"Selplg"	"20345"	"selectin, platelet (p-selectin) ligand"
"ENSMUSG00000000290"	1921.12548268495	-2.54395923239863	0.192465597857366	-13.2177348093342	6.93202522754012e-40	3.7938303229176e-37	"Itgb2"	"16414"	"integrin beta 2"
"ENSMUSG00000059498"	2548.57208306486	-2.30252315602874	0.175486066881942	-13.1208317386118	2.5017405107166e-39	1.32639154702556e-36	"Fcgr3"	"14131"	"Fc receptor, IgG, low affinity III"
"ENSMUSG00000025877"	719.274163089391	-3.18034791422134	0.243906605914459	-13.0392036833013	7.32177571099797e-39	3.76428020341793e-36	"Hk3"	"212032"	"hexokinase 3"
"ENSMUSG00000046805"	6977.75177518606	-2.95647216207129	0.226955182621922	-13.0266783420249	8.62827820151594e-39	4.30551082255646e-36	"Mpeg1"	"17476"	"macrophage expressed gene 1"
"ENSMUSG00000020901"	483.630325615104	-3.03271349851022	0.233921610252104	-12.9646572424061	1.94096064033346e-38	9.40866806397072e-36	"Pik3r5"	"320207"	"phosphoinositide-3-kinase, regulatory subunit 5, p101"
"ENSMUSG00000045382"	544.765207533899	-2.91001240107292	0.225442450831713	-12.9080055257436	4.05672844102395e-38	1.91184596473368e-35	"Cxcr4"	"12767"	"chemokine (C-X-C motif) receptor 4"
"ENSMUSG00000062593"	1173.15246340724	-2.83018949981708	0.219323077183508	-12.9042029510148	4.26202529956183e-38	1.95431138465854e-35	"Lilrb4a"	"14728"	"leukocyte immunoglobulin-like receptor, subfamily B, member 4A"
"ENSMUSG00000030144"	170.372001174058	-3.27159311865837	0.253742308687672	-12.8933686131363	4.90534004685941e-38	2.19010524302676e-35	"Clec4d"	"17474"	"C-type lectin domain family 4, member d"
"ENSMUSG00000030789"	1968.00615776163	-2.62101488122416	0.204844651331754	-12.795134577272	1.74549834032356e-37	7.5933653440845e-35	"Itgax"	"16411"	"integrin alpha X"
"ENSMUSG00000028581"	2190.66621004471	-2.70358604462859	0.211435468792029	-12.7868141522078	1.94275916604935e-37	8.24021300279833e-35	"Laptm5"	"16792"	"lysosomal-associated protein transmembrane 5"
"ENSMUSG00000040552"	1096.1158096453	-2.82544157042555	0.221218101592535	-12.7721987942459	2.34436912495825e-37	9.70111379854677e-35	"C3ar1"	"12267"	"complement component 3a receptor 1"
"ENSMUSG00000029919"	601.164263818217	-2.63055340696559	0.205999345152288	-12.7697173261445	2.42031828357895e-37	9.77693333314296e-35	"Hpgds"	"54486"	"hematopoietic prostaglandin D synthase"
"ENSMUSG00000005413"	1056.7949464359	-2.58606125596573	0.202660627801024	-12.7605508974579	2.72268703623732e-37	1.07425833155354e-34	"Hmox1"	"15368"	"heme oxygenase 1"
"ENSMUSG00000042684"	372.471744066674	-2.91339010153089	0.229689476540991	-12.684038230245	7.24982931393631e-37	2.79546827591462e-34	"Npl"	"74091"	"N-acetylneuraminate pyruvate lyase"
"ENSMUSG00000023913"	1677.46922918405	-1.72453630016565	0.136751479049057	-12.6107323456956	1.84272681298839e-36	6.94748957981356e-34	"Pla2g7"	"27226"	"phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)"
"ENSMUSG00000031438"	409.347505609728	-3.68754579975036	0.293095592161228	-12.5813758322298	2.6733297398495e-36	9.85993747093186e-34	"Rnf128"	"66889"	"ring finger protein 128"
"ENSMUSG00000018927"	3460.71474798825	-2.10815295178393	0.168009592997823	-12.5478129800079	4.08640995766251e-36	1.47510704982345e-33	"Ccl6"	"20305"	"chemokine (C-C motif) ligand 6"
"ENSMUSG00000026177"	1058.25465265705	-2.44607075794223	0.195334944269656	-12.5224432683457	5.62757331811101e-36	1.98911268573065e-33	"Slc11a1"	"18173"	"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1"
"ENSMUSG00000018008"	1150.8127176774	-1.97285231375925	0.157579111834082	-12.5197577952876	5.82125121200838e-36	2.01557853189661e-33	"Cyth4"	"72318"	"cytohesin 4"
"ENSMUSG00000058715"	1305.11882802346	-2.27785777000678	0.182040147773967	-12.5129417760917	6.34308176337421e-36	2.15233450394814e-33	"Fcer1g"	"14127"	"Fc receptor, IgE, high affinity I, gamma polypeptide"
"ENSMUSG00000004707"	486.076170101012	-3.03098426754721	0.242316361369656	-12.5083764481071	6.71833522507849e-36	2.23496618487611e-33	"Ly9"	"17085"	"lymphocyte antigen 9"
"ENSMUSG00000073490"	477.898448825606	-1.78426152706091	0.143085558298252	-12.4698924774906	1.08972991149742e-35	3.55545339970486e-33	"AI607873"	"226691"	"expressed sequence AI607873"
"ENSMUSG00000036905"	5981.47617998788	-2.67317941330192	0.214834116331803	-12.4429930354883	1.52673846840534e-35	4.88729148206886e-33	"C1qb"	"12260"	"complement component 1, q subcomponent, beta polypeptide"
"ENSMUSG00000069792"	2322.99885876727	-2.48093920571139	0.199418342228046	-12.4408776945618	1.56771722324638e-35	4.92553526103668e-33	"Wfdc17"	"100034251"	"WAP four-disulfide core domain 17"
"ENSMUSG00000027540"	1244.9544077334	-1.41924897635032	0.11434076955621	-12.4124490490911	2.2370382290806e-35	6.90065283537846e-33	"Ptpn1"	"19246"	"protein tyrosine phosphatase, non-receptor type 1"
"ENSMUSG00000042228"	1042.66557317397	-1.46743569396858	0.118727139845046	-12.3597325420604	4.31590297555651e-35	1.30756446220164e-32	"Lyn"	"17096"	"Yamaguchi sarcoma viral (v-yes-1) oncogene homolog"
"ENSMUSG00000036853"	254.087307260624	-3.83730544399337	0.310743870746123	-12.3487727522337	4.9460162031224e-35	1.47217738424868e-32	"Mcoln3"	"171166"	"mucolipin 3"
"ENSMUSG00000036887"	3895.29638028116	-2.43652104761938	0.198242106671894	-12.290633349917	1.01706041558464e-34	2.97507707082913e-32	"C1qa"	"12259"	"complement component 1, q subcomponent, alpha polypeptide"
"ENSMUSG00000039936"	460.48646558845	-1.76348065581265	0.143972883981469	-12.2486999429673	1.70710530427435e-34	4.90894043937602e-32	"Pik3cd"	"18707"	"phosphatidylinositol 3-kinase catalytic delta polypeptide"
