s1	s11s12	s13s14	s15s16	s2	s3	s4	s5	s6	s7	s8	s9
ENSMUSG00000051951	13	12	14	8	22	23	12	21	42	20	21	22
ENSMUSG00000025900	10	6	4	1	10	18	9	11	14	2	10	2
ENSMUSG00000025902	775	1108	1252	1095	1209	1506	1451	1370	1784	952	1139	729
ENSMUSG00000096126	3	13	7	2	2	7	5	2	10	3	5	8
ENSMUSG00000098104	3	1	3	3	2	8	8	2	1	4	5	4
ENSMUSG00000033845	771	677	794	804	1065	1121	1268	768	921	881	800	528
ENSMUSG00000025903	745	1147	1240	1472	1301	1452	1498	997	1311	1260	1202	815
ENSMUSG00000033813	722	887	999	1003	1048	1219	990	791	1143	967	978	614
ENSMUSG00000062588	1	8	7	2	5	4	9	7	8	6	0	2
ENSMUSG00000002459	3	9	3	3	4	1	0	2	3	0	5	3
ENSMUSG00000033793	1017	1965	1563	1364	1519	1804	1612	1259	1673	2558	2274	1119
ENSMUSG00000025907	1928	2183	2466	2556	3187	3470	2481	2324	3445	2224	2451	1574
ENSMUSG00000090031	27	43	39	39	38	52	46	31	48	33	39	18
ENSMUSG00000073741	1	1	1	1	3	0	1	1	1	2	0	0
ENSMUSG00000033740	3	109	43	25	1	4	31	16	20	115	114	29
ENSMUSG00000051285	2021	2517	2774	2948	3615	3806	2578	2425	4018	2851	2898	1959
ENSMUSG00000098201	6	11	11	8	15	17	6	10	8	10	14	13
ENSMUSG00000048538	2	0	3	1	0	3	3	4	1	3	1	1
ENSMUSG00000025909	7	3	5	16	5	3	17	5	9	3	13	6
ENSMUSG00000061024	89	166	131	155	133	152	153	142	167	161	154	124
ENSMUSG00000025911	685	389	516	881	1112	882	1126	471	614	487	355	329
ENSMUSG00000079671	11	16	16	24	23	25	18	10	20	16	14	21
ENSMUSG00000081441	1	0	4	2	2	3	3	1	2	0	0	4
ENSMUSG00000067879	1	2	4	4	4	6	2	3	7	3	0	4
ENSMUSG00000025912	39	53	64	55	73	70	44	46	82	78	40	36
ENSMUSG00000045210	607	892	970	768	825	930	757	732	1037	980	951	624
ENSMUSG00000097893	4	3	2	1	1	6	6	0	0	1	5	0
ENSMUSG00000025915	447	863	786	619	720	776	576	561	858	787	915	488
ENSMUSG00000046334	0	8	2	6	4	1	4	4	2	1	8	2
ENSMUSG00000088916	2	2	0	0	2	1	1	2	0	4	0	2
ENSMUSG00000046101	14	19	23	18	23	16	24	8	27	12	25	10
ENSMUSG00000098234	213	232	167	223	236	288	315	218	244	232	234	166
ENSMUSG00000093178	1	1	1	2	3	7	3	4	8	0	0	6
ENSMUSG00000099032	0	0	2	1	0	1	3	0	1	0	2	1
ENSMUSG00000025917	784	1128	996	885	1366	1515	1382	1035	1228	1156	1205	768
ENSMUSG00000056763	280	404	355	353	409	470	339	295	490	440	437	291
ENSMUSG00000067851	1221	1479	1542	1496	1702	1868	1587	1279	1956	1739	1616	1079
ENSMUSG00000088153	7	11	8	3	3	10	11	3	4	7	5	2
ENSMUSG00000048960	2715	3773	4162	4225	4605	4242	3267	3157	4801	3437	4562	2453
ENSMUSG00000077318	1	3	3	3	4	4	1	4	1	4	0	0
ENSMUSG00000057715	71	38	36	58	119	70	98	42	41	38	19	23
ENSMUSG00000016918	16172	15221	21028	16896	18878	23570	14054	15520	27385	15198	18015	15069
ENSMUSG00000025938	28	46	33	17	28	32	26	18	40	34	39	26
ENSMUSG00000005886	938	1144	1100	1055	1410	1322	1135	1124	1402	1175	1195	851
ENSMUSG00000099183	1	0	0	4	2	3	0	0	2	3	4	0
ENSMUSG00000087782	0	0	1	0	2	0	5	0	3	1	1	1
ENSMUSG00000025935	2475	4073	3933	3551	3674	5370	3531	3156	5248	4243	4450	2580
ENSMUSG00000025937	369	618	526	736	834	796	789	393	510	607	581	362
ENSMUSG00000025932	171	209	189	116	218	190	168	180	215	148	194	99
ENSMUSG00000095853	0	3	4	2	1	2	0	0	0	0	3	2
ENSMUSG00000025930	0	4	9	2	4	1	3	1	5	3	4	3
ENSMUSG00000054493	1	0	0	4	0	2	1	0	2	0	2	0
ENSMUSG00000082193	10	11	7	0	10	7	10	4	8	10	9	1
ENSMUSG00000025925	127	187	169	140	184	219	196	168	190	183	176	153
ENSMUSG00000032719	15	19	18	17	51	38	33	21	47	25	41	25
ENSMUSG00000043716	21437	19203	21299	18859	24593	33288	32325	25625	28434	21187	24534	15469
ENSMUSG00000025921	139	191	258	204	279	270	220	197	253	205	233	158
ENSMUSG00000025920	284	279	260	375	455	436	399	231	258	290	303	182
ENSMUSG00000089982	0	1	0	2	5	4	7	0	1	1	0	0
ENSMUSG00000025939	707	941	925	969	1134	1332	1065	801	1038	1082	930	612
ENSMUSG00000079658	576	723	806	713	861	984	1103	669	787	758	784	524
ENSMUSG00000025940	544	581	597	878	1111	1036	1174	631	778	783	652	489
ENSMUSG00000025779	122	200	156	130	167	233	236	149	222	263	251	129
ENSMUSG00000091020	2	2	1	0	0	2	0	1	0	0	2	1
ENSMUSG00000042686	16	15	11	14	11	13	10	7	18	13	12	21
ENSMUSG00000025777	1	1	4	3	13	2	1	1	4	2	1	5
ENSMUSG00000067780	139	252	248	229	119	268	138	102	140	508	255	222
