s11+s12	s13+s14	s15+s16	s1	s2	s3	s4	s5	s6	s7	s8	s9
ENSMUST00000134384	8627	9717	10133	6452	10327	11751	10321	7677	10569	9692	9835	6688
ENSMUST00000044369	6898	5457	4622	3375	5238	6348	5593	4322	5611	8636	7802	3909
ENSMUST00000159906	5699	6617	6561	5140	8495	9198	6541	6188	9080	5738	6355	4157
ENSMUST00000140079	255	85	42	3	1	4	92	44	34	261	237	46
ENSMUST00000061280	6303	6965	7321	4951	9011	9646	6742	6351	10123	6923	6925	4615
ENSMUST00000072079	330	268	289	161	239	298	313	271	308	311	291	237
ENSMUST00000144177	1330	1793	3190	2592	3942	3048	4093	1701	2188	1678	1287	1265
ENSMUST00000121942	130	189	87	121	135	138	177	97	164	144	161	169
ENSMUST00000181821	195	261	149	151	165	167	198	122	241	170	206	186
ENSMUST00000166384	2865	2614	2057	1473	2325	2623	1925	1822	2793	2554	2984	1657
ENSMUST00000052843	106	105	81	94	113	105	136	64	123	79	112	58
ENSMUST00000190610	1382	1262	1198	950	1332	1566	1108	1015	1547	1434	1461	1015
ENSMUST00000027056	11357	12703	12396	8173	13787	12839	9779	9584	14112	10098	13630	7149
ENSMUST00000171690	146	145	256	252	415	246	489	163	151	123	94	121
ENSMUST00000181272	996	681	597	767	757	920	804	524	822	747	717	490
ENSMUST00000177608	46281	64493	50726	49659	57157	71671	43236	47326	82063	45653	54035	44431
ENSMUST00000121367	3813	3649	3450	3173	3797	4954	5039	4017	4154	3837	4542	2887
ENSMUST00000188371	632	613	442	458	636	752	679	582	618	614	560	571
ENSMUST00000027053	465	638	467	355	726	644	552	486	617	495	592	400
ENSMUST00000177501	1289	1361	1955	1217	2394	2331	2594	1414	1687	1711	1502	1070
ENSMUST00000191260	617	547	409	406	554	757	785	502	769	839	800	439
ENSMUST00000088476	580	590	531	320	257	577	293	232	321	1159	607	594
ENSMUST00000159958	2547	3327	2772	2722	4775	4691	2853	3377	4258	3381	3785	2134
ENSMUST00000189400	873	801	819	634	1232	1246	788	1086	1332	697	723	555
ENSMUST00000160782	98	54	82	93	109	151	55	69	91	70	69	42
ENSMUST00000027065	198	271	239	177	308	405	265	252	251	183	218	122
ENSMUST00000027067	480	196	664	205	511	766	272	207	328	331	250	684
ENSMUST00000182303	133	190	182	137	197	242	97	108	277	138	171	142
ENSMUST00000144602	1036	869	1093	758	1292	1242	1173	872	1226	1079	1066	653
ENSMUST00000054588	141	47	20	111	124	159	88	162	78	32	49	57
ENSMUST00000191471	5439	5736	4606	4441	6537	7002	5347	5530	7304	6330	6759	3830
ENSMUST00000188572	142	149	76	124	154	169	166	161	138	120	188	111
ENSMUST00000095050	431	233	243	136	188	223	267	258	283	448	497	160
ENSMUST00000190159	89	104	94	74	96	103	92	82	127	58	95	100
ENSMUST00000140354	533	787	557	515	780	906	630	548	977	659	587	567
ENSMUST00000182513	45650	60030	50510	44370	55903	60435	42191	43941	72222	48212	55459	40418
ENSMUST00000027303	2196	2433	2283	1587	2164	2701	2793	2048	2726	2550	2528	2049
ENSMUST00000185610	837	943	722	396	427	673	808	732	565	744	732	736
ENSMUST00000159747	152	163	90	97	150	167	155	97	215	138	185	121
ENSMUST00000156687	5168	4898	3410	2099	3571	4156	3363	3205	5012	6236	6054	3940
ENSMUST00000088174	1776	1216	776	870	1238	1357	1217	1156	1690	1664	1742	1059
ENSMUST00000126413	1151	1045	894	380	515	906	663	698	1288	924	1031	960
ENSMUST00000179162	107	126	72	63	77	102	84	72	150	93	117	78
ENSMUST00000153128	300	309	321	227	293	357	300	311	435	387	435	203
ENSMUST00000097776	621	663	522	421	629	787	688	593	951	626	559	565
ENSMUST00000081180	11521	10504	18562	11202	20917	18354	28969	15223	12598	12230	12781	7403
ENSMUST00000146676	1409	1574	1406	1154	1472	1458	1661	1630	1907	1625	1629	1197
ENSMUST00000027285	2542	2904	2453	2083	2871	3837	3595	2975	3380	2920	2890	1902
ENSMUST00000128085	264	297	297	311	503	402	475	297	288	301	268	162
ENSMUST00000027256	4073	4703	6048	4120	7257	6788	9100	5953	5175	4529	4577	3152
ENSMUST00000027252	4049	4924	4123	3226	4931	4370	3921	3476	4755	4826	5235	3379
ENSMUST00000027247	2425	2792	2607	2573	3319	4154	3652	3005	3741	2701	3588	2717
ENSMUST00000173050	284	135	104	236	164	476	210	114	271	247	105	262
ENSMUST00000179954	60143	61829	55877	55827	68022	90032	106051	76630	76557	63160	66399	44072
ENSMUST00000161515	1124	1119	928	702	1070	1328	1078	855	1380	1153	1166	648
ENSMUST00000168431	11345	10769	8757	7416	10272	11656	8531	8128	12772	12760	12778	8544
ENSMUST00000027241	1364	1407	1673	987	1297	1551	1276	1278	1942	1332	1568	1278
ENSMUST00000095020	141	70	102	80	44	98	91	97	87	171	179	76
ENSMUST00000174335	83	122	159	81	121	160	94	31	88	82	122	112
ENSMUST00000167723	35	25	136	109	102	102	68	71	118	20	32	112
ENSMUST00000057208	1967	1740	2030	1412	2226	2671	2593	1820	2133	1892	1790	1181
ENSMUST00000010434	963	1152	1029	694	1087	1341	743	730	1255	1129	1217	752
ENSMUST00000178557	1551	1591	1484	891	1157	1595	2186	1717	1869	1259	1526	1104
ENSMUST00000187435	1537	1846	1376	1090	1640	2593	1760	1765	2501	1665	1700	1199
ENSMUST00000027217	2091	2892	1926	3140	4912	7304	6514	4619	4827	2171	2185	2510
ENSMUST00000185579	5785	5890	5318	3561	5427	6343	5293	4608	6507	6923	6536	3637
ENSMUST00000155917	960	1029	830	705	1031	1406	909	1018	1050	951	1046	616
ENSMUST00000188376	1487	1689	1434	1428	2081	2103	1461	1562	2363	1510	1604	1445
ENSMUST00000074525	1315	1418	1436	1104	1711	2987	1802	1544	2210	1163	1019	983
ENSMUST00000129611	30280	15989	19934	34480	35171	62088	35982	28416	39528	52925	27338	18295
ENSMUST00000027139	2432	2005	1662	1571	2151	2905	2158	1838	2327	2369	2560	1478
ENSMUST00000188209	75	60	32	152	136	125	193	104	108	129	91	63
ENSMUST00000187358	92	124	133	47	51	74	68	60	62	139	155	51
ENSMUST00000186016	397	328	291	355	389	451	356	219	327	326	346	234
ENSMUST00000186103	101	305	464	203	362	290	216	194	268	187	231	188
ENSMUST00000051572	24721	34006	29379	27642	42351	54923	34854	38702	53364	26731	38647	24859
ENSMUST00000168302	14994	6389	5241	5640	8328	8495	6847	5142	8603	10011	8558	5098
ENSMUST00000165859	403	463	304	308	464	625	416	404	580	383	440	236
ENSMUST00000186922	2547	3201	5269	3831	6761	5923	7177	3153	3956	3635	3450	2265
ENSMUST00000135746	1600	1517	1284	932	1867	2063	1776	1302	1642	1609	1575	905
ENSMUST00000190007	127	121	82	54	129	111	104	109	110	146	162	128
ENSMUST00000087617	2079	2383	2755	1286	3061	2750	3035	2855	3005	2374	2335	1579
ENSMUST00000190239	67	66	66	28	113	85	46	86	123	100	74	47
ENSMUST00000075242	5562	5359	6808	4332	7368	7211	9278	5052	5918	6405	6434	4215
ENSMUST00000159311	3234	3658	2927	2150	3833	4716	3765	3087	3941	3649	3895	2263
ENSMUST00000181563	91	108	96	82	95	178	105	100	144	103	122	91
ENSMUST00000061334	441	441	444	259	473	489	368	373	468	455	444	270
ENSMUST00000135190	1917	1895	2066	2378	2807	3458	3784	2628	2729	1756	2464	1555
ENSMUST00000042986	183	155	167	62	109	136	135	89	122	216	186	126
ENSMUST00000042734	310	348	273	182	284	402	264	255	328	407	346	172
ENSMUST00000027114	786	838	970	688	1025	1142	1162	760	1162	902	869	557
ENSMUST00000172287	690	958	796	718	1024	947	765	607	1000	702	982	653
ENSMUST00000027202	173	86	112	88	73	86	81	95	91	171	200	55
ENSMUST00000001027	1346	1753	2366	1603	3232	2687	2478	1507	1882	1260	1720	1280
ENSMUST00000161549	267	165	207	108	164	179	244	128	246	106	140	195
ENSMUST00000050552	11898	11317	10072	7557	11488	14395	11228	9676	13694	13392	12797	7750
ENSMUST00000087521	1239	1233	1092	924	1421	1564	1359	1164	1506	1292	1394	1000
ENSMUST00000027193	3228	3620	5288	3999	6977	6891	8227	4242	4654	3820	3752	2856
ENSMUST00000081455	142	156	154	76	139	212	194	111	141	139	149	109
ENSMUST00000185352	215	154	150	187	224	346	339	224	311	205	172	178
ENSMUST00000149874	8596	11236	9782	6844	10439	11895	7436	7654	13914	10536	11498	7761
ENSMUST00000027189	3319	2847	2284	1705	2639	3089	2519	2234	3108	3434	3730	1907
ENSMUST00000123965	873	868	1075	850	1354	1092	1123	730	863	1030	1061	559
ENSMUST00000190598	132	106	116	83	197	162	111	100	207	157	127	100
ENSMUST00000114246	603	489	465	339	606	636	504	423	553	669	666	411
ENSMUST00000191088	2532	2183	1925	1562	2048	3397	2209	1867	2709	2628	2486	1719
ENSMUST00000087435	13368	14540	12988	12745	18219	16990	13320	15890	18967	12720	14475	9756
ENSMUST00000036540	1214	1434	1727	1137	1464	1827	1227	1276	1609	1441	1505	1178
ENSMUST00000130075	513	628	538	484	663	819	567	480	713	504	609	469
ENSMUST00000118718	95	72	141	98	128	104	120	129	92	96	152	112
ENSMUST00000160834	7516	8242	7851	5827	9432	10583	7926	6164	9692	8170	7825	5175
