Probeset WT-miRNA - Sample ID:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
CTRL_ANT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
CTRL_ANT2	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	2	0	0	1	0	0	0	2	4
CTRL_ANT3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	13	16	0	0	0	0	0	37	0
CTRL_ANT4	0	1	0	1	1	0	0	2	1	0	1	1	0	0	1	10	0	0	0	0	0	0	14	15
CTRL_ANT5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTRL_miR_POS1	8	322	567	897	1078	5	267	6789	5479	388	338	1067	4	3	325	3239	499	325	1140	1043	91	3	6428	9425
CTRL_miR_POS2	12	228	418	740	778	1	218	5229	4465	350	350	853	0	2	266	2731	335	295	884	782	88	3	5803	7702
CTRL_miR_POS3	10	225	448	746	760	2	201	5055	4146	347	328	876	0	2	235	2317	348	289	929	923	72	1	5560	7011
CTRL_miR_POS4	12	211	400	648	785	1	208	5225	4313	264	317	765	0	1	222	2412	325	216	844	800	66	0	5259	7717
CTRL_miR_POS5	8	224	394	590	740	2	235	4855	3699	326	287	654	0	0	216	2415	318	248	805	685	94	3	4980	6848
CTRL_miR_POS6	10	300	550	847	1020	2	281	7035	5501	399	418	1043	1	1	309	3433	427	334	1130	1048	80	2	6844	10119
HK_ACTB	0	1	5	0	0	2	10	1	2	2	1	1	0	0	4	33	9	3	1	0	168	1	1	0
HK_B2M	0	1	1	0	1	1	26	0	8	2	3	0	0	0	18	67	6	1	3	1	311	0	1	0
HK_GAPDH	0	6	18	3	1	2	67	5	5	31	30	9	1	1	56	654	52	19	15	6	272	0	11	7
HK_PPIA	0	5	3	3	3	0	8	1	4	9	23	6	0	0	23	335	8	9	12	3	32	0	1	1
HK_RNU47	0	15	13	1	1	10	138	2	0	6	6	1	1	1	37	27	12	2	2	3	794	1	0	0
HK_RNU75	0	14	11	0	0	7	69	0	0	6	15	1	3	0	42	38	6	1	2	2	687	0	0	0
HK_RNY3	0	12	46	26	38	3	72	19	13	105	137	28	0	0	138	2197	78	59	53	21	125	0	8	2
