"logFC"	"AveExpr"
"miR-7854-3p"	-9.46626052123958	2.02280811247259
"miR-6124"	-6.40837921638123	7.14630091810829
"miR-711"	-8.96276559743205	4.11448478701634
"miR-5196-5p"	-6.02148882155973	6.12949343399473
"miR-6849-5p"	-9.97770122720592	3.35605845813327
"miR-6746-5p"	-6.8396231907632	5.77432859468574
"miR-7515"	-6.78236652586794	2.40667246582195
"miR-6085"	-4.81874595737385	5.26984053150696
"miR-4784"	-6.16040751018236	1.70538208100952
"miR-6797-5p"	-6.81537815575904	4.54304563349788
"miR-4270"	-5.18382807642194	4.47108738612405
"miR-7110-5p"	-4.44399407452646	5.99278366503053
"miR-3141"	-3.93983689438905	7.67195545952678
"miR-4728-5p"	-4.7309675198551	4.43964419884904
"miR-6738-5p"	-4.6468421196788	4.32842831070543
"miR-6893-5p"	-4.75000111693675	3.31890453385341
"miR-3175"	-4.69614581804939	2.97088861816918
"miR-7150"	-3.8836843514628	8.22904086251814
"miR-6887-5p"	-4.90906314183669	3.76195225041727
"miR-5739"	-3.53930746766762	6.04843515535903
"miR-4442"	-4.03303579628928	4.80715508100197
"miR-1207-5p"	-3.28293359951463	6.47645209349305
"miR-6126"	2.86312370150047	14.1694436102572
"miR-370-3p"	-4.50772943622286	3.59860244826871
"miR-3154"	-5.48722634813025	3.04297680137287
"miR-6732-5p"	-4.50738194141435	3.79766884105782
"miR-1273g-5p"	4.98971326945779	4.19453684218883
"miR-4800-5p"	-5.06218758588786	3.32028725966713
"miR-6086"	-3.96685910454265	4.95487782607347
"miR-7845-5p"	-3.88409489136132	4.09901869891123
"miR-6812-5p"	-3.84496009701807	4.1148483233017
"miR-4478"	-3.71785049621695	5.30792761793696
"miR-1234-3p"	4.37012515783411	3.94391892175605
"miR-4327"	-3.76095646237981	3.3834170966388
"miR-6165"	-3.26732739850623	5.88020832110616
"miR-6775-5p"	-2.7811474426764	6.45707350437404
"miR-296-3p"	-3.67310852601883	3.39693664488225
"miR-6127"	-3.21080498194751	4.68013133200352
"miR-4644"	-4.34601595941281	2.94198145878388
"miR-4792"	2.21523768666639	14.464015809118
"miR-6510-5p"	-3.11281704163264	6.65234036437263
"miR-6075"	-5.69815453175469	2.3204300451128
"miR-92b-5p"	-3.43821554241461	3.87008460109665
"miR-451a"	-2.95765504368982	4.31357064060779
"miR-6837-5p"	-3.76828758837443	3.09223565297676
"miR-4534"	-2.64659313485338	5.74298820825918
"miR-3127-3p"	4.13622787014683	3.67796015057682
"miR-7847-3p"	-2.49800810288807	7.54741013458245
"miR-7107-5p"	-2.75775240733748	6.40884876575936
"miR-5096"	2.22011733134457	13.3891692913433
"miR-331-5p"	-3.42660208532694	3.10196871820254
"miR-3654"	3.76112187568903	3.66356325035087
"miR-6716-5p"	-3.4884124731883	3.15592159750614
"miR-4763-3p"	5.17549426253885	7.31798986657811
"miR-4497"	2.0232565058237	16.1901509299486
"miR-6729-3p"	3.97865804705993	2.25589914924011
"miR-4739"	-2.49022156586827	11.4430475393204
"miR-4507"	2.67675644520486	7.12548951005264
"miR-6726-5p"	-3.76118625530253	4.70375936298984
"miR-7106-5p"	-3.68577657576736	2.91238479757755
"miR-4695-5p"	-2.51498198379122	5.69298878585508
"miR-4685-5p"	-3.3224028803419	3.21466615224017
"miR-4640-5p"	3.57599632359264	6.44817378066139
"miR-6088"	-2.48767531936047	8.39675091421993
"miR-6727-5p"	2.26270282820911	8.03098208175625
"miR-602"	-3.31703109993732	5.91624236875105
"miR-6877-5p"	-2.6045437505784	5.45144803909069
"miR-4284"	2.20102571474636	11.6822272570225
