"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"miR-124-3p"	8.53632215233004	3.40910466025514	7.73175371996833	8.69794873855432e-06	0.00515788360196271	3.41160303892274
"miR-4640-5p"	4.43986689849391	6.44817378066139	5.35593780275868	0.000226932734630167	0.0672855558178444	0.880152559551312
"miR-6794-5p"	2.95402318741095	5.42442684603649	4.3729475459977	0.00109632841045461	0.216707582466528	-0.540160276746126
"miR-7150"	-2.36780604222009	8.22904086251814	-3.99780231908056	0.00206932235672684	0.229607833334292	-1.1114646334253
"miR-3175"	-2.80952668257707	2.97088861816918	-3.93740013542562	0.00229581188629517	0.229607833334292	-1.22499182443539
"miR-6850-5p"	2.15920120227322	5.86493431902436	3.84619531540754	0.00268771535146513	0.229607833334292	-1.35515160646155
"miR-211-3p"	2.19173869347791	4.82902347379509	3.84135066707256	0.00271037914559873	0.229607833334292	-1.35725609078041
"miR-4763-3p"	4.11278624778792	7.31798986657811	3.55404325247575	0.00447843020556914	0.290826446039083	-1.83521721366785
"miR-5096"	1.70866902503921	13.3891692913433	3.58704847572515	0.00422571623749515	0.290826446039083	-1.86507289697405
"miR-1343-5p"	2.12416691559605	5.85620362988988	3.50252697015936	0.0049043245537788	0.290826446039083	-1.90558925827431
"miR-3187-5p"	3.62395034403752	3.68569804758819	3.34515127190814	0.00648121139961227	0.349396214542734	-2.11007725405375
"miR-92b-3p"	-2.76387285928312	7.73047678919727	-3.03244753636084	0.0113268842079213	0.507080621173078	-2.60131218214312
"miR-7158-5p"	2.16469101429036	3.74648892038853	2.96525353915985	0.0127765272122458	0.507080621173078	-2.68735224431237
"miR-92a-3p"	-1.78172139739197	9.91527138057623	-3.02080591864866	0.0115656213496493	0.507080621173078	-2.6992016540729
"miR-6746-3p"	1.66818718789947	5.1685525882454	2.96306934647562	0.0128266598947659	0.507080621173078	-2.77036466570241
"miR-1910-3p"	2.45813156103906	3.50405705312882	2.88149150167012	0.0148474613208444	0.519909291704313	-2.80273476864502
"miR-4640-3p"	-2.27088823722344	3.80122924952698	-2.87934821927226	0.0149046508583024	0.519909291704313	-2.82169665079382
"miR-4736"	2.35394821199038	2.78514889177837	2.62853046597131	0.02336359821121	0.729190196802503	-3.16629784476381
"miR-6512-3p"	1.48441058668014	5.36806835705079	2.68241746818256	0.0212155147483629	0.698933346987735	-3.23017550095203
"miR-7515"	-1.76966118299603	2.40667246582195	-2.5443218859229	0.0271568864628324	0.766858746307601	-3.34115488765865
"miR-1273e"	1.38906815849054	8.73214304745723	2.59459883863929	0.0248248955248861	0.736058152312872	-3.40032164464989
"miR-422a"	-2.02545354454061	4.67894025656871	-2.37287057980746	0.0368363504460479	0.78160174194407	-3.53540500507217
"miR-6781-5p"	1.60225671398084	6.54633565462222	2.49024048040757	0.0299053163278343	0.78160174194407	-3.57261696776152
"miR-6845-5p"	1.50207361351751	6.78573389087638	2.46589077666285	0.0312298737198127	0.78160174194407	-3.60517851909775
"miR-6846-5p"	1.74263328919625	4.31636866411155	2.35255545101622	0.0381847744352928	0.78160174194407	-3.62759238984279
"let-7b-5p"	-1.39939991480533	10.2642203373108	-2.43325702398612	0.0330951116595713	0.78160174194407	-3.66248116401808
"miR-93-5p"	-1.53145548462524	8.72931656150167	-2.40240805435448	0.0349577532167071	0.78160174194407	-3.66935433209152
"miR-185-5p"	-1.97530509784548	5.13910772657685	-2.21809202624909	0.048386484187914	0.78160174194407	-3.75583330885953
"miR-320b"	-1.66598252038581	7.47229101308108	-2.234781662712	0.0469908619437278	0.78160174194407	-3.84403781836
"miR-200c-3p"	-1.43466257901446	9.71107292950403	-2.25369263460453	0.0454560411582675	0.78160174194407	-3.91930663418148
"miR-582-5p"	-2.0068740353896	2.8804583180777	-2.08551095911118	0.06096260157407	0.78160174194407	-3.9228098015814
"miR-103a-3p"	-1.5142661629297	7.76009619297802	-2.18304029585481	0.0514475220165224	0.78160174194407	-3.93440013823975
"miR-141-3p"	-1.54350896124524	9.86015967535505	-2.2548013775156	0.0453675618945642	0.78160174194407	-3.93575622053927
"miR-6891-5p"	1.68623141327167	6.64518200941237	2.27471468157875	0.0438062979424232	0.78160174194407	-3.94404813006923
"miR-21-5p"	-1.70094435084091	12.4802388585092	-2.25744763968355	0.0451570531876338	0.78160174194407	-3.96449132961773
"miR-4784"	1.6185390034771	1.70538208100952	2.11857783191804	0.0575639430678816	0.78160174194407	-3.97124758023588
"miR-27b-3p"	-1.38833322911718	9.70197586309818	-2.19894519535845	0.0500363507018735	0.78160174194407	-4.02164532755129
"miR-5703"	1.42432461207167	3.32084309910558	2.04728146612128	0.0651273878552468	0.78160174194407	-4.08728904715787
"miR-664a-3p"	-1.69190120529412	3.75546110816399	-1.96094060383987	0.0755343491290273	0.78160174194407	-4.09153194098825
"miR-375"	1.39493472634321	6.09088908479335	2.14029928827877	0.0554297394312984	0.78160174194407	-4.09929968104062
"miR-9-5p"	2.0127621378671	3.17833013362548	1.94452810152318	0.0776799665589416	0.78160174194407	-4.11089513526363
"miR-6800-5p"	-1.35425870510718	5.65571311789685	-2.04871478499225	0.0649665303944621	0.78160174194407	-4.11906026173305
"miR-192-5p"	-1.83278088351889	4.92433326592576	-1.95527658787382	0.0762685153212696	0.78160174194407	-4.11992958711693
"miR-452-5p"	-1.6726920668179	3.17167400287846	-1.9132647580714	0.0819240523646353	0.78160174194407	-4.15102669795604
"miR-4306"	-1.75466313683309	4.70731000798302	-1.93820336173751	0.0785217856830163	0.78160174194407	-4.16298295130828
"miR-1290"	-1.60648269883687	9.78545156468201	-2.10479539319771	0.0589581787215201	0.78160174194407	-4.17211154610176
"miR-6848-5p"	1.42264443424149	3.59436705725521	1.98638242133697	0.072316905911509	0.78160174194407	-4.18696348707055
"miR-532-5p"	-1.79224223090792	4.52909548253173	-1.87784718224077	0.0869900939661087	0.78160174194407	-4.20822791637707
"miR-1234-3p"	1.58371107881259	3.94391892175605	1.89379472865652	0.0846743252913389	0.78160174194407	-4.22184888228465
"miR-320a"	-1.28677058669254	7.95565091966702	-1.9952598582877	0.0712246068495479	0.78160174194407	-4.22943924558188
"miR-4667-5p"	1.3887584917712	3.58113619671005	1.88854974455843	0.0854296228638445	0.78160174194407	-4.27279255943969
"miR-584-5p"	-1.61076309690296	2.86625071188016	-1.80482908683704	0.0983529021453459	0.78160174194407	-4.28880533143272
"miR-4429"	-1.25611369151582	7.67373069592034	-1.92270267001224	0.080620763806575	0.78160174194407	-4.35089627044251
"miR-378g"	-1.77757158886089	5.38559033329259	-1.74499656021244	0.108652633230226	0.78160174194407	-4.39290712310648
"miR-30d-5p"	-1.0844037822688	9.04361021873324	-1.92989395036812	0.0796406067122656	0.78160174194407	-4.40233531728672
"miR-106a-5p"	-1.22710320026412	8.15750816588499	-1.91145417648762	0.0821762903810794	0.78160174194407	-4.40401168049437
"miR-17-3p"	-1.85630580889251	5.89138972254698	-1.71935409375117	0.113357240309331	0.78160174194407	-4.4324845688229
"miR-197-5p"	1.09146154270246	6.08595237909945	1.92065481529642	0.080901915499995	0.78160174194407	-4.44821564543227
"miR-183-5p"	-1.39186659953034	5.47863522214864	-1.70701918627865	0.115684786453039	0.78160174194407	-4.4567536350261
"miR-3940-5p"	1.24065232746204	7.97899129625641	1.91501989734356	0.0816802206278014	0.78160174194407	-4.46242787423371
"miR-107"	-1.16250203501563	7.85612208140083	-1.83723659909474	0.0931521695000587	0.78160174194407	-4.48025023338673
"miR-1236-5p"	1.46651403563252	3.20382356527328	1.71096180610321	0.114936217466294	0.78160174194407	-4.49975099265166
"miR-873-5p"	-1.55240686256199	4.22238474572965	-1.6359964998164	0.129935421142686	0.78160174194407	-4.51809766756475
"miR-378i"	-1.49074399922772	4.89390766991702	-1.63685817571174	0.129753591390165	0.78160174194407	-4.52194147694717
"miR-345-5p"	-1.44450142036399	4.89731642056986	-1.63505731651205	0.130133862909752	0.78160174194407	-4.52702449567812
"miR-6516-3p"	-1.49787332367829	3.64809074543031	-1.62628507020344	0.132000335030212	0.78160174194407	-4.52771147970229
"miR-146b-5p"	1.40612283943222	4.14873235573015	1.5784030218696	0.142609555626568	0.78160174194407	-4.57905129339326
"miR-32-5p"	-1.50677002660699	4.25968654651037	-1.57840457916778	0.14260919876702	0.78160174194407	-4.57943391530978
"miR-455-5p"	-1.48025651437702	4.38488043128601	-1.58126642358852	0.141954716240696	0.78160174194407	-4.5816951752874
"miR-17-5p"	-1.03346009411446	9.56858094922202	-1.8272362068618	0.0947296267587764	0.78160174194407	-4.59691967178069
"let-7c-5p"	-1.05750487194451	9.86405364621143	-1.8163230049701	0.0964788441185171	0.78160174194407	-4.60161887712706
"miR-320d"	-1.12019607905796	7.26634000207037	-1.71479258041542	0.114213042804441	0.78160174194407	-4.62301590021001
"miR-6756-5p"	0.981887821955952	6.95127215779693	1.7984006306044	0.0994154240814162	0.78160174194407	-4.62699998888915
"miR-363-3p"	-1.40466861229428	5.63660996406818	-1.54793226901416	0.14974299285421	0.78160174194407	-4.62842175854775
