"logFC"	"AveExpr"
"miR-6812-5p"	-2.63084348507627	4.1148483233017
"miR-3648"	1.47492688857969	6.91700904653519
"miR-6794-5p"	1.89304581222416	5.42442684603649
"miR-7845-5p"	1.93727807547304	4.09901869891123
"miR-4640-5p"	1.96688870841371	6.44817378066139
"miR-6850-5p"	1.31494263119433	5.86493431902436
"miR-1910-3p"	2.43847442655905	3.50405705312882
"miR-598-3p"	-2.81394391523247	2.78308515297371
"miR-143-3p"	-1.87610791649293	3.73940554846643
"miR-6778-5p"	1.67293754222185	7.74873110787853
"miR-1281"	-2.36403553352573	3.69546067541749
"miR-6732-3p"	-1.72436466324809	4.90205847859132
"miR-4655-5p"	1.29863658134539	4.82437275553596
"miR-3184-3p"	-1.48015814011403	5.36810658766123
"miR-4688"	1.09356641382725	5.9859489745653
"miR-4430"	1.7842795660497	3.42007908239718
"miR-4667-5p"	1.52991507434143	3.58113619671005
"miR-3687"	0.971598080894818	8.97740516468543
"miR-4783-5p"	-1.10496119622323	5.65532625759938
"miR-6800-5p"	-1.35537165684607	5.65571311789685
"miR-6845-5p"	1.07398659110024	6.78573389087638
"miR-4259"	-2.19989480547803	2.82588189638742
"miR-1236-5p"	1.79039161557432	3.20382356527328
"miR-7158-5p"	1.5452308162441	3.74648892038853
"miR-6887-5p"	-1.69736584681731	3.76195225041727
"miR-6746-3p"	1.02990021082452	5.1685525882454
"miR-1229-5p"	1.33477156386479	3.95965718150207
"miR-6894-5p"	1.65551756158118	4.78640849353738
"miR-6837-5p"	1.41410236410994	3.09223565297676
"miR-211-3p"	1.0517735949888	4.82902347379509
"miR-205-3p"	1.46923950055506	4.37459713993092
"miR-1290"	1.12709413711637	9.78545156468201
"miR-4448"	1.27490979233765	7.44715617422044
"miR-1245a"	-1.61889340630454	3.62808684174447
"miR-582-5p"	-1.76701856958246	2.8804583180777
"miR-6756-5p"	0.826374408929512	6.95127215779693
"miR-7641"	1.4518606085897	10.2243321216452
"miR-3607-5p"	1.41897114949832	4.72963638867206
"miR-20a-3p"	1.55084540897057	3.05269382304662
