"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"miR-6778-5p"	9.66066698546625	7.74873110787853	11.6427608614245	1.49618615919409e-07	8.87238392402098e-05	7.63645009022384
"miR-6800-5p"	5.6236127109923	5.65571311789685	9.67852351062145	9.75775287996399e-07	0.000289317372890932	5.93969155611991
"miR-6726-5p"	4.95333257265558	4.70375936298984	6.34800505385631	5.31212957730706e-05	0.00846989766161138	2.29046008575986
"miR-1914-3p"	5.25077069248942	5.2557230695084	6.29597380675374	5.71325306010886e-05	0.00846989766161138	2.22565645826371
"miR-4259"	4.07095700739123	2.82588189638742	4.55846124417937	0.000806135596493362	0.0956076817441127	-0.258647958265321
"miR-5010-5p"	3.60227734914027	3.98893686096531	3.74442585110643	0.00320784799587259	0.317042310258741	-1.52150641018707
"miR-9-5p"	3.28436823390355	3.17833013362548	3.24636342442599	0.00772727823692092	0.522725192582709	-2.31458417743592
"miR-5100"	-2.23981107949373	5.06556732148259	-3.17770243699354	0.00873461575344203	0.522725192582709	-2.5476538018545
"miR-1910-3p"	2.57465018210543	3.50405705312882	3.11926437913971	0.00969642009849882	0.522725192582709	-2.57786164497667
"miR-494-3p"	-2.46574585264559	3.79291769013098	-3.14895766322508	0.00919499945162256	0.522725192582709	-2.61163185026614
"miR-3607-5p"	2.71924891593528	4.72963638867206	3.02575963755612	0.0114634207104408	0.522908344714725	-2.6955536207335
"miR-1275"	1.97982634801569	7.43578378725242	3.14887315814159	0.00919638855114798	0.522725192582709	-2.77217529386597
"miR-198"	2.60201805992107	3.66658497825027	2.91651042566244	0.0139435666041033	0.524647561164869	-2.89746344796945
"miR-362-3p"	2.46516536245711	4.44933710099738	2.86588323506625	0.0152690149965392	0.524647561164869	-2.94924740242289
"miR-200c-3p"	1.82305212117944	9.71107292950403	3.0271657362499	0.0114345775164499	0.522908344714725	-2.98083971006639
"miR-4665-5p"	2.7596676670084	3.90885523749016	2.84242420940021	0.0159252210808898	0.524647561164869	-2.99670392797772
"miR-96-5p"	2.48548612203145	6.17826442636014	2.87174475368057	0.0151093190732512	0.524647561164869	-3.01334996341557
"miR-1587"	-2.35816633500438	3.59797831397601	-2.77916238116068	0.0178385106516209	0.54465856093261	-3.07866164850388
"miR-3620-3p"	-2.31447666755507	3.81750319590817	-2.76279969171621	0.0183695973333089	0.54465856093261	-3.13133817370373
"miR-6794-5p"	1.9247797225885	5.42442684603649	2.87654422398932	0.0149798032621832	0.524647561164869	-3.18186547945379
"miR-629-5p"	2.39724242142025	3.21493918321309	2.69233944642257	0.0208418542116287	0.561782706704356	-3.21816452346534
"miR-361-3p"	2.33875425043288	4.30267483107872	2.69522744919291	0.0207343220847052	0.561782706704356	-3.22467722011072
"miR-4706"	-1.90458245898655	3.25049682979336	-2.63050658159977	0.0232811584294817	0.600248997768811	-3.44081810712029
"miR-6859-5p"	-1.82412894531004	4.43279322388369	-2.59014616690415	0.0250232152904823	0.604659195581535	-3.52825349542097
"miR-181c-5p"	1.75603838439103	5.72726030617503	2.57248459090475	0.0258253198425727	0.604659195581535	-3.56236716590439
"miR-6829-3p"	-1.99909966530089	3.81271234472373	-2.48009237650499	0.0304505415097718	0.604659195581535	-3.58658609546495
"miR-28-5p"	2.23603121927138	4.9500603174326	2.4590976596156	0.031609502635797	0.604659195581535	-3.61675955881293
"miR-1236-5p"	2.04080437425812	3.20382356527328	2.47516772644106	0.0307186139615396	0.604659195581535	-3.67420060519025
"miR-1228-3p"	-1.74161409191574	5.24736257491119	-2.49140508608019	0.029843359235045	0.604659195581535	-3.67766037379104
"let-7d-5p"	1.98614839217734	8.15764395058431	2.53846172443074	0.0274423149472001	0.604659195581535	-3.72282993844088
"miR-32-5p"	2.17641686151368	4.25968654651037	2.3566324688317	0.0379103865880059	0.661201742549633	-3.76514711348853
"miR-129-5p"	-1.94809144246189	4.35892124267719	-2.37718175513747	0.0365561825885024	0.656903523484301	-3.77088244524274
"miR-625-5p"	1.94623874075369	3.73691301937508	2.31674463965889	0.0406787467439903	0.68730546203781	-3.8219028382544
"miR-141-5p"	1.98809237885609	4.00495803264261	2.28627361493038	0.0429238434423736	0.68730546203781	-3.87331491692678
"miR-3687"	1.36082449804296	8.97740516468543	2.47055001115523	0.0309720704521311	0.604659195581535	-3.9485588851435
"miR-146b-5p"	1.93386553653682	4.14873235573015	2.22764110560442	0.0475831932719522	0.68730546203781	-3.96153608688772
"miR-7113-3p"	-1.42067675362636	6.47072571090886	-2.3903485631013	0.0357132426122316	0.656903523484301	-4.02910202384408
"miR-6729-3p"	-1.98723263572532	2.25589914924011	-2.15645237268261	0.053891504315389	0.68730546203781	-4.05300391677104
"miR-454-3p"	1.96225412867198	5.17859530571666	2.19458783081653	0.0504192477130537	0.68730546203781	-4.08624607473444
"miR-4539"	-1.52023566912618	5.3667859189638	-2.22787176042126	0.0475639486295875	0.68730546203781	-4.12327666831703
"miR-21-3p"	1.7163127076009	5.74028593076373	2.12756354667113	0.0566717997217769	0.68730546203781	-4.14152405724887
"miR-6782-5p"	1.6059010981121	5.39126741551453	2.23024314355639	0.0473665238607925	0.68730546203781	-4.17734114143865
"miR-6837-5p"	1.6424830500561	3.09223565297676	2.1763439019393	0.0520529320330035	0.68730546203781	-4.19531105789936
"miR-181a-3p"	1.88073894155642	2.84759281428574	2.03867979345294	0.0661006076697041	0.68730546203781	-4.23216610612336
"miR-4448"	-1.91459223806675	7.44715617422044	-2.27411835161335	0.0438522937019901	0.68730546203781	-4.24055055605765
"miR-132-5p"	1.8680738950645	3.47209848629335	2.01896518203573	0.0683828368637956	0.68730546203781	-4.26634924526517
"miR-25-3p"	1.30501438573363	8.23199199136391	2.21486556461781	0.0486608184392457	0.68730546203781	-4.27665930710442
"miR-22-5p"	1.47192386520704	6.13147176077613	2.1170610344538	0.0577158423496808	0.68730546203781	-4.30981577545367
"miR-363-3p"	1.76153471554893	5.63660996406818	1.99457682648127	0.0713080991448538	0.701521961905912	-4.33207986626984
"miR-210-5p"	-1.85513484895804	5.48095673101329	-2.04778421041465	0.06507092372128	0.68730546203781	-4.35278744074859
"miR-340-5p"	1.91773876985525	2.86203170381785	1.95220216490435	0.0766697882821657	0.721017476956372	-4.3660991266076
"miR-6893-3p"	-2.03407122867393	4.07139891076352	-2.03677096374439	0.0663184197473849	0.68730546203781	-4.37183665164938
"miR-182-5p"	1.59495172498028	6.28330986224903	2.05196067160897	0.0646036309613461	0.68730546203781	-4.37865082188582
"miR-30e-5p"	1.38377005647946	7.33569738813208	2.07887826457351	0.0616667294651061	0.68730546203781	-4.3848182958027
"miR-30d-5p"	1.17739213617692	9.04361021873324	2.16747380018431	0.0528653047534901	0.68730546203781	-4.40782318633093
"miR-20a-3p"	1.72406002756467	3.05269382304662	1.91658010842788	0.0814640319664029	0.721017476956372	-4.41078026099174
"miR-4461"	1.13280406969642	8.84939130438995	2.18221536720965	0.0515217388511181	0.68730546203781	-4.41306742039914
"miR-652-3p"	1.81159062533747	5.05439920896586	1.94638937904492	0.0774338291823783	0.721017476956372	-4.42841685181329
"miR-296-3p"	1.37767430327157	3.39693664488225	2.03469626949434	0.0665559211366275	0.68730546203781	-4.43903539319312
"let-7a-5p"	1.29814421172391	9.96457788128564	2.12238694962929	0.0571841455385056	0.68730546203781	-4.50325576387402
"miR-4784"	1.40694118162173	1.70538208100952	1.92166858371978	0.0807626213224284	0.721017476956372	-4.59264327640938
"miR-92a-3p"	1.17442634274601	9.91527138057623	2.07053703357623	0.0625631107091113	0.68730546203781	-4.59801191628393
"let-7f-5p"	1.52291997751499	9.65375811929869	2.03624814589947	0.0663781945334951	0.68730546203781	-4.64063819367097
"miR-1291"	1.49704059449129	3.55532802786998	1.77473643857167	0.10341710677802	0.740867609101933	-4.6410807579078
"miR-4443"	-1.07365276360465	6.49402595532586	-2.02443764689918	0.0677420373614152	0.68730546203781	-4.64888297549146
"miR-3663-5p"	-1.27835748483921	4.50976595903731	-1.92327105025532	0.0805428906650128	0.721017476956372	-4.66267708770467
"miR-1245a"	-1.57792212609908	3.62808684174447	-1.8535118609656	0.0906361625348327	0.726314113285889	-4.68407117054943
"miR-3610"	1.27296962117559	4.05022794141179	1.87338076782788	0.0876490256780384	0.726314113285889	-4.6862838731249
"miR-141-3p"	1.30474422111959	9.86015967535505	1.9876232005912	0.0721633046817211	0.701521961905912	-4.73013568618099
"miR-200b-5p"	1.5216705785613	3.32432495944629	1.68167066164281	0.120602601527871	0.761449295907614	-4.75088085468728
"miR-23c"	1.4586841019243	4.14016991663314	1.68727866185311	0.119498811021094	0.761449295907614	-4.7610669858286
"miR-362-5p"	1.902346561743	3.11600951207345	1.67032669539	0.122863180100132	0.761449295907614	-4.76847880183834
"miR-6749-3p"	-1.17485498612575	6.38544362733299	-1.88890341058994	0.0853784993172863	0.726314113285889	-4.77698145045821
"miR-155-5p"	1.55623719644156	5.47714192266207	1.69994858471418	0.117038188581359	0.761449295907614	-4.78465977305005
"miR-602"	1.36551792686479	5.91624236875105	1.83981981533629	0.0927486116075018	0.733332355776647	-4.79007539877706
"miR-4800-5p"	1.53219651294074	3.32028725966713	1.80550725767482	0.0982414152769615	0.734904796024008	-4.79383393973778
"miR-4505"	1.38945371378924	4.70618545026651	1.8129923583697	0.0970185261763827	0.734904796024008	-4.79406362477436
"miR-103a-3p"	1.19485074760191	7.76009619297802	1.85852723624577	0.0898734610798621	0.726314113285889	-4.80292167975184
"miR-3689a-3p"	-1.50748958340003	3.68860411378814	-1.65793450575351	0.125375643988733	0.761449295907614	-4.80913563014891
"miR-501-5p"	1.46534640753212	2.98025515981454	1.63329603199582	0.13050673017919	0.761449295907614	-4.81564697470891
"miR-6729-5p"	-1.17589129852645	8.3776322040301	-1.91890678624783	0.0811426203445577	0.721017476956372	-4.8205463318197
"miR-7114-3p"	-1.2855460797722	4.81483524800698	-1.7592115785332	0.106121034706056	0.749163971198706	-4.82133453231337
"miR-429"	1.21850866053682	5.92211269761428	1.73339159284257	0.110759595918149	0.752252979164462	-4.85643317245655
"miR-15b-5p"	1.02023999513874	9.59729723340483	1.90597466370742	0.082944032176259	0.723320751184141	-4.86017823554359
"let-7g-5p"	1.00166892937204	8.70792679684218	1.86849788607638	0.0883746404981663	0.726314113285889	-4.90239107043807
"miR-135b-5p"	1.55988002563025	5.51475608405287	1.61644061359642	0.134123032468545	0.761449295907614	-4.93943446927758
"miR-6870-5p"	-1.20000974021019	4.73131122480199	-1.79246986374649	0.100404921055846	0.735063187482923	-4.94245824454592
"miR-6798-5p"	1.12962192020913	5.80561858300592	1.73780649183288	0.10995374638996	0.752252979164462	-4.94925357650997
"miR-1538"	-1.39592452162003	4.04691119074029	-1.5573429008249	0.147507442259399	0.76874712693863	-4.95492547841004
"miR-500b-5p"	1.27052952070145	3.72823802824612	1.53157743478794	0.153698233860766	0.76874712693863	-4.96547649812211
"miR-944"	1.31271510446213	3.21725070068022	1.52005960430071	0.156537709813511	0.76874712693863	-4.96573841075404
"miR-30c-5p"	1.03757318353233	8.44100691776655	1.80003692285057	0.0991439859728847	0.734904796024008	-4.97944395111923
"miR-3176"	1.30101626411775	2.57984413816532	1.49169262966991	0.163724738774231	0.76874712693863	-4.98865987762268
"miR-27b-3p"	1.09818578231957	9.70197586309818	1.80946639721599	0.097592849214463	0.734904796024008	-4.99717946459392
"miR-204-3p"	1.16175359258705	3.77212119442545	1.6416966240719	0.128736760931447	0.761449295907614	-5.00677662824875
"miR-7854-3p"	1.0817256438727	2.02280811247259	1.64382082051404	0.128292579129681	0.761449295907614	-5.0116668235618
"miR-6124"	-1.00383353234119	7.14630091810829	-1.88103457567551	0.0865226428038521	0.726314113285889	-5.02646139244211
"miR-4690-5p"	-1.00042553806125	4.84244948959102	-1.70830550121309	0.11544008078178	0.761449295907614	-5.03032755277498
"miR-21-5p"	1.33087723252701	12.4802388585092	1.80252706724246	0.0987321975464155	0.734904796024008	-5.03418016197249
"miR-27a-3p"	1.09024185091981	12.1867280328746	1.77311550904417	0.103696478171097	0.740867609101933	-5.05916664898114
"miR-6723-5p"	1.19185056127749	5.15973330699132	1.57970206385277	0.142312147431479	0.761449295907614	-5.06352379043479
"miR-1248"	1.68345610392817	4.61503101022022	1.48374120135459	0.165789494215461	0.76874712693863	-5.07713183568734
"miR-6892-3p"	-1.11762873051009	5.1109715737599	-1.60120575895092	0.1374672867634	0.761449295907614	-5.07725109098018
"let-7i-5p"	0.998508142041611	9.00846056485655	1.74922603880822	0.107893760996614	0.752252979164462	-5.07844277742404
"miR-186-5p"	0.974424139583568	7.03549060914696	1.68395739023339	0.120151425010885	0.761449295907614	-5.08493134084429
"miR-3654"	-1.19090140484626	3.66356325035087	-1.41436915871303	0.18476549136661	0.787703754340493	-5.10622390308584
"miR-3609"	1.28501769085265	4.16765941671523	1.40276045013389	0.188113879849909	0.787703754340493	-5.12055662200253
"miR-31-5p"	1.26651846431292	10.8911662532903	1.7286400603933	0.111632819842281	0.752252979164462	-5.12441486493426
"miR-92b-3p"	1.36081805540683	7.73047678919727	1.60724237808329	0.136133499206832	0.761449295907614	-5.12555514338234
"miR-4734"	-0.969104571770282	5.72209501859344	-1.61195213807468	0.135100794509638	0.761449295907614	-5.14321772451945
"miR-6860"	-1.07785147923727	3.91405493483253	-1.54988072831397	0.149277722069132	0.76874712693863	-5.14924101139716
"miR-331-3p"	1.16041202128824	5.74352883625264	1.48084486102325	0.166547115589434	0.76874712693863	-5.14929274672674
"miR-218-5p"	1.32281179501956	3.60982717424027	1.37405601813148	0.196612668166387	0.787703754340493	-5.15661080982357
"miR-6789-5p"	1.13407203968521	3.89492450616549	1.57316172998108	0.143815044083732	0.761449295907614	-5.15761892919044
"miR-6812-5p"	-1.02011330782458	4.1148483233017	-1.59980935669511	0.137777450826897	0.761449295907614	-5.15990813986464
"miR-6511b-3p"	-1.04000255832348	4.9367962152725	-1.497365325336	0.162265229121803	0.76874712693863	-5.16533665363387
"miR-378e"	1.3213873108211	4.28517593572831	1.36972579697015	0.19792219122552	0.787703754340493	-5.18069333497873
"miR-2467-3p"	-0.984996582336161	4.37113695635879	-1.5500402970704	0.149239674516694	0.76874712693863	-5.18458023794095
"miR-421"	1.17139697111745	3.82023500337994	1.33918747122046	0.207364969186868	0.808443044594397	-5.18705944206372
"miR-564"	1.15280817162638	4.22447345096881	1.38374142452194	0.193709819727162	0.787703754340493	-5.18851764847924
"miR-1976"	-1.38317889003933	4.5786162032468	-1.38580321621976	0.193096521286071	0.787703754340493	-5.19925566528531
"miR-6775-3p"	-1.10835510301332	4.6244512168515	-1.41203704163747	0.185434102126455	0.787703754340493	-5.20046368513522
"miR-6792-3p"	-1.08985620423022	4.13153262579292	-1.38092349224944	0.194550673508454	0.787703754340493	-5.20619858851454
"let-7e-5p"	1.04256090998523	6.94741482321465	1.61995359631626	0.133362123109479	0.761449295907614	-5.20844772984826
"miR-194-5p"	1.33134286080993	4.19547528402594	1.32251241803737	0.212676466682752	0.808443044594397	-5.22513887668926
"miR-7845-5p"	0.991101589990482	4.09901869891123	1.50117761349124	0.161290672256857	0.76874712693863	-5.2274847924071
"miR-1913"	-0.994384415488771	5.42564938621535	-1.45045400281235	0.174676835518934	0.76874712693863	-5.23861272688592
"miR-6877-3p"	-1.04868413842453	5.42338666618489	-1.43873723454916	0.17790013711152	0.775696921375964	-5.24704896063335
"miR-1225-3p"	-0.967429684381577	6.70956793371582	-1.57414689707694	0.14358778025157	0.761449295907614	-5.2533879036138
"miR-30a-3p"	1.03327567211364	5.32217353197594	1.45484665619322	0.173481271040143	0.76874712693863	-5.2549774842432
"miR-4322"	-1.23770387450728	4.22259922124818	-1.51483870646744	0.157839668999402	0.76874712693863	-5.25570155851923
"miR-222-3p"	1.02802006235202	9.66427830837297	1.6308378422569	0.131028711473139	0.761449295907614	-5.25777780588472
"miR-664b-5p"	1.28709305492479	4.18551653721212	1.29436076075733	0.221897146846467	0.808443044594397	-5.25844938275413
"miR-5703"	0.971435921770402	3.32084309910558	1.4512140025379	0.174469483624258	0.76874712693863	-5.26530441269732
"miR-99b-3p"	1.13121886067956	3.749384707455	1.26605663908032	0.231494118499506	0.808443044594397	-5.27146905107679
"miR-1910-5p"	-1.09109971581735	3.84141706753211	-1.30026985712105	0.219935063250764	0.808443044594397	-5.272933063644
"miR-1234-3p"	-1.10806926348844	3.94391892175605	-1.27433281427088	0.228653740030265	0.808443044594397	-5.2859890314805
"miR-345-5p"	1.092681752713	4.89731642056986	1.2746055954022	0.228560604966501	0.808443044594397	-5.30112285536561
