"logFC"	"AveExpr"
"miR-6846-5p"	13.0716150472154	4.31636866411155
"miR-6858-5p"	6.16840979954502	7.11677639622448
"miR-100-5p"	4.93112686259193	7.62992706798549
"miR-149-3p"	-4.8120011254539	11.0968616569404
"miR-4632-5p"	4.94364238338391	7.22490260153827
"miR-4507"	4.79623010608351	7.12548951005264
"miR-6780b-5p"	-3.94160089897372	11.1816068152773
"miR-4253"	6.13198363167671	3.42393592635918
"let-7a-5p"	4.07458152648057	9.96457788128564
"miR-3176"	5.55824887186412	2.57984413816532
"miR-1229-5p"	4.47720302350697	3.95965718150207
"miR-6771-5p"	3.84104744086509	5.4575454102214
"miR-9-5p"	5.97910374998424	3.17833013362548
"miR-4651"	3.26120104502584	8.57061815408974
"let-7e-5p"	3.90582819983842	6.94741482321465
"miR-4478"	3.73456670847303	5.30792761793696
"miR-4728-5p"	-4.32439529852182	4.43964419884904
"let-7f-5p"	4.22834868693255	9.65375811929869
"miR-4792"	-2.5163591896567	14.464015809118
"miR-20a-3p"	4.62435343647475	3.05269382304662
"miR-4271"	-2.8738569502938	9.895315569899
"miR-638"	-3.19322752382138	10.9263261463442
"let-7d-5p"	3.91181703982382	8.15764395058431
"miR-4706"	-3.8891825244851	3.25049682979336
"miR-4525"	-4.27809094609333	4.66632484459738
"miR-6126"	-2.43869283874186	14.1694436102572
"miR-3175"	-3.61765491268579	2.97088861816918
"miR-6875-5p"	-3.25310768370491	6.08053261400152
"miR-4281"	-2.28208475812813	12.8838751055107
"miR-342-3p"	2.5875932594924	7.01255717675664
"miR-504-3p"	-3.51069504160671	3.96519156629083
"miR-3607-5p"	3.75788810194736	4.72963638867206
"miR-181a-3p"	3.78634541320273	2.84759281428574
"miR-711"	2.9865479254765	4.11448478701634
"miR-30c-5p"	2.51413425669356	8.44100691776655
"miR-96-5p"	3.52285099771078	6.17826442636014
"miR-1915-3p"	2.37211897146624	8.2289804707085
"miR-3665"	2.23156271952463	9.28787242365307
"miR-30b-5p"	2.30276777561851	9.21757907766396
"miR-4265"	-3.92046962895838	3.62337710234727
"miR-1910-3p"	3.39576156598511	3.50405705312882
"miR-5787"	-2.01046230061518	13.6835387662731
"miR-125b-5p"	2.21395557934672	9.72817023378734
"miR-103a-3p"	2.57722403273976	7.76009619297802
"miR-424-5p"	2.32748280442372	7.43011599687492
"miR-200c-3p"	2.41357089273194	9.71107292950403
"miR-132-5p"	3.3982176124113	3.47209848629335
"miR-10b-5p"	3.01463117813674	4.51429937242526
"miR-7107-5p"	-2.47979353465955	6.40884876575936
"miR-23c"	3.0947392857345	4.14016991663314
"let-7g-5p"	2.13082106643648	8.70792679684218
"miR-125a-5p"	2.10936378066522	8.34131974839246
"miR-4505"	2.85403178999239	4.70618545026651
"miR-4644"	-3.45691956524988	2.94198145878388
"miR-29b-3p"	2.54815584745067	9.79280568276133
"miR-24-2-5p"	2.88150539287543	4.51587517674911
"miR-6782-5p"	-3.00792988233227	5.39126741551453
"miR-6877-5p"	-2.65823380262236	5.45144803909069
"miR-376b-3p"	2.7133362061861	3.64104207002603
"miR-4448"	3.14235546955658	7.44715617422044
"miR-6887-5p"	-2.98804626058589	3.76195225041727
"miR-15b-5p"	1.98779478392625	9.59729723340483
"miR-362-5p"	3.73115441254112	3.11600951207345
"miR-200b-3p"	2.31479160433707	8.47606923956273
"miR-6870-5p"	-2.89478668153612	4.73131122480199
"miR-3656"	2.09865408178794	8.26457653846447
"miR-454-3p"	2.91414106050365	5.17859530571666
"miR-26a-5p"	1.92388590613888	10.6003273900044
"miR-30e-3p"	2.47211621996567	5.29839634610307
"let-7c-5p"	2.01752461639672	9.86405364621143
"miR-7977"	2.14541528929202	8.36232873508341
"miR-191-5p"	1.95433034477835	7.96250326486354
"miR-20b-5p"	1.91763424958165	8.69493539643001
"miR-3609"	2.7972465476202	4.16765941671523
"miR-7-5p"	1.82549496849617	9.23334707406048
"miR-6800-5p"	-2.33095043987559	5.65571311789685
"miR-376a-3p"	2.34855307109021	3.88212393204047
"miR-7515"	-2.42086560977697	2.40667246582195
"miR-376c-3p"	2.5012703608854	7.66855747892249
"miR-19a-3p"	1.88081952071477	8.63427649924105
"miR-99a-5p"	1.83456810283148	7.45132126487257
"miR-365a-3p"	1.81477525126819	7.56005447509556
"miR-7854-3p"	2.33353343306161	2.02280811247259
"miR-4726-5p"	-2.41893351693859	4.44815578870718
"miR-5703"	2.26215351504879	3.32084309910558
"miR-182-5p"	2.36083530293525	6.28330986224903
"miR-155-5p"	2.66920293399834	5.47714192266207
"miR-28-5p"	2.6192605306205	4.9500603174326
"miR-205-5p"	1.44775353705122	14.2488300026831
"miR-205-3p"	2.44164358847122	4.37459713993092
"let-7i-5p"	1.86317041308734	9.00846056485655
"miR-663a"	-1.68884086166321	12.5986726819555
"miR-26b-5p"	1.91133973243828	8.95508768180954
"miR-200b-5p"	2.54361839363024	3.32432495944629
"miR-222-3p"	1.98751169930333	9.66427830837297
"miR-6781-5p"	-2.38428191705473	6.54633565462222
"miR-7975"	1.9440520917052	5.30433408789555
"miR-19b-3p"	1.83278449105105	10.6762009276779
"miR-6812-5p"	-2.22760859974771	4.1148483233017
"miR-6724-5p"	1.6977316491895	6.21174929869165
"miR-21-5p"	2.17859999983161	12.4802388585092
"miR-375"	2.06425836850254	6.09088908479335
"miR-361-5p"	2.18467165146383	6.37908304099664
"miR-99b-5p"	1.89649265317904	6.97388612484791
"miR-23a-3p"	1.471461464329	12.7101881368442
"miR-107"	1.7641316454332	7.85612208140083
"miR-22-5p"	1.93127620679642	6.13147176077613
"miR-421"	2.27692026986714	3.82023500337994
"miR-7111-5p"	-2.22303365247844	6.24893190300589
"miR-152-3p"	1.66461341873634	7.45553792755977
"miR-17-5p"	1.6319520189252	9.56858094922202
"miR-23b-3p"	1.50371533152788	11.9491162806275
"miR-4421"	-2.25067008208444	3.98291395384244
"miR-200a-3p"	1.81742273909334	8.4950449380048
