"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"miR-6778-5p"	9.66066698546625	7.74873110787853	11.6427608614244	1.49618615919472e-07	8.87238392402468e-05	7.63645009022347
"miR-6800-5p"	5.6236127109923	5.65571311789685	9.67852351062151	9.75775287996607e-07	0.000289317372890994	5.93969155611972
"miR-6726-5p"	4.95333257265557	4.70375936298984	6.34800505385629	5.31212957730806e-05	0.00846989766161307	2.2904600857597
"miR-1914-3p"	5.25077069248942	5.2557230695084	6.29597380675371	5.71325306011e-05	0.00846989766161307	2.22565645826354
"miR-4259"	4.07095700739123	2.82588189638742	4.55846124417937	0.000806135596493435	0.0956076817441213	-0.25864795826539
"miR-5010-5p"	3.60227734914027	3.98893686096531	3.74442585110645	0.00320784799587265	0.317042310258746	-1.52150641018708
"miR-9-5p"	3.28436823390355	3.17833013362548	3.24636342442598	0.00772727823692137	0.522725192582727	-2.31458417743596
"miR-5100"	-2.23981107949373	5.06556732148259	-3.17770243699356	0.00873461575344212	0.522725192582727	-2.54765380185449
"miR-1910-3p"	2.57465018210543	3.50405705312882	3.11926437913971	0.00969642009849915	0.522725192582727	-2.57786164497669
"miR-494-3p"	-2.46574585264557	3.79291769013098	-3.14895766322505	0.00919499945162331	0.522725192582727	-2.6116318502662
"miR-3607-5p"	2.71924891593528	4.72963638867206	3.02575963755612	0.0114634207104411	0.522908344714738	-2.69555362073351
"miR-1275"	1.97982634801569	7.43578378725242	3.14887315814159	0.00919638855114832	0.522725192582727	-2.77217529386599
"miR-198"	2.60201805992106	3.66658497825027	2.91651042566244	0.0139435666041038	0.524647561164881	-2.89746344796948
"miR-362-3p"	2.46516536245711	4.44933710099738	2.86588323506629	0.0152690149965388	0.524647561164881	-2.94924740242286
"miR-200c-3p"	1.82305212117944	9.71107292950403	3.02716573624989	0.0114345775164504	0.522908344714738	-2.98083971006641
"miR-4665-5p"	2.7596676670084	3.90885523749016	2.84242420940022	0.0159252210808902	0.524647561164881	-2.99670392797773
"miR-96-5p"	2.48548612203145	6.17826442636014	2.87174475368057	0.0151093190732517	0.524647561164881	-3.01334996341558
"miR-1587"	-2.35816633500438	3.59797831397601	-2.77916238116071	0.0178385106516203	0.544658560932603	-3.07866164850385
"miR-3620-3p"	-2.31447666755507	3.81750319590817	-2.76279969171623	0.0183695973333087	0.544658560932603	-3.13133817370371
"miR-6794-5p"	1.92477972258849	5.42442684603649	2.8765442239893	0.014979803262184	0.524647561164881	-3.18186547945383
"miR-629-5p"	2.39724242142024	3.21493918321309	2.69233944642259	0.0208418542116286	0.561782706704352	-3.21816452346533
"miR-361-3p"	2.33875425043288	4.30267483107872	2.69522744919291	0.0207343220847057	0.561782706704352	-3.22467722011073
"miR-4706"	-1.90458245898655	3.25049682979336	-2.63050658159978	0.0232811584294819	0.600248997768817	-3.44081810712029
"miR-6859-5p"	-1.82412894531005	4.43279322388369	-2.59014616690417	0.0250232152904821	0.604659195581559	-3.52825349542095
"miR-181c-5p"	1.75603838439103	5.72726030617503	2.57248459090477	0.0258253198425724	0.604659195581559	-3.56236716590437
"miR-6829-3p"	-1.99909966530089	3.81271234472373	-2.480092376505	0.0304505415097717	0.604659195581559	-3.58658609546493
"miR-28-5p"	2.23603121927137	4.9500603174326	2.45909765961559	0.0316095026357982	0.604659195581559	-3.61675955881295
"miR-1236-5p"	2.04080437425813	3.20382356527328	2.47516772644108	0.0307186139615396	0.604659195581559	-3.67420060519024
"miR-1228-3p"	-1.74161409191575	5.24736257491119	-2.49140508608021	0.0298433592350444	0.604659195581559	-3.67766037379101
"let-7d-5p"	1.98614839217733	8.15764395058431	2.53846172443073	0.0274423149472013	0.604659195581559	-3.72282993844091
"miR-32-5p"	2.17641686151368	4.25968654651037	2.3566324688317	0.0379103865880069	0.661201742549649	-3.76514711348854
"miR-129-5p"	-1.9480914424619	4.35892124267719	-2.37718175513749	0.036556182588502	0.656903523484294	-3.77088244524272
"miR-625-5p"	1.94623874075369	3.73691301937508	2.31674463965892	0.0406787467439891	0.687305462037794	-3.82190283825437
"miR-141-5p"	1.98809237885609	4.00495803264261	2.28627361493041	0.0429238434423721	0.687305462037794	-3.87331491692674
"miR-3687"	1.36082449804296	8.97740516468543	2.47055001115524	0.0309720704521312	0.604659195581559	-3.9485588851435
"miR-146b-5p"	1.93386553653682	4.14873235573015	2.22764110560445	0.0475831932719506	0.687305462037794	-3.96153608688769
"miR-7113-3p"	-1.42067675362636	6.47072571090886	-2.3903485631013	0.0357132426122322	0.656903523484294	-4.02910202384408
"miR-6729-3p"	-1.98723263572532	2.25589914924011	-2.15645237268261	0.0538915043153897	0.687305462037794	-4.05300391677104
"miR-454-3p"	1.96225412867197	5.17859530571666	2.19458783081652	0.0504192477130549	0.687305462037794	-4.08624607473445
"miR-4539"	-1.52023566912618	5.3667859189638	-2.22787176042127	0.0475639486295869	0.687305462037794	-4.12327666831701
"miR-21-3p"	1.7163127076009	5.74028593076373	2.12756354667114	0.0566717997217766	0.687305462037794	-4.14152405724885
"miR-6782-5p"	1.6059010981121	5.39126741551453	2.23024314355639	0.0473665238607931	0.687305462037794	-4.17734114143865
"miR-6837-5p"	1.64248305005609	3.09223565297676	2.1763439019393	0.0520529320330042	0.687305462037794	-4.19531105789936
"miR-181a-3p"	1.88073894155641	2.84759281428574	2.03867979345293	0.0661006076697056	0.687305462037794	-4.23216610612337
"miR-4448"	-1.91459223806675	7.44715617422044	-2.27411835161334	0.0438522937019919	0.687305462037794	-4.24055055605768
"miR-132-5p"	1.8680738950645	3.47209848629335	2.01896518203575	0.068382836863794	0.687305462037794	-4.26634924526515
