"shCtrl.1" "shCtrl.2" "shCtrl.3" "shp53.1" "shp53.2" "shp53.3"
"ENSMUSG00000096126" 0 0 1 3 0 0
"ENSMUSG00000098104" 50 19 62 27 39 51
"ENSMUSG00000033845" 2269 7566 9702 8703 6868 7856
"ENSMUSG00000025903" 943 2908 4739 3785 2288 2181
"ENSMUSG00000033813" 2361 4343 12379 4054 2632 3962
"ENSMUSG00000062588" 30 29 141 49 36 73
"ENSMUSG00000002459" 55 505 634 451 590 691
"ENSMUSG00000091305" 0 3 1 0 1 3
"ENSMUSG00000085623" 2 7 12 3 12 12
"ENSMUSG00000033793" 1146 3471 5653 4133 2582 1585
"ENSMUSG00000025907" 618 1391 3484 1116 778 1899
"ENSMUSG00000090031" 19 78 166 101 74 120
"ENSMUSG00000033740" 0 4 3 4 1 2
"ENSMUSG00000051285" 1284 1858 6701 1427 1312 2620
"ENSMUSG00000098201" 4 2 17 1 1 20
"ENSMUSG00000048538" 38 85 62 82 75 90
"ENSMUSG00000097797" 7 26 124 77 38 71
"ENSMUSG00000086235" 0 0 2 2 0 0
"ENSMUSG00000084353" 24 23 23 9 17 29
"ENSMUSG00000076135" 1 1 2 0 0 3
"ENSMUSG00000066693" 1 1 0 0 1 0
"ENSMUSG00000061024" 2441 7935 8500 13344 6689 11403
"ENSMUSG00000025911" 395 710 3007 406 369 609
"ENSMUSG00000079671" 7 4 50 4 4 9
"ENSMUSG00000081441" 1 1 12 3 1 7
"ENSMUSG00000067879" 0 5 2 4 0 0
"ENSMUSG00000025912" 74 193 402 362 126 161
"ENSMUSG00000045210" 640 1665 3291 1362 1024 2318
"ENSMUSG00000097893" 9 40 53 13 18 7
"ENSMUSG00000025915" 120 6 526 2 3 5
"ENSMUSG00000046334" 7 1 0 0 3 4
"ENSMUSG00000046101" 11 13 48 13 19 18
"ENSMUSG00000098234" 4267 4470 13385 4049 6924 13013
"ENSMUSG00000093178" 7 2 19 4 4 15
"ENSMUSG00000099032" 357 204 1289 0 50 46
"ENSMUSG00000025916" 3 1 18 1 1 1
"ENSMUSG00000095780" 0 0 1 1 0 0
"ENSMUSG00000025917" 3024 10737 12819 9258 8101 6737
"ENSMUSG00000056763" 835 2353 4166 1978 1149 1816
"ENSMUSG00000067851" 2956 4202 10174 4243 3420 6119
"ENSMUSG00000088153" 2 6 6 2 2 8
"ENSMUSG00000042501" 0 17 3 6 0 0
"ENSMUSG00000083422" 3 1 1 7 5 6
"ENSMUSG00000081417" 0 2 4 2 5 7
"ENSMUSG00000048960" 121 1065 799 2939 74 42
"ENSMUSG00000097628" 40 56 62 63 128 94
"ENSMUSG00000016918" 207 2017 2153 2170 377 211
"ENSMUSG00000025938" 1 191 15 5 69 83
"ENSMUSG00000005886" 1869 4826 9229 8191 4267 6600
"ENSMUSG00000099183" 0 1 1 0 0 2
"ENSMUSG00000087782" 1 1 1 0 0 0
"ENSMUSG00000025935" 3174 12817 16314 16521 9799 10130
"ENSMUSG00000025937" 1507 4875 7720 3612 4312 4110
"ENSMUSG00000067813" 2 1 1 0 0 4
"ENSMUSG00000097711" 49 64 94 57 176 103
"ENSMUSG00000025932" 1216 2790 3957 1470 1822 2324
"ENSMUSG00000095853" 0 2 10 0 6 3
"ENSMUSG00000081201" 2 0 4 2 2 1
"ENSMUSG00000082193" 37 7 34 17 32 46
"ENSMUSG00000032769" 237 898 301 430 924 138
"ENSMUSG00000073737" 65 155 182 103 230 131
"ENSMUSG00000092083" 1 0 7 0 1 0
