mir	ratio	symbol	entrezid	pvalue	cor	fdr	is_target
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	A1CF	29974	1.28856024457223e-09	-0.353142729573198	2.45328984964107e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	AADACL2	344752	2.257660682026e-38	-0.674448011119742	4.51486983191559e-34	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	AARSD1	80755	4.92416602249079e-06	0.269608118102751	0.0877043210265835	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCA5	23461	2.72253322751949e-14	-0.434742072742865	5.32064668654134e-10	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCA8	10351	2.89419520434277e-38	-0.67372532829928	5.78752215012424e-34	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCA9	10350	6.00490404496856e-07	-0.293517322391523	0.0109565479204496	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCB11	8647	3.04159824841104e-19	-0.502331379270246	6.0092856593857e-15	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCB1	5243	3.52997755027179e-12	-0.400605206830927	6.83897850589656e-08	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCC13	150000	1.22223408904069e-26	-0.581514223410121	2.4329791776444e-22	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCD3	5825	1.89882564993994e-15	-0.451917736717423	3.7213185087523e-11	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCE1	6059	2.25504902529039e-06	0.278744538940322	0.0405931375042523	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCG1	9619	3.63816382905328e-08	-0.322334459392485	0.000679609003267152	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCG2	9429	4.47647971521361e-18	-0.487685441128664	8.82269387071451e-14	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABHD3	171586	1.30167006292329e-15	-0.454276688650001	2.55205432536741e-11	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABHD5	51099	9.959169518229e-19	-0.495957631299174	1.96603965459359e-14	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABHD6	57406	1.71728637712573e-11	-0.388611048826923	3.31556480831665e-07	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABHD8	79575	1.25103114430731e-06	-0.285427053525716	0.0226736884594257	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABI3BP	25890	7.80303330712496e-10	-0.357492481118457	1.48897481566559e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABO	28	4.01668502560225e-09	-0.343031172783736	7.60679810148554e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABP1	26	2.68125502687781e-22	-0.537605857345589	5.31826934581213e-18	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACAA1	30	2.4513974103263e-10	-0.367289347534755	4.69736771766727e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACAA2	10449	5.86312982392463e-21	-0.522637927839275	1.16160328071595e-16	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACACB	32	2.75131831456964e-16	-0.463798816623729	5.40083785150021e-12	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACADM	34	4.66042648985857e-10	-0.361894492119368	8.91213357655654e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACADS	35	1.26070511267961e-24	-0.561956171314028	2.50565141145073e-20	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACAP2	23527	8.96093315848669e-10	-0.356299204475524	1.70884995332341e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACAT1	38	1.18079422562784e-08	-0.333094990573317	0.000222201857378647	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACD	65057	2.24133459347797e-07	0.304002786904044	0.00412898658810512	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACER3	55331	7.30200134109416e-08	-0.315455726233303	0.00135700392922894	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACO2	50	6.84664362217962e-12	-0.395641460136629	1.32455167514687e-07	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACOT11	26027	3.71242664939749e-06	-0.272950842790064	0.0663707636379283	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACOX1	51	2.26218205073654e-36	-0.66069988260123	4.52029217378176e-32	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACSF2	80221	5.89409043058874e-17	-0.472954670569028	1.15907288317528e-12	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACSS2	55902	8.47447190294958e-11	-0.375995086456572	1.62913247862303e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACVR1B	91	6.80333478760302e-08	-0.316162099274507	0.00126480797036328	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACVR1C	130399	2.11926095386307e-07	-0.304586415526361	0.00390664564235119	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACVR2A	92	1.23500228890795e-10	-0.372938070999483	2.37194539607662e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACVRL1	94	6.73370517878243e-19	-0.498075463614944	1.32963742460238e-14	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADAM6	8755	1.60959636783254e-12	-0.406384490592955	3.12406559032619e-08	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADAMDEC1	27299	3.49603109782121e-40	-0.686275901198776	6.99555822674025e-36	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADAMTSL1	92949	4.45521399778184e-08	-0.320351828786166	0.000831253827706135	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADAMTSL3	57188	6.59664489449311e-08	-0.316469615571854	0.00122658015168205	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADCY5	111	4.79135465843695e-08	-0.319636496256706	0.000893300162518985	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADCY6	112	3.5421498046052e-09	-0.344167177854597	6.71237387972686e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADCY9	115	1.17938485542689e-20	-0.519141443700956	2.33541789071633e-16	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADCYAP1R1	117	3.50623685936241e-06	-0.273621704372717	0.0627265774139936	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADD1	118	9.10200301842676e-13	-0.410511070120684	1.76906530666143e-08	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADH1A	124	4.99885034461952e-29	-0.603123916109749	9.96520816199901e-25	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADH1B	125	5.27217729384628e-11	-0.379802861480544	1.01484140729247e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADH1C	126	1.15635364013822e-39	-0.682937859621497	2.31340109246051e-35	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADHFE1	137872	2.16327038469011e-23	-0.549290075565269	4.29495702176374e-19	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADORA3	140	2.27977318838687e-12	-0.403836550260522	4.42184807619516e-08	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADPRHL2	54936	8.25613448718343e-08	0.314224981643714	0.00153299905158022	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADRA2A	150	1.36564909612866e-13	-0.423848251803544	2.6621963479932e-09	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADRB2	154	5.55247438001862e-06	-0.268173401277563	0.0987785192205313	NA
