mir	ratio	symbol	entrezid	pvalue	cor	fdr	is_target
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	?	10431	1.77833592140964e-06	0.24220025350931	0.0328565344839644	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	A2M	2	1.84040292499025e-10	-0.319431055078545	3.67399635915803e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	AAMP	14	6.01527230470467e-07	0.252684893014559	0.0112828462619345	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCA3	21	1.16044663171625e-07	-0.267766642723303	0.00221772955787293	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCA6	23460	1.60782204401147e-11	-0.33661363258329	3.23252621948505e-07	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCA8	10351	2.34600973512593e-12	-0.349465238839318	4.73401304451062e-08	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCA9	10350	4.98868592083173e-12	-0.344497764951216	1.00551953420284e-07	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCB1	5243	5.68889574850514e-08	-0.274021511377337	0.00109425909722496	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCC6	368	3.51600844065981e-09	-0.29705846569665	6.90825338420839e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABCC9	10060	1.13181808903033e-06	-0.246628113201282	0.0210710573634777	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABHD13	84945	8.31631432293356e-07	-0.249600649939199	0.0155382016809691	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABHD5	51099	2.6938350140397e-06	-0.238054414615526	0.0494803615378811	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABI3BP	25890	9.77326960864158e-11	-0.323997102962096	1.95553351599309e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABI3	51225	5.49486780261617e-07	-0.253539344292783	0.0103204607068737	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABL1	25	2.46537996884333e-06	-0.23894542455737	0.0453654568066861	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABLIM3	22885	8.02703308895348e-08	-0.271020339316518	0.00153902305414505	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ABR	29	2.56346748526152e-10	-0.317009353905697	5.11027243186885e-06	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACAA2	10449	3.9019656447329e-06	-0.234290923896765	0.0712498926728228	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACACB	32	1.29180329411297e-12	-0.353332817690655	2.60828003114349e-08	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACAD9	28976	1.07239746038879e-06	0.247150991490203	0.0199723303022807	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACADL	33	1.95419443760116e-08	-0.283112563639353	0.000379035553117122	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACE	1636	4.13561177387235e-09	-0.295770627484577	8.1157245450471e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACOX2	8309	1.14903543761501e-07	-0.267854443577404	0.00219626633545733	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACOXL	55289	8.46337302116434e-09	-0.290010942643256	0.000165357382087509	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACP5	54	4.29763176699004e-10	-0.313189283345498	8.5445514791296e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACSL4	2182	1.81938669916339e-07	-0.263737478148261	0.00345938186978927	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACSL5	51703	1.43838448220918e-07	-0.265851124297102	0.00274314304602113	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACSM5	54988	3.38119279655458e-09	-0.297367736982128	6.64438196450941e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACSS3	79611	2.96470279530149e-09	-0.298404862882052	5.83097745779897e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACTN2	88	4.79136572833227e-07	-0.254827176591944	0.00901591289100283	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ACVRL1	94	6.59023185034481e-11	-0.326801766480619	1.32022114657958e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADAMTS10	81794	6.5138435022183e-07	-0.251930424191698	0.0122043371857562	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADAMTS8	11095	5.26932650389816e-10	-0.311667176273599	1.04696248305953e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADAMTSL2	9719	8.55632904059125e-08	-0.270459697963414	0.00163956377075809	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADARB1	104	2.38380524072557e-12	-0.349360913172699	4.81004221473606e-08	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADCK5	203054	2.05301782241207e-07	0.262643587122877	0.00389909144832501	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADCY4	196883	8.38314846539004e-11	-0.325092521738971	1.67822249128643e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADCY6	112	1.55150401758411e-07	-0.265172159831303	0.00295577030389949	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADCY7	113	5.66043220325754e-07	-0.25325936713108	0.0106268954183957	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADCY9	115	1.96716579997326e-09	-0.301614915474051	3.87885752438727e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADCYAP1	116	4.70461660568017e-06	-0.232366790158096	0.0856146129901678	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADD1	118	2.50086333572425e-07	-0.260846216225116	0.00473913602119746	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADH1A	124	4.24227247731254e-10	-0.31328580392708	8.43575882113598e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	ADH1B	125	4.20369483988824e-11	-0.329967158599447	8.43345258778378e-07	NA
