baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000113739	2811.48210409492	-3.39720858790817	0.0780387675266169	-43.5323198402573	0	0
ENSG00000070669	2630.34699026385	-3.35483416544765	0.0825381677092788	-40.6458521985157	0	0
ENSG00000151929	1382.39840487756	-4.25714066155883	0.11240712654822	-37.8725156694814	0	0
ENSG00000120694	6684.0563129616	-3.52278879662864	0.0701992196950255	-50.1827343941015	0	0
ENSG00000051108	1234.8225299514	-3.69973513538253	0.0940838836079915	-39.3237926996912	0	0
ENSG00000132002	16865.203909872	-4.7073577254572	0.0700307372461335	-67.2184516480597	0	0
ENSG00000110172	2580.14005940455	-2.91311138957935	0.0818610100406396	-35.5860670193679	2.30125392909617e-277	5.16105506184011e-274
ENSG00000164070	2609.92541982779	-2.77600133178074	0.0780574370926982	-35.5635726097958	5.12597138535328e-277	1.00590780973326e-273
ENSG00000160570	961.478089234439	-3.54349890126908	0.101927880461368	-34.7647658837772	8.2925266699171e-265	1.44649306878921e-261
ENSG00000080824	27945.4862022565	-3.06308232981999	0.0886023213449916	-34.5711295519362	6.86303574812648e-262	1.07742798209838e-258
ENSG00000173110	2131.14850372498	-8.17887915002392	0.240326736784502	-34.032331397891	7.41021556818603e-254	1.0575724927723e-250
ENSG00000140403	742.2098666373	-3.49957582379257	0.112499293780501	-31.1075359336978	1.90478964831453e-212	2.49194105740748e-209
ENSG00000128965	791.723745300557	-6.00887162492149	0.197785599312203	-30.3807337127539	9.87101709162133e-203	1.19203921016433e-199
ENSG00000175197	519.10900120432	-4.71359308960178	0.158181541531177	-29.7986291192689	4.06969342794155e-195	4.56357979466103e-192
ENSG00000149257	5525.14381735887	-2.18270408523656	0.0736090329332201	-29.6526662321018	3.13346097449579e-193	3.2794802559073e-190
ENSG00000150991	11282.9534080974	-2.2974443690731	0.0780785960398925	-29.4247653723086	2.64846272137224e-190	2.59863851642643e-187
ENSG00000101255	1088.2861288678	-2.97900445841955	0.101720999922644	-29.2860319961954	1.56220430876454e-188	1.4426497319585e-185
ENSG00000135069	4546.84165834942	-2.08116277938993	0.0742003075305871	-28.0478996469392	4.23723756755258e-173	3.69557736516711e-170
ENSG00000106105	5065.21911452092	-1.80757999405578	0.0644938494982722	-28.0271686078253	7.58290438308931e-173	6.26547452158521e-170
ENSG00000013441	2103.1898846407	-2.08919773236866	0.0750358528052128	-27.8426599320735	1.32175870529509e-170	1.03751449572138e-167
ENSG00000155096	2264.01646963203	-1.96882891416097	0.0716500068959503	-27.4784190463525	3.17992137298745e-166	2.37721836354905e-163
ENSG00000044574	5190.71471275823	-2.78205232038388	0.102301408507386	-27.1946629178916	7.51097155263418e-163	5.35976101840018e-160
ENSG00000162616	2539.93840042896	-2.30683348968831	0.0849021921285277	-27.1704820789097	1.45058122465891e-162	9.90116288953056e-160
ENSG00000128590	374.913208857252	-3.42410964638133	0.130662512728213	-26.2057538530866	2.28498691339459e-151	1.49466706472423e-148
