baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000100292	3473.73470962197	-4.32142278677356	0.0907701564523497	-47.6084095882562	0	0
ENSG00000176907	1063.60256336871	3.1280130054742	0.0877220175100662	35.6582428706141	1.7558567724068e-278	1.51609453013465e-274
ENSG00000132002	16865.203909872	2.3197120931813	0.0674690659648819	34.3818616725586	4.70755369319791e-259	2.70982482426116e-255
ENSG00000130164	1964.16806387525	2.53638511310261	0.0793669751820545	31.9576890423828	4.22464586340909e-224	1.82388523538029e-220
ENSG00000112972	1447.8651360043	2.37513508964675	0.0775597014222965	30.6233139902722	5.99084700199884e-206	2.06911873755036e-202
ENSG00000116741	521.01151605406	2.84451908788659	0.100629782162647	28.2671692887999	8.75658997428021e-176	2.52029253776408e-172
ENSG00000044574	5190.71471275823	2.84964627557352	0.101763792690936	28.0025557245897	1.51242461621363e-172	3.73115152819904e-169
ENSG00000052802	960.588187355513	2.51707723535307	0.0902250561317565	27.8977630302314	2.84010556329924e-171	6.13072287157682e-168
ENSG00000132640	4238.10946514343	1.86577638937787	0.0676568569005296	27.5770479867395	2.09769028086994e-167	4.02500149559367e-164
ENSG00000186480	668.18083335979	2.8585795973185	0.104290971834636	27.4096553808231	2.10417393714154e-165	3.63369797204973e-162
ENSG00000051108	1234.8225299514	2.23094013833278	0.0818874887859832	27.2439681739838	1.95913480812951e-163	3.07566354559895e-160
ENSG00000102804	2687.06593651161	2.01459224097923	0.0746391427494048	26.9910956472674	1.88010272657133e-160	2.70562449876336e-157
ENSG00000112245	3933.01591187627	1.95338880357957	0.073792318113995	26.4714384031406	2.06741499907321e-154	2.74632227838425e-151
ENSG00000118515	3043.62494565537	1.86075079349176	0.0747895572483392	24.8798209529857	1.23043759622752e-136	1.51774477494665e-133
ENSG00000168564	706.213276751795	2.2369140216847	0.090254458005136	24.7845266718837	1.31649660948259e-135	1.51563866327699e-132
ENSG00000004799	700.449386982656	2.45424602570786	0.0995702256579727	24.6483927247316	3.82909392904018e-134	4.13278894128718e-131
ENSG00000128590	374.913208857252	2.78661846146048	0.114377561399281	24.3633316480027	4.18762796398278e-131	4.25389101823639e-128
ENSG00000173110	2131.14850372498	4.60194209597516	0.18973894924832	24.2540717876137	5.98941845291444e-130	5.74618151463219e-127
ENSG00000120129	914.587376746955	2.07696735354447	0.0865077513957597	24.009031792338	2.23793647711849e-127	2.03404868543996e-124
ENSG00000113161	1346.35759426778	1.81919378802151	0.07589793099731	23.9689509861077	5.86332814206519e-127	5.06269068426619e-124
ENSG00000112773	1300.78926380159	1.9859528413582	0.0835843961166068	23.7598515228565	8.69121048194738e-125	7.1470720863214e-122
