baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000100292	2555.58114125121	-4.64224166340044	0.165448750970932	-28.0584872122488	3.14722170425793e-173	5.45161743611558e-169
ENSG00000113739	3726.57486518573	-3.08076162838081	0.13732332921394	-22.4343645469096	1.81889037880279e-111	1.26673696055585e-107
ENSG00000126838	831.701055512165	3.6127533494601	0.161096467994649	22.4260245704462	2.19386380421866e-111	1.26673696055585e-107
ENSG00000070669	4189.03153029052	-3.71587354035035	0.168034614743488	-22.1137385652521	2.3313520728029e-108	1.0095920151273e-104
ENSG00000128965	719.349608638504	-5.73563755569244	0.261860084614108	-21.9034434520435	2.40871520681329e-106	8.34475296248398e-103
ENSG00000101255	706.366507491053	-3.92754640217087	0.184037564311095	-21.3410040329147	4.7268660627603e-101	1.3646462323189e-97
ENSG00000116761	760.904558653802	-3.84079496462394	0.19102726769751	-20.1060037706544	6.53842391519138e-90	1.61797970084207e-86
ENSG00000198938	2867.36015316223	4.04221533648668	0.204490035958688	19.7672973039298	5.69460041239094e-87	1.23302335429295e-83
ENSG00000130766	628.832526497767	-3.32158037312789	0.177811384626066	-18.6803582915296	7.15373709864766e-78	1.37685593358639e-74
ENSG00000153879	2793.70449506252	-2.55991517415906	0.141370256302444	-18.1078767282026	2.76197710932608e-73	4.78429674877463e-70
ENSG00000118515	8013.12022668619	2.88735996993091	0.163237447557153	17.6880980016548	5.17943839708177e-70	8.15620290129549e-67
ENSG00000146733	1869.81182842607	-2.47646047817777	0.14117665821269	-17.5415717408954	6.89925230415764e-69	9.95907070105156e-66
ENSG00000173110	407.872641282233	-5.08453119761117	0.291059991719867	-17.4690144377686	2.4671979426753e-68	3.28744636638627e-65
ENSG00000162772	812.397761013553	-2.68616151737796	0.154928476725235	-17.338074795261	2.42731759241659e-67	3.00328538113144e-64
ENSG00000111981	212.0929105701	-3.99021218622434	0.236003645708825	-16.907417570775	3.96715645348823e-64	4.5812722724882e-61
ENSG00000132640	14059.7683995855	2.13216327615401	0.129017139841385	16.5262017029312	2.37655586137786e-61	2.5729187894242e-58
ENSG00000223414	2293.04085632493	2.35482549017961	0.145738769484996	16.1578521521827	9.99850537106296e-59	1.01878888257384e-55
ENSG00000004799	1333.76575562507	3.37953704961142	0.209267444260292	16.1493683910425	1.14730434106969e-58	1.10408921088939e-55
ENSG00000121966	701.457231572378	2.69289096741494	0.172949085661394	15.5704261581769	1.15634234167827e-54	1.0542190548711e-51
ENSG00000100219	4234.54453981997	-1.92793640313132	0.124498977343233	-15.4855601569815	4.3426358519591e-54	3.76115691138178e-51
ENSG00000162733	241.645045167514	-3.04450837690822	0.202921301009616	-15.00339472377	6.97582874643925e-51	5.75406216884861e-48
ENSG00000241322	194.841049679944	-3.36498940714536	0.225507087390052	-14.9218787138386	2.37491311899721e-50	1.86992022942135e-47
ENSG00000168672	335.45819747274	-2.85313011950466	0.194066574283216	-14.7018111183891	6.27584539907122e-49	4.72653017403094e-46
ENSG00000120694	11333.0033391956	-2.15050145608827	0.146352838666151	-14.6939511094406	7.04813899354951e-49	5.08699431859436e-46
ENSG00000176907	2686.4917928019	2.57799426010379	0.180258706972033	14.3016351521026	2.13728066711963e-46	1.48087902863385e-43
ENSG00000135842	821.387031496794	-1.95517888021094	0.137636650820759	-14.2053651302306	8.48592001074786e-46	5.65358101639132e-43
ENSG00000065060	2250.29753636013	-1.78491099669865	0.126168315910839	-14.1470620719073	1.94723931314362e-45	1.24926219934347e-42
ENSG00000140403	1183.60824239698	-2.27719207683523	0.162150553142763	-14.0436898468691	8.42113632508268e-45	5.20967583653865e-42
ENSG00000132002	10057.396701516	-3.09091137375848	0.226971832634678	-13.6180394627798	3.12853978040505e-42	1.86870917504056e-39
ENSG00000172086	660.977712748982	-2.06348926538135	0.152671204199584	-13.515903514351	1.25999207034772e-41	7.27519421418776e-39
ENSG00000113369	5739.7061733316	2.66213540785087	0.197301464329109	13.4927301067077	1.72589221557206e-41	9.64384030907719e-39
ENSG00000117461	954.304574810663	1.99917673283174	0.149801955210364	13.3454648841153	1.25882808782408e-40	6.81419379290275e-38
ENSG00000166750	1667.4080166791	-1.63034569855791	0.124797036803069	-13.0639776417978	5.28904033770415e-39	2.7762653554458e-36
