baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000120694	22338.5061255096	-3.54038043857841	0.203875849600024	-17.3653742977608	1.5091254454426e-67	2.02313357216035e-63
ENSG00000132002	6123.94241115307	-3.35027982888525	0.265782613593689	-12.6053385644214	1.97323436909575e-36	1.32265899760488e-32
ENSG00000151929	2262.84778785024	-2.79716037412196	0.258621417518888	-10.8156563402862	2.9020785456859e-27	1.29684216611551e-23
ENSG00000160570	370.511023875147	-2.77148877232861	0.259647763116418	-10.6740329246972	1.34652265830453e-26	4.51287068930764e-23
ENSG00000116761	282.327382432958	-3.24793866776662	0.309630116131916	-10.4897375886487	9.62954569262117e-26	2.58187379110559e-22
ENSG00000140403	971.05510339118	-3.17131993561346	0.302858140932853	-10.4713049015135	1.1701866024286e-25	2.6145869320263e-22
ENSG00000080824	76707.7652151591	-2.48094693433205	0.274903662070429	-9.02478677674523	1.80045650111435e-19	3.44813140770557e-16
ENSG00000174564	317.497090928714	-2.22601202112297	0.261802833143412	-8.50262770037935	1.85346590711963e-17	3.10594549385573e-14
ENSG00000070669	1347.2097276996	-2.40686549382672	0.286272153508647	-8.40761305047445	4.18438973409051e-17	6.23288097502415e-14
ENSG00000110172	4900.42095365965	-2.06497582112494	0.249199134317896	-8.28644861378494	1.16680071550357e-16	1.56421303920409e-13
ENSG00000100889	375.719899385973	-2.28130344601308	0.279469426918641	-8.16298037021851	3.26857639312507e-16	3.98350319329406e-13
ENSG00000096384	38413.135814215	-1.6628054998153	0.204777573417517	-8.12005666472583	4.65966070437098e-16	5.20561761689978e-13
ENSG00000086061	33048.121550414	-1.79232029143028	0.226005652805085	-7.93042239954962	2.18401747561844e-15	2.25222602139545e-12
ENSG00000128965	187.73114544932	-2.92499214769424	0.377492168600229	-7.74848431568883	9.29958540521749e-15	8.90501728159612e-12
ENSG00000164070	4840.23092597174	-1.91567891230369	0.248155622369329	-7.71966757800311	1.16633485563073e-14	1.0423923383057e-11
ENSG00000115541	22388.1648011082	-2.10174462408264	0.274217457299056	-7.66451795149758	1.79504100862461e-14	1.50401998510134e-11
ENSG00000128165	121.582094859218	-2.9199986802493	0.383600632960423	-7.6120799324921	2.69719656561172e-14	2.1269774799171e-11
ENSG00000101255	364.537635674305	-2.57810344143516	0.344484624616803	-7.48394342505993	7.21250138604455e-14	5.3717107545174e-11
ENSG00000130766	302.700424568241	-2.29876885207329	0.314584019572049	-7.30732875497133	2.72505272796637e-13	1.92273983532195e-10
ENSG00000153879	630.804960270594	-1.84079745447504	0.255672860510838	-7.1998156190575	6.02940359456605e-13	4.04150922943762e-10
ENSG00000135069	3118.79729179269	-1.67758585889554	0.237685117686217	-7.05801808386772	1.68894084335736e-12	1.07818766409756e-09
ENSG00000173209	686.784756266872	-1.69436320369212	0.248261120232407	-6.8249237017297	8.79720581177099e-12	5.36069732330009e-09
ENSG00000144381	37350.5624282752	-1.61685212599314	0.237610553450668	-6.80463094973105	1.01308601696495e-11	5.9049700623618e-09
ENSG00000224411	129.803254731791	-2.33068766694251	0.345292602842098	-6.74989167957455	1.47955573091294e-11	8.26455172025786e-09
ENSG00000004478	3079.76653268814	-1.79691346501146	0.270907893669223	-6.63293136524654	3.29084856716715e-11	1.76468463565771e-08
ENSG00000132196	189.898187133125	-1.95566394629169	0.299643566804345	-6.52663418456988	6.72640578446288e-11	3.46823830563498e-08
ENSG00000178381	237.167385397091	-2.17623327433562	0.334016559715952	-6.5153454552861	7.25225570172684e-11	3.60087925693889e-08
ENSG00000051108	1727.72864725949	-1.99658401336195	0.307186087291521	-6.49959127695514	8.05385236645575e-11	3.85606945802521e-08
ENSG00000170606	6591.14190443769	-1.42954127084378	0.225605831500737	-6.33645531826207	2.35111321751453e-10	1.08686288944827e-07
ENSG00000106105	3412.48473778837	-1.41317513874411	0.224011503861775	-6.30849360136478	2.81764378325913e-10	1.25911108527906e-07
ENSG00000065060	1860.95611249642	-1.38439843712494	0.227935771009639	-6.0736339495673	1.25047597842383e-09	5.40770353766126e-07
ENSG00000128590	346.093344118078	-1.85896170946246	0.307904561556053	-6.03746076403626	1.56558212515446e-09	6.55881061556895e-07
ENSG00000162616	1801.18672386847	-1.71181900089335	0.285381257539509	-5.9983581810952	1.99322487095039e-09	8.09732503635181e-07
ENSG00000135842	598.597867976914	-1.68476838642932	0.288259133938418	-5.84463140303906	5.07691153148783e-09	1.99985716765841e-06
ENSG00000110619	687.709736372478	-1.39394740235494	0.238691042068754	-5.83996529686866	5.22116969029124e-09	1.99985716765841e-06
ENSG00000111981	209.710188140629	-2.30997691380054	0.395995128155131	-5.83334680040711	5.43264878372431e-09	2.02305804429467e-06
ENSG00000251192	216.477483598306	-1.89406674105775	0.332856962733846	-5.69033234426362	1.26792349154441e-08	4.59399522368768e-06
ENSG00000171497	742.040006118392	-1.42988008899724	0.252717663893537	-5.6580140341896	1.53134616267609e-08	5.40242806758835e-06
ENSG00000059728	633.092487939009	-1.58329030350234	0.29184219153025	-5.42515903954974	5.79029603340272e-08	1.99037714419992e-05
ENSG00000164603	379.962150121693	-1.38698497345724	0.258517171261104	-5.36515608108822	8.08792494788875e-08	2.71066804628491e-05
ENSG00000166750	968.391834825397	-1.29645242357451	0.24312143348589	-5.33253035318975	9.6853573551335e-08	3.16687562690048e-05
ENSG00000162623	1152.03721367427	-1.1588514765737	0.21869431166952	-5.29895573289945	1.16466864113261e-07	3.71751138167233e-05
ENSG00000116741	539.57200882087	-1.68145139146612	0.319169562252078	-5.2682072175107	1.37762547518189e-07	4.29498770239264e-05
ENSG00000116161	3833.91972047627	-1.17532606711872	0.228384751127353	-5.14625456085433	2.65738757283445e-07	8.09657677304968e-05
ENSG00000196517	376.817505849638	-1.31790756053046	0.258155794894825	-5.10508610146592	3.30643932430963e-07	9.85025012926553e-05
ENSG00000173575	1853.6384099111	-1.19295967323392	0.234775697379121	-5.08127411206239	3.74911653143522e-07	0.000109262296131349
ENSG00000112110	940.398349321473	-1.26880780410983	0.250311929458162	-5.06890665121857	4.00107386825704e-07	0.000114124247399689
ENSG00000228626	22.5549065542306	-2.27689651519946	0.457079531340695	-4.98140117655438	6.31255190880483e-07	0.000172706267121301
ENSG00000136010	245.42222460031	-1.66156953238543	0.333388773915094	-4.98387966959137	6.23218453196322e-07	0.000172706267121301
ENSG00000269720	20.7830010475451	-2.2468223685471	0.453958926005812	-4.94939572686878	7.44442480749342e-07	0.000199599917938514
ENSG00000256223	144.718939288682	-1.53167487786362	0.309872047382614	-4.94292689773463	7.69583465599377e-07	0.000202294822349515
ENSG00000166986	1243.20820296696	-1.23925932789875	0.252646777449355	-4.90510641144898	9.33767027493509e-07	0.000240732322511115
ENSG00000158201	356.048985285918	-1.31064647176397	0.273047499410278	-4.80006766073549	1.58612034216886e-06	0.000401198666171994
ENSG00000081041	70.1866255349325	-1.78377688211844	0.371916660059027	-4.79617364232981	1.61725102313696e-06	0.000401497541040262
ENSG00000162772	285.550031183086	-1.72837144753145	0.366592695395091	-4.71469145250894	2.42077295605499e-06	0.000590052404524966
ENSG00000198938	62689.5299757572	0.954268535564072	0.203298386593365	4.69393068757003	2.68004872189927e-06	0.000641584520817528
ENSG00000214226	89.9193781346266	-1.68155386661217	0.362808671619029	-4.63482269899519	3.57243539982623e-06	0.000840211736317025
ENSG00000109971	22039.682933159	-0.962492028093167	0.209467322648241	-4.59495073467609	4.32851522150354e-06	0.00100048405274959
ENSG00000162733	78.1412482808135	-1.61959413908804	0.353604840509884	-4.58023746720394	4.64448287008565e-06	0.0010377322892728
ENSG00000100591	1389.43359486059	-1.45438565549618	0.317527200115762	-4.58034982504161	4.64198832158301e-06	0.0010377322892728
ENSG00000177169	244.741731002177	-1.22700205318936	0.269186145025457	-4.55819170438108	5.15959322310598e-06	0.00113392634014687
ENSG00000213430	84.0895079420847	-1.51468418425012	0.334790318457615	-4.52427713928018	6.06022719493629e-06	0.0013103775125051
