baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000173110	3838.37986983668	-7.79101647964383	0.471449156925736	-16.5256769795669	2.39732945839222e-61	4.28882240106369e-57
ENSG00000113739	4365.80991732555	-3.32534562038546	0.27798312576923	-11.9624009953252	5.59212499481475e-33	5.0021558078618e-29
ENSG00000132002	22978.3964999482	-4.23310114093512	0.375402404641027	-11.2761694880004	1.72076665569416e-29	1.02615051567895e-25
ENSG00000175197	1302.41529140454	-4.7406463422504	0.434839929353826	-10.9020492881025	1.12690218703731e-27	5.04007003152436e-24
ENSG00000140403	1153.21206565404	-3.05627180000627	0.295823847352993	-10.331390884655	5.08182983071028e-25	1.81827871342814e-21
ENSG00000070669	4764.22527774332	-2.93761537487059	0.285245978938508	-10.2985338682158	7.1543346828603e-25	2.13318412460618e-21
ENSG00000151929	2183.38173895884	-3.62995037568214	0.389045590632099	-9.33039844966345	1.05473644792145e-20	2.6956050076164e-17
ENSG00000130513	226.230027379145	-4.70409289614364	0.508979117783839	-9.24221197251838	2.41453196951933e-20	5.3994971168376e-17
ENSG00000184378	150.141342280799	-3.66585116350291	0.39885533687382	-9.1909292031427	3.8946235879735e-20	7.74164622098287e-17
ENSG00000225217	61.3241168919494	-6.4741964560454	0.708956510364834	-9.13200790371998	6.72404067059755e-20	1.2029308759699e-16
ENSG00000116761	755.497553164505	-2.87463418303308	0.317256957238225	-9.06090195170896	1.29376263068953e-19	2.1041284966396e-16
ENSG00000051108	2727.80158760061	-3.2072305897238	0.367774548184732	-8.72064313736256	2.76626002165339e-18	4.12403264894826e-15
ENSG00000111981	247.492456215919	-3.72878787850768	0.443379435876585	-8.40992517195945	4.10272377421782e-17	5.64597910159668e-14
ENSG00000175906	282.521267977499	-2.7998050284112	0.337424085911035	-8.29758498375066	1.06249092022056e-16	1.35771161162471e-13
ENSG00000228626	88.3315735409222	-4.35157248372151	0.525533320231025	-8.28029796818316	1.22867454010329e-16	1.46539916816319e-13
ENSG00000128165	199.863650327395	-4.78055463666698	0.608111102086392	-7.86131780897469	3.80113002869311e-15	4.25013851333248e-12
ENSG00000231196	79.5217610433034	-4.29848093447399	0.557828862236834	-7.70573418743078	1.30093166402658e-14	1.24814502330042e-11
ENSG00000116741	918.520621063563	-2.39880226327625	0.311271998884085	-7.70645053803747	1.29365344721758e-14	1.24814502330042e-11
ENSG00000120694	10675.3317663416	-2.89217241099364	0.375444124176916	-7.70333646140857	1.32558722429894e-14	1.24814502330042e-11
ENSG00000179046	45.0887110984242	-4.79630463809421	0.623483752326832	-7.69275000382042	1.44005722458398e-14	1.28813118739037e-11
ENSG00000162772	731.287918799533	-2.76685287011445	0.37520734343074	-7.3741970101531	1.65338539881951e-13	1.39428427930652e-10
ENSG00000128965	710.275450665519	-4.67279873534119	0.634085493546729	-7.36935126713607	1.7146033619197e-13	1.39428427930652e-10
ENSG00000178381	733.708874095523	-2.82998091079782	0.394964895521732	-7.1651454164288	7.77040282149829e-13	6.04402202072193e-10
ENSG00000165030	499.549017765557	-2.49395220737381	0.348868305409769	-7.14869241115066	8.76083879823463e-13	6.53047525418407e-10
ENSG00000218358	57.783331929641	-3.35970371552819	0.479802130580385	-7.00226927184375	2.5184943394119e-12	1.80223454928315e-09
ENSG00000261270	62.1684340526504	-4.29624838159408	0.617236167472415	-6.96046117839666	3.39160616519191e-12	2.33368593443397e-09
ENSG00000166123	938.414680632957	-2.12336169172657	0.30779629492729	-6.89859405951644	5.25197112591405e-12	3.47991716454083e-09
ENSG00000132196	343.148917894896	-2.15092169321581	0.312792134264431	-6.87652104255743	6.13318794290736e-12	3.65742440995375e-09
ENSG00000244405	283.976160772254	-2.3735971474124	0.344807232124664	-6.88383805869314	5.82611036361092e-12	3.65742440995375e-09
ENSG00000080824	46467.6070451791	-2.43840980507071	0.354403370071666	-6.88032341390439	5.97168289500038e-12	3.65742440995375e-09
ENSG00000136010	267.140843466484	-2.37039849887596	0.352129267275445	-6.73161454944265	1.67790657274419e-11	9.68314470528825e-09
ENSG00000116285	1367.32994484302	-2.50144362402711	0.373931274681593	-6.68958119685797	2.23810177042935e-11	1.25123877103066e-08
ENSG00000174951	79.9950222168295	-3.5275934409411	0.528318547585285	-6.67701987193938	2.43849896320555e-11	1.32196201368931e-08
ENSG00000100219	3451.24616497457	-1.89784744511942	0.286058900807463	-6.63446388055863	3.25684085990568e-11	1.71367302893273e-08
ENSG00000160570	943.563315987981	-3.32968127717119	0.505123955825718	-6.59181026512237	4.34495658124726e-11	2.22089352110039e-08
ENSG00000106105	7135.92088606006	-1.63710519193953	0.259701041896479	-6.30380679255074	2.9042249080603e-10	1.44323843347774e-07
ENSG00000226744	25.5207082920755	-4.04090260506332	0.656280828111553	-6.15727662910863	7.40065159279505e-10	3.57831505392171e-07
ENSG00000254612	73.2969551991699	-2.84359362664698	0.462372302534754	-6.15000857762937	7.74787566407934e-10	3.64761830606261e-07
ENSG00000162733	201.825962259315	-2.45448630525641	0.401454436767931	-6.1139847525842	9.71735941511839e-10	4.45752717785815e-07
ENSG00000170345	225.086680860016	-2.36087882560531	0.389730474429236	-6.05772188860223	1.38062825402724e-09	6.17485986613683e-07
ENSG00000143333	63.1710265210965	-3.01277979321242	0.498161688741223	-6.04779504587204	1.4684158962062e-09	6.40730741051924e-07
ENSG00000146733	1653.37847331948	-1.63533474231866	0.271881429102895	-6.01488210399158	1.80017665726619e-09	7.66789533297431e-07
ENSG00000065060	2914.53389247239	-1.60806075364024	0.268322561489459	-5.99301357557819	2.05987648353229e-09	8.3752705205438e-07
ENSG00000126838	260.923059184879	2.1521110149753	0.359087716801662	5.99327382775389	2.05658122490093e-09	8.3752705205438e-07
