baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000070669	4764.22527774332	-3.87394767018008	0.285023238022727	-13.5916906181214	4.48597196635624e-42	9.42816728169092e-38
ENSG00000113739	4365.80991732555	-3.04317511319043	0.27795364447744	-10.9484986926927	6.75580358972339e-28	7.09933620226082e-24
ENSG00000111981	247.492456215919	-4.70501058600241	0.440978997872639	-10.6694663661993	1.41436311741908e-26	9.90855654626562e-23
ENSG00000116761	755.497553164505	-3.33671931398067	0.316498977460584	-10.5425911348994	5.49632981378546e-26	2.88790909240823e-22
ENSG00000136010	267.140843466484	-3.39549273994013	0.348932363613241	-9.73109144929795	2.2219589002735e-22	9.33978204140963e-19
ENSG00000171658	481.46008127626	-2.87611719924319	0.305578680320785	-9.41203488484194	4.86623141859003e-21	1.70455976207511e-17
ENSG00000198938	9029.08224403001	2.91990831516801	0.331454058502736	8.80939074440059	1.25827858283653e-18	3.77789156792505e-15
ENSG00000124575	774.651887083741	3.86684128945311	0.440517478897035	8.77795201029228	1.6647827569413e-18	4.37359240032941e-15
ENSG00000135069	7903.42584634104	-2.69189820010561	0.321856899878476	-8.36364919043833	6.08075495574832e-17	1.41999141005514e-13
ENSG00000244405	283.976160772254	-2.8080587911073	0.343080991134636	-8.18482767529759	2.72693577543252e-16	5.73120091922652e-13
ENSG00000171931	86.0164986002656	-3.97310981083189	0.488229442832849	-8.13779232112416	4.02550575384871e-16	7.69127767533075e-13
ENSG00000227184	769.132803384238	3.13237560015601	0.386473040993322	8.10503002254725	5.27324941988896e-16	9.23565692148385e-13
ENSG00000162733	201.825962259315	-3.22044080039276	0.398653185819192	-8.07830192997224	6.56748374730361e-16	1.061760045516e-12
ENSG00000077616	291.512283732895	-4.40898359433355	0.548292207962467	-8.04130266727292	8.88884009853268e-16	1.33440537393472e-12
ENSG00000106105	7135.92088606006	-2.08304575452099	0.259594703760138	-8.02422285335103	1.02170676530378e-15	1.4315474057593e-12
ENSG00000153879	2369.59767123256	-3.07480650756208	0.385305472083896	-7.98017866430037	1.46121627630057e-15	1.91939890493806e-12
ENSG00000074935	1058.66916378059	-3.42239490440603	0.430406438040056	-7.95154208192286	1.84204027536752e-15	2.27730355690583e-12
ENSG00000198744	593.871873496991	3.13485392094084	0.4004748114656	7.82784292841877	4.96311446338925e-15	5.79498759316954e-12
ENSG00000147852	680.25992422628	-2.44575514627177	0.315007914132425	-7.76410698444741	8.22224739706318e-15	9.09510387074088e-12
ENSG00000065060	2914.53389247239	-2.07748477218283	0.268065920465828	-7.74990259326031	9.19630645815509e-15	9.20375108719265e-12
ENSG00000184949	413.948720162808	-2.25395649466818	0.290722639366701	-7.75294452326833	8.97858502463678e-15	9.20375108719265e-12
ENSG00000231196	79.5217610433034	-4.29663184311531	0.556489328939826	-7.72095998911762	1.15456794834364e-14	1.1029797531972e-11
ENSG00000065911	4991.58516397548	-2.36230451448015	0.306777668475155	-7.70037964699983	1.35662561740663e-14	1.23966089569718e-11
ENSG00000120694	10675.3317663416	-2.88403483608617	0.375423114376022	-7.68209182026423	1.56511586885992e-14	1.37058500899287e-11
ENSG00000150594	159.798509686075	2.46486952602768	0.321090646726491	7.67655349402713	1.6342582680527e-14	1.37388824078655e-11
ENSG00000146733	1653.37847331948	-2.0575143948363	0.271462798561645	-7.57936043442456	3.47262534508735e-14	2.80708334145003e-11
ENSG00000130513	226.230027379145	-3.85639871611876	0.509538818802162	-7.56841004809896	3.77819796351917e-14	2.94097728145491e-11
ENSG00000100219	3451.24616497457	-2.13127094024056	0.285912691380356	-7.45427189660946	9.03654697823345e-14	6.78289670862616e-11
ENSG00000187801	446.155739713889	-2.87416018350269	0.393891975344351	-7.29682340187313	2.94641107176854e-13	2.13533522397791e-10
ENSG00000172086	463.174581400365	-3.20805712941878	0.440801194098972	-7.2777868398843	3.39340944866194e-13	2.37730954608426e-10
ENSG00000080824	46467.6070451791	-2.5775869527044	0.354396354278143	-7.27317570169306	3.51133125267679e-13	2.38056932056478e-10
ENSG00000116285	1367.32994484302	-2.69461630718469	0.373691887702916	-7.2107969047669	5.56253677528228e-13	3.54266167897296e-10
ENSG00000180340	55.9253407029902	3.34113005407347	0.463242772452489	7.21248177577589	5.49411857256089e-13	3.54266167897296e-10
ENSG00000251192	502.077749018778	-3.35972877702412	0.467274162344097	-7.1900589584708	6.47633498849198e-13	4.00332742509224e-10
ENSG00000168672	122.930446095805	-3.4371058426502	0.482747754035335	-7.11987951040498	1.08021453620588e-12	6.48653397355396e-10
ENSG00000005102	56.5182575081403	3.20388599812661	0.450594173946723	7.11035824112857	1.15742129956048e-12	6.7570898480174e-10
ENSG00000224411	267.636639933449	-2.52611537943082	0.355806618734717	-7.09968630829278	1.25040377082753e-12	7.10263136526543e-10
ENSG00000184557	485.48333812985	1.88147205776032	0.269022991838538	6.99372215327058	2.67687446476169e-12	1.4805229112078e-09
ENSG00000205978	63.7026010908066	3.59795031812097	0.515018877472717	6.98605522146432	2.82722832086375e-12	1.52358609281009e-09
ENSG00000162772	731.287918799533	-2.61762439554145	0.375000479741206	-6.98032279144792	2.9450262085243e-12	1.53395275600438e-09
ENSG00000198339	497.688172440358	3.02876645875586	0.434040161525836	6.9780788213433	2.99243769311412e-12	1.53395275600438e-09
ENSG00000166750	1429.9990651262	-2.35109611957735	0.339595748795022	-6.923220116623	4.4149094614635e-12	2.20924171789472e-09
ENSG00000250033	1096.87757495479	-2.96471018065438	0.430098258872703	-6.89309970336767	5.4589584639359e-12	2.66816116364048e-09
ENSG00000162687	313.343244082103	-3.03586525853508	0.442722689132958	-6.85726151618886	7.01930660566235e-12	3.35283561207285e-09
ENSG00000246763	31.8096372409981	-4.07385363593168	0.598680425401389	-6.80472162289311	1.01244817125478e-11	4.72858293672482e-09
ENSG00000079156	426.714131433465	-2.13974484857565	0.317536125775239	-6.73858712406859	1.59934148421789e-11	7.30725216821899e-09
ENSG00000251136	144.106149689906	-2.636883484712	0.391564975390932	-6.73421692550356	1.64815134279048e-11	7.37004186626117e-09
ENSG00000105136	475.420733610632	-2.35950876369893	0.351490597712918	-6.71286452340917	1.90840287445649e-11	8.35602150259418e-09
ENSG00000135842	1064.7563816851	-1.88009595784438	0.282664935588337	-6.65132360308916	2.90468837713171e-11	1.24587419637096e-08
ENSG00000236404	41.536805070497	-3.8417017196976	0.58681291448829	-6.54672319720098	5.88132256445167e-11	2.47215512674162e-08
ENSG00000235448	22.4115124418909	-4.597669417386	0.707276451823373	-6.50052664065531	8.00393129941258e-11	3.2349735407645e-08
ENSG00000126838	260.923059184879	2.32761028259659	0.35794952714378	6.5026214761883	7.89322346113908e-11	3.2349735407645e-08
ENSG00000168685	1212.59103431811	-2.36464808467306	0.364093265262452	-6.49462187378976	8.32422196197321e-11	3.30094665990172e-08
ENSG00000103241	213.811050699459	2.35887166357538	0.364014454167715	6.48015933589427	9.16258061753938e-11	3.5661103118301e-08
ENSG00000241322	100.799452680273	-3.03681997816991	0.469776268148644	-6.46439631814057	1.01704001338909e-10	3.88638726570882e-08
ENSG00000127528	36.7799524336123	-3.98807057808167	0.617874304828284	-6.45450142030102	1.08575759709922e-10	4.07488703897041e-08
ENSG00000110047	402.204989615888	2.8477760400466	0.441466047773889	6.45072492982559	1.11316382996113e-10	4.10444986215668e-08
ENSG00000156687	81.9563385582296	2.43673766785494	0.378363853714967	6.44019676808401	1.1931871248367e-10	4.25191586534823e-08
ENSG00000171246	779.491247254819	2.23330062896777	0.346778178308204	6.44014176400366	1.19361962247488e-10	4.25191586534823e-08
ENSG00000136630	27.7008104650093	3.71517407642348	0.580098749769759	6.40438214682937	1.50979523049152e-10	5.28856105987337e-08
