ENSEMBLID	Genesymbol
ENSG00000115607	IL18RAP
ENSG00000136634	IL10
ENSG00000072401	UBE2D1
ENSG00000179914	ITLN1
ENSG00000096968	JAK2
ENSG00000197208	SLC22A4
ENSG00000120659	TNFSF11
ENSG00000115602	IL1RL1
ENSG00000181634	TNFSF15
ENSG00000105538	RASIP1
ENSG00000115604	IL18R1
ENSG00000233276	GPX1
ENSG00000117586	TNFSF4
ENSG00000064932	SBNO2
ENSG00000142224	IL19
ENSG00000188906	LRRK2
ENSG00000113742	CPEB4
ENSG00000115896	PLCL1
ENSG00000100330	MTMR3
ENSG00000084734	GCKR
ENSG00000125347	IRF1
ENSG00000049245	VAMP3
ENSG00000185650	ZFP36L1
ENSG00000187796	CARD9
ENSG00000090339	ICAM1
ENSG00000168610	STAT3
ENSG00000054983	GALC
ENSG00000213047	DENND1B
ENSG00000116852	KIF21B
ENSG00000076662	ICAM3
ENSG00000175354	PTPN2
ENSG00000179630	LACC1
ENSG00000164400	CSF2
ENSG00000204482	LST1
ENSG00000163362	C1orf106
ENSG00000108788	MLX
ENSG00000186075	ZPBP2
ENSG00000162924	REL
ENSG00000232810	TNF
ENSG00000105397	TYK2
ENSG00000173153	ESRRA
ENSG00000227507	LTB
ENSG00000167468	GPX4
ENSG00000197375	SLC22A5
ENSG00000140030	GPR65
ENSG00000057657	PRDM1
ENSG00000119772	DNMT3A
ENSG00000149485	FADS1
ENSG00000185811	IKZF1
ENSG00000171522	PTGER4
ENSG00000131507	NDFIP1
ENSG00000126432	PRDX5
ENSG00000164308	ERAP2
ENSG00000108175	ZMIZ1
ENSG00000108688	CCL7
ENSG00000164399	IL3
ENSG00000164325	TMEM174
ENSG00000042813	ZPBP
ENSG00000226979	LTA
ENSG00000164691	TAGAP
ENSG00000106952	TNFSF8
ENSG00000237651	C2orf74
ENSG00000158636	C11orf30
ENSG00000134242	PTPN22
ENSG00000173531	MST1
ENSG00000161179	YDJC
ENSG00000100324	TAB1
ENSG00000145996	CDKAL1
ENSG00000258366	RTEL1
ENSG00000095794	CREM
ENSG00000115970	THADA
ENSG00000137266	SLC22A23
ENSG00000119919	NKX2-3
ENSG00000134460	IL2RA
ENSG00000167207	NOD2
ENSG00000237693	IRGM
ENSG00000116521	SCAMP3
ENSG00000112182	BACH2
ENSG00000165684	SNAPC4
ENSG00000164061	BSN
ENSG00000122223	CD244
ENSG00000113302	IL12B
ENSG00000204511	MCCD1
ENSG00000172057	ORMDL3
ENSG00000125520	SLC2A4RG
ENSG00000120337	TNFSF18
ENSG00000166949	SMAD3
ENSG00000237541	HLA-DQA2
ENSG00000160223	ICOSLG
ENSG00000162594	IL23R
ENSG00000161405	IKZF3
ENSG00000204475	NCR3
ENSG00000112486	CCR6
ENSG00000243509	TNFRSF6B
ENSG00000108691	CCL2
ENSG00000176920	FUT2
ENSG00000138311	ZNF365
ENSG00000205592	MUC19
ENSG00000117560	FASLG
ENSG00000100324	MAP3K7IP1
ENSG00000100324	C13orf31
ENSG00000185499	MUC1
ENSG00000132436	FIGNL1
ENSG00000085978	ATG16L1
