baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	name
ENSG00000215030	356.454992494596	-4.05258537574023	0.246497243732756	-16.4406924571291	9.77951159001441e-61	1.50144841441491e-56	NA
ENSG00000077063	124.33327469911	4.1571566465649	0.311115024983394	13.3621211215588	1.00654488529235e-40	7.7267418119467e-37	CTTNBP2
ENSG00000168675	1860.17833569783	-1.31482697568996	0.112919262766708	-11.6439564293508	2.46318259644265e-31	1.2605747467728e-27	LDLRAD4
ENSG00000118785	301.860251870132	-3.25007690649457	0.281739667794581	-11.535744795668	8.71297794640242e-31	3.34425876027791e-27	SPP1
ENSG00000054654	7096.58023863525	-1.79089233662998	0.194302199748944	-9.21704612168041	3.05397194606355e-20	9.37752625758275e-17	SYNE2
ENSG00000110077	247.844645326765	2.55921475407527	0.298338540039128	8.57822376465213	9.63493768200062e-18	2.46541997052926e-14	MS4A6A
ENSG00000075275	247.258566345317	-1.64265529141705	0.207700689679215	-7.90876185319397	2.59961364230161e-15	5.70169546432237e-12	CELSR1
ENSG00000163737	109.85618931805	-3.11948363654044	0.401110487182903	-7.77711811638068	7.41953261489801e-15	1.36671651698177e-11	PF4
ENSG00000123095	255.720721324279	-3.28832589297439	0.423349973208835	-7.76739364845144	8.01175578247635e-15	1.36671651698177e-11	BHLHE41
ENSG00000100365	1192.02118276295	1.51593947195757	0.20057663933888	7.55790642895532	4.09608525642206e-14	6.28871969418479e-11	NCF4
ENSG00000171621	372.201043968506	-2.02307426312289	0.274744676201075	-7.36347029939272	1.79189679737504e-13	2.500999230009e-10	SPSB1
ENSG00000167552	871.892537996063	1.79557461079641	0.245708628779251	7.30773933222175	2.71674158497452e-13	3.47584446284282e-10	TUBA1A
ENSG00000010327	12956.81712677	2.27949794247783	0.314018465700723	7.25912069339997	3.89614718976848e-13	4.60134983111658e-10	STAB1
ENSG00000095970	156.183657780691	-2.80315072927001	0.388384595210461	-7.21746115535561	5.29671183114462e-13	5.80860119596881e-10	TREM2
ENSG00000163736	190.369768512413	-2.71907445682744	0.388637337113483	-6.99643136972571	2.62564297208059e-12	2.68743310335689e-09	PPBP
ENSG00000100298	143.118850304587	-1.82145402460333	0.261400476359672	-6.96805931637673	3.21342748979367e-12	3.08348451567514e-09	APOBEC3H
ENSG00000165140	557.030784153195	-3.8254890586503	0.551897618356092	-6.93151941848396	4.16344289030554e-12	3.76007874675653e-09	FBP1
ENSG00000108688	326.320507454392	-3.66780255613122	0.530201831541795	-6.9177478045775	4.58880249386367e-12	3.91399359379383e-09	CCL7
ENSG00000010295	1330.51694131158	1.15863737955451	0.168825267672205	6.86293820545958	6.74584130396379e-12	5.45099481788189e-09	IFFO1
ENSG00000197312	1341.33590726259	-1.27325111009562	0.186677728439303	-6.82058390543146	9.06712110662048e-12	6.32761410681565e-09	RSC1A1
ENSG00000162407	215.812993113975	-2.71344124209269	0.397685980772346	-6.82307492163267	8.91121499096571e-12	6.32761410681565e-09	PPAP2B
ENSG00000130208	64.3680295500837	-4.28243195793529	0.626927732462198	-6.83082233595961	8.44292432540819e-12	6.32761410681565e-09	APOC1
ENSG00000138185	461.311579920041	1.35555962790491	0.200980627059735	6.74472782643876	1.53314145666151e-11	1.02340525148366e-08	ENTPD1
