baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	name
ENSG00000077063	124.33327469911	4.83244994008378	0.32975060738978	14.6548628927061	1.25409529857742e-48	2.21209869716071e-44	CTTNBP2
ENSG00000100365	1192.02118276295	2.6786179349568	0.202478940745551	13.229118668311	5.95819198345113e-40	5.25482741980473e-36	NCF4
ENSG00000110077	247.844645326765	3.85263374359188	0.308462268417176	12.4898055226043	8.48608208858619e-36	4.98953339868573e-32	MS4A6A
ENSG00000010327	12956.81712677	3.73237774822975	0.31425501501661	11.8769075110304	1.56033721398768e-32	5.50455762350572e-29	STAB1
ENSG00000168675	1860.17833569783	-1.33999169787094	0.112802176327637	-11.8791298314928	1.51940781624907e-32	5.50455762350572e-29	LDLRAD4
ENSG00000157168	159.044285470648	6.65437556532199	0.606323335730039	10.974961993356	5.04270584468555e-28	1.48247147324014e-24	NRG1
ENSG00000121933	200.936593909116	3.74991112358908	0.344761655416297	10.8768218990627	1.48655837530894e-27	3.74591474029634e-24	ADORA3
ENSG00000134955	1180.86938450149	3.09130840415717	0.297551713202601	10.38914671633	2.7782744859145e-25	6.12574795713074e-22	SLC37A2
ENSG00000054654	7096.58023863525	-2.00628535596522	0.194248276969381	-10.3284589560682	5.23955590647359e-25	1.02689474038097e-21	SYNE2
ENSG00000088827	973.570890793896	4.32529953065758	0.422183612119714	10.2450673273199	1.24538145330926e-24	2.1967283454922e-21	SIGLEC1
ENSG00000137491	1063.78912076063	2.40930839928556	0.241295929663684	9.98486962728146	1.77534310242114e-23	2.84684336214604e-20	SLCO2B1
ENSG00000141655	329.018531409718	3.3062040851245	0.336446159165371	9.82684448925282	8.62798861658955e-23	1.26824242673353e-19	TNFRSF11A
ENSG00000082781	312.401190726155	3.07419184693209	0.315144349401269	9.75486900771862	1.75827520825495e-22	2.38570895372377e-19	ITGB5
ENSG00000139970	261.045199587041	4.17528374210145	0.434152588335946	9.61708821800374	6.77210423609319e-22	8.53236761574627e-19	RTN1
ENSG00000250510	254.61761732937	4.26336121848899	0.445429030511304	9.57135913120686	1.05509396309001e-21	1.24072016099632e-18	GPR162
ENSG00000004799	453.960600376535	3.12467695812658	0.328362335067308	9.51594206895281	1.80073802325832e-21	1.98520112451584e-18	PDK4
ENSG00000142552	119.581281447595	2.97108206829807	0.317534341516424	9.35672675311056	8.22451395002076e-21	8.53365891555389e-18	RCN3
ENSG00000161944	96.4817386889669	4.77059312713378	0.517656934248506	9.21574272748679	3.0913067186912e-20	3.02930884505522e-17	ASGR2
ENSG00000187796	381.590070799143	3.83266216264156	0.419774063295625	9.13029769526855	6.83111894323806e-20	6.34179510735664e-17	CARD9
ENSG00000197629	6301.2934335948	3.1930610815002	0.352967476403919	9.04633229676443	1.47851028619653e-19	1.30397214691103e-16	MPEG1
ENSG00000112139	434.022537347553	4.22355771928964	0.468182413859902	9.02117976723808	1.86074458564863e-19	1.56293684505982e-16	MDGA1
ENSG00000100280	2495.79335552078	1.53787694481851	0.171062483919583	8.99014739866322	2.46899084760408e-19	1.97956952549493e-16	AP1B1
ENSG00000126759	895.940739546645	2.77118257169346	0.317681907065565	8.72313628840539	2.70600252010448e-18	2.07526862835317e-15	CFP
ENSG00000229754	55.8649244517025	4.19676309450818	0.484213681243401	8.66717165804034	4.42986840638785e-18	3.1675531890835e-15	CXCR2P1
ENSG00000135218	2773.04585497015	2.71929162159636	0.313801206521325	8.66565062557071	4.48941718504947e-18	3.1675531890835e-15	CD36
ENSG00000101439	2220.23470683934	3.31669221406145	0.38324424719301	8.65425179465535	4.96155654873387e-18	3.36603446011987e-15	CST3
ENSG00000132535	280.144950510257	2.88593787985637	0.334450553160607	8.62889253010299	6.19488653402797e-18	4.04709642865627e-15	DLG4
ENSG00000135549	72.7240659388685	3.94768999987511	0.459870068204296	8.58435952418056	9.13438893405428e-18	5.75433880027798e-15	PKIB
ENSG00000196562	286.821852562618	3.14122321378596	0.370654251660734	8.47480691159363	2.35469762172278e-17	1.43222452929545e-14	SULF2
ENSG00000272327	35.6672713386976	5.96273995707596	0.720789718590573	8.27250972549312	1.31168159925258e-16	7.71225057640544e-14	NA
ENSG00000135363	436.272186123208	3.43773131344165	0.41678364806424	8.2482394148817	1.60745082385187e-16	9.14639518771714e-14	LMO2
ENSG00000106034	74.6260993454343	3.62117165165239	0.44140056749252	8.20382192126147	2.32862963091394e-16	1.28358431436534e-13	CPED1
ENSG00000177675	118.364373661937	3.79718361241566	0.464100693824878	8.18180981614406	2.79612118606981e-16	1.49456913942683e-13	CD163L1
ENSG00000183020	1424.47442979917	1.18586417724686	0.146110723599875	8.11620220630997	4.80998997942755e-16	2.49539450726831e-13	AP2A2
ENSG00000165752	221.710323656015	1.83420166330366	0.226585204944591	8.09497541444595	5.72759191263164e-16	2.88654267848313e-13	STK32C
ENSG00000171631	439.814279518108	3.09956978143744	0.384830891618635	8.05436842245267	7.98902446093143e-16	3.91440006851027e-13	P2RY6
ENSG00000171298	1803.91640328064	2.01825225807475	0.251569643769338	8.02263829544263	1.03497772315757e-15	4.934046502372e-13	GAA
