baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	name
ENSG00000134326	5374.10229626336	6.68774593563537	0.224604807527555	29.7756134842078	8.08417238841861e-195	1.42596716759316e-190	CMPK2
ENSG00000157601	18170.4915846049	6.25046573685768	0.212732567012058	29.3817999972867	9.38169375308371e-190	8.27418480553218e-186	MX1
ENSG00000138646	6785.1390056427	5.69335940140102	0.212515017565256	26.7903862354235	4.18214572702407e-158	2.45896228263259e-154	HERC5
ENSG00000132530	8527.86819340175	4.83322064991056	0.186059135078099	25.976798440355	9.05827444300467e-149	3.99447257250398e-145	XAF1
ENSG00000111335	12800.7393289917	4.43070316071661	0.183154035375469	24.191130441836	2.75826542898851e-129	9.73060878038567e-126	OAS2
ENSG00000185745	5960.3775677197	7.51253343100158	0.317905701264364	23.6313265258313	1.83679538764574e-123	5.39987230711386e-120	IFIT1
ENSG00000134321	13431.9974378423	7.4025602678482	0.315824170902595	23.4388655139738	1.71701792562399e-121	4.32663988429737e-118	RSAD2
ENSG00000130589	14702.663690506	4.9837854549127	0.21650204900885	23.0195763861292	2.96830981299497e-117	6.54475209892729e-114	HELZ2
ENSG00000111331	20683.8207208047	5.96093839823248	0.26233838583489	22.7223262781839	2.69548451721531e-114	5.28285015546232e-111	OAS3
ENSG00000137959	4812.14270103522	6.99989591644	0.311096213908425	22.5007428682514	4.0816870984302e-112	7.19968787292104e-109	IFI44L
ENSG00000138642	4730.66300088264	4.78286397121343	0.219249315965723	21.8147269930875	1.68170943186176e-105	2.69669751532814e-102	HERC6
ENSG00000137628	5492.84821120685	3.85316637783067	0.18606640345907	20.7085551512704	2.90025579726183e-95	4.26313433399178e-92	DDX60
ENSG00000107201	5404.88492385302	4.24488200361099	0.206139554010738	20.5922731519535	3.21906252724664e-94	4.36777260908488e-91	DDX58
ENSG00000184979	1011.78516931363	6.52842817328032	0.32389265682456	20.1561475251861	2.37683485186897e-90	2.99464213943691e-87	USP18
ENSG00000205413	8744.77022190464	3.39846737100406	0.17198481667078	19.7602755684505	6.54465048994498e-87	7.69607266614263e-84	SAMD9
ENSG00000137965	5652.10663511033	5.4001449194504	0.27376695965596	19.725334738117	1.30689454086292e-86	1.44076955039256e-83	IFI44
ENSG00000138035	2113.5691028014	4.09642315165825	0.209714068452115	19.5333731394067	5.7137759292775e-85	5.92854668332505e-82	PNPT1
ENSG00000137491	1063.78912076063	-5.29423241398296	0.272947799694864	-19.396501528503	8.26051897876168e-84	8.09484968146541e-81	SLCO2B1
ENSG00000160932	7428.87206905095	3.69607528299049	0.194824339394718	18.971322035396	2.9440856843749e-80	2.73319617824678e-77	LY6E
ENSG00000172183	6652.70660942461	4.18190030758241	0.220634997487478	18.9539300437582	4.09803782155764e-80	3.61426445672276e-77	ISG20
ENSG00000163565	8105.55961072032	2.59610465135903	0.137249783868282	18.9151820730771	8.55246083379706e-80	7.18365984034983e-77	IFI16
ENSG00000115008	9375.37669934028	8.35777057590148	0.445389434871463	18.7650849381137	1.45764422324326e-78	1.16869938426309e-75	IL1A
ENSG00000136244	8477.1587416629	9.39041200791807	0.5114237833812	18.3613126981205	2.68048641496112e-75	2.05569999449997e-72	IL6
ENSG00000055332	5841.09400170131	3.90214169815515	0.215469986864062	18.1099082751464	2.66191607110888e-73	1.9563973990954e-70	EIF2AK2
ENSG00000136147	2397.05675400914	2.7318015983786	0.160654996169397	17.0041496592994	7.65072449514626e-65	5.39804517479539e-62	PHF11
ENSG00000132274	16072.6559544785	3.51134217348167	0.212515574551974	16.522752183619	2.5164799385706e-61	1.70723806294026e-58	TRIM22
ENSG00000187608	9271.43313861905	6.04019740152579	0.368537999184444	16.3896190213559	2.26861959165334e-60	1.48208077693234e-57	ISG15
ENSG00000185885	3438.70455066912	3.53541158454259	0.217204439667092	16.2768845331214	1.44016630347031e-59	9.07253336675454e-57	IFITM1
ENSG00000108771	3004.34888294458	3.72352986291678	0.230559301298414	16.149987625515	1.13584475007451e-58	6.90867777467737e-56	DHX58
ENSG00000135899	3354.09813040783	3.06446461603046	0.193176805788667	15.8635225565483	1.13353671527866e-56	6.66481804026677e-54	SP110
ENSG00000183486	10038.7781602726	4.69607855812782	0.296694847311543	15.8279747716573	1.99541028950662e-56	1.13538845472927e-53	MX2
ENSG00000059378	4755.99457946689	3.00344562345999	0.194040166502792	15.4784737489739	4.84839328482799e-54	2.67252528597128e-51	PARP12
ENSG00000089127	5146.96476037451	5.08519456689123	0.329674257363574	15.4249064138579	1.11316404510626e-53	5.95003048231191e-51	OAS1
ENSG00000177409	11596.0815294342	3.95435252944107	0.257614490687468	15.3498839249629	3.54820692554575e-53	1.84078888116769e-50	SAMD9L
ENSG00000132256	1252.96195840352	2.55196792530179	0.167476343894989	15.2377814439389	1.98496731688178e-52	1.00036681435651e-49	TRIM5
ENSG00000196684	3162.48694221739	3.73900459907944	0.245809862606342	15.2109624871617	2.99112903881977e-52	1.46557014210394e-49	HSH2D
ENSG00000129277	23796.4118287369	6.63958243460801	0.4372727009263	15.1840771686479	4.50863814666019e-52	2.14940184510646e-49	NA
ENSG00000115267	4646.76504315863	3.74489674020233	0.247260745490661	15.1455368816065	8.10897079851541e-52	3.76405620828983e-49	IFIH1
ENSG00000038210	2109.71526319773	2.93565407912919	0.193908132776107	15.1394066721214	8.90131356914602e-52	4.02590436015812e-49	PI4K2B
ENSG00000068079	2915.78959430368	3.19787560253989	0.21276177436378	15.0303108352169	4.64819520143173e-51	2.04973787895136e-48	IFI35
ENSG00000140464	3741.51306578263	3.08902700945187	0.208097589326064	14.8441268322996	7.59371097995162e-50	3.26696263354553e-47	PML
ENSG00000105855	2429.88288772965	5.89886868015606	0.404941313255758	14.567218722952	4.54001609855489e-48	1.90669866577166e-45	ITGB8
ENSG00000138496	5561.69343327601	3.28577434779024	0.225953081087277	14.5418435189254	6.57965378310834e-48	2.69903518791274e-45	PARP9
ENSG00000155363	2793.18283544447	2.61557719000513	0.182339307700926	14.3445602760279	1.15228297614254e-46	4.61934532185872e-44	MOV10
ENSG00000117298	3560.63952877897	2.47587169871819	0.173165344079666	14.2977321003626	2.26057012650885e-46	8.86093254699769e-44	ECE1
ENSG00000122643	1161.75210763671	3.34841609805321	0.235212928056301	14.2356805202975	5.50246623756579e-46	2.10995656444398e-43	NT5C3A
ENSG00000134470	1024.5440369737	4.10150278083648	0.288630821185904	14.2102037612773	7.91947428435087e-46	2.9721618489716e-43	IL15RA
ENSG00000122641	4956.39781899948	7.5182537471134	0.529831603146502	14.189892981968	1.05820096725286e-45	3.88866809611941e-43	INHBA
ENSG00000185507	5785.55936267632	3.84118359234757	0.273763502201615	14.0310288312965	1.00680296330082e-44	3.62428519789044e-42	IRF7
ENSG00000119917	11945.4849743016	5.70061214817936	0.407405639511434	13.9924723551093	1.73281635929394e-44	6.11302955231715e-42	IFIT3
ENSG00000130303	2407.99289789789	2.37699505625033	0.170430987510221	13.946965226073	3.28279381073341e-44	1.13539607897111e-41	BST2
ENSG00000050730	2896.71814493997	6.54088891253794	0.471553964614968	13.8709233796363	9.50453123736176e-44	3.22404666338123e-41	TNIP3
ENSG00000126709	5840.192109565	4.76851909829378	0.34446695432256	13.8431830352833	1.39872982638512e-43	4.65513120898247e-41	IFI6
ENSG00000006075	10010.6230038656	6.94673074257974	0.505134530391061	13.7522389079238	4.93774682454752e-43	1.61290585626285e-40	NA
ENSG00000181381	6380.11254064049	3.68114288948642	0.267848838936088	13.7433595161665	5.582409150202e-43	1.79032936364387e-40	DDX60L
ENSG00000170581	8697.32549591365	2.8798931596388	0.210775240757752	13.6633370659921	1.68100173171713e-42	5.2948552760283e-40	STAT2
ENSG00000102794	4099.9920340988	7.03286475184547	0.516905640059889	13.6057032595555	3.703883772031e-42	1.14618957640096e-39	IRG1
ENSG00000113302	490.665396798671	7.26663025064649	0.537535203090481	13.5184267167397	1.21751781368311e-41	3.70272357164764e-39	IL12B
ENSG00000105287	3307.73559935344	2.68706173773626	0.200986768046512	13.3693464691886	9.13398326424541e-41	2.73075136945805e-38	PRKD2
ENSG00000196141	940.783498869605	3.14495728661927	0.235588694850481	13.3493557006852	1.1947781920378e-40	3.51244875489245e-38	SPATS2L
ENSG00000136514	910.675504642993	4.0217806368012	0.302415411334217	13.2988613875782	2.35019998575137e-40	6.79593074568335e-38	RTP4
ENSG00000121858	3874.74283763316	3.9626907750368	0.298916328039385	13.2568561946027	4.11800197887998e-40	1.17157156299136e-37	TNFSF10
ENSG00000153898	625.027501524072	3.31515710235463	0.250276114879437	13.245998740038	4.75908358851467e-40	1.33246786377477e-37	MCOLN2
ENSG00000163644	3403.90580998483	2.94629921580882	0.225808873136972	13.0477566044167	6.54462951919488e-39	1.80376125139185e-36	PPM1K
ENSG00000135114	6150.76977460212	4.18569620097583	0.322428464919978	12.9817824924814	1.55225480197692e-38	4.21234191570321e-36	OASL
ENSG00000131203	2909.24061857757	5.43916251843728	0.420835315330747	12.9246817467362	3.2664539705841e-38	8.72984569502015e-36	IDO1
ENSG00000173786	3317.04295415202	2.76593746254572	0.214561511364756	12.8911166077853	5.05071821665525e-38	1.32969580035197e-35	CNP
ENSG00000160710	18150.1270769497	2.03012127309306	0.157694432589493	12.8737663071329	6.32415065705099e-38	1.64046607999592e-35	ADAR
ENSG00000124201	7351.84160641551	2.43586194812949	0.18974153285289	12.8377899741016	1.00708495935967e-37	2.57448863741236e-35	ZNFX1
ENSG00000004799	453.960600376535	-5.79265761334296	0.454655380893242	-12.74076554854	3.50934243999446e-37	8.84304161415175e-35	PDK4
ENSG00000111537	173.888452216065	4.82385235223837	0.37966457899844	12.7055633289883	5.50714268202869e-37	1.36817591222963e-34	IFNG
ENSG00000124256	1583.65271948527	3.38763298429662	0.266726706076023	12.7007641421968	5.85551543128835e-37	1.43451995406243e-34	ZBP1
ENSG00000186187	486.868964380599	2.68060798624666	0.212227070381435	12.6308485596527	1.42730697488504e-36	3.44880379862975e-34	ZNRF1
ENSG00000130813	2236.1417498706	2.67467291970835	0.212126309689994	12.60886932704	1.88680453057509e-36	4.49747906956946e-34	C19orf66
ENSG00000134955	1180.86938450149	-3.88670074711642	0.310020736115081	-12.5369057432135	4.68951055984742e-36	1.10291035686865e-33	SLC37A2
ENSG00000213928	624.230703186958	2.62794110942134	0.212744794373975	12.3525518786692	4.71904114315703e-35	1.09525219373878e-32	IRF9
ENSG00000162654	8810.3935575177	3.48798787989821	0.282720208654508	12.3372428752012	5.70771090394496e-35	1.30751055369721e-32	GBP4
ENSG00000137200	3378.36414769929	2.21161550496829	0.180591119536653	12.2465352152569	1.75327655403854e-34	3.9648775816264e-32	CMTR1
ENSG00000173821	34210.9454777799	2.53208508369765	0.206776805141906	12.2454986281461	1.77582298875572e-34	3.96503059476736e-32	RNF213
ENSG00000163840	6630.43514898315	2.84316041581125	0.232757618040504	12.2151121829941	2.58145149610607e-34	5.69177786747686e-32	DTX3L
ENSG00000173193	11978.5234418586	2.98259440580619	0.244432045318922	12.2021415069152	3.02755268783981e-34	6.59296319269216e-32	PARP14
