baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	name
ENSG00000215030	356.454992494596	-3.30330019455056	0.237099020760173	-13.9321545232862	4.03982485884848e-44	6.20234310579007e-40	NA
ENSG00000112139	434.022537347553	-6.8209626138832	0.50030388015667	-13.6336392429081	2.5265972058002e-42	1.93954234503252e-38	MDGA1
ENSG00000118785	301.860251870132	-3.39894930450813	0.288679071064812	-11.7741452193638	5.30521348721039e-32	2.7150314223047e-28	SPP1
ENSG00000123213	479.118814511583	-1.96166238465289	0.217012578557703	-9.03939484840181	1.57541523864388e-19	6.04683753972487e-16	NLN
ENSG00000104081	1640.98538624284	2.0245716689823	0.235521654648133	8.59611687089659	8.24588266436494e-18	2.5319807309199e-14	BMF
ENSG00000135218	2773.04585497015	-2.73025965072231	0.338318186234954	-8.07009425389333	7.02439205045174e-16	1.79742485250976e-12	CD36
ENSG00000088827	973.570890793896	-3.21216849896482	0.401210001591972	-8.00620245312722	1.18304905495641e-15	2.59476459153512e-12	SIGLEC1
ENSG00000133216	417.123570026688	-2.60309777710806	0.332659249985287	-7.82511767588965	5.07182272807289e-15	9.73346179301289e-12	EPHB2
ENSG00000132669	3945.61109929017	-2.43508468703387	0.325880876249185	-7.47231539040016	7.8795871330939e-14	1.34417001393767e-10	RIN2
ENSG00000186187	486.868964380599	-1.49581192016107	0.206424776404876	-7.24628092718494	4.2837115231085e-13	6.57678230142847e-10	ZNRF1
ENSG00000153898	625.027501524072	-1.69757841932913	0.238365899979868	-7.1217335175564	1.06577971391664e-12	1.48753781343292e-09	MCOLN2
ENSG00000171729	344.085670167249	-3.29582971092619	0.472817440806837	-6.9706178885915	3.15551970457599e-12	4.0372245020296e-09	TMEM51
ENSG00000000971	91.3168840319969	-2.92269844036285	0.421575496539655	-6.93279961561507	4.12592457333054e-12	4.87271692110337e-09	CFH
ENSG00000131042	4407.2639013217	-2.64254692522571	0.386119773982805	-6.84385287489419	7.70910973766099e-12	8.45414012873637e-09	LILRB2
ENSG00000074416	2498.68569111888	-1.89198215074387	0.282501658033064	-6.69724264245711	2.12388810883555e-11	2.17387027566348e-08	MGLL
ENSG00000100600	3077.0872293078	-1.56810020394913	0.236824856365935	-6.6213497519287	3.55933686178684e-11	3.41540617743834e-08	LGMN
ENSG00000149289	772.035830743593	-1.84957685202905	0.284732757246923	-6.49583444459492	8.25744250440793e-11	7.45744204530441e-08	ZC3H12C
ENSG00000010327	12956.81712677	-2.01778820155029	0.315673208424465	-6.39201600801391	1.63712754378458e-10	1.39637884331804e-07	STAB1
ENSG00000187098	390.318699325857	-2.09169914164047	0.327902179440415	-6.37903397046668	1.78208508037079e-10	1.4400185388912e-07	MITF
ENSG00000095970	156.183657780691	-2.86303205376972	0.45511773538681	-6.29075035130502	3.15935077444913e-10	2.42527562200588e-07	TREM2
ENSG00000114127	3918.77748920703	-1.18099553399667	0.188625421354379	-6.26106240355525	3.82363464447445e-10	2.79544108079125e-07	XRN1
ENSG00000168329	479.929494694745	2.11637241419132	0.341098021040008	6.2045871967785	5.48406603416301e-10	3.8271302646593e-07	CX3CR1
ENSG00000120708	7369.91372103152	-2.71558515420186	0.438914981391014	-6.18704138463352	6.13038752747541e-10	3.95066124797638e-07	TGFBI
ENSG00000131203	2909.24061857757	-2.56135633319704	0.414496688968476	-6.17943737879134	6.43304443427405e-10	3.95066124797638e-07	IDO1
ENSG00000101294	2035.69544139593	-1.19894509934575	0.193846939845096	-6.18500916395084	6.20988623552549e-10	3.95066124797638e-07	HM13
ENSG00000154127	900.172761066139	-1.72293021096351	0.279921252916433	-6.1550532266225	7.50522847774714e-10	4.43183741610968e-07	UBASH3B
ENSG00000167851	587.567248416252	1.36158090582332	0.223166455629284	6.10118981360322	1.05281790924087e-09	5.98663457799079e-07	CD300A
ENSG00000166923	81.5095733050812	-3.55361388885425	0.584008692931724	-6.08486471496702	1.16589713583539e-09	6.392863830886e-07	GREM1
ENSG00000135678	721.390571423478	-2.27446186837485	0.374859482816449	-6.06750521898507	1.29912397855709e-09	6.87774153199554e-07	CPM
ENSG00000149131	100.379035573725	-3.32107403956021	0.549619457978807	-6.04249720665506	1.51746977442888e-09	7.76590448226885e-07	SERPING1
ENSG00000100985	4671.59524599897	-2.82383647237229	0.470404676760221	-6.00299404296033	1.93711728300568e-09	9.59372956322136e-07	MMP9
ENSG00000123342	1811.21977427072	-2.66120987606834	0.449699766288368	-5.91774796334196	3.26379588248158e-09	1.51845630859817e-06	MMP19
ENSG00000020577	127.761282733153	-1.65440568858897	0.279494381234397	-5.91928067134024	3.233527367665e-09	1.51845630859817e-06	SAMD4A
ENSG00000164125	497.426273411393	-2.27689442341226	0.386015317403399	-5.89845615124344	3.66918443876888e-09	1.6568526084829e-06	FAM198B
ENSG00000108840	1158.98253006329	1.18481924203961	0.201552947804713	5.87845156791056	4.14121932028122e-09	1.81657543497936e-06	HDAC5
ENSG00000118257	1832.05780986634	-1.97793729272483	0.336929597620661	-5.87047652296705	4.34544316241669e-09	1.85321080201621e-06	NRP2
ENSG00000242048	398.3046402524	-2.74096018768606	0.467774036368247	-5.85958170950789	4.64034520341018e-09	1.92549242994477e-06	LOC644090
ENSG00000090659	88.6195361363777	-3.07711707849584	0.530592423650577	-5.79939882541986	6.65530773776727e-09	2.68891946573529e-06	CD209
ENSG00000108688	326.320507454392	-2.97534747147366	0.516906403992859	-5.75606618236977	8.60966426356368e-09	3.38933783175623e-06	CCL7
ENSG00000171631	439.814279518108	-2.3087400518761	0.404786935158953	-5.70359330142288	1.17307779516434e-08	4.50256584728952e-06	P2RY6
ENSG00000105855	2429.88288772965	-2.22341688706888	0.393972536453553	-5.64358345148509	1.66546742000745e-08	6.23656617057912e-06	ITGB8
ENSG00000101986	497.729446837407	-1.50132623873402	0.26752579471004	-5.61189338905148	2.00124725690084e-08	7.31551169885681e-06	ABCD1
ENSG00000137726	148.656049683497	-2.15731869992379	0.388142959765943	-5.5580518611614	2.72802336978417e-08	9.74031227820846e-06	FXYD6
ENSG00000173369	45.6462269082286	-2.94484558269463	0.530377554692633	-5.55235710229338	2.81843090138454e-08	9.83440218839929e-06	C1QB
ENSG00000143870	1845.14083058336	-0.778815300877142	0.141426396920735	-5.50685952434782	3.65291516163094e-08	1.21920014079391e-05	PDIA6
ENSG00000140749	785.852845427652	-2.46105843467894	0.446746778378716	-5.50884427999759	3.61197245351174e-08	1.21920014079391e-05	IGSF6
ENSG00000215908	797.560423492898	1.24954132690437	0.22861854474727	5.46561665977575	4.61300285337209e-08	1.50688154910259e-05	NA
ENSG00000095370	775.699669610034	1.36849762191288	0.251643164620904	5.43824674902057	5.38074225332464e-08	1.72105282948528e-05	SH2D3C
ENSG00000169248	313.72886623849	-2.84954362622397	0.527023428201141	-5.40686328869696	6.41380609229554e-08	1.98957823664454e-05	CXCL11
ENSG00000204103	4284.1804058024	-1.9215652930079	0.355513705388206	-5.40503857906021	6.47944452759896e-08	1.98957823664454e-05	MAFB
ENSG00000137491	1063.78912076063	-1.90249336384658	0.355708522196932	-5.34846157774452	8.87050020501275e-08	2.67036842446197e-05	SLCO2B1
ENSG00000254281	111.125093378893	-2.95113323983581	0.55228882573974	-5.34345998379206	9.11889675356031e-08	2.69235426648868e-05	NA
ENSG00000119508	1890.61660658073	-2.21863658968184	0.41577643270042	-5.33612878265382	9.4951973738264e-08	2.75056160906333e-05	NR4A3
ENSG00000120436	65.625593294385	-3.33775267882806	0.627106743227969	-5.32246338421958	1.02371394630221e-07	2.91057041066256e-05	GPR31
ENSG00000185920	243.009704363792	1.83027876848328	0.345460147335028	5.29808946879269	1.17020628339217e-07	3.26657764889454e-05	PTCH1
ENSG00000227097	508.036961761122	1.22568368830096	0.231836161816665	5.28685291671722	1.24438614967033e-07	3.41161795640867e-05	NA
ENSG00000013619	292.720783806866	-2.63898662394796	0.499609969448535	-5.28209360365817	1.27715912438436e-07	3.44003930467949e-05	MAMLD1
ENSG00000136244	8477.1587416629	-2.61044525139585	0.495472563829695	-5.26859697582189	1.37470412560103e-07	3.638936627647e-05	IL6
ENSG00000166068	635.399483271004	-1.86713807600468	0.355448973841827	-5.25290045382306	1.49722467493694e-07	3.89608312445879e-05	SPRED1
ENSG00000124508	423.139766368347	0.819793120464875	0.156759466024117	5.22962434905687	1.69854821612315e-07	4.34630179368978e-05	BTN2A2
ENSG00000165997	1345.8743148789	-1.25541831293768	0.240637060677022	-5.21706136787749	1.81784046010864e-07	4.50150073936258e-05	ARL5B
ENSG00000135677	3380.28834678971	-1.58690509556163	0.304174852380627	-5.21708183020951	1.81763972784511e-07	4.50150073936258e-05	GNS
ENSG00000053747	20.832664423989	-3.14079830258826	0.602996478599734	-5.20865115146568	1.90218359772746e-07	4.63559123427139e-05	LAMA3
ENSG00000158186	296.479440981128	-2.06611375187837	0.397396641803457	-5.19912232398838	2.00231727349168e-07	4.68549570892502e-05	MRAS
ENSG00000105967	1375.85454033483	-2.08756754094604	0.401608161177173	-5.19802071458675	2.01421687480656e-07	4.68549570892502e-05	TFEC
ENSG00000187116	186.253004705965	-2.80021523633578	0.538273812213063	-5.20221339548911	1.96928915186577e-07	4.68549570892502e-05	LILRA5
ENSG00000159399	1242.57836904297	-2.02822717759353	0.390462594892308	-5.19442119200413	2.05357740167264e-07	4.70575729072836e-05	HK2
ENSG00000008513	3134.56472838749	-1.16917775724599	0.225636509763223	-5.18168694628762	2.19888048085944e-07	4.96461941509337e-05	ST3GAL1
ENSG00000182578	5493.65043997337	-2.11906337516738	0.410644946604226	-5.16032984867023	2.46515122417878e-07	5.44089155026859e-05	CSF1R
ENSG00000157483	481.511824844099	-1.45269361277087	0.281576023594924	-5.15915238174086	2.4807035010669e-07	5.44089155026859e-05	MYO1E
