"SEC24D" "ENSG00000150961"
"DNAJB11" "ENSG00000090520"
"CLEC12A" "ENSG00000172322"
"ZWINT" "ENSG00000122952"
"SLC24A4" "ENSG00000140090"
"ATP8B4" "ENSG00000104043"
"CSF2RB" "ENSG00000100368"
"C3AR1" "ENSG00000171860"
"FCGR2A" "ENSG00000143226"
"GAB2" "ENSG00000033327"
"CDC42EP4" "ENSG00000179604"
"CTNNA1" "ENSG00000044115"
"COQ2" "ENSG00000173085"
"PTCHD3P1" "ENSG00000224597"
"RIT1" "ENSG00000143622"
"MYBPC3" "ENSG00000134571"
"ADAP1" "ENSG00000105963"
"LINC00877" "ENSG00000241163"
"LGALS1" "ENSG00000100097"
"GNA15" "ENSG00000060558"
"PID1" "ENSG00000153823"
"CD93" "ENSG00000125810"
"CFD" "ENSG00000197766"
"NOD2" "ENSG00000167207"
"NR6A1" "ENSG00000148200"
"VASP" "ENSG00000125753"
"PRKCD" "ENSG00000163932"
"PKM" "ENSG00000067225"
"TTLL4" "ENSG00000135912"
"TRIB1" "ENSG00000173334"
"VRK2" "ENSG00000028116"
"STEAP4" "ENSG00000127954"
"FTH1" "ENSG00000167996"
"RTN2" "ENSG00000125744"
"LDLRAD3" "ENSG00000179241"
"PIK3R5" "ENSG00000141506"
"VPS37C" "ENSG00000167987"
"ATP1B3" "ENSG00000069849"
"DSE" "ENSG00000111817"
"ARPC5" "ENSG00000162704"
"IFNGR2" "ENSG00000159128"
"NPTN" "ENSG00000156642"
"SLC36A4" "ENSG00000180773"
"UBE2E2" "ENSG00000182247"
"ATG7" "ENSG00000197548"
"AAED1" "ENSG00000158122"
"GLA" "ENSG00000102393"
"IL3RA" "ENSG00000185291"
"MS4A7" "ENSG00000166927"
"PARVB" "ENSG00000188677"
"IFNAR2" "ENSG00000159110"
"TOM1" "ENSG00000100284"
"HDGF" "ENSG00000143321"
"RHOQ" "ENSG00000119729"
"ADGRE2" "ENSG00000127507"
"PITPNA" "ENSG00000174238"
"ZMYND15" "ENSG00000141497"
"ENSG00000250645" "ENSG00000250645"
"TLR8" "ENSG00000101916"
"ANPEP" "ENSG00000166825"
"SLC43A2" "ENSG00000167703"
"CSF2RA" "ENSG00000198223"
"CXCL16" "ENSG00000161921"
