baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ispDF	4289.84298561263	-8.73639409716617	0.247727485164434	-35.2661477646181	1.9406809274599e-272	3.28072110787096e-269
Ec.dxs	2387.23356225395	-8.34016917249143	0.236428645244984	-35.275628990935	1.38868776694168e-272	3.28072110787096e-269
Bs.idi	1542.59124778695	-7.50936282079032	0.263536427353462	-28.4945914164593	1.36689680436449e-178	1.54049269851878e-175
b1306	445.358722155729	-3.00178793735384	0.166314357071464	-18.0488803865802	8.05061640775315e-73	6.80478351865335e-70
b1304	2548.17492732519	-3.504888562088	0.204603839984086	-17.1301211275439	8.84703342640088e-66	5.98236400293228e-63
b2000	1538.83057430945	-1.72457258348855	0.107591860266831	-16.0288387914436	8.03705702609782e-58	4.52888163420612e-55
b1307	210.887248878209	-2.98314606220187	0.200540362574734	-14.8755393871902	4.75140270748074e-50	2.2949275077132e-47
b1305	320.967365807891	-3.3071721103036	0.234937899411581	-14.0767927124004	5.27500367069448e-45	2.22934842632726e-42
b0565	327.523213152027	1.56269356875005	0.133167650377025	11.7347836679985	8.45422074863678e-32	3.17596892790455e-29
b2237	505.74989388594	-1.65292079294578	0.148124039792467	-11.1590312771759	6.46926350721906e-29	2.18725799179076e-26
b4244	241.749105614421	2.73659022501418	0.246929629781481	11.0824700439389	1.52603526181826e-28	4.69047747291593e-26
b4380	1343.5306280736	-1.59029320154785	0.151083864672297	-10.5258970241277	6.56332801593143e-26	1.84921766848868e-23
b4498	280.957928558374	2.09317507991183	0.203917219033735	10.2648275110379	1.01502206244223e-24	2.63983814855168e-22
b2721	316.758544780012	2.2916272079412	0.224455403601892	10.2097217138322	1.79378561599447e-24	4.33199226262664e-22
b4050	118.886225905159	-1.96407675203455	0.194936273345063	-10.0754811730594	7.09128393350844e-24	1.5983753986128e-21
b3238	429.542186406554	-1.71476591495579	0.183375710132759	-9.35110715434639	8.67349850548805e-21	1.83281865294094e-18
b4245	368.223961029757	2.54477107680015	0.275128338518659	9.2493964471332	2.25763852893369e-20	4.49004462724989e-18
b0033	1829.77437609574	1.78423121580658	0.195213842891295	9.13988060160333	6.2521319500234e-20	1.17435878461273e-17
b2092	9528.16373278779	2.01209894764028	0.230214306390342	8.74011254638819	2.3287831349559e-18	4.14400830488731e-16
b1053	427.72305074074	-1.10321007489855	0.126530572493662	-8.71892107303798	2.8086526026956e-18	4.74802722485691e-16
b0337	374.4563755355	1.10206630066953	0.12817540816082	8.59811032773758	8.1039374013559e-18	1.3047339216183e-15
b4079	767.979924426358	1.70781878905541	0.202344573885211	8.44015115534677	3.16927547937211e-17	4.87060017988959e-15
b0032	529.838221560563	1.22677670228684	0.14638880157547	8.38026330623642	5.28094297477719e-17	7.76298617292248e-15
b2720	97.851918019661	2.16346727611647	0.260387452613484	8.30864642056271	9.67998823134298e-17	1.36366834209044e-14
b3469	1357.19385309545	-0.961856097609238	0.115925587987147	-8.29718541273114	1.06606928619339e-16	1.44175210264794e-14
b2719	150.151469951212	1.93152286186732	0.233988300275538	8.25478393403779	1.52177288840653e-16	1.97889005219327e-14
b4330	679.005591225779	1.80183603524059	0.219357773246568	8.21414262450251	2.13685484756119e-16	2.6758171257794e-14
b4062	171.989798001169	-1.38312291711025	0.173445446886801	-7.97439737932665	1.53126115434709e-15	1.84899784387412e-13
b2722	103.64777934368	2.28432971489025	0.289034975815339	7.90329858331638	2.71617899866586e-15	3.16669006706527e-13
b1660	223.631548693829	1.09471529345906	0.140144901330222	7.81131017303009	5.65965417047601e-15	6.37843025012647e-13
b0851	392.343880077937	-1.04409093787336	0.134174170183364	-7.7816090566947	7.16078626014865e-15	7.80987688566534e-13
b4518	15552.1602256659	-1.70722765501215	0.221588880820751	-7.70448250241025	1.31374577669862e-14	1.38805452219314e-12
b2725	43.7860289078554	2.13191236611503	0.278982441794938	7.64174387606107	2.14299149996945e-14	2.19559220042325e-12
b0568	866.950335878743	0.892390843310793	0.117342488273374	7.60501039684607	2.84880990384686e-14	2.83289008379595e-12
b1259	1886.19807935216	-1.72253366949744	0.229227699268813	-7.51450926302516	5.71248045640432e-14	5.51825612088657e-12
b4328	2296.47550749312	1.64269310858074	0.218924693713181	7.50346194720674	6.21540324083804e-14	5.83729954368706e-12
b2903	718.791822370965	0.977490086334326	0.131135315434151	7.45405677408975	9.05130179413404e-14	8.27093280161275e-12
b4554	2015.30678824921	-1.59058868301738	0.217715737971284	-7.30580479775499	2.75612050831322e-13	2.45222195752816e-11
b1258	353.068743657559	-1.45483494610758	0.199905328237226	-7.27761965594606	3.39761612130161e-13	2.94547182208224e-11
b2240	368.977684145662	1.21904121429898	0.168736931392052	7.2245074284692	5.02921374181009e-13	4.25094291526498e-11
b1112	310.777255704826	-1.31639012820136	0.18520914656828	-7.10758703116238	1.18089272351777e-12	9.7380446297892e-11
b3829	44247.2321042235	-1.42817404010186	0.203887391515779	-7.0047197596882	2.474806875497e-12	1.99221953477508e-10
b0447	377.647883768508	-1.06287815198621	0.153229608928381	-6.9365063281144	4.01915252567881e-12	3.1601755091442e-10
b1257	289.024363818276	-1.46717329414203	0.217180583502723	-6.75554541054832	1.42298929118923e-11	1.09343790761609e-09
b2093	1606.75210330606	1.73158270350648	0.257959682392394	6.7126098444814	1.91173787520919e-11	1.4363523902405e-09
b3601	1601.64318101995	-1.25156715869302	0.187019672749736	-6.69216847773992	2.19887492654623e-11	1.61617307101148e-09
b2147	197.453362292283	1.13238982003292	0.170226240987718	6.65226356090788	2.88619251469226e-11	2.07621636003713e-09
b0598	699.959717433788	0.68492603481161	0.104506890738551	6.55388395895458	5.60595354542139e-11	3.94869352855619e-09
b2724	60.8043777397816	1.99287694388705	0.307625126254504	6.47826452979107	9.2783585149733e-11	6.40206737533158e-09
b1308	331.703353334076	-1.28530182495906	0.198909757372188	-6.46173341086574	1.03510338804585e-10	6.99936910996607e-09
