baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sc.FPPS	116458.262647896	-9.6873181670813	0.249853921201815	-38.7719276947291	0	0
CtF4aN.CDS	110729.553320616	-11.426840110226	0.205129373171695	-55.7055283382631	0	0
Sr.VO.F219L.T487N	12544.5645465232	-11.73980845632	0.200739075615182	-58.4829257599317	0	0
Ec.dxs	2387.23356225395	-8.27376984043142	0.237374480526436	-34.8553468008958	3.53323930535141e-266	3.09158439218249e-263
ispDF	4289.84298561263	-8.48988824092487	0.248238825769327	-34.2004850152409	2.37812382801018e-256	1.66468667960713e-253
Bs.idi	1542.59124778695	-7.22956427935298	0.264777661890959	-27.3042832530573	3.77289066020925e-164	2.20085288512206e-161
b2169	2377.33091964544	-3.43658371987356	0.190689774708756	-18.0218563115003	1.31264217734578e-72	6.56321088672891e-70
b3941	2220.1114515618	-2.15192014547652	0.174847992066607	-12.307376939489	8.26664029361397e-35	3.61665512845611e-32
b4244	241.749105614421	3.12765035520339	0.272892307302636	11.4611158743102	2.06832625925268e-30	8.04349100820488e-28
b2168	1616.86973034072	-2.12840604597762	0.190993172451774	-11.1438855046771	7.6698487512477e-29	2.68444706293669e-26
b0033	1829.77437609574	2.13105288942738	0.199366942322086	10.6890985265981	1.14478233504175e-26	3.64248924786013e-24
b3774	901.711376792219	1.69606736517267	0.161861575248126	10.4785052448222	1.08444129276774e-25	3.16295377057258e-23
b4013	793.056297450252	-1.71720892082658	0.165591050767846	-10.3701795046524	3.38887568694256e-25	9.12389608022997e-23
b0572	665.750760388263	-2.14122229329479	0.21336807772779	-10.0353450998725	1.06586033977831e-23	2.66465084944577e-21
b4245	368.223961029757	2.73993631136994	0.286518565927589	9.56285782912372	1.14549043164536e-21	2.6728110071725e-19
b0072	948.16426117111	-1.59554943326736	0.173440752459243	-9.19939178447865	3.59981514381608e-20	7.87459562709767e-18
b0071	444.979631925629	-1.34938228999357	0.148050406169971	-9.11434372185646	7.91480404613344e-20	1.6295184800863e-17
b2092	9528.16373278779	2.04986033133632	0.230727748653357	8.8843251117403	6.43099678156938e-19	1.25047159641627e-16
b0073	563.767792296006	-1.4992608603657	0.170024131909187	-8.81792980520247	1.16595306383532e-18	2.14780827548612e-16
b2659	345.237084163727	-1.21900126724855	0.140444413559164	-8.67959953946504	3.9716474328878e-18	6.95038300755365e-16
b2129	390.624507304161	-1.22920790532266	0.143066625366351	-8.59185643175001	8.557527559167e-18	1.4262545931945e-15
b2243	484.134643152157	1.64332546304876	0.191600691294304	8.57682428986939	9.75284325031959e-18	1.55158869891448e-15
b2721	316.758544780012	2.04084092391404	0.239222883130545	8.53112752930219	1.44928161287782e-17	2.20542854133582e-15
b4600	1222.11352695225	1.03661135559659	0.122268111543071	8.47818243460339	2.28739103037789e-17	3.33577858596776e-15
b4484	3684.43888764601	-1.83513071082918	0.21659898813784	-8.47248053467974	2.40221826945675e-17	3.36310557723944e-15
b1511	451.843956722221	-1.50981246909393	0.179888625141101	-8.39304023758961	4.7372937976536e-17	6.37712626607215e-15
b2719	150.151469951212	2.20935625847311	0.263862896789083	8.37312212273309	5.61114025691434e-17	7.27370033303711e-15
b1512	284.689717228435	-1.71714769555808	0.209997021491217	-8.17700976596896	2.90974436306619e-16	3.63718045383274e-14
b0394	397.536419587517	-1.15173501752025	0.141125247150349	-8.16108414884292	3.32030742440613e-16	4.00726758117981e-14
b1163	177.815451369377	1.64664159452982	0.204898132955881	8.03639140471998	9.25228739255091e-16	1.07943352913094e-13
b2093	1606.75210330606	2.07892983007285	0.260492175531908	7.98077648907423	1.45415576683248e-15	1.64178876900441e-13
b4079	767.979924426358	1.6593865298698	0.209380967510649	7.92520232186535	2.27775167731786e-15	2.49129089706641e-13
b1285	640.924070579574	-1.02688590648026	0.131901549493586	-7.78524521071074	6.95781276050731e-15	7.37949838235623e-13
b0474	988.006879423608	1.61060920249476	0.208013676882379	7.7428043512998	9.72476269636679e-15	1.00107851286129e-12
b3416	2025.31523913222	-1.04315582438104	0.139138772638827	-7.49723319098724	6.51789653564076e-14	6.51789653564076e-12
b0447	377.647883768508	-1.20265062200824	0.163754889074026	-7.34421200373792	2.06974836110531e-13	2.0122553510746e-11
b0475	609.886410619035	-0.970319570889225	0.132461198697116	-7.32531171719159	2.3834404492694e-13	2.25460583038997e-11
b0565	327.523213152027	1.10499260422061	0.151434037434085	7.29685758197912	2.94566298568589e-13	2.71311064471069e-11
b2677	484.032600049191	1.22782823542811	0.172914582327758	7.10077900255264	1.24055618053007e-12	1.11331964919365e-10
b0574	329.30288527244	-1.54922638796324	0.221696849654381	-6.98803970547366	2.78753509988373e-12	2.43909321239826e-10
b2210	358.757366477798	1.15567646966405	0.168004479269359	6.87884319924095	6.03405311244243e-12	5.15102094964598e-10
b1206	838.047923851139	-0.89583517843636	0.132807569762998	-6.74536233164285	1.526456103303e-11	1.2720467527525e-09
b4498	280.957928558374	1.45247559843988	0.216410514404505	6.7116683421628	1.92411638917627e-11	1.56614124700394e-09
b3917	215.996853289526	1.30303934194404	0.194280095844344	6.70701409879902	1.98647077089011e-11	1.58014720411713e-09
b2903	718.791822370965	0.944304491822952	0.141299555516458	6.68299690237146	2.34104525884292e-11	1.82081297910005e-09
b3418	1052.4317893866	-0.875424083243312	0.132995083876771	-6.58237927090939	4.62978715949839e-11	3.5226641430966e-09
b1786	186.562776798674	1.34600776999449	0.20660364674507	6.51492745263754	7.27247982179658e-11	5.41567646304001e-09
b2434	260.966784933831	-1.03316488333702	0.159021531694521	-6.49701252608814	8.19306429164727e-11	5.97410937932614e-09
b1191	697.536792512874	-0.722314467954483	0.112767741210938	-6.405328866199	1.50045602226464e-10	1.0717543016176e-08
b2722	103.64777934368	1.96861038731176	0.307761717535343	6.39654081435807	1.58936364096542e-10	1.11255454867579e-08
b2682	575.811532737394	-0.973338770276766	0.152250756596313	-6.39299792025032	1.62664475039058e-10	1.11632482869942e-08
b0905	580.872757534608	1.00298880644259	0.157339612883861	6.37467442596887	1.83352033543386e-10	1.23410022577279e-08
b2425	2138.07849370315	-0.989228414467109	0.155516124924436	-6.36093790883592	2.00525498893309e-10	1.32422499269166e-08
b3152	365.84285633671	-0.921012054040095	0.145831140153	-6.31560620779488	2.69104496005955e-10	1.71248315640153e-08
b3746	524.948536088076	-0.806252575293554	0.127629238855839	-6.31714631005707	2.66437313632084e-10	1.71248315640153e-08
b0484	13326.3353282527	-1.23787114264342	0.197254615624173	-6.27549899771124	3.4851472523305e-10	2.17821703270656e-08
b2660	986.783617405343	-1.0130333524227	0.162942812746309	-6.21710976598846	5.06395535526848e-10	3.10944627077889e-08
b0337	374.4563755355	0.88905960921395	0.145924088187531	6.09261719745266	1.11079465645466e-09	6.70307120274361e-08
b0204	54569.058137197	-2.22129880081435	0.364820864467563	-6.08873838412784	1.13803906746399e-09	6.75107921376945e-08
b1231	109.135020677153	-1.55580031145465	0.257075892968677	-6.05191056029597	1.43137939382105e-09	8.21283258749782e-08
b2256	248.185013011663	-1.05190485880507	0.173793942345495	-6.05259794794184	1.42528281648939e-09	8.21283258749782e-08
b3758	73489.2299182812	-2.18715750997215	0.364764230465426	-5.99608549111687	2.02130637880522e-09	1.14106005255134e-07
b0201	36943.2530971829	-2.17795713073517	0.363863366595155	-5.98564552160158	2.15533318603197e-09	1.19740732557332e-07
b0461	1431.74266687358	-1.38951558173946	0.232302412619945	-5.98149440665843	2.21099652114967e-09	1.20913872250373e-07
b3854	79224.5739024412	-2.17950539687057	0.364641744045467	-5.97711433883117	2.27124793768403e-09	1.22297965875294e-07
b2242	519.752709725294	1.19619532380573	0.201799069682243	5.92765529439398	3.07290698797091e-09	1.62957188756033e-07
b0571	400.978339713483	-1.05004082521696	0.177545209177347	-5.91421661041889	3.3345881658371e-09	1.7419490418552e-07
b3275	19280.5121736042	-2.15119562346519	0.364661377198622	-5.89915948870419	3.65357946242821e-09	1.8805188409557e-07
b2094	3378.58276511233	1.39796538900654	0.237271461965016	5.89183957239939	3.81919869661802e-09	1.91478596814431e-07
b2167	2420.79789875239	-1.01329932977467	0.17199660541248	-5.89139144545667	3.82957193628861e-09	1.91478596814431e-07
b1129	922.005837495912	-0.852484964489998	0.144763034134412	-5.88883045721788	3.88938196775622e-09	1.91730097002067e-07
b1929	216.8076485929	1.22036301213483	0.207829913449067	5.87193148417447	4.30746776743488e-09	2.09390794250307e-07
b1517	215.185262068108	-1.22828075348385	0.209287165785342	-5.86887757247211	4.3875525710648e-09	2.103621095716e-07
b0168	898.04774975568	1.14709442064646	0.195581260351829	5.86505281018727	4.48989771804444e-09	2.12360027204805e-07
b0632	745.843545010095	1.10013954937227	0.188784946527245	5.82747496349504	5.62722887789399e-09	2.6260401430172e-07
b0432	2575.19381357764	1.10749099764324	0.190239729276711	5.82155473966402	5.83027033816369e-09	2.6501228809835e-07
b2067	1008.41124558318	-0.591576936671319	0.101613618066377	-5.82182730945455	5.82076768720678e-09	2.6501228809835e-07
b2141	166.934193898424	1.31293344381344	0.22622046018521	5.80377850322876	6.48369159874506e-09	2.90934879430868e-07
b4242	797.959409155203	0.941487470702522	0.16236614980596	5.79854527453952	6.68926446317398e-09	2.96359817988721e-07
b1777	266.190217301932	-1.04397733894122	0.181514313014273	-5.75148770146368	8.84615173725985e-09	3.87019138505118e-07
b3942	4358.6503492285	-0.987637729708335	0.171817370067664	-5.74818325597343	9.0207440710185e-09	3.89785237636602e-07
b2720	97.851918019661	1.61485892102953	0.281621508915462	5.73414625625871	9.80047364985625e-09	4.18312899688986e-07
b2531	1140.87741820549	1.17920344152125	0.206001895927011	5.72423586790221	1.03900316688991e-08	4.38133865555987e-07
b2240	368.977684145662	1.03652534082974	0.182139522729728	5.69083154109181	1.26422186074828e-08	5.26759108645117e-07
b4568	1766.27849658379	-1.17387913107742	0.206515731151527	-5.68421167981682	1.31417423365037e-08	5.41130566797211e-07
b4118	214.895741333987	-1.1535303179089	0.203683102866703	-5.66335794022057	1.48439066673181e-08	6.04112480646668e-07
b3976	91.5362759379518	-1.25886982723567	0.223094539319567	-5.64276396488767	1.67341691392534e-08	6.73213701004448e-07
b0789	620.245453719926	-0.828584955037995	0.147036598967896	-5.63522932966443	1.74825530984181e-08	6.95328816414357e-07
b2815	354.675952995845	-1.24415856344326	0.222906538077732	-5.58152566619379	2.38417861783412e-08	9.37598332856115e-07
b2501	1250.65134463919	0.94329768412764	0.169172996111613	5.57593531951927	2.46203399457329e-08	9.57457664556281e-07
b1221	433.089749886498	-0.817437972542382	0.146970782897831	-5.56190799575884	2.66840970608772e-08	1.02631142541835e-06
b2535	1850.95592943369	-1.00952689354637	0.182321633327887	-5.53706587155697	3.07580892815172e-08	1.17014470092728e-06
b0004	1693.46310153528	1.0565674937833	0.190974623396002	5.53250204134411	3.1569476752706e-08	1.17545924079224e-06
b3417	1145.18275532336	-0.738821785325404	0.13349735526013	-5.53435522288628	3.12375327049737e-08	1.17545924079224e-06
b0284	1185.31100299396	-0.672908367206058	0.121802694665551	-5.52457701411078	3.3028033873674e-08	1.21682230060904e-06
b2589	113.476941818531	-2.01056746841796	0.364229915676749	-5.52005033601447	3.38902568089557e-08	1.23558227949318e-06
b0628	1268.11568109305	1.10087553925272	0.199662202561911	5.51369024846535	3.51386809257967e-08	1.26789054886895e-06
b2495	331.142063541699	-0.91872655344603	0.167257546609863	-5.49288550542362	3.9541916260989e-08	1.41221129503532e-06
b1778	507.139506480713	-1.09747882523303	0.199967930722151	-5.48827415110846	4.05879788453292e-08	1.43492854503689e-06
b0060	1038.92524330143	-0.658382348534079	0.120675636904314	-5.45580172952492	4.87523687887683e-08	1.700073900983e-06
b4658	507.423902466636	-0.884838427879665	0.16221617889669	-5.45468666502857	4.90592754283666e-08	1.700073900983e-06
b1596	535.629567306788	0.867795926279215	0.159958896495979	5.42511823530257	5.79161897226135e-08	1.98732023557987e-06
b0795	979.067298426025	-0.87336583443215	0.161166597235151	-5.4190250921403	5.99249075865499e-08	2.01757005901019e-06
b2591	18561.0773405637	-1.96630106146337	0.362856583380829	-5.41894828844728	5.9950653182017e-08	2.01757005901019e-06
b4367	672.258047524105	1.0583308256569	0.196064698479166	5.39786526522195	6.74384796136264e-08	2.24794932045421e-06
b1230	49.7846432809599	-1.46357663575671	0.274577714085686	-5.33028195908128	9.8060401530665e-08	3.23784344676724e-06
b3756	19234.4655050483	-1.91867350343017	0.360234684533064	-5.32617647830649	1.00301683461845e-07	3.28089618800427e-06
b2411	956.43397097255	-0.651838462142512	0.122455330494025	-5.32307135600209	1.02029698491571e-07	3.30651800667129e-06
b0822	209.859654919157	1.03646918921623	0.195239107999584	5.3087170897054	1.10399538089546e-07	3.5449392964533e-06
b2530	1846.33874767046	1.13651303225688	0.214168535810203	5.30662932329173	1.1167094170536e-07	3.55316632698872e-06
b3828	494.924830603493	-0.836468646763929	0.157781322055651	-5.30144275549229	1.14891074603758e-07	3.62269154155994e-06
b2014	274.795331335075	1.00139439901388	0.189280169473882	5.29054048185463	1.21955423825307e-07	3.81110699454086e-06
b4212	189.682680005897	-1.04750100755776	0.199108199822124	-5.26096367951473	1.43302341977741e-07	4.43856811435482e-06
b1834	988.853641046128	-0.511750473808314	0.0975831478735284	-5.24425051825099	1.56918871973039e-07	4.81768466583891e-06
b3652	674.231868764986	-0.554313876514857	0.105768281742808	-5.24083276556157	1.59853538679583e-07	4.86510769894383e-06
b2661	3037.32327647706	-1.03661745481896	0.197974641419695	-5.23611229895546	1.63994194438631e-07	4.94810069426904e-06
b3938	1637.34062844617	-1.05061144120553	0.200791699306965	-5.23234498652944	1.67372998896116e-07	5.00688458236245e-06
b2500	238.502107205591	0.994819380007794	0.190195181616259	5.23051831047412	1.69035432037196e-07	5.01376281466259e-06
b0635	370.220372409316	0.800854109517535	0.153221172052937	5.22678490698951	1.72482954888662e-07	5.07302808496065e-06
b0887	411.836596915239	0.786165924016466	0.150734515560466	5.21556672732397	1.8325607434503e-07	5.34496883506338e-06
b0599	553.541565389742	-0.684099839559305	0.131698057048046	-5.194456584198	2.05318679624957e-07	5.93897007179628e-06
b2130	432.168737838327	-0.670014829970642	0.129257490635118	-5.18356674478569	2.17682277120589e-07	6.2449833600169e-06
b2944	148.201011511755	-1.14032813037357	0.220513950023092	-5.17122898689246	2.32559373092553e-07	6.60248006075556e-06
b3278	7628.14055483462	-1.86151807920576	0.360051648929736	-5.1701417969871	2.33916436438197e-07	6.60248006075556e-06
b0908	333.709861593583	0.792219802020447	0.153307347617663	5.16752663411922	2.37212171863688e-07	6.64194081218327e-06
b1833	552.978599775915	-0.669750602787914	0.130625031044481	-5.12727612336298	2.93964220800482e-07	8.16567280001339e-06
b1330	327.708157021707	0.893146675668736	0.175521007105085	5.08854575528959	3.60819730857649e-07	9.94385085040764e-06
b3528	441.511974961061	0.724575512958671	0.142576505939487	5.08201199197713	3.73457828848072e-07	1.02117375075645e-05
b0893	5326.66473817889	1.0104220472621	0.199065309940538	5.07583188433945	3.85804300499427e-07	1.04675585406821e-05
b0809	405.520265819729	1.20110960478399	0.237105576649701	5.06571638573692	4.06867305058438e-07	1.09541197515733e-05
b0837	881.201514492454	-0.82065524450059	0.162159005945277	-5.06080584125887	4.1748818887047e-07	1.11542645881423e-05
b2522	236.884163101206	0.878884466055936	0.17398497664799	5.0514963015118	4.38362426207039e-07	1.16232461494291e-05
b2945	44.3470169503315	-1.74537116016313	0.345853746287509	-5.0465584915544	4.49839221159868e-07	1.18378742410491e-05
b0796	604.16225425275	-0.851258649516007	0.168809140387526	-5.04272841838908	4.58940402849973e-07	1.19872493281709e-05
b0032	529.838221560563	0.787614504966199	0.156607099033292	5.02923883928637	4.92430701947528e-07	1.27667219023433e-05
b2662	2750.624087608	-0.986699258363889	0.196553041698854	-5.02001520727237	5.16673890178121e-07	1.32967545266428e-05
b1981	237.587859767857	0.826282037054292	0.165184835228812	5.00216642714047	5.66896173004829e-07	1.41089843249006e-05
b2241	610.734227879483	0.906478846641527	0.181178039457487	5.0032490105084	5.6372047227335e-07	1.41089843249006e-05
b2504	169.155832391609	-1.33661154768001	0.26703860302604	-5.00531208796683	5.57715965348817e-07	1.41089843249006e-05
