baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sc.FPPS	116458.262647896	-9.73680591541463	0.249841174233345	-38.9719826817686	0	0
CtF4aN.CDS	110729.553320616	-11.1081266174302	0.20511491818268	-54.1556251288221	0	0
Ec.dxs	2387.23356225395	-8.01947053753192	0.236626799934157	-33.8907957161377	9.10317024910615e-252	9.09103268877401e-249
ispDF	4289.84298561263	-8.20185928952464	0.247849189900122	-33.0921367660303	3.85613855677206e-240	2.88824777902228e-237
Bs.idi	1542.59124778695	-6.99627066371166	0.263817617289228	-26.5193459618033	5.79938304106343e-155	3.4749903182052e-152
b2169	2377.33091964544	-2.9389905120184	0.190095122160355	-15.4606308600555	6.39689584004507e-54	3.19418332279584e-51
b4244	241.749105614421	3.00593281151394	0.251413447655871	11.9561337690591	6.03048690819843e-33	2.58104839670893e-30
b2092	9528.16373278779	2.59068961903109	0.230367512853686	11.245898290687	2.42614171349515e-29	9.08590071703934e-27
b0565	327.523213152027	1.40956202263221	0.135795164193671	10.3800605198422	3.05581410894753e-25	1.01724656337853e-22
b4062	171.989798001169	-1.77559539493054	0.17435638445351	-10.1837130914124	2.34441207670262e-24	7.02385858180105e-22
b2243	484.134643152157	1.83660348847476	0.181054698947629	10.1439150662751	3.52675317515113e-24	9.60559319341163e-22
b4245	368.223961029757	2.75581894092741	0.277098502153916	9.94526826924771	2.64460496840717e-23	6.60269707112323e-21
b0033	1829.77437609574	1.8570696117681	0.195693317862019	9.48969352687604	2.31714506723938e-21	5.34012817034553e-19
b3941	2220.1114515618	-1.61594384881841	0.174026660137671	-9.28561088019531	1.60782189670124e-20	3.44073885894065e-18
b2168	1616.86973034072	-1.74150324595057	0.189947160985176	-9.16835627823089	4.80286333466926e-20	9.5929190337794e-18
b4498	280.957928558374	1.85619456658307	0.205673684438951	9.02494926196567	1.79778661481533e-19	3.36635543624171e-17
b2093	1606.75210330606	2.26202712097853	0.258518834780357	8.74995093839255	2.13445524316428e-18	3.76166347560011e-16
b3774	901.711376792219	1.28005303167804	0.152040371938498	8.41916535297504	3.79175918762899e-17	6.31117251452025e-15
b2903	718.791822370965	1.10042501943152	0.132901327640909	8.28001524864224	1.23159509530612e-16	1.94203100291427e-14
b2242	519.752709725294	1.60879465671246	0.195286779027467	8.23811353090204	1.74947138973209e-16	2.62070814181868e-14
b4013	793.056297450252	-1.31453406574576	0.162688781895497	-8.08005352569516	6.47383517470556e-16	9.23600484924659e-14
b2241	610.734227879483	1.32518526241969	0.175297277281582	7.55964543756738	4.04169552335432e-14	5.50405444907707e-12
b1511	451.843956722221	-1.30882661677354	0.17472861545259	-7.49062546729025	6.85461633274817e-14	8.92888284039718e-12
