Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression WT	Expression A	Expression B	Expression C	qValue WT vs A	qValue WT vs B	qValue WT vs C	qValue A vs B	qValue A vs C	qValue B vs C
	190	255		+	thrL	b0001	leader; Amino acid biosynthesis: Threonine	70	98	104	79	0.0015261599640101968	1.0	0.04020284624151059	6.949541105989803E-7	0.4352953511045143	0.001522832074195798
328	337	2799	2800	+	thrA	b0002	enzyme; Amino acid biosynthesis: Threonine	273	150	168	185	6.656134087270712E-27	0.008342405450490545	1.659731425581012E-5	3.7180895575523186E-6	7.482645875363937E-6	0.7064730618366756
2801	2801	3733		+	thrB	b0003	enzyme; Amino acid biosynthesis: Threonine	381	186	201	228	8.06246452647738E-44	2.8766547138631896E-9	9.57221764623866E-10	6.578643184315161E-5	2.111259789881966E-6	0.6453046321405499
	3734	5020		+	thrC	b0004	enzyme; Amino acid biosynthesis: Threonine	311	139	134	130	1.5746858211499426E-53	9.475288747455102E-19	1.0512249395731629E-35	0.015217559335437864	0.47599661334229093	0.16903240781374088
	5234	5530		+	yaaX	b0005	enzyme; Amino acid biosynthesis: Threonine	26	15	26	22	4.2629026654923953E-13	1.0	0.0019453031086281722	1.6971554163983702E-13	4.424466709420095E-5	0.0015928323337537006
	6459	5683		-	yaaA	b0006	enzyme; Amino acid biosynthesis: Threonine	29	26	23	21	1.6804105499004983E-8	1.0	1.0863822309588871E-5	7.163504147649046E-5	0.8104765585039935	0.002331233128097192
	7959	6529	6529	-	yaaJ	b0007	putative transport; Transport of small molecules: Amino acids, amines	27	22	23	15	1.5888152447321816E-11	1.0	1.7983268862006039E-9	6.079770681480577E-8	0.42504945753988055	1.7068124627194092E-6
8215	8238	9191	9191	+	talB	b0008	enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway	1171	1099	896	1053	3.156555126081929E-6	1.0	5.311572717270245E-4	0.005067564775558867	0.4608858369656864	0.056442187799697494
	9306	9893		+	mog	b0009	transport; Biosynthesis of cofactors, carriers:Molybdopterin	86	93	97	109	4.6771577387296134E-5	1.0	0.38988833674379847	1.7353779526601669E-6	6.734938157948625E-5	0.25337346766105007
	10494	9928		-	yaaH	b0010	transport; Biosynthesis of cofactors, carriers:Molybdopterin	71	71	74	64	4.773436039069916E-8	1.0	7.256317106311773E-4	4.4782275866631525E-8	0.15889179240591533	0.0010712210967864372
	11356	10643		-	yaaW	b0011	putative enzyme; Not classified	13	5	10	5	2.8384790522241336E-26	1.0	4.919835357087343E-8	3.850455012635399E-17	0.023070614105213966	1.741071444059678E-5
