baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000092341	10314.5877071252	-2.69889729180588	0.0832654189361528	-32.4131833633765	1.78968094060314e-230	1.7456547894643e-226
ENSMUSG00000049866	355.339816076008	-4.60092545112674	0.164161423340455	-28.0268369846237	7.65380184047611e-173	3.7327591576002e-169
ENSMUSG00000056290	778.980873057019	-3.19367154180159	0.114557809855082	-27.8782524372772	4.89713630337866e-171	1.59222225010518e-167
ENSMUSG00000055148	348.820080614266	-5.06493108970418	0.185022732508931	-27.3746421373368	5.49745783046345e-165	1.34055509195851e-161
ENSMUSG00000035697	872.485908047556	-3.29337876130287	0.120563223364883	-27.3166117277364	2.69310575494072e-164	5.25371070673836e-161
ENSMUSG00000017493	550.259528758465	-3.43967175034702	0.126237579480726	-27.247605384197	1.77406080411091e-163	2.88403151388297e-160
ENSMUSG00000025357	659.617246108382	-3.09968306101303	0.117833790582048	-26.3055533196543	1.65674535157701e-152	2.30855630846888e-149
ENSMUSG00000038393	355.864485699065	-3.74567788749383	0.154903312136336	-24.1807475633389	3.54716793043539e-129	4.32488449918335e-126
ENSMUSG00000034614	216.644591849624	-5.26558718380634	0.227144872852418	-23.1816246507467	6.97799614522424e-119	7.56259715561303e-116
ENSMUSG00000026222	400.050609674807	-3.20440261370717	0.139396446739033	-22.9876922164752	6.1893207217562e-117	6.037063432001e-114
ENSMUSG00000066621	299.931934846658	-3.72845739727656	0.164847335698523	-22.6176382012946	2.90626818699073e-113	2.57706726326433e-110
ENSMUSG00000045092	198.028247631427	-5.90910853267186	0.263899916872722	-22.391475536242	4.76549131437514e-111	3.87355019003459e-108
ENSMUSG00000022148	379.767261892938	-3.22484652300951	0.144639929091617	-22.2956865594622	4.06882559728716e-110	3.05287114430299e-107
ENSMUSG00000061232	2957.14428908621	-1.90163116532283	0.0858372424920994	-22.1539172288515	9.56315727011825e-109	6.66278828662381e-106
ENSMUSG00000042675	221.979885450722	-4.99001465624961	0.231396985709443	-21.5647349119551	3.85117791432934e-103	2.50429262509123e-100
ENSMUSG00000040940	857.371724781973	-2.21693841478878	0.104429377754097	-21.2290685099079	5.14726200154386e-100	3.13789959769117e-97
ENSMUSG00000042524	341.739734874767	-3.05449635442093	0.144096897209262	-21.1975164877082	1.00670531903251e-99	5.77611981284891e-97
ENSMUSG00000037266	523.593081516172	-2.48070873043246	0.12043854559497	-20.5972989641953	2.90183052335522e-94	1.57246971804482e-91
ENSMUSG00000060550	363.048805039757	-2.95583382117577	0.144455004044043	-20.4619690452161	4.70013580855321e-93	2.41290129876989e-90
ENSMUSG00000039997	214.124477242154	-3.66753309878026	0.183341229910768	-20.0038643820882	5.09662079531478e-89	2.48562196187502e-86
ENSMUSG00000028649	604.376119783368	-2.58965578883353	0.13047350699699	-19.8481350615745	1.14367468118087e-87	5.31209659058964e-85
ENSMUSG00000026234	4556.52062987043	1.84245148379125	0.0935642361351183	19.6918348281124	2.53344663329238e-86	1.12323811186972e-83
ENSMUSG00000023927	745.250308805708	-2.23783707455743	0.113794088210592	-19.6656707720704	4.24515975026072e-86	1.80031687843665e-83
ENSMUSG00000025647	1449.85949611836	-1.83353378280622	0.0932672422266339	-19.6589256745776	4.84886600979754e-86	1.97065996081522e-83
ENSMUSG00000024677	541.925841022045	-2.37675464458655	0.121419524819278	-19.5747318903129	2.53969684995966e-85	9.90888122980261e-83
ENSMUSG00000000782	777.792471563251	-2.16225038291902	0.111881363166228	-19.3262784947163	3.22884903048241e-83	1.21131513243559e-80
ENSMUSG00000032035	588.868918692876	-2.2481527709263	0.117499360472059	-19.1333192103705	1.33309684951498e-81	4.81593580376633e-79
ENSMUSG00000066406	403.657921238641	-2.65811379715594	0.140005693162632	-18.9857550583193	2.23697453031048e-80	7.79266056023157e-78
ENSMUSG00000032946	142.661070941698	-5.16687431185689	0.275508437262065	-18.7539603621726	1.79697196645793e-78	6.04402226235539e-76
ENSMUSG00000001281	323.977499570116	-2.92192951750563	0.156661044511931	-18.6512832632308	1.23282454096787e-77	4.00832352420021e-75
ENSMUSG00000025085	664.968929153397	-2.11346826215276	0.114553441021825	-18.4496270325926	5.25062014168588e-76	1.65208222135497e-73
ENSMUSG00000054435	613.602376460498	-2.15006527964128	0.116921671480221	-18.3889372468045	1.61107096080498e-75	4.91074567240367e-73
ENSMUSG00000090272	224.036419241727	-3.04868969446636	0.168234471887948	-18.1216706674536	2.14967308401295e-73	6.35391250347344e-71
ENSMUSG00000036006	200.638108703438	-3.7953460990155	0.210224439775922	-18.0537814873521	7.36697667278678e-73	2.11345560195183e-70
ENSMUSG00000064360	938.296943191829	1.94926806786785	0.109380211973216	17.8210302640954	4.85343579109154e-71	1.3525832201802e-68
ENSMUSG00000055675	302.349535852239	-2.55364880655607	0.144406141717111	-17.6837963828341	5.59020817838159e-70	1.51463584922039e-67
ENSMUSG00000020297	172.879108596497	-3.70263192772475	0.209955822723056	-17.6352905087501	1.32015929968674e-69	3.48022535382284e-67
ENSMUSG00000027985	737.571869755362	-1.99903711609004	0.114035054616848	-17.5300228759191	8.45354577711035e-69	2.16989172394564e-66
ENSMUSG00000092274	194.88751813575	-3.52890572081135	0.202039109796415	-17.4664485720971	2.5806695156578e-68	6.45432062967337e-66
ENSMUSG00000029603	112.11173351336	-4.97277552095937	0.285053412976657	-17.4450657125322	3.75286644829423e-68	9.15136483416548e-66
ENSMUSG00000028581	896.933554957809	-1.85580654451106	0.106512975946245	-17.4232907119941	5.49253595499772e-68	1.30668770012312e-65
ENSMUSG00000001248	385.463201873662	-2.25398739352058	0.132233327270786	-17.0455318643301	3.77296321369045e-65	8.76225790150872e-63
ENSMUSG00000036478	470.314325301769	-2.35684820941128	0.138324353175971	-17.038563024495	4.25047245156265e-65	9.64165309128886e-63
ENSMUSG00000073411	1309.9225417187	-1.59167530431276	0.0935567920777224	-17.0129315997761	6.58582453369117e-65	1.45995755685508e-62
ENSMUSG00000004568	133.277772466411	-4.05911995789946	0.23914584446977	-16.9734078670665	1.29211184740025e-64	2.80072421323155e-62
ENSMUSG00000044037	172.525272433404	-3.42382597100075	0.202482213297539	-16.9092678079807	3.84454961076895e-64	8.1521167181392e-62
ENSMUSG00000020601	163.424738340357	-3.36928332556724	0.202063574389619	-16.674372586672	2.01314057049302e-62	4.09086940095603e-60
ENSMUSG00000064341	13814.7570583707	1.27019518922357	0.0761717734237925	16.6754052338608	1.97865081873695e-62	4.09086940095603e-60
ENSMUSG00000036944	115.020466353365	-5.40427912902266	0.325519949009488	-16.6019905860367	6.74175536312798e-62	1.3420220777949e-59
ENSMUSG00000031453	187.137520927906	-3.26179102072607	0.197602002134305	-16.5068723266737	3.27418360984964e-61	6.38727738609468e-59
ENSMUSG00000001348	129.849323245725	-3.62191493088738	0.220180796595778	-16.4497312521615	8.42411987218064e-61	1.6111542202598e-58
ENSMUSG00000064373	163.839910791908	-3.44825183181919	0.210018583586662	-16.418793865431	1.40328491057771e-60	2.63223865726443e-58
ENSMUSG00000047867	508.263418168898	-2.05490052723497	0.125171388349953	-16.4166951754973	1.45266312132698e-60	2.67344831800442e-58
ENSMUSG00000078812	928.673424849168	2.0698385841679	0.126425624348321	16.3719862554541	3.03156487464191e-60	5.47590440504762e-58
ENSMUSG00000021356	626.509318200451	2.25724923551015	0.13834710053109	16.3158405694443	7.61507011822692e-60	1.35049807151246e-57
ENSMUSG00000063286	200.897670139715	-2.83364354377525	0.175478283077562	-16.1481152771638	1.17084810967264e-58	2.03936651102624e-56
ENSMUSG00000078763	137.330311410881	-4.15631336517955	0.258028663149085	-16.1079521726549	2.24330841810833e-58	3.83881233512783e-56
ENSMUSG00000025026	251.542010956616	-2.51864446159423	0.158705729113398	-15.8699025905651	1.02399684597068e-56	1.72208021303414e-54
ENSMUSG00000020846	174.278623085766	-3.15437975206392	0.200244253082694	-15.7526605807821	6.58514810500142e-56	1.0886700782404e-53
ENSMUSG00000001525	2667.72321810143	1.54128905600468	0.0985055882351984	15.6467169387852	3.49805962587885e-55	5.68667893180372e-53
ENSMUSG00000022708	128.686198404733	-3.96964606987587	0.254555784380411	-15.5944052873832	7.94599291838549e-55	1.27057729386774e-52
ENSMUSG00000044770	118.136980623705	-3.98815062867008	0.257413451964288	-15.4931709987843	3.8578384743405e-54	6.06925104495439e-52
ENSMUSG00000049744	426.973126594235	-2.39688326161642	0.155297967281607	-15.4340929477207	9.65482157220727e-54	1.49481158119539e-51
ENSMUSG00000020134	416.042868428696	-2.14350713724423	0.138948116052445	-15.4266729059873	1.08311737625982e-53	1.65073857625598e-51
ENSMUSG00000002885	146.36907421545	-3.36376670794626	0.21902862824088	-15.3576577407356	3.14741944308412e-53	4.72306603812962e-51
ENSMUSG00000044167	289.20573662258	-2.28274690974461	0.150031287023404	-15.2151391555316	2.80622125896912e-52	4.14725487272496e-50
ENSMUSG00000042613	155.977565436576	-3.192263290015	0.211441354481763	-15.0976297793738	1.67859663373748e-51	2.44373605454857e-49
ENSMUSG00000097838	130.68964587102	-4.2295956670103	0.281222445051548	-15.0400358912853	4.01332426337504e-51	5.75675953896472e-49
ENSMUSG00000020423	169.827615474188	-2.949949896846	0.196827290940428	-14.9875044398129	8.86209808712777e-51	1.25276673538905e-48
ENSMUSG00000052040	225.017847135177	-2.51248308780276	0.167991190708687	-14.9560407138231	1.42240541016897e-50	1.98202033868402e-48
ENSMUSG00000071068	108.016402510133	-3.99373102363821	0.268792809168789	-14.8580277723514	6.17154212598797e-50	8.47848195730797e-48
ENSMUSG00000040746	209.844363808428	-2.62805597682588	0.177708189365383	-14.7886036440468	1.7351626993728e-49	2.35066346801143e-47
ENSMUSG00000020717	110.184336129281	-3.51797477931157	0.237903159054245	-14.7874235604808	1.7658485893611e-49	2.35946399186687e-47
ENSMUSG00000022108	309.748800297945	-2.06870746592714	0.1405524812902	-14.7183987570868	4.91152679005167e-49	6.47392328515729e-47
ENSMUSG00000064215	99.8723892177634	-4.06691010741888	0.276792140033628	-14.693011539001	7.14657010316847e-49	9.29435263817404e-47
ENSMUSG00000047888	256.098176817689	-2.379125767631	0.161994923002236	-14.6864217935902	7.87645996565957e-49	1.01088145401373e-46
ENSMUSG00000025980	602.164288134896	1.85631270324905	0.126415992668467	14.6841603191562	8.14367514415559e-49	1.03160269293628e-46
ENSMUSG00000045165	148.69736547209	-2.98346472672029	0.205325214524302	-14.5304352104654	7.77250459621767e-48	9.71961664506503e-46
ENSMUSG00000024006	250.137506011846	-2.3574936920899	0.162466434022375	-14.5106508078169	1.03731694007001e-47	1.28075815613202e-45
ENSMUSG00000028064	83.3593569528238	-4.73201194243445	0.327114938456608	-14.4658998600339	1.98985463283457e-47	2.42613026108355e-45
ENSMUSG00000042349	167.561029318746	-2.69413931029629	0.18663286067857	-14.4355034826171	3.09378216328574e-47	3.72552484206038e-45
ENSMUSG00000038056	246.517838755262	-2.34476902548317	0.162667257933763	-14.4145112868254	4.19397312446129e-47	4.98878217756042e-45
ENSMUSG00000019820	275.509452087864	-2.11652759276212	0.147144052699073	-14.3840512337299	6.51656146454801e-47	7.65813741267485e-45
ENSMUSG00000052142	366.239447447289	-1.96008308344417	0.136459524814335	-14.3638422170313	8.72526499702629e-47	1.01316946167851e-44
ENSMUSG00000064109	140.584269827102	-2.86676718087296	0.199821317262157	-14.3466534009076	1.11803591909878e-46	1.28297910057524e-44
ENSMUSG00000000244	255.252066920057	-2.43457908923252	0.169755378273532	-14.3416904606675	1.20094107199228e-46	1.36209060653636e-44
ENSMUSG00000024975	228.674070626519	-2.64558815166481	0.185255683457309	-14.2807394747189	2.88523543187693e-46	3.23478004626754e-44
ENSMUSG00000026832	571.686578576378	-1.76516152812202	0.124814115327618	-14.1423229535277	2.08293463608162e-45	2.30874368640229e-43
ENSMUSG00000030798	256.56051718784	-2.20263623244575	0.156284802926757	-14.0937326675199	4.1503174045956e-45	4.54856134431747e-43
ENSMUSG00000026034	375.516655388778	-1.83443177430596	0.131109850812701	-13.9915632802189	1.75511108958211e-44	1.8892411916304e-42
ENSMUSG00000030189	466.51983550681	2.24723040649132	0.160616708160105	13.9912617574708	1.76256867375811e-44	1.8892411916304e-42
ENSMUSG00000030336	271.27344337026	-2.14044224560343	0.153693142818446	-13.9267257234233	4.35884581093388e-44	4.6213241347662e-42
ENSMUSG00000026355	401.550736456682	1.98792826353493	0.142752692379239	13.925679652008	4.42313828139998e-44	4.63906352653499e-42
ENSMUSG00000031532	307.586478740052	-2.36333035816668	0.170113398406973	-13.892676181289	7.01639444967446e-44	7.28062887894943e-42
ENSMUSG00000003882	318.744872894424	-5.38166738973503	0.387569549054475	-13.8856816869754	7.73608511414774e-44	7.94292360035758e-42
ENSMUSG00000018474	399.059457159595	-1.87349519600825	0.135125182181782	-13.8648856250041	1.03390772447244e-43	1.05049332755252e-41
ENSMUSG00000041642	183.992421587	-2.94206564424089	0.212834521093826	-13.8232539962063	1.8453580017688e-43	1.85563112878896e-41
ENSMUSG00000063229	1124.74671461403	1.46172864097187	0.105843012491385	13.81034615857	2.20768174885094e-43	2.19731916105021e-41
ENSMUSG00000031431	247.70024123876	-5.50616929905862	0.399506791961137	-13.7824172450972	3.25198170568686e-43	3.20402318760299e-41
ENSMUSG00000016756	104.451786749469	-3.35000236328009	0.243905951380012	-13.7348118991189	6.28190066799952e-43	6.12736591156674e-41
ENSMUSG00000027009	119.708113804025	-3.03842770899853	0.221251027932278	-13.7329427907949	6.4461134402505e-43	6.22528618774291e-41
ENSMUSG00000040296	67.2755093728273	-4.90937605958549	0.358857718081085	-13.6805642242762	1.32659316378672e-42	1.26858722740938e-40
