PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
1630255_at_CG31676	0.0950835623075699	-0.0696896603048189	0.019104250083911	0.0424278618257266	0.0252149620035995	-0.00237607861683897	-0.00596327622980378	0.142660163299064
1625246_at_Her	0.0829576183524251	0.0133353938399934	-0.00484033539346611	-0.0110885401897065	-0.000438665756141708	-0.00283491531415139	-0.0165357709061305	0.140119459258386
1624175_at_caup	0.0480816093629559	0.0143847310313253	7.38633227075152e-05	0.00176420049963544	-0.00807449310675746	-0.0158387179687095	-0.00251929173470563	-0.380060593264253
1638888_at_unpg	0.0604880821924096	0.00500198913755559	-0.00264752397217071	0.0273345879521356	0.0076896298775835	-0.00732321150871438	-0.00910918936255796	0.31310700195245
1636826_at_CG14072	0.0839075342146886	0.0188917508009762	0.00729365057987433	-0.00891342854425073	-0.00352293402898357	-0.0221051141083293	0.00704822229522773	0.0469052605365137
1632524_at_Wnt4	0.0708991376105438	-0.00884549258857618	0.00529552433259178	0.00619676562336386	0.0126279366547125	-0.00490838350940834	0.0158565560760735	-0.0468836818095083
1638324_s_at_bond	0.0637849749754125	-0.0168169238254572	0.00768879720010823	0.0177492643283841	-0.000359108418276514	-0.0138510944570082	0.0138557309572014	-0.0838138122018325
1641738_a_at_sosie	0.0226352760274285	0.00224196134984259	0.00168262043806439	0.0100931527778565	0.00140292377469097	-0.00612005885628952	-0.00666210862029601	0.000636253421201947
1632868_a_at_wg	0.047364493775726	0.00520490375932275	-0.0166438576033511	0.00957130205378849	0.00509581176761633	-0.00308561365622361	-0.0147478947171859	-0.00494480005146105
1623632_s_at_CG43693	0.0643308167665839	-0.01090576610284	0.00040748077035611	0.003289634227723	0.00923674654022904	-7.72300696830902e-05	-0.00835509578998262	0.00652599096921515
1625471_s_at_CG4928	0.0790995530901426	-0.0142095861978044	0.0069230846148487	-0.00686729079680534	0.0212925278797446	-0.00922143213400488	0.00590798812867624	-0.00567364463187954
1633345_at_Scr	0.0286948690831221	0.0021603187952269	-0.00559271744569782	-0.00623170730669129	0.00100548267305244	-0.00216505048779242	-0.0106604110704675	0.00141570613611592
1623697_s_at_CG33465	-0.0755901838382432	-0.0380596230187646	0.00697963356224262	0.00369008235461354	0.0146288082165594	-0.000758284493146332	0.0233257961163795	0.00738038759305789
1640207_at_CG3635	-0.0413718112730661	-0.0224364096907589	0.0158927168299836	0.00547869363448643	0.00897048761668832	0.00818102608448231	0.0226771079438021	-0.0021829616862427
1637813_at_abd-A	0.081819920035402	-0.0141913457497963	0.0283473219001968	-0.0275429091255847	0.0134078482777926	-0.00467366135333167	-0.0117230192981719	-0.00586014173637404
