PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
CG10007:Tango9:mRNA	0.00306279999424008	-0.00169259217784845	-0.00462764885406829	0.0124883151943972	-0.00405514506222872	0.0081336592959974	-0.00795071081775166	-0.00560473359026864	0.00280538658264238	0.00113114870124661	-0.133072365636126
CG10009:Noa36:mRNA	0.00391317815263332	0.00548996273022224	-0.00285190211509194	0.00737126749455698	0.0111529479748862	-0.00446503831132933	-0.0100368311401649	-0.00166137436555064	-0.00341318530650476	0.00439988547365487	-0.113918629387844
CG10011:CG10011:mRNA	0.0121554030016817	0.0114811978158448	0.0020353897251411	-0.019007544855604	0.0155377614309465	-0.00161734287354665	0.0135027922659233	-0.00598125700588221	0.00395885131830223	-0.00219299252937238	-0.161842578493172
CG10016:drm:mRNA	-0.00696808918859065	-0.00114394220537218	-0.00646351521414959	-0.00283138671437463	0.0132650851366799	0.00160730988712932	-0.00321640350301784	-0.000553119054610569	0.00445840474629015	0.00563843214595042	-0.0210310224488681
CG10026:CG10026:mRNA	-0.0259147401696509	0.00477313822447236	-0.0137766755067023	-0.00225453395166172	0.00711876735592982	-0.0115056086228996	-0.00356142401568583	-0.0158388401063318	-0.00628984596533971	0.00968265701606015	-0.210425706611158
CG10059:MAGE:mRNA	0.000529135620160761	-7.18231889386561e-05	-0.00445489955625898	-0.00444281387436484	-0.00246193350799367	-0.000947454744345249	0.00892161564375315	-0.000462962710003244	-0.00057721098000256	0.00460490505451791	-0.0866930682527467
CG10061:Sas-4:mRNA	0.00681418960380208	-0.00127379584681441	0.00803838500561997	-0.0136794125173131	0.00988846129376546	-0.0145288319337978	-0.0101293739428302	-0.00515027613384284	0.00189456888162024	-0.00226457294299217	-0.189734292507068
CG10064:CG10064:mRNA	0.00134745171092247	-0.000611908924596025	0.000786398321417317	-0.00254289291729224	-4.68442522415947e-06	-0.00293632338424363	-0.000921323967204225	0.00050300590082046	-0.00249165992211966	-0.00548828403089069	0.0162233313100214
CG10069:CG10069:mRNA	-0.0119155747366944	0.000337642418730111	-0.00624460636814082	-0.00242091072540153	0.0126235641710894	0.000264011088393638	-0.000213335432267495	0.00711934228615848	0.000927996635516116	0.00263493722411861	0.00839999247769172
CG10072:sgl:mRNA	0.000776032486735107	-0.00611591428392512	0.00431669472116966	0.00203513444652909	0.00649745159990376	0.0095370298703801	0.00445691187167426	-0.00485329117899507	0.00728264704728536	0.00264450316955738	0.0196928973759464
