PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
CG10007:Tango9:mRNA	-0.00322324215500287	-0.00409138906952428	0.00482223398268766	0.0104525371779788	-0.00783912494678094	-7.08489384744215e-05	-0.000569266543480225	0.0129540609508836	-0.00383928226355684	-0.0144878051345978	0.00811595053385062	0.442812300808784
CG10009:Noa36:mRNA	0.000837787133798645	0.00100380193632677	0.000318222562477786	-0.00367343451215302	-0.000150186325418065	0.00023608976127902	0.00541596678081317	0.000646051527616717	-0.0102868935863618	0.00329705685643993	-0.00612423988181534	0.235613414619638
CG10011:CG10011:mRNA	0.00331753182046883	0.00125764579706527	0.00160853459559548	0.00279572618960713	-0.00280133719717828	0.00973510814830721	-0.00170041900087317	0.0194246237314518	0.0144948200684237	0.00640126557538611	0.012053922119412	-0.0856152411503655
CG10016:drm:mRNA	-0.0105734553011089	-0.000209223364617964	-0.00935949999996793	-0.000412682778783644	0.0146888023841872	0.00478296426191095	0.015650970994369	-0.00638225241730628	-0.00112182637570953	-0.00133970178542623	0.00840305689222076	0.0392769512786101
CG10026:CG10026:mRNA	-0.0268977431451956	-0.00386289321185572	-0.00134014679887707	0.00510988141994836	-0.00568577742762117	-0.0059911931970551	-0.0178217341607275	-0.0180789506098146	-0.00312756278590222	-0.00295430889392556	-0.0105706087725962	-0.0440841121201045
CG10059:MAGE:mRNA	0.00361702625041317	0.00567312845035696	-0.0099035705735765	0.00654409932929901	-0.00744419175271844	0.000673086539433181	-0.00677428260299603	-0.00205317700205175	-0.0106957709880505	-0.00041586025835511	0.00195519758206412	0.0697071520153325
CG10061:Sas-4:mRNA	0.00821677386797807	-0.00388140876957379	-0.00533598248233573	0.00172738772162819	0.00556417059171202	0.000594959986842419	-0.00408104126800062	-0.00628845147724169	0.00190373413966509	0.00754067877628541	-0.00860146008980855	0.0171039659641126
CG10064:CG10064:mRNA	0.00261975193484952	0.00938664636934253	0.013465781961427	0.0220610658402365	0.0277218412889256	-0.00279583321172382	-0.00519183866295382	-0.00276695202884422	-0.00450807771523824	-0.00719239293210821	-0.00116385888986436	-0.0914587014284373
CG10069:CG10069:mRNA	-0.00309734823021339	0.00227778804101836	-0.00314909408170338	0.0103380415797299	0.00073908222152587	-0.0033858016238027	0.00229932422156097	0.00208604343731325	-0.000484813730033298	-0.00122117055172297	-0.000632595395642419	-0.0312614234081372
CG10072:sgl:mRNA	0.0201122357298677	0.0110409088191725	-0.015314126047719	-7.40784473635123e-05	-0.00525108569891213	0.00290192725278457	0.00230146930778371	0.0108946712481936	0.00465537987614644	0.00792385983368987	0.00359207199929527	0.0594443773754014
CG10078:Prat2:mRNA	-0.00842902250640732	-0.00265481501370282	-0.00556418449656161	0.000712478589917722	4.46893964858993e-05	-0.000711834175428506	-0.00435877074929981	-0.0132936096583488	-0.0017817116483052	-0.000610533158134083	-0.00115375989385337	-0.0137693143089531
CG10079:Egfr:mRNA	-0.0291672864171349	0.0089699156018275	-0.00139861900807339	0.0163194415697904	-0.024838566040559	0.0245231667197821	-0.00224980195303703	-0.00902610109087668	0.0212532089223351	0.00921706115178633	0.0228617125666269	0.00507159064827656
CG1007:emc:mRNA	0.0143517057424441	0.0131680635216116	-0.00305493950304182	0.0106063820039616	-0.0220054029737959	-0.00371245162517773	-0.0101943272813298	-0.00404872152968766	0.0181550934335248	-0.00425118895450408	-0.00728880483776501	-0.0102100102482691
CG10082:CG10082:mRNA	0.00210544105211257	-0.00956861156780866	0.0234859434007889	-0.0150178609815676	0.00211043940817071	-0.0169534006072058	0.00751524775774663	0.00619706060875363	0.0199494669096654	0.0125274362374958	0.0174273953644738	0.0136823547840451
CG10083:CG10083:mRNA	0.00373724413769184	-0.0103054914887889	0.00319918197744646	0.0100147138488416	-0.00236311539100225	-0.00349502936542238	0.00996578089636205	0.000849858845370699	-0.00184839083706941	0.00268228851162345	-0.00613634887911259	0.00309406846909353
CG10084:swm:mRNA	0.00156470713614861	-0.000411850375912648	0.00259845881227723	0.00655798661352701	-0.00473533142521182	0.000118528329763466	0.00779448961888876	-0.00880859591018397	0.00928127551596733	-0.00281997209827167	0.00577467881749955	0.0194736104837099
CG10089:CG10089:mRNA	-0.00627037375862553	0.00817664686407912	0.00524517333351784	0.00328453318428407	-0.0100326213253929	-0.00296886738444329	-0.0105621235137128	0.00625116140443695	0.00802698025476081	-0.0033040355812961	-0.0126210698893151	-0.00845845889768367
CG10091:GstD9:mRNA	-0.00467921070199906	0.00672270034337339	0.0163466656294182	-0.0479912344811322	0.019962146134607	-0.00362909245912056	-0.00799167224016512	0.0260070839137168	-0.0338410299201337	0.0140483595306701	0.0145396069717656	-0.00569904772581856
CG10103:CG10103:mRNA	-0.00439317952266981	3.7318414619928e-05	-0.00223294662874995	0.000812131208906009	-0.00528759665241761	0.000583790479429547	0.00410824603205117	-0.00237301067477275	-0.00297074680498159	0.000826098971374754	0.00516566915167581	-0.015996115284687
CG10106:Tsp42Ee:mRNA	-0.0203516813616337	0.0182949946036656	-0.00121298332095854	0.00437842395429143	-0.0085238610645876	0.00179258316315974	-0.00732784739530359	-0.00557299326668373	-0.00441641409669764	-0.00430281674656928	0.000605266241832293	-0.000374337917288528
CG10107:CG10107:mRNA	0.00546268299363833	0.00140629847713125	0.00263547819850526	0.00704522159241213	0.003962389864767	0.00611707224291943	-0.00228910607278988	-0.0112579413043165	0.00122211564604051	0.00688557371895681	-0.00256157536315544	-0.0092726767789332
CG10108:phyl:mRNA	-0.0015686069796117	0.00466755268414807	-0.000561998735015361	-0.00193498034648348	0.000451207939581335	-0.00320384243180581	-0.00499588338315965	-0.0082582160030391	-0.000264740746550949	-0.00108546362980157	-0.00655453817039051	0.00157127759738789
CG10112:Cpr51A:mRNA	0.0147917526507631	-0.0373550370855881	0.0278018628642918	-0.0367105181074639	-0.0189703787422254	-0.00370463479336745	-0.0955148680731328	-0.0449318786836737	-0.0357355154564605	-0.00996381432892072	-0.0184502261669335	0.0154291877867545
CG10117:ttv:mRNA	0.00487982135409866	0.00611541287197595	0.000426775264869778	-0.0028042428404443	-0.00646217908720849	-0.00588378787079041	-0.00585346370005414	-0.00460292789537383	0.00863306864704251	0.000384742857602377	0.0128525391635596	0.0129035859840449
CG10118:ple:mRNA	-0.040472576355573	-0.000237252993430522	-0.00940018084654341	0.00929526690723627	-0.0177464445863739	-0.0103139728561756	-0.0459355315644374	-0.00605155019674297	9.1158301599286e-05	-0.00481432613604737	-0.00745301121690718	-0.00453679632421686
CG10119:LamC:mRNA	-0.0145244835218075	0.026196490889331	-0.00925733426932139	0.0159808081862102	-0.00419475849099473	0.0136085874954067	0.00110106316825004	0.00266301665958336	-0.059175319983798	-0.0188368302422477	0.00382540522763115	0.0148068610636507
CG10121:SP1173:mRNA	-0.0202452112056566	0.0444515512878717	0.0104332571898124	0.0118323151855078	-0.0168381057467053	-0.00114286505096789	-0.00729732166444608	-0.00513142631244961	0.0116611241326036	-0.0212897965537581	-0.0015082484003316	0.0150491150661616
CG10122:RpI1:mRNA	0.00269127724661366	0.00414139825398166	-0.00564452707054211	-0.0112338202111857	0.000339465193124092	-0.00143305950075707	0.00976723911391581	-0.00547872745010239	-0.00615441229575826	0.00587195556102194	0.0055467959664293	-0.0157060739749609
CG10126:CG10126:mRNA	-0.0176430340762316	0.00726708775180772	-0.0133749410908697	-0.00356191916080619	-0.0065312117788427	-0.0110482137376331	-0.00631696642058741	0.00806452399260644	0.00337407978842854	-0.00535333023848143	-0.00103310757726261	0.0122872527975197
CG10128:tra2:mRNA	0.00618754932073002	0.00153939083059965	-0.00805526355025604	0.00689701271617698	-0.0070266092860923	0.00607480104640436	-0.00517029953109846	-0.00168806510905824	0.0138219853597883	-0.0114917538001948	-0.00399237404136487	0.0157990774695722
CG10129:ndl:mRNA	0.00134775086468532	-0.00333497248141769	-0.00359624006517238	0.002289198765629	6.13466386601667e-05	-0.00538557176171129	-0.00130636997167858	0.00242806048470192	-0.00344111566609087	-0.000219931872744651	0.00907080018314202	0.00166451218518471
CG10131:CG10131:mRNA	0.00158357866031383	0.0177132412933294	-0.0589139351653425	-0.0065109837967592	0.013823292838948	-0.0179909491277643	-0.00763208448605305	0.0527840652952333	0.0258856720114363	0.0438887205541419	0.0204914096407001	-0.00993067166643623
CG10137:CG10137:mRNA	-0.00554661077852776	0.00487434396319701	0.00764988241004102	-0.00494861527729486	3.78445726858537e-05	-0.00889142634469412	-0.000569560296370973	-0.00529913125669696	0.000792234316255607	-0.00481319533689189	0.0104832417448689	-0.0046911630217878
CG10139:CG10139:mRNA	0.00805233104298273	-0.00326013739523095	-0.00687226917770899	0.000756187704124278	0.00229852315614805	0.0070164680791326	-0.00444441311303479	-0.00431529469232906	-0.00920710928295049	0.00784693560701892	-0.00725630745177486	0.00635596855386828
CG10145:mspo:mRNA	-0.0176029147142755	0.00093123948734772	0.0294208567069985	-0.00628456146780834	-0.0180742530728749	0.0147458613320197	-0.0134051298631359	-0.00846974624753065	-0.0195407367743637	0.0200735403334429	-0.0233179438257626	0.00314330632245233
CG10173:Best2:mRNA	-0.0758452127067103	-0.0172944048097811	0.00394545329583321	0.00685076313699587	0.00740754889823779	-0.00307533509526182	-0.0235421787582441	-0.0220800291186229	0.0252921621504279	0.0102554393393633	0.0273907230324574	0.000436063519041742
CG10175:CG10175:mRNA	-0.00280322462477877	-0.00176458951530825	0.00381447044121576	-0.000222937534318044	-0.000924016731949256	-0.00294634367314887	-0.0116268092863443	-0.00276997197423746	0.00276615835994644	-0.00298471844344583	-6.78200583597403e-05	-0.00318394450710674
CG10181:Mdr65:mRNA	-0.00247531871728473	0.000400127052861508	-0.00263280249827445	0.000330858228757479	0.00344341921316218	-0.00784447681159883	0.000213819203454131	-0.00360112527002664	-0.00416929104181281	-0.00467931317775074	0.000647796147690824	-0.00801973223837537
CG10192:ofs:mRNA	0.00232083881037052	-0.00237076185576087	0.0099551372502038	0.00962686746105461	-0.00353563348576038	-0.00185021597726177	-1.3095194963561e-06	-0.00204341600102116	0.00523089586575069	0.00320803028231796	0.00840531159844968	-0.0190577323210358
CG10203:xl6:mRNA	0.0103362651142386	0.00455585785828777	0.000379446665076813	-0.00229644924729326	7.45226376488691e-05	0.00121835792773343	0.00238277859118597	-0.00981172482849853	-0.00135105113530473	0.0102182986194431	0.00553312506132737	-0.00918239439845547
CG10207:NaPi-T:mRNA	-0.000117717125481817	0.00193715914279787	-0.000583046076929858	-0.00092426008752919	-0.00340748035181185	0.00245259869891378	-0.00477645997615274	-0.00105465214084432	0.00907042938904	0.00476920635154088	0.00601756981513418	0.00181727815003919
CG10209:CG10209:mRNA	0.00266554654328083	-0.00424602199864579	-0.000889732811434913	0.00816225998805982	-0.00382076160794083	-0.00808211968515787	0.004080827883437	0.00332808807020539	0.00296721225703111	0.00893168255153211	0.00865827607701414	-0.0029443001562373
CG10210:tst:mRNA	0.000684363884252947	-0.00265681723480357	-0.00450449653761123	0.00728075967473264	-0.00208889013833762	0.00529999282852861	0.00593170243870195	0.00789165922827275	0.00908852350081437	-0.00382476155385036	-0.0138717781100764	-0.00653757042340788
CG10212:SMC2:mRNA	0.0110803267400757	-0.00345728111247527	-0.0116892887728379	0.00649591783380862	0.000510314843184991	0.0044043607245711	-0.0012237962979291	-0.00792346222062539	-0.00245781081956978	-0.00807998216704122	-0.00110734050175739	0.0158137989233947
CG10214:CG10214:mRNA	-0.000240156224430847	0.00786125569031502	0.00228330016557095	-0.00475979458882158	0.00764356997139921	0.011260124369995	0.00823495094333119	-0.0035778029209434	0.0113344579606093	-0.00700243394998227	0.0135904366617307	0.000540933219485724
CG10215:Ercc1:mRNA	0.00274593307008945	-0.00361303802445568	0.00176325282091458	0.00273876716222244	0.0024730132775869	-0.00189180107840248	0.00205263759155703	0.00367874464327921	-0.00294040842559399	0.00860929507077806	0.0181169018317877	0.00674932744526971
CG10217:CG10217:mRNA	-0.0213371896377539	0.00335819117135927	0.00779275072957653	0.00917978184276256	-0.0105249501259752	-0.00463784614104462	0.00128800552957763	0.00140897090973946	0.00692966487373023	-0.00485765890718771	0.000923686808593909	-0.000427161593009053
CG10219:CG10219:mRNA	-0.012435712525191	-0.00115832177946782	-0.00185648423503184	-0.00877836841600801	-0.00202855106408252	-0.00360715542296246	0.00737398239582797	-0.000574118313719796	0.0106389063404158	0.00797363458215317	-0.0211034768599026	0.00798832167799481
CG10223:Top2:mRNA	0.0133455650509727	-0.00187277076484903	-0.00943853459016021	0.00363441247212121	-0.000787081365910021	0.015527903555139	-0.00420446514634263	-0.00701632834936146	-0.00282142334842676	0.00571176373828873	-0.00207454541497967	0.00319571755080493
CG10226:CG10226:mRNA	-0.0144852925706888	-0.00766489877845669	-0.00292865085640431	0.00434700984383861	0.00890429553633106	0.0243538300959306	0.0083422999135641	0.00706049601398933	-0.00339720463481884	-0.0141450406478414	0.00166185451181484	0.00635115191192319
CG10234:Hs2st:mRNA	0.00343399182746128	0.00409198528879544	0.000513529025601103	0.00181544113627978	0.000795287110089988	-0.00351362136758536	0.00143218419913951	-0.0104645340157894	-0.0183080090112497	-0.0259862404646785	0.00671095579916567	0.00452141660652038
CG10236:LanA:mRNA	-0.00842534037984565	0.0214184091124454	-0.00883672424605169	0.00592046368131683	-0.0125696894322881	-0.0326260176020116	0.00323734909225214	0.0063714246309326	0.00430612928852335	-0.00569119132260362	-0.00212768844675403	-0.00661259203613479
CG10244:Cad96Ca:mRNA	-0.00080625663115084	0.0144874835061703	0.00230214483190927	-0.0158797630750158	0.00241115302240632	-0.000436680029544124	-0.00178253736810561	-0.0105499224259157	-0.00120981337102031	0.0093422180175569	-0.00912907617101165	0.00172605729108311
CG10254:CG10254:mRNA	-0.00159706964915033	-0.0018737643359095	0.0110586501365794	-0.001407830810374	-0.000985655017301229	-0.0104881274397205	0.00673891164535768	0.00407900890872316	0.0194865884765094	0.00688057584264835	-0.00232019015751328	0.00352429287026858
CG10286:CG10286:mRNA	0.00624914018744402	0.00202885306730609	-0.00299746578234072	-0.00075486180870574	-2.84878359910305e-05	0.00524861013256717	0.00409261398501846	-0.00559794675601484	-0.0111845302033509	-0.00129013011153837	0.0100795436712168	0.0128847799110906
CG10289:CG10289:mRNA	-0.000288462212814671	0.000663518979612169	-0.00503128229791332	0.00906491513430633	-0.00818429196029386	0.00258136130283981	0.00376625919745376	0.0073551927782569	0.00504275186867266	0.00615664670850026	0.00481688873582964	-1.25807436334975e-05
CG1028:Antp:mRNA	-0.0196413244701554	0.0483847475113434	0.00760751537792758	0.00629383862841696	-0.00771227204509674	-0.00530678897263249	0.00608462870882954	0.0313557879001476	-0.0157510992353676	0.0138135163362113	-0.00445876532177408	-0.00355719490680463
CG10302:bsf:mRNA	-0.000680543635910029	0.00273265976844074	-0.00385768699549011	-0.00615923465213935	0.00793949730668966	-0.00350506612262637	-0.000735937951756351	0.00541132408763253	0.000236742881681426	0.000522770381167005	-0.00359883903248539	5.92774678477708e-05
CG10305:RpS26:mRNA	0.00484385588186442	0.00624136646926988	0.00790456804227658	-0.00103295140430907	0.0135504840130471	1.16187996031758e-05	-0.00713692598370673	-0.00943538768700738	0.00556085987031799	0.00291921613075926	-0.00340113638842154	0.00994048121347087
CG10306:CG10306:mRNA	-0.00100321420609622	-0.00277515685299287	0.000829535020904647	0.0101411217994384	0.00736610356600321	-0.00437249712589	0.00219573311893973	0.00185589053282772	-0.00729481308074701	-0.0118181072521279	-0.00289069148728963	0.0157994731681256
CG10311:CG10311:mRNA	-0.0162263438624389	-0.00559926854922659	0.00131582589183858	0.00856574920543953	-0.00123543414446101	0.00973307776313657	-0.00260080949360306	-0.00258371058368422	-0.0122270410144207	0.00733648867821177	-0.0039009287894421	0.00480531314648535
CG10318:NC2alpha:mRNA	0.00191448544039319	0.00162549315337465	0.00430169087785997	-0.00628296101958232	0.00280366331555715	-0.00518453960499624	0.000398677737164715	0.0100379138652067	-0.000363624633911541	0.00258464428313897	0.0188643806245709	0.0130270723370799
CG10321:CG10321:mRNA	0.00629306617796136	-0.000713953285689269	0.00501027500839207	-0.00708496482406314	0.00518494726111982	-0.00143669415897869	0.00578253704149863	0.00158885797336124	-0.0041919167331993	0.0101729324526044	0.00227021629851498	-0.0155898381155745
CG10324:CG10324:mRNA	-0.000653573507975332	0.00102064936005387	-0.00410498685748811	-0.00371305843318886	0.00101494584751987	0.00720857490934357	0.00175227810032578	-0.00631928966821088	0.00114818141188931	-0.00556169030925341	-0.0156995880859302	0.00780344075934647
CG10326:CG10326:mRNA	-0.00190380851504146	-0.00109273396952512	0.00156140899845681	-0.010112552306477	-0.012666608609051	0.000442851617990008	-0.000217549776124077	-0.00512377797921951	-0.000123164369796631	0.00118758360697407	-0.000507335452628789	0.00959729637625902
CG10328:nonA-l:mRNA	-0.00284839391431186	0.000166573760094549	0.00533109011443575	0.00103245469222576	-0.0039819225261245	-0.00412017418527835	0.00514309314591203	0.00345894359456667	0.00093808828002595	0.00196322851259136	0.00421941991938966	0.00636627212266345
CG10333:CG10333:mRNA	0.00503422949276266	-0.00126405215048002	-0.00553566583265947	-0.0053072190781944	5.36558359637116e-05	0.00361718896865694	0.000964842640949374	-0.00318534948229222	-0.00142267994069539	0.000616261042896621	-0.0113900710376863	-5.96149897685777e-05
CG10337:CG10337:mRNA	-0.0164904097715664	0.00230863880590667	0.0139041254900462	-0.00535361938049672	0.00875680727416832	-0.00177429196909371	0.00776655387061422	0.00628788502615538	0.00315947144897571	0.00201162862845963	0.00156886624418654	0.000262080097413495
CG10338:CG10338:mRNA	0.00599005742077816	-0.00185076178463246	0.000785319886663125	-0.00660463750089371	0.00666324011952794	-0.00633150233353459	0.000137322626388134	0.00114729342051831	0.000888703795998278	-0.00279933877707656	-0.00878961117365943	0.0064251936229825
CG10340:CG10340:mRNA	-0.00729414367803827	0.000780205476539481	-0.00373893760892086	-0.00575534038855708	0.000966215135926189	-0.00378662201874159	0.00721076377967355	0.0070012637275926	-0.00234089542312847	0.000545244416214869	0.00406261273156655	-0.0127962337604697
CG10343:CG10343:mRNA	-0.000108986935786276	0.00455871708258134	-0.00262589980782554	-0.000954791776799024	-0.00234467679324033	-0.00274663331077631	0.0081043266579963	-0.00236617679645303	-0.0117073844516848	0.00507271819906097	0.00124869895608088	0.00318604768006596
CG10347:CG10347:mRNA	0.00319658619971221	-0.0067293479975702	0.00161539900652902	-0.00174003022641395	0.00281115342954459	0.00465462946182694	0.00262627946871339	-0.00100025729822796	0.000218850006729279	-0.0101939785576127	0.000179135014228876	0.00638919877160755
CG10354:CG10354:mRNA	0.00465222101927253	-0.00101159030361278	-0.00370241521669588	0.00511567890672467	-0.00116949273367622	0.000297114330159066	0.00788879140677582	-0.00865683558040227	0.0084326678349007	-0.0012822892862776	-0.00658314061806274	-0.0029974052568054
CG10360:ref(2)P:mRNA	-0.00185356846910575	-0.0113056752132556	-0.00279711789590887	-0.010906611765537	0.00827794559480782	-0.0237155049295528	-0.000368595232222805	0.0215385102529663	-0.00268394879145497	0.00397216050448079	0.00848792971151341	0.00658175941708305
CG10362:CG10362:mRNA	-0.00267596450000143	0.0012795044693475	0.00115555290691094	-0.000895497416108418	-0.00428176813970647	-0.00151476476853774	-0.00212313083682848	0.00458604494056204	0.00238961177891437	-0.00257052006834162	-0.00691786926132047	0.00455533586433075
CG10363:TepIV:mRNA	-0.0161554452215011	0.00685251447195724	0.00692183986600105	0.0223450981676115	0.00134909206778555	-0.0252210799375526	0.0221683621634366	-0.00797665458598198	-0.00259547074439711	0.00852029799418358	-0.012122757734746	0.0125832356478618
CG10365:CG10365:mRNA	0.00665769915550542	-0.00690638425651778	-0.0149193355304317	-0.063911922125035	0.0378458727734012	-0.00489726939560793	-0.0442984697760938	0.0371059985086716	0.00269131749495472	-0.0367374869053669	0.0185563276666579	0.0099206887918015
CG10371:Plip:mRNA	-0.000373744594475241	-0.00166139387008656	-0.00236723745589791	-0.013605324239368	-0.00729112985090011	0.0100786863720102	0.015539099748803	0.00402963551833068	-0.0139126064749021	0.0116285228569874	0.00639471300724961	0.00346519598218549
CG10372:Faf:mRNA	-0.00211357329772329	0.000123771069458817	0.00566698058548329	0.0032155327796451	-0.00221319363349405	0.00281304031666036	0.00464385439732158	-0.0052735376915627	-0.00744622637014941	0.0062850492953643	0.000492012104092158	0.0128987069065305
CG10374:Lsd-1:mRNA	-0.00577494740258627	-0.00544565199107414	-0.00812998297022217	-0.000821120625952075	-0.00978514853121918	-0.00477334279986389	-0.000482593291973474	0.00389904290782417	0.0197088309350848	0.000299443470458912	-0.00109814759773486	-0.00156590556962555
CG10376:CG10376:mRNA	0.0016927911984498	0.00082670310082377	-0.00977680869031311	0.00012345210051081	-0.000820591161858735	0.00889327887238863	-0.00017082793560058	-0.00500624630118138	-0.0105140790742662	-0.00637879893786221	-0.00216153420444506	0.00933518677620849
CG10382:wrapper:mRNA	0.00187458546366585	-0.0101938199579434	0.00184132304640965	0.00914734130317007	-0.0194081562312076	-0.00113942052260065	-0.038853391910402	-0.0296098361445973	-0.0236730037361368	-0.00601216518252787	0.00772511763313289	-0.00675230979541771
CG10383:CG10383:mRNA	0.000739586300204803	0.0087718770408234	-0.0162405915542835	0.0414224923467299	-0.0102950171263881	0.0114769281112675	0.0136157852400696	-0.00449752000634519	0.0246382219052815	-0.00324547796692571	0.00600556218862389	-0.00618247002198764
CG10385:msl-1:mRNA	0.00970037345914939	-0.00193378759196956	-0.00328271847149332	0.006632004495751	-0.000335370195918803	0.00367725246120569	0.0048893862167391	0.00130263297173022	0.00373189409787961	0.00260457891200472	-0.000663511719716887	-0.00640826119505166
