PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
CG10007:Tango9:mRNA	0.00368696750366258	-0.000419469081696318	-0.00955956559665148	-0.000153108416430637	0.00837874949489391	0.00590789780167821	0.00669250727509504	-0.00679900171381512	-0.298757150163646
CG10009:Noa36:mRNA	0.0036323728772081	-0.000102548135620756	0.00255695636927285	0.00704873258582584	-0.00292135871476881	-0.0011051925544019	-0.0109025786715328	0.0164326840679756	-0.108886202666504
CG10011:CG10011:mRNA	-0.00869433731529983	0.00440665486514632	-0.00249312138141943	-8.2495441937403e-05	0.00673502935075676	-0.00561384505922896	-0.00423087725782457	-0.0055971992456358	-0.0253663411573103
CG10016:drm:mRNA	-0.00929724004773597	-0.00305821524300131	0.0225533931569293	-0.00810265246016102	0.0153912958025845	0.0147239134082399	-0.00948592682449588	-0.00565479701490021	0.0204085849486263
CG10026:CG10026:mRNA	-0.0188640279146527	0.0012983328856025	0.000446474288559132	0.0100722631470387	-0.0021053645099052	-0.00932831768376707	-0.000948481015872722	0.0192510597161363	0.201157657835297
CG10059:MAGE:mRNA	0.000328776279249512	0.00509164660133709	-0.00760096549951642	1.39428720850031e-05	-0.00977046394749242	-0.000119215121347058	-0.00903396998718186	0.00703906309968843	0.113875588116226
CG10061:Sas-4:mRNA	0.0048331149878823	-0.00822257302221384	0.00742332243722263	-0.000469986533511929	-0.0076709700766785	0.00631096911552566	-0.000674732955262574	0.0137934071857348	0.00579279057137514
CG10064:CG10064:mRNA	0.000212563505939572	0.00331627129485985	-0.00317961579482546	-0.00161346433438581	-0.00203324398525431	0.00275639220156846	-0.000547549521055506	0.0025627551701967	0.0200909437218421
CG10069:CG10069:mRNA	-0.00704100019535733	0.00494620704806837	0.000494917931002074	-0.00404288945310116	0.00684382916680515	-0.000520931624521854	-0.00490412090618337	-0.00375852418638595	-6.55467702700959e-05
CG10072:sgl:mRNA	0.00618152043809833	0.0082622368838915	0.00417137365181784	0.00133088800921631	-0.00168008643300375	0.0114424994077073	-0.00689834948156068	0.00225097673566882	-0.00920867108190851
