baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
miR-3197	2709.91520445895	5.8416330698879	0.338550558910865	17.2548321547031	1.029203500377e-66	3.04644236111592e-64
miR-6845-5p	594.815625000263	3.70334516129945	0.221559807728442	16.7148780244408	1.02128712405848e-62	1.51150494360655e-60
miR-3178	3906.2801737265	1.29346087046105	0.186573110431118	6.93272930634124	4.12797647430127e-12	4.07293678797726e-10
miR-4284	49.9435258418778	2.21545946327137	0.357663737365161	6.1942523991731	5.85623198274206e-10	4.33361166722913e-08
miR-4763-3p	315.945107222625	1.16139398873145	0.197195029788281	5.88957028977042	3.87201094717093e-09	2.29223048072519e-07
miR-1260b	1484.43137296254	1.01648518332188	0.186576437837763	5.44808977543972	5.09136598220329e-08	2.51174055122029e-06
miR-762	2262.12244023466	1.06393919279424	0.199474339533058	5.33371457845044	9.62237326547169e-08	4.06888926654231e-06
miR-1915-3p	1364.52337639732	1.19816722551597	0.250235679537081	4.78815502142818	1.68321606995979e-06	6.22789945885121e-05
miR-4651	492.268681307158	0.642902130547529	0.138963454219919	4.62641155659597	3.7205563655729e-06	0.000122364964912176
miR-5196-5p	74.5607591101579	0.794152459809943	0.178134843058725	4.45815342003664	8.26687267870812e-06	0.00024469943128976
miR-1273e	942.995495964679	-1.26603496098574	0.285771480258167	-4.43023551490163	9.41302300135374e-06	0.000253295891672791
miR-6756-5p	68.1044428387382	0.677996140917911	0.156149762817608	4.34196074770764	1.41216766498082e-05	0.00034833469069527
miR-4463	99.9445346625519	0.660088656994492	0.154780498223981	4.26467587692659	2.00192599420954e-05	0.000423264353061446
miR-4488	7404.14097668887	0.87590321994494	0.204864566718885	4.27552325896773	1.90688890699139e-05	0.000423264353061446
miR-3135a	303.987406236017	-1.1153623715349	0.265432327345604	-4.20205926945232	2.64497856689128e-05	0.000521942437199879
miR-8072	1204.62062464221	0.916055513668931	0.225452809029773	4.0631807499367	4.84085151091939e-05	0.000895557529520088
miR-3665	641.613756677853	0.902294486944598	0.22374304228135	4.03272646042772	5.51334420790659e-05	0.000959970520906088
miR-5787	2464.52392382939	0.911858427120177	0.239690027630197	3.80432359299916	0.000142192201629001	0.00233827176012135
miR-3141	235.782788530364	0.578827059442735	0.156938773811942	3.688234879013	0.000225815152521798	0.00349068825538457
miR-4271	2000.09651145339	1.4709591277278	0.40002730528414	3.67714680547362	0.000235857314553012	0.00349068825538457
miR-1237-5p	574.140768411413	0.711015743110696	0.204390509577516	3.47871212112733	0.000503829513665581	0.0057976176821961
miR-3960	52993.8748374818	0.893307155456842	0.258390298930157	3.45720082818706	0.000545817918709981	0.0057976176821961
miR-4792	5143.67838514195	1.1886119310499	0.342418343271732	3.4712273872158	0.000518085085697059	0.0057976176821961
