baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
miR-6859-5p	332.335065258862	4.71304865625167	0.239497347392158	19.6789179820619	3.26907306602469e-86	9.67645627543308e-84
miR-3197	2709.91520445895	4.80618553073538	0.339248707977971	14.1671446868045	1.46330304217166e-45	2.16568850241406e-43
miR-4763-3p	315.945107222625	2.71049063510382	0.203744992756859	13.3033484574436	2.21329820217665e-40	2.18378755948096e-38
miR-6845-5p	594.815625000263	2.74579302453797	0.222549630034261	12.3378907622325	5.66197548124215e-35	4.18986185611919e-33
miR-4448	25804.3321112771	2.70405961805261	0.22580633907308	11.9751271339529	4.79701706043843e-33	2.83983409977955e-31
miR-937-5p	178.703547160207	2.13076170082891	0.179664246493658	11.8596868459531	1.91690710627794e-32	9.45674172430449e-31
miR-4463	99.9445346625519	1.74681989920569	0.165088366060042	10.5811205289316	3.64571800599127e-26	1.54161789967631e-24
miR-1915-3p	1364.52337639732	2.36597599205848	0.251488739712328	9.40788042742933	5.06242245238064e-21	1.87309630738084e-19
miR-3178	3906.2801737265	1.61648693042165	0.186949122381133	8.64666765926895	5.30251108075134e-18	1.74393697766933e-16
miR-4507	125.100058236322	2.12504362269959	0.246750451703864	8.61211644406609	7.17239356713002e-18	2.12302849587049e-16
miR-1290	1734.80633978129	-3.02851858035485	0.3653045897158	-8.29039290941016	1.12874980369357e-16	3.03736310812087e-15
miR-6850-5p	285.160975303067	0.814977313216601	0.0992337308477359	8.21270455372781	2.16261206329355e-16	5.33444308945741e-15
miR-920	128.82863682525	-2.05063973710603	0.260895824112063	-7.85999447896573	3.84150391772564e-15	8.74680892035993e-14
miR-1275	119.95335894328	1.47523092877157	0.188334115224497	7.83305205757904	4.76167035609958e-15	9.00483519399186e-14
miR-4454	911.125017476216	1.79212160524863	0.228861267205759	7.83060247428157	4.85537604426023e-15	9.00483519399186e-14
miR-574-3p	663.949987033365	1.99253770494355	0.254465394261148	7.83028950057816	4.86747848323884e-15	9.00483519399186e-14
miR-181c-5p	104.516025667922	-2.01578057843737	0.259585688639755	-7.76537639266705	8.14031183570438e-15	1.41737194315794e-13
miR-6886-3p	61.8972211712416	1.48526829418544	0.199470974256054	7.44603719776722	9.61856961827209e-14	1.58172033722697e-12
miR-8072	1204.62062464221	-1.67001474125565	0.225152394418787	-7.417263962778	1.1956450752182e-13	1.86268916981362e-12
miR-210-3p	164.160300976026	-0.786132287163938	0.10758176853861	-7.30730027813032	2.72563009795945e-13	4.03393254497998e-12
miR-4488	7404.14097668887	-1.48842175887652	0.204832003760274	-7.26654883783932	3.68787923418659e-13	5.19815358723444e-12
miR-6763-3p	236.049926007283	1.13836346482049	0.15710566978358	7.24584584622971	4.29748679095423e-13	5.78207313692023e-12
miR-1268b	359.195529812716	1.59077293377107	0.222917741811906	7.13614322862349	9.59859940000048e-13	1.23529800973919e-11
miR-149-3p	332.267360225355	-2.31310296264011	0.327016592242224	-7.07335045839746	1.51236890250366e-12	1.86525497975452e-11
miR-4539	72.5805818727798	2.20096078867316	0.312340324494984	7.04667510425318	1.83243492519614e-12	2.16960295143223e-11
miR-181d-5p	92.6756590795334	-2.0032284248953	0.289295573794522	-6.92450423150317	4.37504963514709e-12	4.98082573847515e-11
miR-1246	141062.668567664	-1.43017292624365	0.208621225351586	-6.85535675400912	7.11347705219252e-12	7.79847854610735e-11
miR-4651	492.268681307158	0.954530737596842	0.141193700920815	6.76043429254799	1.37578714380807e-11	1.45440355202568e-10
miR-378i	79.4420071268858	-1.6667894610518	0.24814639581105	-6.71696018636101	1.85554640500011e-11	1.89393702027597e-10
miR-4787-5p	663.185411396314	-0.750509832756473	0.112263395881409	-6.68525859977803	2.30517215997522e-11	2.27443653117555e-10
miR-4758-5p	83.6658923397908	1.62462113619121	0.243339245635374	6.6763630007532	2.449448244756e-11	2.33882800144444e-10
miR-6858-5p	171.9150148806	0.847438989070952	0.127141525190351	6.66532030194071	2.64088758133789e-11	2.44282101273755e-10
miR-5095	1144.99394456509	2.15143900905331	0.325858646950644	6.60236893876005	4.04638961687052e-11	3.62948886846568e-10
miR-1255b-2-3p	389.33475026831	2.42169181735834	0.372151765645331	6.50726945540348	7.65290699815687e-11	6.66253079839539e-10
miR-1225-3p	185.706517586673	2.03256127114713	0.320146037507274	6.34885656237725	2.1692116772929e-10	1.83453330422486e-09
miR-1237-5p	574.140768411413	-1.28681209804507	0.204155549595107	-6.30309634294608	2.91757405248897e-10	2.39889422093537e-09
miR-638	563.559711573832	-1.47802643815086	0.236042391827249	-6.2616991240818	3.80805147839123e-10	3.04644118271299e-09
miR-5585-3p	1547.86895586283	1.79096091952394	0.286367759256696	6.25405920056295	3.99919301271951e-10	3.11516087306573e-09
miR-1285-5p	2019.62402604747	1.85847511122981	0.302501585200319	6.14368718100806	8.06275564832097e-10	6.1194247997513e-09
miR-3663-5p	114.639749879132	0.941770130327173	0.15401276777146	6.11488348631374	9.66275361929125e-10	7.15043767827553e-09
miR-3960	52993.8748374818	-1.57487385719516	0.258385557549332	-6.09505373339017	1.0940069742443e-09	7.89819669210522e-09
miR-4739	558.942806284511	-2.68695797423257	0.447379642377771	-6.0059907061298	1.90167084902254e-09	1.34022516978731e-08
miR-378a-3p	104.998780448718	-1.60854194096716	0.268593001586749	-5.98877085949556	2.1143279358636e-09	1.45544434654797e-08
miR-181b-5p	119.132411133114	-1.78696870296368	0.301693136081317	-5.9231334400728	3.15864330447664e-09	2.12490549573883e-08
miR-1273g-3p	25924.9544652005	1.83630850271153	0.310287201682969	5.91809295630488	3.25695886149063e-09	2.14235516222495e-08
miR-3648	160.246751512877	-0.867631445716999	0.14835700107699	-5.8482676207963	4.96718942327858e-09	3.13133468661885e-08
miR-7108-5p	142.989123423329	1.06537725009475	0.182174786524616	5.84810483612558	4.97205169834749e-09	3.13133468661885e-08
miR-320e	162.504920532599	-1.31622280584871	0.226201750850783	-5.8188002564002	5.92715116991945e-09	3.65507655478366e-08
miR-1260b	1484.43137296254	-1.08177726667453	0.186438531536769	-5.80232668514224	6.54009809153847e-09	3.95075313284773e-08
miR-5787	2464.52392382939	-1.37335319099459	0.2396138226777	-5.73152740375024	9.95302645183182e-09	5.89219165948444e-08
miR-1268a	787.468555932806	1.43845067398272	0.252364842469316	5.6998853719397	1.19888013916135e-08	6.68229526890382e-08
miR-4687-5p	154.253850504373	-0.623080102463082	0.109369131551793	-5.69703803644099	1.21906738013786e-08	6.68229526890382e-08
miR-6126	3022.42079145624	-2.00838214120786	0.352408067027688	-5.69902431050214	1.20495044020587e-08	6.68229526890382e-08
miR-6858-3p	232.785260728639	0.803891676377575	0.140961900617879	5.70290037842758	1.17785827707528e-08	6.68229526890382e-08
miR-4502	68.7835711545777	1.56526948483028	0.275712008253577	5.67719010406928	1.36925276307471e-08	7.36906941582025e-08
miR-6741-5p	2543.36992603155	-1.85401485147085	0.328182857700686	-5.64933483869465	1.61069851553698e-08	8.51369215355259e-08
miR-4800-3p	263.167272424035	-1.70437148229506	0.303370089389551	-5.61812631470899	1.93039358297268e-08	1.0024500009823e-07
miR-6786-5p	643.570909102246	-1.06139709530076	0.190281763222187	-5.57802848432402	2.43259828640711e-08	1.24146395306294e-07
miR-6780b-5p	981.922398419519	-2.24507630712945	0.404084771196354	-5.55595376802387	2.76099948881005e-08	1.38517940455555e-07
miR-619-5p	42556.0157323651	1.64652096034672	0.297529617003487	5.53397331307501	3.13056626472457e-08	1.54441269059746e-07
miR-6877-3p	113.788117460517	1.69229213351989	0.306650883166269	5.51862794604218	3.41656674508355e-08	1.65787501072907e-07
miR-4429	209.982441915412	-1.32001463521342	0.239793394995473	-5.50479981001286	3.69587998466546e-08	1.76448463784028e-07
miR-574-5p	195.632922780091	1.72689888984021	0.316364377760058	5.45857565275554	4.79969349891496e-08	2.25509408837909e-07
miR-4530	72.153644856093	-1.32803089153506	0.244667119951601	-5.42790911912384	5.70180580380848e-08	2.63708518426142e-07
miR-6752-5p	1246.51878048221	-2.38938998909675	0.442935236421083	-5.39444549140643	6.8735488668395e-08	3.13010840705307e-07
miR-566	184.71223377947	1.58817488588338	0.294607041307311	5.3908246009189	7.01351050155242e-08	3.14545319463563e-07
miR-1273h-5p	1148.10975554743	1.69896017543764	0.316204728425218	5.37297523632523	7.74479687181746e-08	3.41046907089409e-07
miR-3937	91.7832710329688	-1.09700038079005	0.204293584985161	-5.36972504971083	7.88567749465892e-08	3.41046907089409e-07
miR-649	69.4211556293201	1.92515758913853	0.358792204043088	5.36566170458747	8.06529847846575e-08	3.41046907089409e-07
miR-7641	148.944616133812	-1.76171846269653	0.328309441607669	-5.366030456114	8.04883564639579e-08	3.41046907089409e-07
miR-320d	148.304144055193	-1.4843768805224	0.276899376354887	-5.36070864464479	8.28961222329959e-08	3.45595101140377e-07
miR-1273e	942.995495964679	1.54111748276708	0.288589215006313	5.34017698039538	9.28558880090778e-08	3.81740872926209e-07
miR-6085	103.551870408086	-0.903597466539104	0.170748879645405	-5.29196717668431	1.2100761417408e-07	4.90661010897639e-07
miR-6511b-3p	93.0678460845857	0.920963122253839	0.17601664234474	5.23225025762095	1.67458820367948e-07	6.69835281471791e-07
miR-7975	176.527402573545	1.23687015898582	0.23766063944826	5.20435425006541	1.94672340589423e-07	7.68306837526255e-07
miR-4713-3p	139.027684632371	-1.13090356691005	0.218291754284323	-5.18069759720316	2.21057617359105e-07	8.60961246556516e-07
miR-3135a	303.987406236017	1.40066465028349	0.270892309412803	5.17055893288231	2.33394852612922e-07	8.85703543249036e-07
miR-654-5p	595.666395292675	-1.89575619916981	0.366485637572602	-5.17279807123205	2.30614197794662e-07	8.85703543249036e-07
miR-6793-3p	287.392632337114	0.615769580257771	0.119918494220679	5.13490086962403	2.82292778565601e-07	1.05770458804326e-06
miR-181a-5p	282.487229575025	-1.6896825899492	0.334704211581979	-5.04828601338153	4.4579141735668e-07	1.64942824421972e-06
miR-4516	14976.9648738801	1.16065683624819	0.231595659079659	5.01156559177554	5.39889742649895e-07	1.9729304175848e-06
