id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
miR-6088	61.4454578949858	-2.18001799555492	0.225156512103796	-9.68223381675918	3.58789468657978e-22	1.73115918627474e-20
miR-181c-5p	106.425383801142	-2.05157795730006	0.248919775583002	-8.24192434086443	1.69462719524271e-16	5.03173921048991e-15
miR-7845-5p	33.4612151970522	-1.67152322843912	0.226538193432884	-7.37854929938929	1.60023537675041e-13	2.68561241489416e-12
miR-181d-5p	94.2235138030506	-2.0467662547504	0.280096295492262	-7.30736638681087	2.72428992398979e-13	3.89472559503725e-12
miR-378i	80.2239202473327	-1.68677529393718	0.240034642745037	-7.02721604951356	2.1069499784601e-12	2.5415084115175e-11
miR-422a	82.708185533288	-2.03044697887637	0.312839676957269	-6.49037551318567	8.5622689859238e-11	8.47445084247842e-10
miR-4665-5p	62.3242229257506	-1.3364500792006	0.209344015552688	-6.38398989181632	1.72532484155926e-10	1.58565568771875e-09
miR-181b-5p	121.210095438313	-1.83283794369399	0.292580398282795	-6.26439076045843	3.74285832401606e-10	3.21054069571155e-09
miR-378a-3p	106.02170721002	-1.63784233095401	0.261928029452916	-6.25302429211162	4.02579489727581e-10	3.37816702249666e-09
miR-6778-5p	35.8835321645308	-1.68672086440367	0.276044196277527	-6.11032902393604	9.94259442373637e-10	7.38046432223508e-09
miR-3937	92.5071844813791	-1.13499918164279	0.206632276154662	-5.49284556490709	3.9550863317298e-08	2.03555109873027e-07
miR-4795-5p	70.272707626639	-1.17640826941513	0.228494046213905	-5.1485292019987	2.62536918026532e-07	1.07807713147065e-06
miR-605-3p	79.9814062120525	-0.943186711563482	0.199320249158372	-4.73201651887393	2.22300317312541e-06	7.52701074409132e-06
miR-7855-5p	59.9905695456723	-1.29331550751049	0.275931299376231	-4.68709244088712	2.77113818383985e-06	8.87921147438674e-06
miR-5000-5p	88.0584937648415	-1.01499123439745	0.218995160085329	-4.63476559939485	3.57342159859254e-06	1.09471487067994e-05
miR-3615	67.4654248252923	-0.829636991933429	0.184858606301929	-4.48795438054091	7.19103219281018e-06	2.04098413707701e-05
miR-7155-3p	88.4181156494721	-0.909247616289237	0.204150226412969	-4.45381635017121	8.4357263195836e-06	2.35955823141976e-05
miR-2392	72.6495668763529	-1.23719024881509	0.301526377920926	-4.10309126964519	4.07666334819681e-05	0.000102849153751893
miR-7155-5p	85.1071258744812	-0.796087913623124	0.197630815759623	-4.0281567961112	5.62158488779744e-05	0.000137337453587963
miR-4795-3p	62.09738050869	-0.943760569054098	0.236284386414808	-3.99417237581363	6.49206214346367e-05	0.000154687406628208
miR-6738-5p	47.118285111131	-1.34251985135154	0.338835414546195	-3.96215918914375	7.42749885612965e-05	0.000175890463709573
let-7i-5p	128.720258879504	-1.57465699890768	0.405552191738534	-3.88274809256336	0.0001032825511542	0.000234512145561889
miR-3667-3p	91.0010461629443	-0.877152281668794	0.228628882205907	-3.83657687167807	0.000124761156015129	0.000275187464124798
miR-4757-3p	71.9602384527391	-0.843072566746097	0.223142401353864	-3.77818183200929	0.000157977518577473	0.000333220339731719
miR-4746-3p	63.0724174935714	-0.822710707787735	0.21794506494484	-3.774853576042	0.000160101676593978	0.000335865473724323
miR-4299	68.2924818501816	-0.666510493420963	0.178372215942973	-3.736627309906	0.000186505040249536	0.000387048094281295
miR-200c-3p	50.2227090142597	-2.27694281776796	0.617856577863476	-3.68522873972069	0.000228497331669465	0.000449999847063334
miR-940	66.2646808586841	-0.928646254054714	0.252945561275418	-3.67132852370382	0.000241292944064744	0.000470399375802986
miR-30c-5p	44.6536953351497	-2.05151235723899	0.566399337131227	-3.6220246436547	0.000292306266941474	0.000558565440789152
miR-92b-3p	65.3212491282474	-1.54909657492279	0.430553871982309	-3.59791579109625	0.000320777434343246	0.000606961223806338
miR-7150	56.5492289069785	-0.986162693846029	0.275324128030259	-3.58182445142493	0.000341203047178898	0.000639341632092497
let-7c-5p	148.927273864333	-1.70510196068479	0.481480315462087	-3.54137418691429	0.000398048640034357	0.000731651309777438
miR-200a-3p	39.3645184216485	-2.11003209250263	0.600299426702796	-3.51496602968987	0.000439810243445041	0.000804581772368654
let-7g-5p	53.1560368710365	-1.85922452305736	0.532390767151086	-3.49221781776268	0.000479027441691226	0.000868096678370015
miR-29b-3p	219.828911190521	-1.6813554754354	0.483337615888538	-3.47863567859187	0.000503973240881094	0.000900618847130103
miR-25-3p	100.553977981044	-1.37562606059209	0.39899709402487	-3.44770947255658	0.000565361816043594	0.00100105349079279
miR-103a-3p	49.0517424606834	-2.00446160691526	0.589907043617405	-3.39792790847788	0.000678983099859441	0.00119130671157157
miR-30d-5p	70.1581205663119	-1.69626128159975	0.499607201544457	-3.3951898138298	0.000685810360145802	0.00119784071953068
miR-106b-5p	54.5889247844227	-2.01461207715312	0.595907983018103	-3.38074356203401	0.000722899748080565	0.00125129732178968
let-7b-5p	202.708159196747	-1.51226149578584	0.461416890501048	-3.27742986205748	0.00104756752854252	0.00175803068985756
miR-4681	91.142956382049	-0.980775356706757	0.301385947955212	-3.25421726978627	0.00113705279877124	0.00188370120311458
miR-200b-3p	53.8552262511473	-1.86932140170867	0.594047765827137	-3.14675268428267	0.00165094540604672	0.00258579566143827
miR-30b-5p	58.2648363231239	-1.78355618148345	0.572773961774179	-3.11389186749838	0.00184637143824439	0.00281699357771674
miR-93-5p	112.216629701049	-1.56284791741006	0.501736920495658	-3.11487525348174	0.00184022717882241	0.00281699357771674
let-7a-5p	98.7578798633811	-1.56722374822308	0.504969689166019	-3.10359964537955	0.00191181843168877	0.0028714471386454
miR-27b-3p	72.7620143787511	-1.89344938805952	0.610546430663055	-3.10123733915408	0.00192713758716625	0.00288323685521772
miR-101-3p	67.4172819374025	-1.76104258210742	0.57308187502691	-3.07293365721038	0.00211965605552957	0.00312285205127639
miR-148a-3p	46.9121052019948	-1.77000031974496	0.584055293296729	-3.03053553329533	0.0024412046025393	0.00353779762863543
miR-125a-5p	160.490240818081	-0.947265775027189	0.318576670291426	-2.97343108696771	0.00294490526936128	0.0041638587325035
miR-141-3p	91.6683608543149	-1.77097372588601	0.603362067395333	-2.93517577850255	0.003333587850713	0.00459558896562578
miR-1469	68.338998872971	-0.538021649730457	0.184621417651437	-2.91418870342678	0.00356614272584297	0.00488131592969995
miR-30a-5p	59.7339516164501	-1.48198821321369	0.51044154406668	-2.90334560429136	0.0036919896337352	0.00501798591064009
miR-17-5p	91.1958740703646	-1.71828165701704	0.598039804996615	-2.87318944769364	0.00406350363423525	0.00542737855645261
miR-2277-5p	70.1941651385829	-0.739237225346162	0.277704423560145	-2.66195696802092	0.00776878095821383	0.00973619951256668
miR-20a-5p	46.8778100830393	-1.92835983996847	0.726948032616093	-2.65267908220182	0.00798557544131	0.00997550848008305
miR-26a-5p	142.378015410622	-1.63160679221283	0.656736487710357	-2.48441623504316	0.0129764033056452	0.0159012434158065
