id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
miR-6846-5p	990.3189835833	-8.8793958159071	0.477669519107312	-18.5889939816576	3.94507991558782e-77	6.74608665565517e-75
miR-181c-5p	104.560365147966	-4.09026155123798	0.249364686023519	-16.4027297387739	1.82834675985995e-60	1.25058918374421e-58
miR-181d-5p	92.6780487752191	-4.11061104415704	0.27897536905879	-14.7346737384934	3.86057278673115e-49	1.32031589306205e-47
miR-181b-5p	119.102995994161	-3.86331797552757	0.292839239180731	-13.1926240019468	9.67577274569098e-40	2.75759523252193e-38
miR-320b	176.4669218414	-2.96527780906573	0.227086427362277	-13.0579261980072	5.72666008805936e-39	1.50655211547408e-37
miR-320c	169.796242773323	-2.94823199530382	0.229056337706273	-12.871208999615	6.53708264761119e-38	1.49045484365535e-36
miR-17-3p	58.7028362584234	-3.64025617913255	0.286106466011559	-12.7234320491921	4.381826331796e-37	8.81520356161313e-36
miR-4429	210.169394176479	-2.99647788359106	0.235462252132613	-12.725937412267	4.24351155356974e-37	8.81520356161313e-36
miR-181a-5p	282.713545891758	-4.10495077973152	0.328855033277053	-12.4825542088425	9.29560914239279e-36	1.58954916334917e-34
miR-320e	162.37515024856	-2.6850800809481	0.220979921551841	-12.1507875561364	5.68156418566411e-34	8.83224977953239e-33
miR-149-5p	56.8284743568183	-2.96888183464983	0.264467928526329	-11.2258671635274	3.04385625212277e-29	3.87257324292058e-28
miR-320d	148.233265225102	-2.89841736770282	0.27235101743683	-10.6422123735047	1.89573756237849e-26	2.16114082111148e-25
miR-125a-5p	158.155248078069	-3.36432859979217	0.318986222602881	-10.5469401541538	5.24783623235493e-26	5.78954835956576e-25
miR-96-5p	22.5028627777667	-4.96121450580863	0.479560190560485	-10.3453426774441	4.39341697505941e-25	4.69546439209474e-24
miR-7-5p	172.904662614486	-2.82640416691102	0.288802657392839	-9.78662797782519	1.28510289384729e-22	1.331833908169e-21
miR-100-5p	43.8224309261909	-4.06212269936774	0.418053793923474	-9.71674640539521	2.55825350219229e-22	2.43034082708267e-21
miR-193b-3p	184.508559657545	-2.77322866444248	0.285657551257288	-9.70822809422138	2.7812991994464e-22	2.57082250327208e-21
let-7i-5p	126.677136441198	-3.94283279207751	0.40680360131359	-9.69222686167453	3.25356068868324e-22	2.92820461981492e-21
miR-33a-5p	31.1279037183301	-3.54500278639786	0.373506209982528	-9.49114818348986	2.28503308248042e-21	2.00379824155975e-20
miR-99a-5p	45.2840023337081	-3.96510328373548	0.421727192259479	-9.40205743549929	5.35063927620734e-21	4.57479658115728e-20
miR-378i	79.3224474524462	-2.29361638486738	0.244140076108131	-9.39467383409646	5.7395373070903e-21	4.78761404640215e-20
miR-193a-5p	30.7227501565643	-2.86182587661943	0.307369391371974	-9.31070547996137	1.26986052004077e-20	1.03402928060463e-19
miR-6771-5p	119.700402707872	-3.0086474762271	0.340776905116425	-8.82878924908133	1.05814889336356e-18	8.04193158956303e-18
miR-26b-5p	77.762596120706	-5.33055208166469	0.622847058921491	-8.55836437743635	1.14480047265515e-17	7.99024003363392e-17
miR-3176	32.704171974666	-4.36052859637061	0.511498639984878	-8.52500526003262	1.52802874461816e-17	1.04517166131882e-16
let-7b-5p	199.963950868525	-3.95297546310336	0.464040051056178	-8.5186083703469	1.61481892861378e-17	1.08287857565865e-16
let-7c-5p	146.842451132804	-4.09364518398959	0.483017189655775	-8.47515424224747	2.3476827695885e-17	1.54405289846013e-16
miR-29b-3p	215.823016362614	-4.03897046187733	0.485190214921672	-8.32450931132107	8.46787744055504e-17	5.36298904568486e-16
miR-197-3p	39.0423956842654	-1.76764214358383	0.213183404359863	-8.29164985375679	1.11688305248418e-16	6.94498188999252e-16
miR-378a-3p	104.834456932211	-2.18651484171169	0.266220357302907	-8.21317672270967	2.15412149916764e-16	1.31555277270595e-15
miR-425-5p	27.688336305691	-3.27213577056701	0.415119966769524	-7.88238589444606	3.21188278694276e-15	1.86180324260072e-14
miR-378g	58.3282602601874	-2.01171589289817	0.255895236819232	-7.86148237030014	3.79613867353801e-15	2.16379904391667e-14
miR-186-5p	58.2572135427056	-3.13502703946458	0.408828820451201	-7.66831221929176	1.74274260084121e-14	9.46060269028086e-14
miR-324-3p	49.037227158791	-2.03964330293027	0.273033666177733	-7.47029965748824	8.00124029112882e-14	4.08421519338218e-13
miR-99b-5p	30.4884214270626	-3.46446849690618	0.472287064856075	-7.33551425542841	2.20871728103852e-13	1.09475552190605e-12
miR-422a	81.7697414216971	-2.30016307542994	0.317129154106677	-7.25307984347665	4.07399755552902e-13	1.93514883887628e-12
miR-193a-3p	44.0068751966482	-2.72033262929161	0.382124015559483	-7.11897844292426	1.08729912504215e-12	5.02508514546507e-12
let-7a-5p	97.0733291361653	-3.56337338990509	0.505982595736938	-7.04248213264177	1.88845057573545e-12	8.49802759080953e-12
miR-301a-3p	33.6605979922873	-3.04019891652977	0.438598779080635	-6.93161737226551	4.16056041316183e-12	1.84793722246928e-11
miR-25-3p	99.1531860276712	-2.61767772760796	0.400259725036418	-6.53994784853706	6.15402892014593e-11	2.56668035449989e-10
miR-130b-3p	133.994112665146	-2.77146062656505	0.431127058025547	-6.42840799475135	1.28947261229026e-10	5.2499956357532e-10
miR-151a-3p	57.46406153313	-2.20176446628811	0.347222816514403	-6.34107080977722	2.28173630573142e-10	9.07388158790866e-10
miR-92b-3p	64.6056189328939	-2.68493366471411	0.432457675074842	-6.208546684365	5.34768371487929e-10	2.10219290860772e-09
let-7f-5p	36.1011568570693	-3.49946040277974	0.565342807893859	-6.18997952024315	6.01720323276741e-10	2.3385039836437e-09
miR-93-5p	110.784473394774	-3.06211846692671	0.504390142898716	-6.07093241221726	1.27169705526453e-09	4.88674598764573e-09
let-7g-5p	52.3349697964648	-3.23645432061797	0.53416882383473	-6.05886037560912	1.37089322241807e-09	5.20939424518867e-09
miR-135b-5p	28.5098696886461	-3.68204177444465	0.621946188023251	-5.92019349157423	3.21563067737592e-09	1.19537575180714e-08
miR-152-3p	33.3329655536151	-2.69991073791001	0.45841302462156	-5.88969028560851	3.86920061180841e-09	1.4228673217618e-08
miR-345-5p	57.0533357939081	-1.22876021176082	0.209233867305371	-5.872664055707	4.28846964042133e-09	1.56027299683414e-08
miR-103a-3p	48.1201880696749	-3.43734219345325	0.591239320325171	-5.81379159891256	6.10734399957486e-09	2.19864383984695e-08
miR-200c-3p	49.5278992469373	-3.57029214271364	0.618812773759391	-5.76958378060543	7.94675625527299e-09	2.80184601990037e-08
miR-200a-3p	38.770210072688	-3.41145345055117	0.601229735882857	-5.674126289748	1.39398269342956e-08	4.76742081152908e-08
miR-92a-3p	182.118450898894	-2.90135598775349	0.51570181380209	-5.62603409587181	1.84399913153059e-08	6.2440366632026e-08
miR-708-5p	40.5414674653934	-2.54662600634225	0.455263663374139	-5.59373877429224	2.22231241182067e-08	7.37894024119095e-08
miR-200b-3p	53.0934318117218	-3.31604869104743	0.595312808018951	-5.57026263567618	2.54355624011317e-08	8.28472603922577e-08
miR-191-5p	43.3601128302078	-2.76549936855707	0.506141896460438	-5.46388154763874	4.6583443961954e-08	1.48892876962507e-07
miR-106b-5p	53.8527298050816	-3.2593217228361	0.598292253709665	-5.44770837768152	5.10229230624391e-08	1.61572589697724e-07
miR-222-3p	194.54698663015	-2.86512995554185	0.526964944810448	-5.43704089571357	5.41727077632959e-08	1.69973083073828e-07
miR-30d-5p	69.375168778174	-2.69105555546472	0.502073558212535	-5.3598830518885	8.3275842872547e-08	2.58912166021919e-07
miR-30b-5p	57.3010600211475	-3.01590803410911	0.574589849365624	-5.24880144931001	1.53091966572536e-07	4.67477255069707e-07
miR-148b-3p	26.9788092601598	-2.65109520658514	0.506841516108349	-5.23061967563526	1.6894276408712e-07	5.11313498387567e-07
miR-30c-5p	43.8541014445604	-2.95146586186184	0.568023151912116	-5.19603092220172	2.03588408820437e-07	6.10765226461311e-07
miR-365a-3p	43.8687282140975	-2.84401185458237	0.551863112863351	-5.15347336738302	2.55705404390705e-07	7.604456374054e-07
miR-101-3p	66.480673358582	-2.93327236393086	0.575201170218085	-5.09955910350239	3.40445554634633e-07	1.00372741107797e-06
miR-30a-5p	59.1359927411709	-2.55517625312486	0.512537340390221	-4.98534653334619	6.18508565429341e-07	1.77756243173811e-06
miR-107	31.0025211170365	-2.81601692774838	0.573884777374084	-4.90693783625624	9.25093373655826e-07	2.6365161149191e-06
miR-29a-3p	175.935230731959	-2.58348171646705	0.528543909825185	-4.88792258967005	1.01905582267417e-06	2.88030654012039e-06
miR-17-5p	89.9864490756758	-2.91641907834828	0.600461777965524	-4.85696040175887	1.19201420508921e-06	3.34154801754517e-06
miR-26a-5p	139.77762537075	-3.15603923719251	0.659314906366064	-4.78684647763783	1.69422331795341e-06	4.71076727430949e-06
miR-15a-5p	28.7954395591069	-3.19730298645872	0.673029598217368	-4.75061274411603	2.0280118445194e-06	5.59338750665833e-06
miR-148a-3p	46.2809251257533	-2.66122707628788	0.586157438486072	-4.54012335518815	5.62213261203194e-06	1.5008784900925e-05
miR-141-3p	90.8989346153645	-2.74058812392808	0.606529250928878	-4.51847642917628	6.22862057554301e-06	1.63860633602747e-05
miR-27b-3p	71.6496197420382	-2.63615005827605	0.613182489544285	-4.29912807887783	1.71471363688609e-05	4.28052601324848e-05
miR-29c-3p	77.1465881421532	-2.46314769299554	0.576562466777341	-4.27212632616053	1.93617832069624e-05	4.798354968682e-05
miR-6802-5p	62.0154214975922	-1.52320961561626	0.37440190774591	-4.06838102077725	4.73409237648417e-05	0.000115647113768399
miR-27a-3p	101.041942686113	-2.65374487323303	0.688613115676598	-3.85375301866794	0.000116320936945828	0.000276262225246341
miR-20a-5p	46.2012488332372	-2.72207465867338	0.729265257072394	-3.73262627319041	0.000189493647369741	0.000437883968921968
miR-20b-5p	46.364379759899	-2.54775314523409	0.693837332613631	-3.67197472012194	0.000240683495328486	0.000548758369348949
miR-3937	91.4959324326849	-0.68675861026077	0.20050341315623	-3.42517166890149	0.000614411063585081	0.00131330364841311
miR-605-3p	79.1010092477361	-0.634514301574585	0.18713471251002	-3.39068200155869	0.00069718945334273	0.00146281468124671
miR-16-5p	98.1037156380689	-2.4557135446708	0.755508624180389	-3.25041100270016	0.00115238330982034	0.00234592316641998
miR-4530	71.7072329582164	-0.76623088941363	0.23985291619507	-3.19458650563356	0.00140031311811917	0.00275479085820653
miR-7155-3p	87.5025850203671	-0.598617255379993	0.19286843031989	-3.10375966863593	0.00191078476320753	0.00371300221032372
miR-3192-3p	66.8766430487911	-0.523799116059285	0.172713849308	-3.03275688752206	0.00242330742072714	0.00455368757081694
miR-128-3p	32.4437568680211	-1.84032194682813	0.63773116728992	-2.88573311329396	0.00390503147929565	0.00706624743872546
miR-3615	67.0471794747872	-0.512057810827228	0.179533670227413	-2.85215475280269	0.00434239546362405	0.00765515076577024
miR-4746-3p	62.6718437264181	-0.610854144362602	0.214135849739528	-2.85264772388947	0.0043356655464798	0.00765515076577024
miR-2277-5p	69.566037229848	-0.727991986154681	0.270674897545407	-2.68954377652459	0.00715497619083247	0.0117644320060803
miR-7155-5p	84.1771791948345	-0.473661904033268	0.18339118438384	-2.58279538149384	0.00980034285170255	0.0155172095151957
miR-4299	67.7592768779437	-0.407947329877891	0.16997968270828	-2.39997700535782	0.0163961017860333	0.0244867546324165
