baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
miR-6846-5p	1002.2515891697	-8.95238687258674	0.482881848174323	-18.5394976150664	9.91434695698198e-77	2.93464669926666e-74
miR-210-3p	164.160300976026	-1.6146938082775	0.101263169669654	-15.9455191215625	3.06086028574352e-57	4.53007322290041e-55
miR-4448	25804.3321112771	3.52787946619932	0.225745247907377	15.6277020176602	4.71502860742437e-55	4.65216155932538e-53
miR-1915-3p	1364.52337639732	3.91105032642879	0.253463379379564	15.4304354972398	1.02178401624542e-53	7.56120172021611e-52
miR-1275	119.95335894328	2.7701043686987	0.188327948019753	14.7089393678741	5.64858043193497e-49	3.3439596157055e-47
miR-6850-5p	285.160975303067	1.40092797903813	0.0980164874087914	14.2927788586768	2.42727223467804e-46	1.19745430244117e-44
miR-181c-5p	104.516025667922	-3.34859004513915	0.245085537841513	-13.6629442709286	1.69009568768787e-42	7.14669033650872e-41
miR-320b	176.168072821796	-3.08453438148836	0.22721273537685	-13.5755347356406	5.59339952865272e-42	2.06955782560151e-40
miR-6859-5p	332.335065258862	3.07718983725966	0.227947179118482	13.4995741081762	1.57282721204476e-41	5.17285394183608e-40
miR-320e	162.504920532599	-2.93973510747391	0.222589752714725	-13.2069651528008	7.99847197913576e-40	2.36754770582419e-38
miR-320a	243.279216730486	-3.19150683173007	0.242195108156022	-13.1774207003145	1.1836892677671e-39	3.18520021144603e-38
miR-320c	169.69894378649	-3.00984631603151	0.230027292401777	-13.084735661603	4.02558172999135e-39	9.929768267312e-38
miR-181d-5p	92.6756590795334	-3.50903386885022	0.27530529679281	-12.7459729606694	3.2826957264462e-37	7.47444565406211e-36
miR-4429	209.982441915412	-2.9808659260568	0.235440369325809	-12.6608106103155	9.74874893989143e-37	2.06116406157704e-35
miR-181b-5p	119.132411133114	-3.45810624849197	0.292439857545795	-11.82501686847	2.89844494958922e-32	5.71959803385605e-31
miR-320d	148.304144055193	-3.11096193924441	0.273236470414622	-11.3856028608615	4.93259287156392e-30	9.12529681239325e-29
miR-221-3p	854.77877753839	-2.66386633834236	0.238514234157087	-11.1685843310631	5.80994618065803e-29	1.01161415851457e-27
miR-6085	103.551870408086	2.04355077790545	0.185168856607366	11.036147305476	2.55766116620583e-28	4.20593169553847e-27
miR-181a-5p	282.487229575025	-3.52304347001818	0.329532742579888	-10.6910270658889	1.12122398797039e-26	1.74674894968019e-25
miR-7-5p	172.443690302837	-2.99929937594309	0.288964327894607	-10.3794797018579	3.07446149250249e-25	4.55020300890368e-24
miR-125a-5p	158.033495943254	-3.32048230441799	0.32152272348562	-10.3273643256711	5.29967807211844e-25	7.47002242546218e-24
miR-762	2262.12244023466	1.98826973487682	0.200419236154088	9.92055340111255	3.38872047512543e-23	4.55936936653239e-22
miR-378i	79.4420071268858	-2.39982246306876	0.243722814865793	-9.84652366004483	7.09558242245346e-23	9.13170607411402e-22
miR-193b-3p	184.172082017981	-2.75202742985264	0.286595938804411	-9.60246485464252	7.80550712600416e-22	9.6267921220718e-21
miR-4454	911.125017476216	2.17801455299077	0.228004716454542	9.55249780293474	1.26606299561781e-21	1.49901858681149e-20
miR-8069	261.750046072554	1.95069181913073	0.2092658678213	9.32159572623904	1.14603531548405e-20	1.30471712839722e-19
miR-937-5p	178.703547160207	1.61167335420786	0.174395604518323	9.24147921422255	2.4311272447786e-20	2.6652357942758e-19
let-7b-5p	199.928663617717	-4.23242303689251	0.467173100081475	-9.05964627705316	1.30874269438485e-19	1.38352799120684e-18
miR-125b-5p	318.448456510288	-3.25655678871894	0.359880169464933	-9.04900315446881	1.44279411824964e-19	1.47264503104101e-18
miR-4463	99.9445346625519	1.45660544043172	0.164192221620399	8.87134254020442	7.2269281182088e-19	7.13056907663268e-18
let-7c-5p	146.847778450043	-4.26888353610997	0.486319012638178	-8.77794909344008	1.66482592226137e-18	1.58964023544957e-17
let-7a-5p	97.2845043169041	-4.37744238309917	0.512675637525111	-8.53842481033589	1.36063885753228e-17	1.25859094321736e-16
miR-3178	3906.2801737265	1.58558175511272	0.186907774070484	8.48323063606112	2.19025902831251e-17	1.96459597691061e-16
let-7i-5p	126.608793164213	-3.39338120704197	0.407039651627329	-8.3367337640826	7.63707523348809e-17	6.64874785033081e-16
