mirs	group	control
miR-1238-3p	78.2575324170294	64.7421357748557
miR-1299	72.034793650935	50.9588435053902
miR-222-3p	106.208779530044	57.3678400207021
miR-3667-3p	82.1118411563765	65.6554066223797
miR-4534	75.2553624260231	53.0016390199017
miR-4681	82.5696075257901	63.9738919645219
miR-5000-5p	79.0131334016918	63.2864552265405
miR-548e-5p	112.080599237021	56.216949243551
miR-605-3p	77.5737921894854	53.7637640451907
miR-7155-3p	85.780800057363	60.2522126210923
miR-7155-5p	82.9925856751936	62.6436210888303
miR-8078	84.4252424411511	62.1541582286424
miR-8089	73.1871047331092	67.4860273987541
