baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
miR-4488	7404.14097668887	3.82018964806089	0.205081049931281	18.6277067010383	1.91558070522008e-77	5.67011888745145e-75
miR-762	2262.12244023466	3.39865477435116	0.2004907161691	16.9516815506042	1.8702716237905e-64	2.76800200320994e-62
miR-6085	103.551870408086	3.05200844180141	0.185688108109673	16.4362083973563	1.05304528783031e-60	1.03900468399257e-58
miR-6846-5p	1002.2515891697	-7.85572772719364	0.482218770167979	-16.2907962385146	1.14725783653599e-59	8.48970799036632e-58
miR-8069	261.750046072554	2.82230740931158	0.210169158411989	13.4287420220767	4.10322592098889e-41	2.42910974522542e-39
miR-6089	4211.10268599734	2.45158828388738	0.219857689227368	11.1507961923135	7.09684815182166e-29	3.50111175489869e-27
miR-1915-3p	1364.52337639732	2.74324155988627	0.254699512160877	10.7705018223732	4.7440833771219e-27	2.00606954232583e-25
miR-197-5p	76.2863367531783	1.27031540334361	0.122467828427646	10.3726457768793	3.30252034313352e-25	1.2219325269594e-23
miR-5787	2464.52392382939	2.48232685433711	0.239802046154488	10.3515666114788	4.11693306546295e-25	1.35401354153004e-23
miR-210-3p	164.160300976026	-0.987933043164614	0.102112361436044	-9.67496030128914	3.85241133418437e-22	1.14031375491857e-20
miR-8072	1204.62062464221	2.08609571639687	0.22531149739903	9.25871844303781	2.06900538254085e-20	5.56750539301902e-19
miR-4466	24413.7369861709	2.31919298355857	0.261037714271473	8.88451306751277	6.42013418205013e-19	1.58363309823903e-17
miR-6771-5p	118.02556274958	-3.04037368181714	0.344778163753035	-8.81834756795955	1.16161202207104e-18	2.64490121948484e-17
miR-181c-5p	104.516025667922	-2.08177344868455	0.244016013399093	-8.53129849834798	1.44714101576578e-17	3.0596695761905e-16
miR-6727-5p	79.0353732492744	1.55770239679399	0.183117727259807	8.50656252730751	1.79165998939317e-17	3.53554237906919e-16
miR-320b	176.168072821796	-1.87524245680905	0.227350573082089	-8.24824160936671	1.60742131230041e-16	2.97372942775576e-15
miR-6803-5p	185.801769966254	1.37452351698294	0.171619686188239	8.00912498741727	1.15527452185317e-15	2.01153681452082e-14
miR-5095	1144.99394456509	-2.58294810155012	0.325818061205256	-7.92757802313157	2.23461120184759e-15	3.67469397637159e-14
miR-221-3p	854.77877753839	-1.89484607215413	0.239257047920383	-7.91970848350797	2.38068074404344e-15	3.70885000124662e-14
miR-6786-5p	643.570909102246	1.50668882867751	0.19059300497462	7.90526823834981	2.67357256452435e-15	3.95688739549604e-14
miR-1237-5p	574.140768411413	1.61071701911577	0.204413859468174	7.87968596310638	3.28204895730702e-15	4.62612614934704e-14
miR-181d-5p	92.6756590795334	-2.11525562250326	0.273479793431518	-7.73459565681929	1.03732259820905e-14	1.34078407914966e-13
miR-320c	169.69894378649	-1.77973978312454	0.230117601586448	-7.73404455311061	1.04182546690683e-14	1.34078407914966e-13
miR-320a	243.279216730486	-1.86492016874198	0.242383726890627	-7.6940815815721	1.42514106013648e-14	1.75767397416832e-13
miR-125a-5p	158.033495943254	-2.47335402205463	0.323437621399407	-7.64708202884146	2.05591185816787e-14	2.43419964007076e-13
miR-6781-5p	101.200777972882	1.80391040544535	0.23907543435936	7.54536077819627	4.51037117490981e-14	5.1348841068204e-13
miR-1273e	942.995495964679	-2.12665439831028	0.288485707833271	-7.37178425330992	1.68359326571369e-13	1.8457170616713e-12
miR-181a-5p	282.487229575025	-2.42333948224865	0.330526117649139	-7.33176397521807	2.2714287915078e-13	2.4012247224511e-12
miR-6821-5p	234.887030576565	1.42683710879788	0.195424417136027	7.30122228178234	2.85165179725938e-13	2.91065148961647e-12
miR-3960	52993.8748374818	1.87364858348847	0.258387776084126	7.25130504191673	4.12774857503309e-13	4.07271192736599e-12
miR-4507	125.100058236322	-1.77050839378345	0.247387753800298	-7.15681502655416	8.25729934656606e-13	7.88438905349534e-12
miR-4429	209.982441915412	-1.68452311069877	0.235621815478208	-7.14926632442727	8.72429229308463e-13	8.06997037110328e-12
miR-181b-5p	119.132411133114	-2.08427714527893	0.291860677281514	-7.14134279647595	9.24235366714437e-13	8.29011116810525e-12
miR-6729-5p	535.42400159307	1.76155116055335	0.253413724065576	6.9512855590154	3.61972317977034e-12	3.15128841532947e-11
miR-1273g-3p	25924.9544652005	-2.14895730106516	0.310285944617707	-6.9257320170039	4.33726833269708e-12	3.66808978993811e-11
miR-4281	6244.81778903473	1.34844892547082	0.197501252858678	6.82754618491306	8.63793233129083e-12	7.10229991683912e-11
miR-3178	3906.2801737265	1.26255569515212	0.18728309024165	6.74142921030966	1.56836144966279e-11	1.24832654512526e-10
miR-7-5p	172.443690302837	-1.95468271691712	0.290085740029878	-6.73829301887021	1.60258137549865e-11	1.24832654512526e-10
miR-1290	1734.80633978129	2.43075345752542	0.365207244588068	6.65581938350419	2.81726055406323e-11	2.13822852308388e-10
miR-7847-3p	92.8350502316008	1.30881888159966	0.207118031403877	6.31919332531448	2.62932178348594e-10	1.94569811977959e-09
miR-320e	162.504920532599	-1.37981990242438	0.221421207963334	-6.2316519502182	4.61542010625079e-10	3.33210817426886e-09
miR-4792	5143.67838514195	2.12851154927201	0.342409486107507	6.21627506138576	5.09095303701468e-10	3.58790975941987e-09
miR-22-3p	683.94117499518	-1.67039011762675	0.271531816742762	-6.15172887532811	7.66428194133396e-10	5.2758778014764e-09
miR-920	128.82863682525	1.56639846287376	0.259917456475421	6.02652274346908	1.67524747536719e-09	1.12698466524702e-08
miR-31-5p	786.174417747433	-2.52135717501866	0.419108240112998	-6.01600477799926	1.78774296653362e-09	1.17593759576433e-08
let-7i-5p	126.608793164213	-2.42899942734727	0.408782251160838	-5.94203740609951	2.81501160705296e-09	1.81139877323408e-08
miR-1285-5p	2019.62402604747	-1.77871280834154	0.302514163570782	-5.87976704080951	4.10844287853127e-09	2.58744487669204e-08
miR-193b-3p	184.172082017981	-1.68325667842632	0.287628862889609	-5.85218277997487	4.85163007403242e-09	2.99183854565333e-08
miR-4763-3p	315.945107222625	-1.1667716563084	0.204947315704769	-5.6930321448521	1.24802878976898e-08	7.5391126892167e-08
miR-4417	421.625020850109	1.91403422081668	0.34954018061699	5.47586322533256	4.35383893148286e-08	2.57747264743785e-07
miR-6126	3022.42079145624	1.90818709264607	0.352407020216041	5.41472497192669	6.13829817000728e-08	3.56262011435717e-07
let-7b-5p	199.928663617717	-2.50191193554805	0.466800753855121	-5.35969986099157	8.33603271775571e-08	4.73074177830703e-07
miR-205-5p	8121.99408030668	-1.87605915755285	0.350219712262135	-5.35680629007155	8.47058494088758e-08	4.73074177830703e-07
miR-5096	24745.2046974439	-1.57761188494158	0.294812545476797	-5.35123728330531	8.73548886640535e-08	4.78834204528886e-07
miR-4739	558.942806284511	2.3738578254362	0.447289068836341	5.30721180289959	1.11314806362676e-07	5.99076048788218e-07
miR-320d	148.304144055193	-1.42265649717904	0.271988853230912	-5.23056912178398	1.68988974236443e-07	8.9322743524977e-07
miR-6090	11118.7326697294	1.49202849597789	0.285613197599739	5.22394801261542	1.75147972404106e-07	9.09540347923076e-07
miR-125b-5p	318.448456510288	-1.81947727944104	0.360208451679674	-5.05117875762412	4.39091904730322e-07	2.21418072023471e-06
miR-6752-5p	1246.51878048221	2.23685827939517	0.442924401304	5.05020331417666	4.4134007599273e-07	2.21418072023471e-06
let-7c-5p	146.847778450043	-2.44389856626906	0.485387726953448	-5.03494099780451	4.7799603886987e-07	2.35811379175802e-06
miR-29b-3p	215.552883643976	-2.42605064383192	0.487188839896011	-4.97969256510422	6.36853583688566e-07	3.09030591429206e-06
miR-638	563.559711573832	1.16549582451501	0.235924773949115	4.94011631337364	7.80759832420461e-07	3.72749855478155e-06
miR-5739	873.000155740797	1.4798749123264	0.302200067103001	4.89700391701766	9.73088993030957e-07	4.57197368154227e-06
miR-6877-3p	113.788117460517	-1.4987278741023	0.307012027165082	-4.88165850680642	1.0519731576792e-06	4.86537585426629e-06
miR-1225-3p	185.706517586673	-1.55915152446164	0.320568521143855	-4.86370751219821	1.15207120821261e-06	5.2463550404759e-06
miR-26b-5p	77.402086323782	-2.9715514318466	0.618182032301956	-4.8069197688928	1.53273464757954e-06	6.87408266187187e-06
miR-1260b	1484.43137296254	0.888849956520797	0.186415072800412	4.76812278732662	1.85950444962235e-06	8.21512413564502e-06
miR-566	184.71223377947	-1.39788731094017	0.294868110451673	-4.74072055061808	2.12959491571461e-06	9.27000139781653e-06
miR-6799-5p	641.390710459827	1.47447606058121	0.312985997343435	4.71099689154238	2.46507996601816e-06	1.05748357962518e-05
miR-6850-5p	285.160975303067	0.474751776380475	0.102464449231535	4.63333165737996	3.59827376479227e-06	1.52155576339787e-05
miR-6780b-5p	981.922398419519	1.83556031313829	0.40401933884189	4.54324864349283	5.53938477534861e-06	2.30937731479322e-05
miR-2861	1397.89052043415	1.18914031700521	0.26500455149798	4.48724488044983	7.21501290218079e-06	2.96617197089655e-05
miR-1273h-5p	1148.10975554743	-1.40964230847701	0.316266120008052	-4.4571397924037	8.30604416109927e-06	3.36793023518546e-05
miR-130a-3p	287.386544119126	-1.60486128389659	0.361470237594201	-4.43981583263367	9.00358929738148e-06	3.60143571895259e-05
miR-6763-3p	236.049926007283	-0.691849717700249	0.157790557445435	-4.38460785550804	1.16194902325496e-05	4.58582547844625e-05
miR-4787-5p	663.185411396314	0.490234268727504	0.112121375859727	4.37235330880016	1.22914401611022e-05	4.7871924837977e-05
miR-1255b-2-3p	389.33475026831	-1.60139721092533	0.372413945079478	-4.30004631159439	1.7076242044549e-05	6.56437356517727e-05
miR-3656	7398.45715620262	1.0584187820663	0.252248875075835	4.19593063298341	2.71753416438435e-05	0.000103126937520227
miR-4448	25804.3321112771	0.94281263500742	0.225892723210693	4.1737184872841	2.99668003656431e-05	0.000112280669724435
miR-619-5p	42556.0157323651	-1.23823919490523	0.29753179172132	-4.16170382244402	3.15881877960895e-05	0.000116876294845531
miR-574-3p	663.949987033365	-1.05023820788464	0.254769345321693	-4.12230995278698	3.75092034301197e-05	0.000137070669324882
miR-186-5p	58.1192507778196	-1.67917817701649	0.408536705165224	-4.11022597427906	3.95272105305399e-05	0.000142683589232193
miR-1275	119.95335894328	0.806951327373515	0.198619586837011	4.062798338392	4.84879167770423e-05	0.000172920763445838
let-7a-5p	97.2845043169041	-2.05372522693785	0.509006614378199	-4.03477119731866	5.46555302870377e-05	0.000192595678154323
miR-6845-5p	594.815625000263	0.896038348962079	0.224842395027078	3.98518415023184	6.7427813108055e-05	0.000234807443293933
miR-19b-3p	588.579961357056	-1.82524650193195	0.464819113183109	-3.92678883067555	8.60874994165853e-05	0.000296301160782666
miR-4516	14976.9648738801	0.892065433447716	0.231641682445409	3.85105747821509	0.000117608889436537	0.0004001405893473
miR-3141	235.782788530364	0.607656327908132	0.160340693951663	3.78978232494939	0.000150779354455349	0.000507166919531627
miR-19a-3p	406.172171072049	-1.47619609211172	0.397865644825332	-3.71028791078403	0.00020702367206397	0.000688528167763316
miR-5585-3p	1547.86895586283	-1.06004714228984	0.286477721038665	-3.70027776836012	0.000215363607141874	0.000708306974599942
miR-4800-3p	263.167272424035	1.10953281598368	0.302942436175296	3.66252027940268	0.00024974597454058	0.000812360532571558
