"n2.mir" "ko.mir"
"1" "cel-miR-788-3p" "cel-miR-230-5p"
"2" "cel-miR-788-3p" "cel-miR-230-5p"
"3" "cel-miR-788-3p" "cel-miR-230-5p"
"4" "cel-miR-788-3p" "cel-miR-41-5p"
"5" "cel-miR-788-3p" "cel-miR-230-5p"
"6" "cel-miR-1022-5p" "cel-miR-230-5p"
"7" "cel-miR-1022-5p" "cel-miR-50-5p"
"8" "cel-miR-788-3p" "cel-miR-230-5p"
"9" "cel-miR-788-3p" "cel-miR-230-5p"
"10" "cel-miR-1022-5p" "cel-miR-50-5p"
"11" "cel-miR-1022-5p" "cel-miR-41-5p"
"12" "cel-miR-1022-5p" "cel-miR-230-5p"
"13" "cel-miR-1022-5p" "cel-miR-230-5p"
"14" "cel-miR-788-3p" "cel-miR-230-5p"
"15" "cel-miR-788-3p" "cel-miR-50-5p"
"16" "cel-miR-788-3p" "cel-miR-41-5p"
"17" "cel-miR-788-3p" "cel-miR-230-5p"
"18" "cel-miR-788-3p" "cel-miR-230-5p"
"19" "cel-miR-788-3p" "cel-miR-230-5p"
"20" "cel-miR-788-3p" "cel-miR-230-5p"
"21" "cel-miR-788-3p" "cel-let-7-5p"
"22" "cel-miR-788-3p" "cel-miR-230-5p"
"23" "cel-miR-1022-5p" "cel-miR-230-5p"
"24" "cel-miR-1022-5p" "cel-miR-1817"
"25" "cel-miR-1022-5p" "cel-miR-50-5p"
"26" "cel-miR-788-3p" "cel-miR-50-5p"
"27" "cel-miR-1022-5p" "cel-miR-1817"
"28" "cel-miR-1022-5p" "cel-miR-230-5p"
"29" "cel-miR-1820-5p" "cel-let-7-5p"
"30" "cel-miR-1820-5p" "cel-miR-230-5p"
"31" "cel-miR-71-5p" "cel-miR-230-5p"
"32" "cel-miR-71-5p" "cel-let-7-5p"
"33" "cel-miR-788-3p" "cel-let-7-5p"
"34" "cel-miR-788-3p" "cel-miR-230-5p"
"35" "cel-miR-1820-5p" "cel-miR-230-5p"
"36" "cel-miR-790-5p" "cel-miR-230-5p"
"37" "cel-miR-788-3p" "cel-miR-50-5p"
"38" "cel-miR-788-3p" "cel-miR-230-5p"
"39" "cel-miR-788-3p" "cel-miR-50-5p"
"40" "cel-miR-1820-5p" "cel-miR-50-5p"
"41" "cel-miR-790-5p" "cel-miR-230-5p"
"42" "cel-miR-790-5p" "cel-miR-1817"
"43" "cel-miR-799" "cel-miR-230-5p"
"44" "cel-miR-1022-5p" "cel-let-7-5p"
"45" "cel-miR-1820-5p" "cel-miR-230-5p"
"46" "cel-miR-1820-5p" "cel-miR-50-5p"
"47" "cel-miR-1820-5p" "cel-miR-41-5p"
"48" "cel-miR-788-3p" "cel-miR-230-5p"
"49" "cel-miR-1820-5p" "cel-miR-230-5p"
"50" "cel-miR-1820-5p" "cel-miR-230-5p"
"51" "cel-miR-793" "cel-miR-230-5p"
"52" "cel-miR-793" "cel-let-7-5p"
"53" "cel-miR-1820-5p" "cel-miR-230-5p"
"54" "cel-miR-1022-5p" "cel-miR-230-5p"
"55" "cel-miR-793" "cel-let-7-5p"
"56" "cel-miR-71-5p" "cel-miR-230-5p"
"57" "cel-miR-788-3p" "cel-miR-230-5p"
"58" "cel-miR-788-3p" "cel-miR-50-5p"
"59" "cel-miR-788-3p" "cel-miR-230-5p"
"60" "cel-miR-228-5p" "cel-miR-230-5p"
"61" "cel-miR-790-5p" "cel-miR-230-5p"
"62" "cel-miR-793" "cel-miR-230-5p"
"63" "cel-miR-793" "cel-let-7-5p"
"64" "cel-miR-793" "cel-let-7-5p"
"65" "cel-miR-1022-5p" "cel-miR-230-5p"
"66" "cel-miR-71-5p" "cel-miR-230-5p"
"67" "cel-miR-799" "cel-miR-230-5p"
"68" "cel-miR-799" "cel-miR-50-5p"
"69" "cel-miR-71-5p" "cel-miR-230-5p"
"70" "cel-miR-71-5p" "cel-let-7-5p"
"71" "cel-miR-1820-5p" "cel-miR-230-5p"
"72" "cel-miR-1820-5p" "cel-miR-230-5p"
"73" "cel-miR-1820-5p" "cel-miR-50-5p"
"74" "cel-miR-1820-5p" "cel-miR-230-5p"
"75" "cel-miR-788-3p" "cel-miR-230-5p"
"76" "cel-miR-228-5p" "cel-miR-230-5p"
"77" "cel-miR-250-5p" "cel-let-7-5p"
"78" "cel-miR-1820-5p" "cel-miR-1817"
"79" "cel-miR-71-5p" "cel-miR-230-5p"
"80" "cel-miR-71-5p" "cel-miR-1817"
"81" "cel-miR-71-5p" "cel-miR-50-5p"
"82" "cel-miR-1820-5p" "cel-miR-230-5p"
"83" "cel-miR-1820-5p" "cel-miR-230-5p"
"84" "cel-miR-1022-5p" "cel-miR-230-5p"
"85" "cel-miR-788-3p" "cel-miR-1817"
"86" "cel-miR-799" "cel-miR-230-5p"
"87" "cel-miR-799" "cel-miR-1817"
"88" "cel-miR-71-5p" "cel-miR-230-5p"
"89" "cel-miR-790-5p" "cel-miR-230-5p"
"90" "cel-miR-793" "cel-miR-230-5p"
"91" "cel-miR-799" "cel-miR-230-5p"
"92" "cel-miR-799" "cel-miR-50-5p"
"93" "cel-miR-49-5p" "cel-let-7-5p"
"94" "cel-miR-4807" "cel-miR-1829a-3p"
"95" "cel-miR-71-5p" "cel-miR-230-5p"
"96" "cel-miR-71-5p" "cel-let-7-5p"
"97" "cel-miR-1820-5p" "cel-miR-230-5p"
"98" "cel-miR-71-5p" "cel-let-7-5p"
"99" "cel-miR-1820-5p" "cel-miR-230-5p"
"100" "cel-miR-1820-5p" "cel-miR-1817"
"101" "cel-miR-1820-5p" "cel-miR-50-5p"
"102" "cel-miR-1022-5p" "cel-miR-50-5p"
"103" "cel-miR-1820-5p" "cel-let-7-5p"
"104" "cel-miR-4807" "cel-miR-2208a-5p"
"105" "cel-miR-4807" "cel-miR-2208a-5p"
"106" "cel-miR-4807" "cel-miR-259-5p"
"107" "cel-miR-793" "cel-miR-230-5p"
"108" "cel-miR-793" "cel-miR-50-5p"
"109" "cel-miR-4807" "cel-miR-1829a-3p"
"110" "cel-miR-49-5p" "cel-miR-230-5p"
"111" "cel-miR-4807" "cel-miR-1829a-3p"
"112" "cel-miR-4807" "cel-miR-72-5p"
"113" "cel-miR-4807" "cel-miR-259-5p"
"114" "cel-miR-250-5p" "cel-miR-230-5p"
"115" "cel-miR-250-5p" "cel-miR-50-5p"
"116" "cel-miR-4807" "cel-miR-1829a-3p"
"117" "cel-miR-4807" "cel-miR-72-5p"
"118" "cel-miR-4807" "cel-miR-2208a-5p"
"119" "cel-miR-4807" "cel-miR-259-5p"
"120" "cel-miR-1820-5p" "cel-miR-230-5p"
"121" "cel-miR-4807" "cel-miR-1829a-3p"
"122" "cel-miR-250-5p" "cel-miR-230-5p"
