"g" "mir" "rho" "pvalue" "adj"
"1" "WBGene00012810" "cel-miR-230-5p" -0.990484211542761 0.000135394516527833 0.0241016442810731
"2" "WBGene00018725" "cel-miR-230-5p" -0.988252442591671 0.000206197046145791 0.0241016442810731
"3" "WBGene00001397" "cel-miR-230-5p" -0.984354169084308 0.000365273050246959 0.0241016442810731
"4" "WBGene00019782" "cel-miR-230-5p" -0.981876237594998 0.000489729582530196 0.0241016442810731
"5" "WBGene00000273" "cel-miR-230-5p" -0.977598247664241 0.000747136730587887 0.0241016442810731
"6" "WBGene00009811" "cel-miR-230-5p" -0.977448537413153 0.000757118215855467 0.0241016442810731
"7" "WBGene00021121" "cel-miR-230-5p" -0.977182840349294 0.000774994595306617 0.0241016442810731
"8" "WBGene00011737" "cel-miR-230-5p" -0.975034960440106 0.000927100029940846 0.0241016442810731
"9" "WBGene00011699" "cel-miR-230-5p" -0.975026482275338 0.000927727182159262 0.0241016442810731
"10" "WBGene00019593" "cel-miR-230-5p" -0.974303147554913 0.000982008159887774 0.0241016442810731
"11" "WBGene00016332" "cel-miR-230-5p" -0.97409944676486 0.000997570440644073 0.0241016442810731
"12" "WBGene00001726" "cel-miR-230-5p" -0.973964705928702 0.00100793096927696 0.0241016442810731
"13" "WBGene00015167" "cel-miR-230-5p" -0.973890112521385 0.00101368943871707 0.0241016442810731
"14" "WBGene00020167" "cel-miR-230-5p" -0.972413956880545 0.00113098831410952 0.0241016442810731
"15" "WBGene00008099" "cel-miR-230-5p" -0.972199464801179 0.00114856153956479 0.0241016442810731
"16" "WBGene00007660" "cel-miR-230-5p" -0.971726568729086 0.00118777966823484 0.0241016442810731
"17" "WBGene00003879" "cel-miR-230-5p" -0.971111672645156 0.00123974901930023 0.0241016442810731
"18" "WBGene00003530" "cel-miR-230-5p" -0.970660388113723 0.00127859128135057 0.0241016442810731
"19" "WBGene00011833" "cel-miR-230-5p" -0.970303750885957 0.00130970674296672 0.0241016442810731
"20" "WBGene00018566" "cel-miR-230-5p" -0.969721575303947 0.00136129513056634 0.0241016442810731
"21" "WBGene00000991" "cel-miR-230-5p" -0.969153784446588 0.00141255860334056 0.0241016442810731
