"g" "mir" "rho" "pvalue" "adj"
"1" "WBGene00013364" "cel-miR-788-3p" -0.998245043774876 4.6171045084502e-06 0.00215618780544624
"2" "WBGene00010174" "cel-miR-788-3p" -0.995187882948886 3.46789899471311e-05 0.00796446921288816
"3" "WBGene00020774" "cel-miR-50-5p" -0.994154003693935 5.11636137872901e-05 0.00796446921288816
"4" "WBGene00017586" "cel-miR-788-3p" -0.992889472296236 7.56596536057275e-05 0.00883326455846868
"5" "WBGene00000620" "cel-miR-788-3p" -0.988959021222014 0.000182181853173513 0.0115289190405521
"6" "WBGene00044471" "cel-miR-230-5p" -0.988939294059792 0.000182832244797625 0.0115289190405521
"7" "WBGene00045305" "cel-miR-788-3p" -0.987239544410109 0.000243204952733315 0.0115289190405521
"8" "WBGene00015167" "cel-miR-1817" -0.986148599286683 0.000286463178695567 0.0115289190405521
"9" "WBGene00009067" "cel-miR-230-5p" -0.985932012941684 0.000295470304390125 0.0115289190405521
"10" "WBGene00003473" "cel-let-7-5p" -0.985493989879106 0.000314110285713586 0.0115289190405521
"11" "WBGene00044132" "cel-miR-1817" -0.984772465187342 0.000346051260944753 0.0115289190405521
"12" "WBGene00000670" "cel-miR-788-3p" -0.984678753166565 0.000350312647424642 0.0115289190405521
"13" "WBGene00044379" "cel-miR-230-5p" -0.984427322126104 0.000361874192457221 0.0115289190405521
"14" "WBGene00017390" "cel-miR-1022-5p" -0.984052346257508 0.000379463525107091 0.0115289190405521
"15" "WBGene00010901" "cel-miR-788-3p" -0.983989274003761 0.000382462898845654 0.0115289190405521
"16" "WBGene00020167" "cel-miR-230-5p" -0.983530522415097 0.000404631916927392 0.0115289190405521
"17" "WBGene00003546" "cel-miR-1022-5p" -0.982184691471862 0.000473250669139061 0.0115289190405521
"18" "WBGene00003524" "cel-miR-230-5p" -0.982163179332052 0.000474390845696387 0.0115289190405521
"19" "WBGene00004393" "cel-miR-230-5p" -0.981245877235714 0.000524277607957292 0.0115289190405521
"20" "WBGene00008850" "cel-miR-788-3p" -0.981059218539864 0.000534732270479328 0.0115289190405521
"21" "WBGene00008850" "cel-miR-1022-5p" -0.980862394471484 0.000545867363695613 0.0115289190405521
"22" "WBGene00017265" "cel-miR-230-5p" -0.98072486332129 0.000553715686593487 0.0115289190405521
"23" "WBGene00017485" "cel-miR-230-5p" -0.980480367468825 0.000567805434545392 0.0115289190405521
"24" "WBGene00006191" "cel-miR-230-5p" -0.979658360616379 0.000616464934128066 0.0118150077690222
"25" "WBGene00022570" "cel-miR-788-3p" -0.979394671183341 0.000632495062581486 0.0118150077690222
"26" "WBGene00008803" "cel-miR-1022-5p" -0.978837463094257 0.000667040599945569 0.01198107539133
"27" "WBGene00017128" "cel-miR-788-3p" -0.977873377210227 0.000728964695860957 0.0120618168823105
"28" "WBGene00001481" "cel-miR-788-3p" -0.977870379694224 0.000729161482438824 0.0120618168823105
"29" "WBGene00044472" "cel-miR-230-5p" -0.977569914030307 0.000749020748580308 0.0120618168823105
"30" "WBGene00001387" "cel-miR-230-5p" -0.976886423588838 0.000795182053120883 0.0123357015843097
