"go" "term" "OddsRatio" "FDR"
"1" "GO:0016311" "dephosphorylation" 5.66092359836181 2.45458502867079e-13
"2" "GO:0035335" "peptidyl-tyrosine dephosphorylation" 10.7786666666667 1.19588100337358e-12
"3" "GO:0006470" "protein dephosphorylation" 7.01565217391304 6.68146665872171e-10
"4" "GO:0048515" "spermatid differentiation" 21.0623376623377 6.54496259868853e-06
"5" "GO:0007286" "spermatid development" 21.0623376623377 6.54496259868853e-06
"6" "GO:0006793" "phosphorus metabolic process" 1.71863754165124 1.04167540817141e-05
"7" "GO:0009607" "response to biotic stimulus" 4.70627402526085 1.04167540817141e-05
"8" "GO:0018108" "peptidyl-tyrosine phosphorylation" 4.70627402526085 1.04167540817141e-05
"9" "GO:0043207" "response to external biotic stimulus" 4.70627402526085 1.04167540817141e-05
"10" "GO:0006468" "protein phosphorylation" 2.22733750181765 1.40808887346479e-05
"11" "GO:0018212" "peptidyl-tyrosine modification" 4.51690280065898 1.40808887346479e-05
"12" "GO:0009617" "response to bacterium" 5.01010190518387 3.21993282409226e-05
"13" "GO:0042742" "defense response to bacterium" 5.01010190518387 3.21993282409226e-05
"14" "GO:0045087" "innate immune response" 2.87208048868128 4.73297107691483e-05
"15" "GO:0002376" "immune system process" 2.77878260869565 6.96511479523837e-05
"16" "GO:0006955" "immune response" 2.77878260869565 6.96511479523837e-05
"17" "GO:0036211" "protein modification process" 1.68966507289176 0.000201844405303048
"18" "GO:0016310" "phosphorylation" 1.84007615421228 0.000362406608799263
"19" "GO:0043412" "macromolecule modification" 1.60037566326303 0.000755197469794713
"20" "GO:0009620" "response to fungus" 7.06981673108091 0.000779806126360478
"21" "GO:0050829" "defense response to Gram-negative bacterium" 3.87047327074152 0.00200387322061094
"22" "GO:0007283" "spermatogenesis" 3.75942298743602 0.00225384932058742
"23" "GO:0048232" "male gamete generation" 3.75942298743602 0.00225384932058742
"24" "GO:0050832" "defense response to fungus" 6.05003734129948 0.00326834203160332
"25" "GO:0019915" "lipid storage" 1.59626402482693 0.00326834203160332
"26" "GO:0010876" "lipid localization" 1.58066408205891 0.00327078774016851
"27" "GO:0051235" "maintenance of location" 1.52406936548296 0.00671186166390272
"28" "GO:0006937" "regulation of muscle contraction" 4.62421473443746 0.00761891361208504
"29" "GO:0090257" "regulation of muscle system process" 4.62421473443746 0.00761891361208504
"30" "GO:0044057" "regulation of system process" 3.92912621359223 0.0128277400360509
"31" "GO:0018193" "peptidyl-amino acid modification" 1.88453364817001 0.0169072415640271
"32" "GO:0040002" "collagen and cuticulin-based cuticle development" 2.0234552332913 0.0202678860984886
"33" "GO:0042335" "cuticle development" 2.00121168923735 0.0214807511140272
"34" "GO:0006936" "muscle contraction" 2.61880064829822 0.0290713191174736
