"go" "term" "OddsRatio" "FDR"
"1" "GO:0005198" "structural molecule activity" 8.42702553811042 2.06594863386924e-61
"2" "GO:0042302" "structural constituent of cuticle" 18.143815915628 1.93012527768279e-60
"3" "GO:0004725" "protein tyrosine phosphatase activity" 7.95120192307692 8.84446166846151e-10
"4" "GO:0004721" "phosphoprotein phosphatase activity" 4.86125791277078 1.20377984366247e-08
"5" "GO:0016791" "phosphatase activity" 3.81616059444844 5.10414759979937e-08
"6" "GO:0004672" "protein kinase activity" 2.56476224986915 1.75629301577975e-07
"7" "GO:0004713" "protein tyrosine kinase activity" 4.63695537203531 4.88829160318178e-06
"8" "GO:0016773" "phosphotransferase activity, alcohol group as acceptor" 2.22255364984671 4.88829160318178e-06
"9" "GO:0042578" "phosphoric ester hydrolase activity" 2.9273834340647 4.88829160318178e-06
"10" "GO:0016301" "kinase activity" 2.12399102409834 1.1657845309604e-05
"11" "GO:0042329" "structural constituent of collagen and cuticulin-based cuticle" 22.5485074626866 8.54901941197842e-05
"12" "GO:0005524" "ATP binding" 1.59332326953439 0.000796249864887528
"13" "GO:0032559" "adenyl ribonucleotide binding" 1.58771027618055 0.000813002971668807
"14" "GO:0016788" "hydrolase activity, acting on ester bonds" 1.89471621709882 0.00141485735877621
"15" "GO:0030554" "adenyl nucleotide binding" 1.54671553273341 0.00141485735877621
"16" "GO:0004222" "metalloendopeptidase activity" 2.29754054964624 0.0109902098098059
"17" "GO:0004175" "endopeptidase activity" 1.87232242026763 0.0138174361991526
"18" "GO:0003779" "actin binding" 2.46627787307033 0.0161682380169354
"19" "GO:0008237" "metallopeptidase activity" 1.73135993135993 0.0403543129413858
"20" "GO:0003774" "motor activity" 2.19420845893852 0.0467582280311933
"21" "GO:0008092" "cytoskeletal protein binding" 1.6568179439774 0.0497214209226531
