"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cel-let-7-5p"	1093.03533391299	-1.70417748386685	0.347369590868226	-4.90594896233542	9.29767014038553e-07	4.02124233571674e-05
"cel-miR-1817"	5.7426221902127	-1.63788976013856	0.676969757234616	-2.41944302922667	0.0155442954370221	0.0672290777651206
"cel-miR-1829a-5p"	36.6001886787866	1.00455792786162	0.406546667485345	2.47095354163204	0.0134753323749908	0.0613482237071949
"cel-miR-1830-3p"	10.0124252611253	-2.34749500836199	0.705637900221166	-3.32677001564999	0.000878588533073934	0.00916857514112914
"cel-miR-2209a-3p"	3.09441622089446	2.63774692952477	0.802093777554225	3.28857672673622	0.00100695333919915	0.00916857514112914
"cel-miR-2212-5p"	2.20600745929098	-2.50189393341273	0.858158972235589	-2.91542011953222	0.00355210024847502	0.0267179714341816
"cel-miR-230-3p"	26.2976201966464	-2.01290801461757	0.529415385789229	-3.80213357724165	0.00014345534268543	0.00206814785704828
"cel-miR-230-5p"	20.0003173413438	-2.41135402503636	0.573065632223324	-4.20781475881048	2.57852100608616e-05	0.000601217103776475
"cel-miR-235-3p"	641.053347605652	-1.1799723690249	0.356151185266595	-3.31312211734361	0.000922606870343615	0.00916857514112914
"cel-miR-237-3p"	2.73691170993558	-2.2629272518819	0.818449871528439	-2.76489413781192	0.00569412716775111	0.0339684137938256
"cel-miR-237-5p"	926.856560674423	-1.68946016800214	0.292927182909283	-5.76750901443431	8.04517831487751e-09	1.39181584847381e-06
"cel-miR-238-3p"	4757.39441754183	1.03952710581557	0.371444015458549	2.79861045690093	0.00513230122505214	0.0330762673207686
"cel-miR-239a-5p"	3.12865051548971	1.93038430872147	0.814733740868939	2.36934376458087	0.0178196820625963	0.0751810745970835
"cel-miR-241-3p"	29.1669753180309	-1.46551274969645	0.524180075397965	-2.79581925845581	0.00517683427974273	0.0330762673207686
"cel-miR-241-5p"	204.371641364505	-1.02631015062959	0.458554398788629	-2.23814263551023	0.0252117550786472	0.0991280370137718
"cel-miR-246-3p"	1355.26674506223	1.13540178604215	0.384940703239574	2.94954983062812	0.00318237248920094	0.0250250200287165
"cel-miR-250-5p"	5.09915289411298	-1.57499744369854	0.667240399561918	-2.3604647511341	0.0182520527923555	0.0751810745970835
"cel-miR-34-5p"	171.836308564681	1.950058682382	0.46356969006223	4.20661385803766	2.59225509407176e-05	0.000601217103776475
"cel-miR-35-3p"	3324.07065826509	2.14284773972239	0.547841385144706	3.91143823345215	9.17481218048111e-05	0.0014429477338393
"cel-miR-355-5p"	52.3363463248049	2.38296786494944	0.530180426295474	4.49463568770341	6.9689154807014e-06	0.000241124475632268
"cel-miR-35-5p"	6.91719020556381	1.7844998492475	0.694250214068328	2.57039870220604	0.0101581529922349	0.0488803457201319
"cel-miR-357-3p"	13.9011172774703	-1.88444059221345	0.52568157115851	-3.58475681021208	0.000337392436567074	0.00389125943507359
"cel-miR-36-3p"	490.65261930073	1.71323142729697	0.543234068607647	3.15376285527916	0.00161180003084499	0.0139420702668092
"cel-miR-37-3p"	504.730205162325	2.07988682457151	0.565547391073407	3.67765258473546	0.000235390267441515	0.00313250125133709
"cel-miR-38-3p"	109.01102850176	3.49270290196043	0.709702697774381	4.92136061045492	8.59446036508155e-07	4.02124233571674e-05
"cel-miR-39-3p"	3395.60218025395	2.18197183248421	0.520662342413018	4.19076175621195	2.78019469954439e-05	0.000601217103776475
