"N2_3_Day0"	"N2_3_Day5"	"mir71_3_Day0"	"mir71_3_Day5"	"N2_1_Day0"	"N2_1_Day5"	"mir71_1_Day0"	"mir71_1_Day5"	"N2_2_Day0"	"N2_2_Day5"	"mir71_2_Day0"	"mir71_2_Day5"
"cel-let-7-5p"	10907.4612493359	4695.71485306018	10933.3522053975	3700.50953561843	16170.6961608372	3940.26099896978	15818.4642527746	9478.70419199277	13278.6947037197	4025.44551009057	9257.50734672817	3608.2836955565
"cel-lin-4-5p"	4112.44003504589	3156.70317225607	4356.90767140612	4702.58175029267	5025.5914130781	2210.27078424797	8127.19952975602	8240.20614296092	5354.31238053214	2556.68667458938	4457.57607209416	4936.3938739843
"cel-lsy-6"	11.1707723109512	6.05229312675773	35.8159721537253	29.5253420395088	14.8832914503794	0	49.7435982791655	54.2768069296827	15.6167444432187	5.06274589027601	12.525190336824	25.9700856164999
"cel-miR-1018"	3.19164923170034	30.2614656337887	10.534109456978	36.6830007157533	13.6430171628478	55.1342490527488	18.0885811924238	77.7145190129548	2.23096349188839	14.0631830285445	6.95843907601336	16.6208547945599
"cel-miR-1020-3p"	98.9411261827107	60.5229312675773	189.613970225605	82.3130747768124	125.267703040693	33.0805494316493	310.219167450069	146.794091468915	111.54817459442	34.3141665896485	91.8513958033763	60.2505986302798
"cel-miR-1022-5p"	312.781624706634	143.52580843454	353.946077754462	343.567616459739	329.91296048341	193.582474451874	466.685394764535	722.868383199865	394.880538064245	134.444029752885	335.396763463844	285.670941781499
"cel-miR-124-3p"	12.7665969268014	13.8338128611605	15.8011641854671	32.2094640431005	14.8832914503794	6.12602767252765	22.6107264905298	44.4082965788313	7.80837222160937	7.8753824959849	5.56675126081069	28.5670941781499
"cel-miR-1-3p"	80997.6742020913	56507.6670846255	192488.728696414	108394.688285713	111838.013055301	41176.7076036618	370871.989046385	264513.084316633	120775.43959687	38123.0390810995	49844.6907892989	59108.9536665784
"cel-miR-1-5p"	177.136532359369	109.805889585462	160.118463746066	95.7336847947709	198.443886005058	200.933707658907	222.489548666813	289.88749155626	214.172495221286	83.2540435289833	157.260723117902	104.39974417833
"cel-miR-1817"	132.453443115564	37.1783720643689	184.346915497116	38.4724153848145	137.670445916009	29.4049328281327	208.018683712874	64.1453172805341	136.088773005192	18.0008742765369	109.943337401011	39.9939318494098
"cel-miR-1819-3p"	98.9411261827107	20.7507192917408	101.127450786989	28.6306347049782	65.7345372391756	30.6301383626382	115.766919631512	62.9117534866777	104.855284118754	21.3760382033876	80.717893281755	26.4894873288299
"cel-miR-1820-5p"	869.724415638344	675.262990285398	1712.84619770463	960.915677285831	972.375041424786	296.499739350338	1377.44545780307	1988.50483569656	791.992039620379	385.89374230326	725.069351720592	598.350772604158
"cel-miR-1821"	63.8329846340069	28.5322390261436	167.492340365951	151.205539535666	78.1372801144917	44.107399242199	208.018683712874	278.785417411552	78.0837222160937	21.9385655245294	79.3262054665523	107.51615445231
"cel-miR-1822-3p"	81.3870554083588	146.984261649831	202.254901573978	229.939784974356	120.306605890567	83.313976346376	201.687680295526	418.178126117328	85.892094437703	69.1908605004388	87.6763323577683	212.435300342969
